job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6953154.html,南山区,7k-10k,深圳市博悦生活用品有限公司,1-3年,大专,年轻团队，准上市企业 氛围活跃,岗位职责：1、主导电商店铺的视觉设计，包括店铺调性、详情页、主图、活动、推广图的首席设计，能独立完成整案，快速给出设计方向；2、主导其他相关平面设计，包括如海报、单页、广告、新品推广等平面设计；3、主导定期优化店铺主页、促销图和页面，配合活动制定相关营销设计策略；4、对店铺整体设计输出、设计效果（图片点击率、转化率）负责；5、其他相关设计工作，包括公司产品线下设计、公司企业文化和品牌设计等。6、带领组员完成各项工作内容，包括合理分配工作事宜，给到组员建设性意见，跟进各项工作的时间节点顺利进行；7、能够对活动的策划提出优质的视觉解决方案，并进行执行和输出；8、能够和横向部门及组员顺畅沟通；9、把握当今设计趋势，分享设计经验；10、具有良好的职业素养、敬业精神及团队精神，擅于沟通、工作态度认真积极、有自主工作意识、善于主动挖掘网络资源、有自我挑战精神。岗位要求：1、本科及以上学历，美术、广告、平面设计第相关专业优先；2、有扎实的美术功底，能够准确把握整体风格及视觉表现，对结构布局策划有丰富经验，对竞店图片敏感，创作灵感丰富，时尚触觉敏锐；3、有良好的职业素养、敬业精神及团队精神，擅于沟通，工作态度认真积极，有自主工作意识，善于主动挖掘网络资源，有自我挑战精神；4、具有较强的创意策划能力，丰富的视觉创作经验和审美修养；对产品摄影图进行精修，提升产品品质感与品牌感；5、有电商店铺设计经验（主要是熟悉京东天猫淘宝），较强的创意、策划能力，对宝贝详情图、细节图有丰富处理经验，有良好的文字表达能力。,"电商,其他",150-500人,美工,深圳
美工,https://www.lagou.com/jobs/7209890.html,南山区,5k-7k,深圳市超盟金服技术信息服务有限公司,1-3年,大专,公司主营业务,注：一定要会AE和插画，并有相关作品工作内容：1、负责线上产品的banner及广告位制作2、负责满足公众号推文所需元素，不限于插画、动画效果等3、负责项目线上推广所需素材任职要求1、本科学历，1-2年相关工作经验，优秀应届毕业生优先2、熟练Ps、Ai、Ae、插画3、有视觉效果，具备有一定的审美观4、工作效率高，有抗压能力，有团队协作精神,移动互联网,500-2000人,美工,深圳
电商美工设计,https://www.lagou.com/jobs/7094107.html,南山区,8k-13k,深圳鱼羊美厨网络科技有限公司,3-5年,大专,前景好 氛围好 团队年轻 富有活力,品牌名：wonderlab 聚焦于美容营养领域的消费品牌划重点：投递简历务必带上个人作品集，如无附带上作品集，请谅解无法通过初筛。工作职责：1. 负责品牌的视觉呈现，包括拍摄创意、平面设计、天猫官网视觉设计、产品详情页等。2. 对品牌平台店铺整体视觉传达和把控。3. 品牌相关活动物料的设计。任职资格：1. 本科及以上学历。2. 2年及以上品牌设计经验优先。3. 视觉设计 、艺术设计等相关专业毕业，能够熟悉操作AI、PS等设计软件。4. 对设计有自我独特的理解，具备快消品行业电商设计经验优先。,消费生活,150-500人,美工,深圳
美工,https://www.lagou.com/jobs/7198400.html,南山区,6k-8k,深圳市超盟金服技术信息服务有限公司,3-5年,大专,晋升：美工组长,"工作内容：1、负责项目平台整体风格和产品图片的美工设计； 2、协助运营完成活动的专题页面设计，创意图设计，活动图设计等图文素材； 3、具备一定的电商运营思维，独立完成页面设计和素材排版制作。""任职资格：1、2年以上美工工作经验，有电子商务网站和电商平台页面设计经验优先；2、视觉营销设计，对设计美感有天生触觉和独特见解，并能图文并茂；3、有一定审美基础，熟练掌握Photoshop等相关软件操作。""",移动互联网,500-2000人,美工,深圳
淘宝美工,https://www.lagou.com/jobs/7219252.html,南山区,4k-6k,深圳童叻童叻科技有限公司,1-3年,大专,营业额提成、定期体检、带薪年假、节日福利,岗位职责：1、负责公司淘宝店铺的装修、图片制作及美化设计、整体美化，直通车，钻展活动广告和相关图片的制作，以及设计定期的推广活动图片；2、促销活动期间的单品设计整改及促销设计宣传版面；强化店铺的内容互动，配合频道的内容规划，加强店铺特色；3、根据不同的产品类别，设计不同的宝贝描述模板及宝贝相关推荐促销页面；4、负责公司内的其他视觉元素设计。 任职要求：1、具有良好的美术基础和创意，有一定的素描手绘能力；2、熟练掌握Photoshop、Dreamweaver、Flash等专业网页设计工具；3、熟练掌握DIV/CSS模式，熟悉 HTML、CSS等web标准，了解JavaScript等页面技术；4、有较强的网站美工及页面视觉美化、布局设计，能够在规定时间内高质量的完成设计任务；5、具备良好的职业素质，工作态度认真负责，有较强的敬业和团队合作精神，愿与公司一起长期稳定发展。,电商,少于15人,美工,深圳
美工,https://www.lagou.com/jobs/6849032.html,龙岗区,7k-9k,深圳市万臣国际科技有限公司,1-3年,不限,福利齐全，发展空间大,1.对旺铺网店页面风格、整体布局进行改善和维护；2.负责设计产品详情页/主图/海报；3.配合运营不定期的制作促销图片和页面等促销活动；4.负责公司相关设计工作。任职要求：1.有两年以上淘宝/天猫/京东店铺设计经验2.精通AI、PS等设计软件，会简单的视频剪辑3.有自己的设计思想及创意，会拍照。懂广告设计原理。4.有良好的沟通、协作能力（求职者请附上作品）全职，非诚勿扰。,电商,50-150人,美工,深圳
美工,https://www.lagou.com/jobs/6896202.html,龙华新区,4k-7k,深圳前海百川投资管理咨询有限公司,1年以下,大专,五险一金、节日福利、全勤奖、年终奖,岗位职责：1、负责公司网站以及各电商平台页面内容更行制作；2、完成产品介绍及产品详情页；3、产品修图以及公司其他营销物料处理；4、配合市场部做项目前期设计简图。岗位要求：1、熟悉各类平面设计用软件，了解使用办公软件（主要用到ps）；2、有独立完成整个设计的工作能力；3、 对文案及策略有较强理解力，作品富有创意，色彩把握及整体构成有良好运用能力；4、沟通能力强、工作细致、注重效率、有团队写作精神。福利待遇：1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销）；2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；6、团队每月1-2次下午茶活动，不定期聚餐安排，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化，工作时间为9:30—18:30）。,软件开发、通讯电子,150-500人,美工,深圳
电商美工设计师,https://www.lagou.com/jobs/6534191.html,南山区,9k-14k,深圳市博悦生活用品有限公司,3-5年,本科,"五险一金,商业意外险,年终奖,节日福利",岗位职责：1、主导电商店铺的视觉设计，包括店铺调性、详情页、主图、活动、推广图的首席设计，能独立完成整案，快速给出设计方向；2、主导其他相关平面设计，包括如海报、单页、广告、新品推广等平面设计；3、主导定期优化店铺主页、促销图和页面，配合活动制定相关营销设计策略；4、对店铺整体设计输出、设计效果（图片点击率、转化率）负责；5、其他相关设计工作，包括公司产品线下设计、公司企业文化和品牌设计等。 岗位要求：1、本科及以上学历，美术、广告、平面设计第相关专业优先；2、有扎实的美术功底，能够准确把握整体风格及视觉表现，对结构布局策划有丰富经验，对竞店图片敏感，创作灵感丰富，时尚触觉敏锐；3、具有较强的创意策划能力，丰富的视觉创作经验和审美修养，熟悉AI、PS设计软件；对产品摄影图进行精修，提升产品品质感与品牌感；4、有电商店铺设计经验（主要是熟悉京东天猫淘宝），较强的创意、策划能力，对宝贝详情图、细节图有丰富处理经验，有良好的文字表达能力。,"电商,其他",150-500人,美工,深圳
美工,https://www.lagou.com/jobs/7196425.html,宝安区,6k-10k,深圳智汇创想科技有限责任公司,1-3年,大专,五险一金 生日Party 法定节假日,技能要求：3D，亚马逊，详情页，首页，渲染，海报岗位职责：1、负责公司产品的图片精修、设计排版工作。正确表达产品的功能卖点，简洁美观，做图要有自己专业想法。2、负责说明书、推广海报设计工作。3、及时完成当月任务数量，并保证效果。4、配合销售、开发等岗位人员进行图片、海报等修改工作任职要求：1、一年以上产品精修经验，拥有良好的修图技巧，优秀的扣图、调色、合成技巧；2、具有良好的审美能力及色彩感觉，具备出色的理解力、沟通能力和组织协调能力；3、对待工作有责任心，工作主动，积极进取。,电商,500-2000人,美工,深圳
美工,https://www.lagou.com/jobs/7214955.html,龙岗区,4k-6k,深圳市海莱芙摩配有限公司,1-3年,大专,包吃,工作内容：1、负责网店整体页面设计（首页、栏目页、宝贝详情页等）2、负责店铺整体装修及美化、日常维护，页面创意设计3、对产品进行拍摄修图，制作详情页、优化店内宝贝描述、美化产品图片及商品的上下架；4、更新促销图片和页面，配合商城销售活动、美化修改产品页面及定期更新店铺主页。5、协助运营处理工作中遇到的产品图片问题；任职资格：1、有电商美工（淘宝、阿里巴巴）经验。公司更看重个人的能力和工作态度。2、熟练使用PS、AI、CDR、DW等设计软件，有一定艺术审美能力。3、能独立完成产品的拍摄和精修优先考虑。,其他,15-50人,美工,深圳
