job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工设计师,https://www.lagou.com/jobs/6906367.html,渝中区,5k-8k,重庆鸿巨网络科技有限公司,3-5年,不限,"行业高成长,公司大平台,学习成长",工作职责：1.负责公司贝叶集事业部，贝叶集、大椿八千等品牌线上店铺的风格设计、页面装修和视觉呈现，提升用户体验；2.负责公司茶叶产品的创意拍摄、产品拍摄、线上页面设计和市场宣传素材设计，并完成日常图片后期处理和商品上传、上架等维护工作；3.根据产品的特性及卖点，提供针对性的视觉营销方案、产品短视频方案，制作商品详情页，对页面数据负责；4.负责每期主题营销活动的视觉设计规划与制作，日常页面更新及店铺的美化装修；并配合运营的需求做推广宣传图、新媒体内容图片等；5.配合新媒体编辑需求，负责品牌新媒体渠道的图片设计制作；6.完成上级交办的其他事项；任职要求：1.熟练使用Photoshop、Lightroom、AI等软件，会摄影和商业修图；2.熟悉淘宝页面工具和装修后台，了解淘宝页面代码；3.具有良好的美术功底和美工设计创意，设计上富创新精神，熟悉淘宝年轻设计风向；4.热爱网站设计工作，工作细致耐心，责任心强，能承受工作压力；5.具备良好的团队合作精神及沟通能力，良好的职业操守。,"移动互联网,电商",150-500人,美工,重庆
淘宝美工,https://www.lagou.com/jobs/7173129.html,渝北区,4k-6k,重庆香蕉云网络科技有限公司,不限,大专,根据能力福利待遇优厚，职位发展潜力大。,电商各个渠道的整体形象设计、商品展示设计、详情页设计优化、活动推广等,电子商务,15-50人,美工,重庆
网页美工实习生,https://www.lagou.com/jobs/5084465.html,渝中区,2k-4k,重庆白狮网络科技有限公司,应届毕业生,本科,快速成长、行业前沿、自主项目、非外包,1、 本科以上学历，设计相关专业优先2、 对公司推出的各项产品进行UI设计。包括网站页面、客户端人机交互以及手机应用程序界面，并需要配合策划人员将方案转化为DEMO； 3、 根据产品设计人员提供的产品业务说明书完成产品原型设计； 4、 对公司的产品提出用户界面和用户体验方面的合理建议。 5、 参与项目整个开发周期，学习前沿的互联网UI设计并迅速成长为专业人才，公司将择优留用。,"数据服务,信息安全",15-50人,美工,重庆
设计美工+公众号运营,https://www.lagou.com/jobs/7169614.html,南岸区,4k-6k,重庆嗨客网络科技有限公司,1-3年,本科,周末双休、高档办公室,岗位职责：1.负责公司日常平面设计工作；2.负责微信公众号平台内容的编辑、发布、维护、管理工作；3.负责新媒体线上传播、互动、执行、跟踪推广效果，分析数据并反馈；任职要求：1.本科或以上学历，会使用Photoshop、CorelDRAW、AI等设计软件2.具有较强的文案功底，对热点有敏锐的洞察力，对微信后台运用熟练优先3.2年以上新媒体运营工作经验，有微信、网站或广告公司相关工作经验优先4.具备良好的沟通能力和团队合作精神，责任感、执行力、创新力强。,"移动互联网,数据服务",15-50人,美工,重庆
美工,https://www.lagou.com/jobs/6952656.html,南岸区,2k-4k,重庆崇鼎房产信息咨询有限公司,3-5年,大专,可根据个人能力调动岗位。,1.负责修图。2.协助设计师完成工作。3.熟悉ps软件操作。,电子商务 信息安全,50-150人,美工,重庆
美工设计师,https://www.lagou.com/jobs/6075654.html,南岸区,5k-8k,重庆微点客网络科技有限公司,不限,不限,高薪、待遇丰厚，不加班，良好的晋升机制,职位描述：主要负责公司客户电商类商城的装修和编辑1、有过美工设计经验者优先，思维灵活，优秀的应届生或者专业职业学校学出来的，只要思维敏锐肯学、有上进心也可以考虑；负责公司网站页面的设计、制作；负责（视频\平面）的更换，修改，制作；负责公司相关宣传资料的管理，制作；负责公司展会、展厅及实体店铺的制作；负责协助程序员维护网站；2、能熟练操作设计软件PS、AI、CDR等；.具有良好的创意思维、视觉表现及平面执行能力；3、要求要有一定的审美基础，思维活跃；能够独立完成图片优化，合成，抠图，产品图上传，公众号、小程序商城图片配图，文章配图，及其它平面设计类工作；有电商工作经验或小视频拍摄编辑经验者优先。4、有过文案编辑公众号运营经验，对小程序操作流程熟练者会优先考虑（不懂的，公司也会教），但不计入招聘要求。全职招聘！！！,"移动互联网,社交",15-50人,美工,重庆
平面设计美工,https://www.lagou.com/jobs/7186555.html,巴南区,3k-6k,重庆恩信企业管理有限公司,不限,大专,发展前景极好,岗位职责：1、负责制定产品拍摄方案，制作产品页面；2、配合品牌团队设计产品的视觉传播方案，包括平面及视频；3、配合品牌团队设计品牌整体视觉形象，包括logo、海报，H5页面等。任职资格：1、热爱设计，以及其他一切美的东西；2、有审美品位，时尚；3、有强烈的好奇心，能拥抱互联网，学习能力强。,"电商,企业服务",少于15人,美工,重庆
电商美工,https://www.lagou.com/jobs/6941403.html,九龙坡区,3k-6k,重庆倍丝露电子商务有限公司,1-3年,大专,无加班，工作灵活,工作内容：淘宝、天猫、京东网店装修、详情页制作；协助运营做好文案编辑、风格设计，提升店铺视觉表现、点击率、转换率。任职要求：1，1年以上网店美工经验，非相关专业2年以上电商美工经验。2，工作细心、注重细节。3，能拍照剪辑视频优先考虑工作时间:9:00-18:00，月休4天,电商,少于15人,美工,重庆
淘宝美工设计,https://www.lagou.com/jobs/4691209.html,渝中区,4K-6K,重庆云印商贸有限公司,1-3年,大专,快速成长的公司，发展潜力大，学习成长,"工作职责： 1.银饰产品图的后期调色修图，模特图的后期修图。 2.根据运营思路的要求，设计店铺活动海报。 3.店铺整体风格的把握，首页详情页面的设计，优化，提高转化率。 4.了解行业流行趋势，学习同行业优秀设计案例，修改设计方案，提供更好的设计规划。 任职要求： 1.本公司的产品属于原创首饰珠宝类目，因此要有较好的审美，最好是有过淘宝美工的工作经验。 2.学历大专及以上，看重学习能力。 3.熟练操作PS,能把握好产品图片的后期修图调色，以及模特图的修图。 4.较好的人品，良好的团队协助沟通能力，责任心和创新意识。 5.过来面试之前记得投简历，或者电话联系沟通，先看下作品。",电商,15-50人,美工,重庆
运营编辑,https://www.lagou.com/jobs/7182745.html,渝北区,4k-6k,重庆仁品科技有限公司,1-3年,大专,工作环境轻松自在，福利好，晋升空间大,工作职责：1.全面了解行业法规及运营细则，筛查可能出现的一切违规问题；2.负责平台运营的监控，每天对线上营销流程进行测试疏通； 3.对平台的访问进行跟踪、监测，并做用户体验分析；4.了解项目的营销流程，并根据要求每日在相应版块更新伪原创文章或原创文章；5.负责平台上问答板块的答疑解惑； 6.根据运营与推广需求，对平台所需活动专题或竞价着陆页专题进行策划，并与美工、前端配合制作； 7.负责部门文案工作。,软件开发、物联网,15-50人,美工,重庆
