job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6415973.html,即墨市,3k-5k,青岛宠贝天宠物用品有限公司,应届毕业生,大专,有发展前景,热爱工作，有责任心，有上进心，工作经验1年以上。,"电商,广告营销",50-150人,美工,青岛
电商美工,https://www.lagou.com/jobs/6853794.html,市北区,4k-8k,青岛冰封时代信息技术有限公司,不限,不限,工作环境舒适，五险一金，双休，奖金，解决,1.详情页、首页、海报、平面设计、画册等2.线上办公，早九晚六,"游戏,移动互联网",50-150人,美工,青岛
美工,https://www.lagou.com/jobs/7159414.html,城阳区,3k-6k,青岛迅诺网络科技有限公司,应届毕业生,不限,有全面的培训，可接受小白,1.负责店铺设计与装修。宣传页，主图，海报，设计制作。2.产品详情页排版，3.设计具有吸引力。4.网页的设计，美化。,电商,50-150人,美工,青岛
美工平面设计,https://www.lagou.com/jobs/7136890.html,城阳区,4k-8k,青岛晨诺网络科技有限公司,3-5年,不限,福利好待遇高,美工，电商，会拍照，修图，对电商运营感兴趣,"区块链,移动互联网",少于15人,美工,青岛
设计师助理/电商美工设计助理/美工编辑/产品编辑,https://www.lagou.com/jobs/5279504.html,黄岛区,4k-6k,青岛大海边电子商务有限公司,应届毕业生,大专,五险 带薪年假 一年多次调薪 绩效奖金,问：具体工作是怎么样的？答：1、跟着师傅学习。从抠图、去水印、字体修改开始。2、负责店铺所有需要美化的地方——店铺装修、产品主图设计、产品详情页设计、活动页设计；3、这个职位是公司的设计基础岗位，有经验的，高水平的请尝试公司高级设计师的职位。 问：没有经验可以吗？答：可以，但是必须可以熟练操作photoshop，先从设计助理做起，慢慢培养为设计。问：薪资待遇怎么样呢？答：试用期1-3个月。都是“底薪3000+考核奖金”模式。问：美工设计没灵感了，我还能做别的吗？答：可以转岗，到别的部门，内部晋升机会多，只要肯努力就可以拿分红。你是否有这样的疑问：西游记中，孙悟空能大闹天宫都没事，为什么取经路上，老是打不过那些妖怪？妖怪团队这样认为：大闹天宫时，孙悟空碰到的都是给玉帝打工的，出力但不玩命；西天取经时，孙悟空碰到的都是自己出来创业的...个个都玩命！这个故事告诉我们：只有把事情看成自己的，去玩命的做，才能有最大的收获。这就是公司的妖怪文化。那么您呢？您喜欢在一家大企业做一颗小小螺丝钉？还是更愿意在一家快速发展的公司跟着团队一起发展？您喜欢在明争暗斗没有硝烟的战场里厮杀？还是更愿意在一个充满人情味儿和激情的大家庭里共同成长？妖怪团队的愿景： 做喜欢做的事情，充实且快乐！拿到好的收入，生活越来越美好！我们在发展，我们更需要共同创业的合伙人，如果您有相同的志趣，加入我们吧...     详情情况请查看我们的HR官网：http://hr.woyaodangyaoguai.com  所以公司竭诚希望更多自我驱动型的有志之士加入，一起为梦想努力！在济南、青岛、北京都是我们战斗的地方。在这里：1、 薪水有高有低，但是一定够花！全凭自己能力，还有各种分红，爽的根本停不下来！2、 2008年成立，上百人的专业团队，都可以跟老板称兄道弟，勾肩搭背！3、 公司遍地是机会，100%内部提升，有利润分红，有股份，在这里可实现车房的奢侈梦想。4、 谦虚很重要，我们每天的定位都是创业初期，人人都是主人公的精英团队，请静下心来，你可以得到更大成长和帮助！5、 小活动不断，大活动不少。经常计划安排金沙滩、大明湖、故宫等“国内外**景点出游”！6、 美女同事帅哥邻居，男女搭配干活不累，在这里没有单身！7、 每天上网、上京东、上淘宝，不必担心被抓，我们大家一起为中国电子商务贡献流量！8、 三八节女同胞有礼物，儿童节人人都有份，春节年假更是长达半月之久！9、 每月有升职加薪的考核，只要有能力，机会待遇都不是问题。10、拖延症晚期喊患者不要来，我们需要今日事今日毕。11、最后告诉你，我们注重品质，**不做乱七八糟的工作，不找乱七八糟的伙伴，想要做卧底侦探的请绕道！12、2016年公司成立关怀基金，针对员工以及直属亲属进行社保外的报销。有保险，节假日福利，各项活动礼物，父母亲人福利，定期体检、国内国外游等多种福利13、生日还有抽奖！公司缴纳保险，还有节日福利和年底奖14、我们不是代运营公司，有代理的产品，也有自有品牌的旗舰店，公司模式新颖，欢迎前来咨询。15、内部晋升机会多，只要肯努力就可以拿分红，上不封顶（这是真话，不是忽悠你来面试的）。 青岛大海边地址：青岛黄岛区保税区上海路10号,"电商,移动互联网",150-500人,美工,青岛
【诚聘】电商运营,https://www.lagou.com/jobs/7206050.html,市北区,5k-8k,肺鱼思维国际教育（青岛）有限公司,3-5年,本科,行业蓝海,【项目介绍】公司从事在线教育平台的搭建与课程体系的设计，深挖家长需求痛点，专注为家长提供情感教育、亲子陪伴、心理健康等系列的一整套解决方案。【岗位职责】1、结合公司战略发展需求，制定电商渠道（如教育平台、知识付费平台）发展规划，并层层分解落实，确保销售目标的实现。2、负责公司产品在电商渠道的对接及运营管理，熟悉电商渠道的操作运营模式、销售策略和实施方案；3、负责收集市场动态与行业信息，分析竞争对手，关注对手的变化、定价等营销策略，结合企业优势提供方案；4、根据网站营销数据进行深入分析，对产品运营情况进行评估，提炼卖点，指导美工进行页面优化，提升搜索量，促进销量；5、每日统计分析最新数据，并根据数据变化采取针对性运营措施。【任职资格】1、学历与经验：专科以上学历，电子商务、市场营销相关专业，3年以上电商运营经验。2、技能与素质：（1）熟悉电商平台的运营规则及营销规则；（2）熟悉微信生态、公众号商城营销工具者优先；（3）具有较强的提案能力及PPT展示能力；（4）思维敏捷，富有创新精神，对数据变化敏感，具备良好的分析判断能力；良好的沟通协调技巧和团队合作意识。【薪资待遇】1、薪资结构：基本薪资+业务提成+五险一金+奖金2、福利待遇：周末双休+法定节假日+带薪年假+节日福利+拓展活动* 底薪满足你的经济基础，提成满足你的上层建筑。强大的硬件实力是我们坚强的后盾。* 行业蓝海，实力、前景只拿数据说话* 公司热烈欢迎接地气、勇于奋斗，并怀有空杯心态的团队经理，与公司共同努力成长。麻雀虽小，五脏俱全。公司力求秉承新型工作契约精神，让您工作充满力量。1）尊严与尊重2）提供学习机会3）针对绩效的合理薪酬4）提高与进步的机会5）持续就业的能力,教育,15-50人,美工,青岛
电商顾问,https://www.lagou.com/jobs/7159370.html,城阳区,7k-14k,青岛迅诺网络科技有限公司,应届毕业生,不限,每个月签一单薪资7000。,公司主要做网店（淘宝，天猫，京东，拼多多）代运营服务。合作单位：城阳司法局，城阳文化局，北海舰队，王哥庄大馒头，李村脂渣，迎春乐乳业，波尼亚火腿，龙一食品，朱老大等大小品牌。工作内容：根据公司提供的网站，通过电话沟通筛选意向客户。充分了解客户需求，转化成交率，为客户提供服务。工作要求：热爱电话销售，想挑战高薪的看过来。每月签一单薪资7000左右。每月签两单，薪资15000左右代运营优势：客户自己开网店没有经验，投入高。一个网店最基础需要四个岗位，运营一名，美工一名，白夜班客服各一名。代运营优势：有专业的团队，美工拍摄部，运营部，客服部，技术部，快速高效达到客户需求。只需要一个员工的工资作为服务费，就可提供整年全面托管服务。,电商,50-150人,美工,青岛
平面设计师,https://www.lagou.com/jobs/7129613.html,崂山区,2k-4k,青岛金王应用化学股份有限公司,不限,不限,上市公司,技能要求：AI软件，电商美工岗位职责：1、负责配合团队完成平面设计工作；2、按照设计师要求完成图片编辑处理；任职要求：1、艺术类专业；2、熟练操作平面软件3、可接受优秀在校生实习及阶段性兼职人员。,"其他,消费生活",2000人以上,美工,青岛
信息流广告优化师,https://www.lagou.com/jobs/7120752.html,胶州市,15k-25k,青岛瑞森通达信息咨询有限公司,3-5年,大专,晋升快，福利好，收入高，前景好,公司从事税务筹划行业，在面试前，请务必独立对税务筹划行业进行调研，在面试时对面试官讲解税务筹划行业的信息流推广特点，以保证更高的面试通过率。岗位要求：1、四年以上信息流广告优化经验，至少三年B端信息流优化师经验。2、有工商注册，代理记账，企业培训，税务培训，招商加盟等TOB 或者TOboss经验且有成功案例。3、如果在其他税务筹划公司做过信息流广告投放和搜索广告投放， 方案成熟ROI稳定，优先考虑。4、会美工能独立完成落地页制作优先。5、国内重点本科及以上学历（优秀者可适当放宽）6、年龄27-35岁 岗位职责：1、负责公司税务筹划项目的信息流优化推广，主要在腾讯系、头条 系、百度系，知乎进行信息流推广对推广结果负责。2、独立完成信息流推广整个流程，包括方案制定，落地页制作，进 行数据分析，不断优化推广思路，对ROI负责。3、操作过大型TOB信息流优化账户有成功经验且ROI稳定，能提供 相关证明和案例。4、有过计算机基础对能做精准数据分析的优先考虑。 福利待遇：对于外地来青岛加入公司的同事，公司提供高档公寓住宿，环境一流，车接车送，报销来青机票。公司氛围轻松和谐，同事之间亲密无间，公司不定期组织聚餐、外出旅游等活动，外出谈客户有专车接送。享受法定节假日。,企业服务,15-50人,美工,青岛
电商运营,https://www.lagou.com/jobs/6234133.html,胶州市,10k-20k,青岛果木文化发展有限公司,1-3年,本科,高薪直聘,岗位职责：1、负责了解线上乐器及教学产品流行趋势，及时做好网店的整体布局与规划，以增加店铺的竞争力；根据年度、季度、月度的销售计划制定相对应的营销策划方案及推广方案；细化工作以量化绩效指标执行；2、负责网店改版，商家，下架，销售，售后的管理方案；3、负责网店日常维护优化店铺与商品排名；4、负责站内流量分析制定主推款与滞销款处理方案；5、负责制定并完善客户关系管理及相关服务工作要求，建立老客户群，帮派，掌柜说等与客户互动的NS；整理分类不同级别的老顾客，并对顾客做出相应的维护；分析在客户关系处理中的问题，提出有效改善意见；实时监督老顾客同比增长数据。6、有效协调平面设计、美工、推广、客服等人员以顺利有效完成指定工作；7、通过有效的数据分析（销售额，点击率，访问，转化率等），掌握网站和分类的运营状况，并做针对性的调整；8、其他竞争对手分析（行业、平台、对手大数据对标分析）等任职要求：1、熟悉淘宝天猫等平台的规则及营销规则；2、熟悉天猫、淘宝等各平台的推广渠道，制定、执行可行性营销推广方案，定期进行效果评估；3、熟悉天猫、淘宝的运营环境、交易规则，定期进行数据分析统计，研究热销产品走势等；4、有一定文案写作能力和活动策划经验，较强的组织策划能力、沟通协调能力和学习创新能力；5、有强大的时间管理及同时处理多项任务的能力，能适应快速的工作节奏与压力，工作态度认真负责，良好的团队意识，较强的抗压能力6、对数据敏感，有较强的数据分析能力；7、具有敏锐的市场眼光，良好的业务分析判断能力，并乐于自主创新8、具备出色的项目管理能力，团队管理能力和跨部门沟通能力只要你有能力，薪资待遇从优5K-20K公司简介：  青岛果木文化发展有限公司是国内音乐教育领域知名品牌，目前与百度、优酷、爱奇艺、360集团、人民邮电出版社等建立深度合作。公司旗下拥有自主经营乐器厂，主要生产吉他等乐器。主要致力于在线教育领域，书籍出版发行、音乐专辑制作、乐器销售与批发等业务。工作地址山东省青岛市胶州市兰州西路45号,"电商,教育",50-150人,美工,青岛
