job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
平台运营,https://www.lagou.com/jobs/7219187.html,奉化市,10k-15k,宁波奉化瑞晨信息科技有限公司,3-5年,本科,国内**家垂直自动化设备商城交易服务平台,"1、负责公司电商平台整体的运营规划、架构设计、用户搭建、市场推广及品牌建设，运营计划节点拆解，落实跟进效果达成，包含但不仅限于产品运营、商户运营、用户运营、社群运营、活动运营、内容运营等；2、负责同类竞品的深度研究及分析，制定差异化、竞争力的运营策略3、负责各项电商运营数据的分析总结，对全年各项运营目标达成负责，如：流量指标、会员注册率指标、页面点击率及转化率指标、商品受欢迎度指标，针对新进、活跃、留存、沉默、流失等不同用户群体实施专项运营策略；4、培养并建设运营团队，建立数据化运营体系，带领团队完成对应指标，提升整体运营水平，不断提升团队的执行力及专业度，合理设置部门组织结构和岗位，优化业务流程，合理配置人力资源，开发和培养员工能力，对员工绩效进行管理；5、精通社群运营，熟悉微信生态营销裂变玩法，擅长策划各类用户裂变增长活动，增加用户数量及GMV平台运营总监任职要求：1、本科及以上学历，市场营销、电子商务或IT相关专业； 拥有独立app运营经验。2、5年以上电子商务工作经验，具有B2C、O2O、C2M、新零售类运营总监不少于3年平台整体运营管理经验；3、对电子商务的消费者需求、传播媒体渠道、品牌传播、供应链及整合营销有深刻理解并具备一定经验，具备广告法、知识产权法等方面的知识，了解公司发展战略及市场营销战略；4、深入了解搜索引擎原理，熟悉百度、google等优化及排名技巧和原理,熟悉SEO操作流程，熟练使用SEO工具，并具备相关业务技能和成功案例；5、具有很强的领导、组织能力、判断与决策能力、沟通能力、计划与执行能力。",电商,少于15人,运营,宁波
信息流广告策略运营,https://www.lagou.com/jobs/7161406.html,鄞州区,8k-16k,北京字节跳动科技有限公司,3-5年,本科,"团队氛围好,晋升空间大",,文娱丨内容,2000人以上,运营,宁波
销售运营负责人,https://www.lagou.com/jobs/7089080.html,鄞州区,10k-20k,北京字节跳动科技有限公司,不限,本科,"团队氛围好,晋升空间大,扁平管理",,文娱丨内容,2000人以上,运营,宁波
商品运营,https://www.lagou.com/jobs/7047664.html,鄞州区,5k-8k,上海众旦信息科技有限公司,1-3年,大专,成长空间，行业全局观,工作职责：1.协助类目主管完成日常信息审核、活动发布、商品定价以及检查工作2负责商品信息、图片、素材、小视频、详情页的审核工作3负责活动商品外网比价、定价4负责活动的创建及发布5负责商家图文信息正确标准指导任职要求：1专科以上学历，具有2年及以上电商运营经验2掌握EXCEL等办公软件基础使用3对行业类目的商品有一定了解4对价格敏感，有良好的反应能力5具备较强的执行力、抗压能力、良好的沟通能力、风险意识6学习能力强，时间观念强，注重细节，善于总结,电商,500-2000人,运营,宁波
电商运营经理,https://www.lagou.com/jobs/7192650.html,鄞州区,15k-20k,宁波英孚婴童用品有限公司,3-5年,本科,五险一金 带薪年假 年度旅游,1、主导公司产品在各电商平台的运营，店铺日常运营维护的管理；2、根据公司短期经营战略不断完善电商运营平台，制定销售计划并完成线上销售任务；3、定期针对推广效果进行跟踪、评估，及时提出营销改进措施，给出切实可行的改进方案；4、跟各个平台小二维护关系扩大平台给予的资源；5、负责公司电商平台的运营推广及运营团队管理工作；6、负责带领团队对各平台关键数据（入店流量、点击率、转化率等）进行分析；7、针对天猫、京东等各类电商平台给出投放的一些策略，包括市场BD、CPS投放、各类团购以及各类广告战略性合作。任职资格：1、全日制本科以上学历；2、4年及以上快消品类电商运营经验；3、熟练运营各种电商工具；4、有团队经验；5、对电商业务敏感性强，思路清晰，商务谈判能力强。,汽车丨出行,150-500人,运营,宁波
新媒体运营,https://www.lagou.com/jobs/6966281.html,江北区,5k-10k,上海策展房地产经纪有限公司,不限,不限,宁波市江北区高薪诚聘（包住/房补）！,宁波市江北区高薪诚聘（包住/房补）！《销售代表》无责任底薪3500+绩效奖金=5k左右+高提成！【学历经验不限，应届实习生也可，带薪培训无责任底薪3000，提供住宿/500房补每月】《储备经理》无责任底薪5000—7000+高提成！（有经验者优先）我们有：合理的薪酬机制，完善的新人带教体系【一对一师傅带教，包教包会】清晰的职场晋升规则，稳固的团队合作。欢迎自荐和推荐，可分享给需要的朋友哦  DH：l5&675o||o|（VX同号）地址：宁波市江北区亿天中心 大厦【上海策展房地产经纪有限公司】,房产家居、电商,500-2000人,运营,宁波
宁波运营顾问,https://www.lagou.com/jobs/6865869.html,江北区,7k-12k,上海赛可出行科技服务有限公司,1-3年,本科,500强 公司平台 个人发展,1、根据数据变化分析发现司乘侧业务增长的问题和机会，制定针对性的城市运营策略，推进运营方向的改进；2、根据运营数据分析，从中发现问题和机会，不断优化运营策略和提升运营效率，提高ROI；3、搭建用户分层和成长体系，通过精细化运营和活动体系提升用户活跃度，并根据用户的活跃、留存、转化目标，提出解决方案；4、负责城市运营工具和其他产品需求的收集及优化跟进，探索效率提升的补贴等模型和方法，提升运营团队的工作效率；任职资格：1、2年以上工作经验，有互联网经验以及管理项目经验，有独立完成项目推动经验，有业务流程梳理经验；2、项目推动力强，、对用户价值和体验管控有清晰的认知及独特的见解；3、具有较强的逻辑思维能力，并能快速学习、灵活分析，解决新业务和新项目遇到的各项挑战；4、具有良好的团队合作意识以及创新精神，较强的推动能力；,"移动互联网,消费生活",150-500人,运营,宁波
微博达人运营,https://www.lagou.com/jobs/6682009.html,鄞州区,12k-18k,宁波萌牙家科技有限公司,不限,本科,"扁平管理,绩效奖金,五险一金,快乐工作","【请仔细阅读招聘信息，理解招聘内容，并确认工作意向后，再投简历，谢谢！】【工作地点在宁波，欢迎广大应届生投递！】宁波萌牙电子商务有限公司从2015年创办初始，始终坚持打造高质量团队。目前80%以上的员工均是重点高校毕业，有较强的学习能力，钻研精神。我们将继续秉持理念，不忘初心，致力于守护我们国人的口腔健康，励志成为让中国人骄傲的国际品牌。如果你是微博平台的重度用户如果你有许多喜欢的博主，想和他们近距离接触如果你有满脑子的idea，想要把他们落实成品牌，把你的想法告诉更多的人如果你热衷于传媒、热爱广告营销，立志成为一个PR这个岗位可能比较适合你岗位职责：1、负责公司产品在KOL渠道上的广告采购及产品推广；2、负责KOL渠道的业务往来联系以及账目核对；3、制定具体的运营活动策划方案并在审批后执行；4、完成公司下达的销售指标；5、管理维护KOL合作关系，制定并跟进双方的长期战略合作计划。任职要求（都是硬性要求！）：1、一本及以上学历，专业不限；2、具有较强的学习能力和自我管理能力，能够做到每个月3本书籍以上的阅读量；3、具有较强的吃苦奋进精神，对自己有较高要求，想要在工作上有所成就；工作目标与意义：通过广告宣传口腔健康知识，尽可能提高广告转化率职业发展方向：品牌公关、活动策划、广告营销、各新媒体平台的运营、媒介投放等晋升路线：推广助理-推广专员-资深推广/主管，基本薪资：助理5500，专员6500，资深8500岗位需求原因：拓展新的业务渠道，新建细分团队萌牙可以为你提供：1、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资（5500~8500）+餐补（300）+全勤（100）+高提成+奖金+五险一金+节假日红包+生日福利+员工旅游+部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！2、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！3、有趣、有挑战性的工作内容！初创型企业，期待你从0到1，从1到100的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！4、轻松愉悦的工作氛围！90后团队，扁平管理，可以让你轻松融入，给你温暖，教你技能，伴你成长！5、看不完的书！帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！6、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！7、冰箱、微波炉、吧台，还有各类花茶、咖啡和零食！希望给你紧张的工作带来一些帮助！8、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达33%！9、其他：双休、带薪年假、法定节假日福利、团建活动、业绩奖励、就业补贴等;申请渠道与联系方式：对于有意向的候选人，我司将在三个工作日之内与您联系，请保持电话畅通！面试流程：电话面试(约3-10分钟）+笔试（80分钟以上）+面试（初面+复面）面试须知：1、由于我司面试准备工作较为繁琐，为保证您的面试体验，暂时仅接受电话、短信、邮件邀约后的面试，请见谅！2、面试时须携带纸质简历一份、签字笔一支，请勿遗漏！","电商,医疗丨健康",50-150人,运营,宁波
新媒体运营-微博投放,https://www.lagou.com/jobs/6682569.html,鄞州区,12k-15k,宁波萌牙家科技有限公司,不限,本科,"扁平管理,绩效奖金,五险一金,快乐工作","【请仔细阅读招聘信息，将招聘信息全部看完再投递简历，谢谢！】萌牙家自2015年成立，始终坚持打造高质量团队，目前80%以上的员工均是重点高校毕业，有较强的学习能力，钻研精神。现有天猫、淘宝、京东、小红书4家店铺，线上为主，线下辅助的商业模式；后续将拓展洁面仪、冲牙器等多产品体系，现发展劲头已吸引多方风投关注及接洽。我们将继续秉持理念，不忘初心，励志成为让中国人骄傲的国际品牌。如果你有许多喜欢的博主，想和他们近距离接触如果你有满脑子的idea，想要把他们落实成品牌，把你的想法告诉更多的人如果你热衷于传媒、热爱广告营销，立志成为一个PR这个岗位可能比较适合你微博广告投放——寻找微博上的知名博主，想办法打动他们，说服他们做萌牙家系列产品的广告宣传，对广告投放结果负责。具体包括：1、投前工作：博主筛选、合作联络、采购谈判、广告排期、广告内容审核、合约签订、打款寄样2、投后服务：保持广告热度、活动所需资源提供、广告效果监测与反馈、合作关系维护、争取再次合作岗位要求（都是硬性要求！）：1、一本及以上学历，微博资深用户2、具有非常强的学习能力和自我提升意愿，能够做到每月4本书以上的阅读量3、对自己严格要求，强烈希望可以在工作上有所建树，敢拼敢做，并愿意为此调整个人工作与休息时间岗位需求原因：运营模式成熟，团队快速扩张工作目标与意义：改进运营方式，拉动营销业绩，提升品牌形象职业发展方向：品牌公关、活动策划、广告营销、各新媒体平台的运营、媒介投放、广告策略研究等晋升路线：推广助理-推广专员-资深推广/主管，基本薪资：助理5500，专员6500，资深8500萌牙的价值观：不断学习、艰苦奋斗、团队合作、乐于助人，以用户为中心！萌牙的用人标准：价值观是我们的**用人标准！我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！我们重视承诺，言出必行，对于弄虚作假、言而无实的情况零容忍！萌牙可以为你提供：1、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资（5500~8500）+餐补（300）+全勤（100）+提成+五险一金+节假日现金红包+生日福利+员工旅游+部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！2、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！3、有趣、有挑战性的工作内容！初创型企业，期待你从0到1，从1到100的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！4、轻松愉悦的工作氛围！90后团队，扁平管理，弹性工作，自由办公，可以让你轻松融入，给你温暖，教你技能，伴你成长！5、看不完的书！每月不限量购书，帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！6、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！7、冰箱、微波炉、吧台，全天开放的餐厅；花茶、咖啡、零食，豪华丰盛的下午茶，还有阳光房和运动器材！希望给你紧张的工作带来一些帮助！8、其他：双休、带薪年假、节假日福利（不限法定）、生日惊喜、团建活动、业绩奖励、就业补贴！9、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达33%！我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！","电商,医疗丨健康",50-150人,运营,宁波
运营助理,https://www.lagou.com/jobs/7011883.html,北仑区,3k-6k,宁波北仑杏仁品牌策划有限公司,应届毕业生,大专,缴纳五险 13薪,"职位描述：岗位职责：1、协助上级完成在各个电商渠道的运营工作2、有一定的美工能力者优先3、有一定的电商运营经验者优先4、对直播有一定经验或兴趣的优先任职资格：1、大专学历以上，专业不限；2、欢迎优秀应届生及大四优秀在校生应聘；3、能熟练运用OFFICE等办公软件；4、工作仔细认真、责任心强、为人正直，具备较强的书面和口头表达能力；有良好的职业道德,具有团队意识；福利待遇：1、上班时间：9:00—17:302、保险福利：缴纳养老保险、医疗保险、失业保险、工伤保险、生育保险3、职业发展：培养为专业、独立的电商运营工作者，有合适时间公司会提供专业的电商学习培训。",电商,少于15人,运营,宁波
