job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
车辆运营-昆明(J12585),https://www.lagou.com/jobs/6763249.html,五华区,6k-9k,上海钧正网络科技有限公司,1-3年,大专,五险一金,,"移动互联网,硬件",2000人以上,运营,昆明
用户运营-昆明(J12767),https://www.lagou.com/jobs/6987512.html,五华区,8k-15k,上海钧正网络科技有限公司,不限,大专,独角兽企业，平台好，发展空间大，薪酬优厚,,"移动互联网,硬件",2000人以上,运营,昆明
新媒体运营主管,https://www.lagou.com/jobs/7054644.html,西山区,4k-8k,北京思塔驰体育文化发展有限公司,1-3年,大专,发展平台广阔，体现自身价值！,工作内容：1、努力作好参谋助手，起到承上启下的作用，起到对外窗口的作用，认真做到全方位服务。2、负责企业宣传，制作海报、宣传册、公众号、短视频、视频剪辑等新媒体运营及宣传软件制作，相关的文案撰写；3、协助团队做好经营服务各项管理、实施、运营。4、负责各种文件及对外宣传资料的起草、管理、实施。5、协助调查研究、了解公司经营管理情况并提出处理意见或建议。6、负责策划公司大型活动（会议）组织，落地执行工作；7、完成领导临时交办的其他工作；职位要求：1、专科以上学历，中文、广告设计、新闻、文秘、行政管理专业优先，身体健康，有企宣工作经验者优先；2、具有丰富的媒体资源、公关经验、品牌策划推广经验、项目开发经验、广告设计的人才优先。3、 对新业态和跨界资源的敏锐度高，精通新媒体和自媒体等运营与推广模式；4、精通办公及设计软件、熟悉网络，文字功底好，沟通能力强；5、良好的社交能咯、协调能力，充分发挥主人翁意识。6、20-40岁，男女不限，品貌端正、积极主动、、诚实肯干、性格活泼开朗，有思想，主动思考，在工作中能够积极发挥预见性.具有较强的责任心和事业心；7、较强的执行力、抗压能力、创新能力、团队合作能力、人际关系处理能力、沟通协调能力、表达能力、学习力、资源整合能力。工作态度积极乐观讲求效率，细致认真；为人诚实可靠、品行端正、思维敏捷。8、懒人及品质差的人士勿扰。,体育,50-150人,运营,昆明
运营经理（云南）,https://www.lagou.com/jobs/7093196.html,西山区,8k-15k,北京字节跳动科技有限公司,1-3年,本科,"六险一金,团队氛围好,晋升空间大",,文娱丨内容,2000人以上,运营,昆明
项目运营经理,https://www.lagou.com/jobs/7205342.html,五华区,6k-8k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,岗位职责：1、组织编制并优化运营管理流程及相关制度模块，推进把控运营管理流程及相关制度的落实；2、建立各业务线项目数据监控，在项目周期的各个阶段，负责整体把控项目的工作进度，结合目前项目管理问题提出有建设性修正意见；3、定期分析运营数据，为产品和运营策略制定提供有效的数据支持，并根据数据提出有效的应对策略；4、全程参与项目合同评审，协助把控预算利润率，业务线拆分，评估可执行等相关工作。任职要求：1、本科及以上学历，有3年以上互联网项目运营工作经验者优先；2、拥有互联网项目全程运营案例者优先；3、了解大互联网或媒体行业运营模式；4、具有较好的逻辑思维能力及数据分析能力，能够精确洞察客户需求；5、具有创新意识与条理性；有原则性与大局观；有不断学习新业务的兴趣及解决新问题的方式方法；6、具有较强的沟通能力及资源整合能力，能与协作部门建立良好的工作关系；7、对数据有高度的敏感度和警觉性，较强的分析能力，有优秀的文字和口头表达能力。,文化娱乐 移动互联网,15-50人,运营,昆明
新媒体运营,https://www.lagou.com/jobs/7211744.html,官渡区,3k-6k,字节引擎科技（云南）有限公司,1-3年,大专,公平公正的平台 优秀员工可免费国内外旅游,一、岗位职责:1.负责公司微信公众号及网站的运营推广、日常沟通与维护；2.维护公司现有媒介资源，和版面的编辑，传达客户意图；3.按计划坚决贯彻执行，有效维护和拓展媒体资源，并及时反馈情况、问题；4.及时掌握新闻热点及行业信息，并将有价值的信息进行汇总；5.负责增加粉丝数，提高关注度和粉丝的活跃度，并及时与粉丝互动；6.充分了解用户需求，收集用户反馈，分析用户行为及需求；7.完成上级指定的其他工作。 二、任职要求:1.有新媒体、网站宣传等行业从业经验；2.有相关专业毕业优先；3.具备良好的文字驾驭能力，擅长撰写各类广告文案，才思敏捷；4.有一定的美工/平面设计基础；5.具有高度责任感，良好的职业道德和素养及沟通能力。,企业服务,15-50人,运营,昆明
新媒体运营,https://www.lagou.com/jobs/7214057.html,呈贡区,5k-6k,镇沅龙腾电子商务服务所,不限,不限,别人网购自己就有提成佣金,"岗位职责：努力发展推广网购app,并维护与管理好自己的团队",电商,少于15人,运营,昆明
新媒体运营,https://www.lagou.com/jobs/6993944.html,西山区,4k-7k,云南福瑞熙宝健康管理有限公司,1-3年,本科,福利待遇,职责描述：1、负责公司现有新媒体账号、区域平台D端、C端内容日常运营及推广工作，撰写医学相关科普内容，并对账号阅读量负责；2、负责为粉丝策划与提供优质、有高度传播性的内容；3、关注医疗及育儿发展趋势，广泛关注标杆性公众号，不断探索优化运营模式；4、及时掌握并利用相关行业热点新闻，对新媒体平台内容进行创新性创作。任职要求：1、2年以上新媒体行业经验，本科及以上学历；2、新闻/编导/传媒等相关专业优先考虑；3、具有独立撰写能力及采编能力；4、具有较强的语言表达能力和文字功底，善于将复杂的医学知识表达的有趣易懂，对医疗行业有一定认识；5、有PR背景、临床医学经验、优秀的美编能力优先。,医疗健康 移动互联网,少于15人,运营,昆明
自媒体运营文案策划,https://www.lagou.com/jobs/7211945.html,五华区,3k-5k,云南芮米科技有限公司,1-3年,大专,五险一金、弹性工作、周末双休,"岗位职责:文案写作：1、精通WROD、EXCLE、PPT和常用办公软件的操作2、负责公司文案编写，项目材料撰写3、合同制作、审核，项目招投标制作等。4、协助商务活动安排，负责政府对接相关项目，做好客户接洽工作。6、处理商务日常工作自媒体运营：1、负责公司微信公众号及网站的运营推广、日常沟通与维护;2、维护公司现有媒介资源、版面的编辑，传达客户意图;3、按计划坚决贯彻执行，有效维护和拓展媒体资源，并及时反馈情况、问题;4、及时掌握新闻热点及行业信息，并将有价值的信息进行汇总;5、负责增加粉丝数，提高关注度和粉丝的活跃度，并及时与粉丝互动;6、充分了解用户需求，收集用户反馈，分析用户行为及需求;7、完成上级指定的其他工作。二、任职要求:1、大专以上学历，市场营销和有较强的文字功底优先2、有过与政府对接沟通协调经验的优先考虑3、拥有良好的亲和力及沟通协调能力;具有优秀的综合分析能力及观察发现意识4、具有高度的工作热情，良好的团队合作精神，可接受加班5、有新媒体、网站宣传等行业从业经验;6、有相关专业毕业优先;7、具备良好的文字驾驭能力，擅长撰写各类广告文案,才思敏捷;8、有一定的美工/平面设计基础优先。","移动互联网,数据服务",15-50人,运营,昆明
运营助理行政助理,https://www.lagou.com/jobs/5401316.html,五华区,4k-6k,成都优步信息技术有限公司,3-5年,大专,互联网 新模式 发展空间大 晋升快,"职位描述： 1.通过电话沟通直面约谈，对餐饮商户进行考察评估、与商家洽谈合作，协助商家上线。 2完成与商家合作，从上线到整个发布过程中的沟通协调、信息录入等工作 来yoyo生活你需要具备 1.大专以上学历，应届生亦可（具有较强的拼搏精神和抗压能力）； 2.具备较强的人际沟通能力，优秀的谈判能力和沟通协调能力； 这决不是一份轻松的工作。3.有一定的学习能力，对互联网、短有热情，我们才能一起走的更远更久。 来yoyo生活你将拥有 1. 业内有竞争力的薪资与高提成机制3个月后月收入不低于6000 1年后月收入不低10000：。 2.行业发展迅速，晋升机会多，靠你自己来抓住机会。 3.福利有保障，五险一金，法定假日","移动互联网,消费生活",500-2000人,运营,昆明
