job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
运营专员,https://www.lagou.com/jobs/7208752.html,金水区,4k-8k,郑州众星客文化传媒有限公司,1-3年,不限,高薪包住加高提成,一、薪资待遇：1、底薪1800元+包住+提成。2、提成：（1）拿主播给公司创造利润的百分之二十；（2）拿招聘来的运营名下主播给公司创造利润的百分之五；3、每月工作26天，月休4天，自由调休。4、工作时间：上午9:00-12:00    下午13:30-18:30二、工作内容：1、建立、维护人事档案，办理和更新劳动合同；2、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续；3、协同开展新员工入职培训，业务培训，执行培训计划，联系组织外部培训以及培训效果的跟踪、反馈；4、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动。三、任职资格：1、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；2、熟练使用相关办公软件，具备基本的网络知识。3、年满18周岁，无不良嗜好。一、薪资待遇：1、底薪1800元+包住+提成。2、提成：（1）拿主播给公司创造利润的百分之二十；（2）拿招聘来的运营名下主播给公司创造利润的百分之五；3、每月工作26天，月休4天，自由调休。4、工作时间：上午9:00-12:00    下午13:30-18:30二、工作内容：1、建立、维护人事档案，办理和更新劳动合同；2、执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续；3、协同开展新员工入职培训，业务培训，执行培训计划，联系组织外部培训以及培训效果的跟踪、反馈；4、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动。三、任职资格：1、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；2、熟练使用相关办公软件，具备基本的网络知识。3、年满18周岁，无不良嗜好。,文娱丨内容,15-50人,运营,郑州
运营专员,https://www.lagou.com/jobs/6689969.html,郑东新区,4k-6k,郑州时空隧道信息技术有限公司,1-3年,不限,大平台 五险一金 带薪年假 节日福利,岗位职责：1.负责城市岗位业务内容的收集，整理，提炼，输出，并形成知识体系；2.对城市的数据进行分析，整理，根据商家，跑男在平台上的运营行为，总结数据规律，并制定城市运营方案；3.对接城市需求和平台需求，优化城市的扩展模式与流程，从而带动业绩成长；任职要求：1.本科及以上学历，有互联网行业经验优先；2.有线上/线下运营经验者优先；3.具备较强的沟通协调能力；4.能适应出差；,"移动互联网,消费生活",150-500人,运营,郑州
产品运营,https://www.lagou.com/jobs/6886449.html,郑东新区,5k-10k,郑州时空隧道信息技术有限公司,1-3年,本科,五险一金、带薪年假、节日福利、,岗位职责：1、负责产品落地情况的统筹监控、预警与反馈，通过数据把握产品工具使用方向&进度；2、能够通过用户调研、数据挖掘等手段，深度洞察用户需求，绘制产品用户画像，优化漏斗，负责用户触达、转化、留存的全生命周期提升；3、能够基于数据驱动制定产品运营指标，结合数据分析效果，推进产品改进和运营策略优化，提升运营效能、推动增长； 4、能够整合内外部资源，独立策划产品运营活动，制定清晰的阶段目标，推动实施和开展，达成结果并给予产品正向反馈。任职要求：1、 本科及以上学历， 3年以上互联网产品运营经验；2、 具备较强的数据分析能力及逻辑能力，善于挖掘问题并制定相应运营策略 3、 对数据敏感，具有较强的数据统计、市场分析和洞察能力，对用户的需求和心理把握准确，能快速发掘业务和数据的联系；4、 自驱、结果导向，喜欢挑战性的工作，工作激情饱满，能承受工作压力。,"移动互联网,消费生活",150-500人,运营,郑州
用户运营,https://www.lagou.com/jobs/6988099.html,金水区,5k-8k,成都心田花开科技有限公司,1-3年,本科,发展前景，福利保障，和谐的工作氛围,岗位职责：1.负责社群的运营管理；2. 内容推送，挖掘用户需求，制定运营机制和运营手段；3. 负责用户引导、互动、活动等各类活动执行，提高用户的活跃度及粘性； 4. 负责策划并执行微信营销号日常活动及跟踪维护，根据课程活动推送各种微信内容；5. 热情耐心地解答用户的疑问及咨询，持续跟踪用户的需求变化，和用户建立良好的伙伴关系，有针对性的向其介绍课程优势，准确推荐符合的课程。任职要求：1.学历本科及以上； 2.对教育行业感兴趣，敢于挑战自己，创造更高的业绩；3.有服务意识，善于与人沟通，具备较好的协调、沟通和管理能力；4.思维活跃，积极乐观，工作细心，责任心强；5.有微信运营经验，熟悉微信公众平台及其运营方式优先,教育,500-2000人,运营,郑州
运营专员,https://www.lagou.com/jobs/6961748.html,高新区,5k-10k,河南国超电子商务有限公司,不限,大专,挑战，好玩，成就感,岗位要求;1.有良好得英语基础。2.热爱互联网行业，关注直播/短视频行业动态。3.喜欢直播/短视频相关工作者。岗位职责：1.和部门主管一起统筹直播资源，日常播主网红的维护与引进，推动频道提升开播量2.直播内容审核3、协助直播平台内容建设，引导直播平台氛围、流量和影响力；任职要求：1、大专及以上学历，英语较好。,"文娱丨内容,社交",50-150人,运营,郑州
运营专员,https://www.lagou.com/jobs/6261604.html,金水区,4k-8k,广州酷旅旅行社有限公司,不限,大专,五险一金 互联网行业 发展前景好,岗位职责：1、与休闲娱乐产品商家对接合作，将产品进行包装、推文撰写，上线与运营维护；2、负责线上社群活动基础运营工作，能够完成社群内容规划以及基础执行，负责社群氛围/内容营造；3、搜集、分析用户行为数据和用户反馈，为活动运营、内容运营等提供建议，协同配合提升新增、活跃、留存、交易量等各种指标；4、熟练操作产品上线，以及处理客户问题；5、通过线上平台和渠道开发推广员，培训推广员推广产品。任职要求：1.男女不限，大专以上学历，年龄20--29周岁；（可接受应届优秀毕业生）2.有1年及以上微信销售推广/渠道开发经验优先，接受无经验者3.具备较强的客户沟通能力、管理能力及优秀的谈判技巧；4.服务意识和工作责任心强，能吃苦耐劳；5.熟悉微商市场或者有自媒体运营经验的优先。,"电商,消费生活",500-2000人,运营,郑州
运营,https://www.lagou.com/jobs/6387891.html,金水区,4k-7k,广州酷旅旅行社有限公司,1-3年,本科,五险一金，双休，晋升机会多,1、负责云客赞及地方微信公众号日常推送、内容的编辑、发布、维护、管理、互动；2、负责抖音账号的日常运营，包括视频选题策划、脚本撰写、简单的拍摄、后期等制作；3、善于捕捉当下热点事件、结合商品特性，进行创意策划和内容运营，并推动落地执行；4、利用数据分析工具，定期形成数据分析报告，提出新媒体运策略调整建议。任职资格：1、本科及以上学历，汉语言文学、新闻学、广告媒体、市场营销等相关专业毕业；2、 抖音深度用户、熟悉短视频、用户喜好、内容玩法，有微信公众号运营经验者优先考虑；3、脑洞大、思维活跃，善于挖掘用户心理，敢创新，具备较强的文字功底，对本地生活服务行业有一定的认知；4、具有强烈的责任心与发散型创意思维，善于独立思考，善于沟通，并具备良好的团队合作意识；公司福利：五险一金，项目奖金，下午茶；带薪年休假+法定节假日+婚假+产假；上班时间：实行5天7.5小时工作制，双休；员工活动：月月团建high+不定期旅游+节假日庆祝特色福利：天天下午茶+员工内部专享旅游优惠氛围轻松：扁平化管理，关系简单，团结协作,"电商,消费生活",500-2000人,运营,郑州
淘宝运营,https://www.lagou.com/jobs/7107428.html,金水区,5k-8k,郑州丰兴电子科技有限公司,1-3年,不限,年终奖、社保、股权激励、定期体检,岗位职责： 1、负责店铺的日常运营，熟悉淘宝的运营环境、交易规则、分析店铺销售目标并落实执行； 2、负责淘宝店铺推广工作，能够熟练运用直通车，钻展等营销工具。能有效提高店铺的浏览量、点击率和转化率等； 3、控制运营成本，扩张免费流量渠道和提升免费流量，安排店铺各类促销活动； 4、协调美工，文案人员对于页面的调整和改版； 5、制定推广方案并负责实施，对推广效果进行评估，对店铺及产品访问量、转化率数据进行分析； 6. 做好竞争对手的数据分析。 任职要求： 1、淘宝店铺运营工作2年以上，有定制类目运营经验者优先 2、精通淘宝、天猫的操作，熟悉淘宝的各类营销推广手段，熟悉淘宝网站运作情况，淘宝店铺制定的交易规则、淘宝店铺的推广、淘宝店铺网站广告资源；熟悉淘宝网站运作情况。 3、能在压力下工作，有良好的数据分析能力、执行 力4、能够与公司团队共同快速发展快速成长。 5、需要在公司坐班，外包代理勿扰。,消费生活,15-50人,运营,郑州
产品运营,https://www.lagou.com/jobs/6927729.html,高新区,13k-23k,中移在线服务有限公司,5-10年,本科,大平台 高起点 大牛同事,1、负责公司互联网渠道的服务、产品与热线渠道的融合协同发展；2、负责中台业务的融合运营、业务流程优化和商机价值挖掘；3、负责分省融合运营需求搜集和调研（包括B端和C端用户），将用户诉求进行归纳整理并输出业务需求文档；4、负责对各项功能的应用效果开展监控和评估，输出迭代方案；5、负责与各技术团队对接，推进各项需求的快速落地应用；要求：教育：全日制大学本科及以上。技能：1、具备良好的需求调研能力，熟悉各种调研方法、善于对调研结果进行归纳；2、具备策略分析能力，有良好的数据敏感度、数据分析能力和业务视角；3、具备良好的沟通和协调能力，能适应跨团队沟、跨部门工作模式，拥有团队合作精神；4、具有较强的应变能力和责任意识，能够独立处理紧急问题、适应高强度工作压力。经验：具备3年以上大型互联网公司、软件或IT领域产品运营经验者优先；具备热线服务、自助服务相关领域从业经验者优先。,移动互联网,2000人以上,运营,郑州
高级运营专员,https://www.lagou.com/jobs/7217413.html,金水区,7k-10k,成都心田花开科技有限公司,1-3年,本科,发展前景，福利保障，和谐的工作氛围,技能要求：策划，推广，运营职责描述:1、 根据市场需求和公司整体业务发展策略节奏，制定对应的运营计划;2、 通过执行各项市场运作方法，确保招生目标及运营战略在郑州校区的达成和落地;3、 根据公司下达的任务，完成区域月度、季度的招生计划;4、 根据区域的市场规律，制定符合本区域的产品策略与运营节奏;5、 配合教学线，持续稳定地提升营业额，控制成本，为公司创造业务成绩，确保分校整体任务目标的达成;6、营销战略和策略，进行市场推广活动、营造市场环境、提升公司与产品品牌，支撑公司产品销售。任职要求：1.本科及其以上的学历，有一年以上运营工作经验者优先；教育、互联网运营工作经验者优先；2.有成熟的策划经验和执行经验，并能够分析活动中的得失利弊；3.熟练操作办公软件；逻辑能力强，有敏锐的市场洞察力和良好的沟通能力；4.有良好的团队意识，结果意识强，执行能力强，抗压能力强。,教育,500-2000人,运营,郑州
