job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品运营,https://www.lagou.com/jobs/7034907.html,市南区,8k-12k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,团队氛围好,薪资优厚",,文娱丨内容,2000人以上,运营,青岛
电商运营,https://www.lagou.com/jobs/7197461.html,市南区,10k-15k,山东春晓图书有限公司,1-3年,本科,平台好,"岗位职责：1.负责公司图书（垂直）电商业务的渠道战略布局、运营策略和规划、业务发展规划和指标，并推动、指导、监督、管控部门各项任务指标的完成进度，责成相关人员修正工作目标、管理措施和政策方案。2.负责月度、季度、年度销售规划和指标，推动、指导、监督、管控任务指标完成，并对相关运营数据进行监控、分析。3.制定电商营销策略，建立产品的网络营销管理体系和推广模式，编制年度、季度网络营销方案和预算，落实并监控各项计划和方案的实施。4.负责电商运营的技术研究，结合产品及市场现状，为平台增量业务的电商运营设计可执行方案和产品优化方案。5.负责线上商品营销及物流管理，包括各平台店铺商品上下架及商品日常权重优化（包括上线、上下架、库存调配工作）。6.协同团队挖掘产品亮点与卖点，提出图片创意，了解行业数据，积极做出推广策略调整。7.负责对店铺中单品的流量数据、交易数据、推广数量、产品及客户管理等全方面多维度进行销售分析，不断的调整策略，保证爆款的推广营销指标的达成。8.负责规划网络广告的投放，并做好爆款推广营销费用的预算和数据统计分析。9.负责挖掘客户需求，对客户体验进行优化，包括自有店面装修、布局、编辑、单品爆款推广营销提出优化方案和改进建议。10.监测同行业运营情况及市场最新动态，并进行分析，需要时可及时调整营销策略。11.根据业绩、市场反馈数据等有效信息，对运营情况进行监督、控制和评估，及时调整市场策略，保证经营和利润目标的达成。任职要求:1.电子商务、市场营销、产品运营、新闻传播等相关专业统招本科及以上学历。2.2年以上电商运营工作经验，熟悉京东、拼多多等平台运作。3.能根据电子商务运营特点和受众分析，进行业务拓展及营销，熟练运用各种推广策略，有效的开辟电子商务市场终端。4.熟悉电子商务运营管理结构和流程，对数据敏感，具备较强的数据分析能力及高效的执行力，具有后台数据统计分析经验, 有较强的分析判断能力，能根据推广效果反馈调整策略。5.具有较强的沟通、协调、团队领导能力，具备良好的判断力、前瞻性和应变能力以及较强的计划性和实施执行的能力。6.具有良好的职业素养和道德操守，善于沟通，工作认真、严谨、细致、耐心，具有解决复杂问题的能力。7.具备良好的团队合作精神，能服从公司工作安排，工作积极高效，乐于沟通，有一定的承压能力。 薪资待遇:基本工资（年薪17-24万）+绩效工资，具体可议。",文化娱乐,50-150人,运营,青岛
内容/活动运营,https://www.lagou.com/jobs/7137729.html,李沧区,6k-10k,海尔集团,1-3年,本科,六险两金 发展前景好,岗位职责：1. 负责农业平台内容运营方向、规划、机制，根据平台发展计划产出内容运营的具体策略并推动落实2. 负责搭建与合作媒体、自媒体等各内容提供方的合作模式，基于对用户需求的良好把握建立平台内容生产、内容管理，内容推优的运营体系，提升平台品牌价值3. 精准把握热点，搭建热点话题策划、传播、互动引导等完整业务链路，形成话题营销的机制4. 跨部门资源整合，协同产品、数据、市场等职能团队，不断以用户视角推进平台内容产品的优化，形成长效的良性运营机制任职要求：1. 2年以上物联网平台运营经验2. 优秀的文案能力和活动策划能力，对市场变化高度敏感，懂得用户心理诉求把握，能快速捕捉到热点，组织话题并传播，引爆互动3. 对互联网抱有极大热情，知识面广，思维活跃，具有强烈使命感4. 责任感强，具备优秀的沟通能力、应变能力和团队合作精神。,"物联网,电商",2000人以上,运营,青岛
品质运营,https://www.lagou.com/jobs/7218590.html,市南区,8k-12k,北京字节跳动科技有限公司,1-3年,本科,"健身瑜伽,六险一金,团队氛围好,餐补",,文娱丨内容,2000人以上,运营,青岛
内容运营专员,https://www.lagou.com/jobs/7161429.html,,9k-13k,海尔集团,3-5年,本科,大平台、工业互联网、牛人团队,1、负责文案策划及核心传播点的发掘与撰写2、负责传播策略策划（包含渠道布局）3、结合开放创新及平台研发，发掘基于COSMOPlat平台的传播点，并支持平台的目标用户增长,"物联网,电商",2000人以上,运营,青岛
运营经理,https://www.lagou.com/jobs/6938367.html,即墨市,8k-10k,广州天地互联有限公司,3-5年,本科,福利待遇好，发展前景大，团队氛围棒。,岗位职责： 1、负责公司空中互联网平台项目的2C用户运营；2、负责运营活动策划，活动规则与流程设计，活动组织和安排，活动效果评估； 3、定期结合公司产品与项目的定位、用户需求、热点事件等，撰写文案并发布跟踪评估效果； 4、定期进行针对用户体验和运营效果的提升进行分析，并提供建议促进平台产 品优化迭代。 任职要求： 1、具有互联网行业2C用户运营2 年以上工作经验； 2、热爱互联网行业，数据导向思维，创新能力强； 3、具备较强的文案功底，活动策划和执行能力； 4、较强的责任心和事业心，能承受较大工作压力，能适应出差。,广告营销,50-150人,运营,青岛
用户运营专家,https://www.lagou.com/jobs/6936474.html,市北区,15k-25k,拉扎斯网络科技（上海）有限公司,5-10年,本科,前景广阔 一年两次晋升,岗位职责：1、根据公司战略制定大区的用户运营策略；2、进行大区问题诊断，确定大区重点提升指标；3、跟进大区活动执行节奏和效果，保证资源和流量的转化率；4、负责总部运营方案的大区落地；5、监控分析大区流量、渠道质量及转化情况，为区域目标设置提供数据支持输出流量运营专项报表，制定方向及推进策略案的落地。 任职资格：1.本科及以上学历；2.5年以上用户运营、流量运营工作经验，有商户管理或线上质量管理经验；3.数据敏感度强，抽象、归纳能力强，有独立的数据分析和运营方案设计能力；4.具备良好的沟通协调能力和项目管理能力，能推动业务落地；5.执行力和责任心强，具有良好的团队协作和创新精神。,消费生活,2000人以上,运营,青岛
商户运营专家,https://www.lagou.com/jobs/6936464.html,市北区,15k-25k,拉扎斯网络科技（上海）有限公司,5-10年,本科,前景广阔 一年两次晋升,【工作职责】1、城市供给策略执行。根据总部对于城市分层、商户分层所设定的运营目标、 策略打法形成地方化的执行策略。2、商户资源管理。根据各大区商户资源使用政策，合理规划资源使用，实现资 源使用率最大化。3、商户业绩诊断。通过对机会商户在经营过程中的问题进行诊断，提出经营建议，辅助商家业绩提升。(例如破独商户的养活)4、商户成长赋能。商户培训、会议营销、商家开放日的组织及问题收集反馈。【任职要求】1.本科及以上学历，5年以上商户运营、管理经验；2.能够将业务目标转换为区域的落地动作，并对运营场景提出设计与规划能力；3.数据敏感度强，抽象、归纳能力强，有独立的数据分析和运营方案设计能力；4.优秀的项目管理能力，善于跨团队沟通合作，能推动业务落地；5.工作责任心强，有较好的创新精神、团队合作精神、沟通能力及执行能力,消费生活,2000人以上,运营,青岛
城市运营经理,https://www.lagou.com/jobs/7104034.html,市南区,10k-16k,同程网络科技股份有限公司,3-5年,本科,全新0-1，发展好,移动办公，base在家。1.负责该城市的机票航段量的提升，完成业绩考核目标。2.负责该城市的所有合作渠道的资源整合及业务拓展：包括但不限于机场、城市交通、CBD、相关异业等。3.制定各渠道的业务合作变现方式，包括但不限于线下流量的引流、线上的活动裂变、抽奖等产品的开发。4.已上线合作的数据跟踪和控制，协调和沟通，推动产品、设计、活动等人员紧密合作;5.研究该城市的本地化市场和用户需求，不断优化产品，提升用户体验;6.分析好该城市的会员拉新、复购、流失等数据、做好会员的营销,旅游,2000人以上,运营,青岛
运营总监（高考志愿填报业务）,https://www.lagou.com/jobs/7168786.html,即墨市,10k-20k,深圳道道网络科技有限公司,5-10年,本科,牛人团队 弹性工作 阳光环境,职责描述： 1、负责公司志愿填报及升学规划项目的业务体系搭建，团队组建；2、负责公司志愿填报及升学规划方向相关政策和本科学校专业分析，制定市场推广营销方案；3、负责更新、开发培训课程及培训资料及开展现场、线上讲座；4、为学生职业发展进行路径规划与研究；5、对新高考多元渠道进行研究，积极开发合作方，进行产品拓展。  任职要求：1、本科以上学历，五年以上高考志愿填报及高中升学规划相关工作经验；2、深度了解志愿填报，自主招生，新高考等各项高考政策。3、对教育行业尤其是中学教育有深刻独到的见解；有很强的经营、管理、领导能力；极强的学习意识和快速学习的能力；富有人格魅力。,数据服务,50-150人,运营,青岛
