job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ui设计师,https://www.lagou.com/jobs/7199238.html,东莞市市辖区,8k-12k,深圳市城市屋超科技有限公司,3-5年,大专,高稳定、高成长、高收益。,岗位职责：1、项目前期需独立负责完成公司房产类产品，后面会涉及到社交类和电商类产品的UI设计工作； 2、主要工作内容包括产品相关的WEB UI和APP UI及相关图形视觉化设计工作，根据产品的设计思路设计对应配套的UI；3、对产品视觉及交互流程进行优化，挖掘设计价值，提升用户体验，寻找创新和突破；4、协同开发团队实现UI设计效果及交互效果；5、参与团队的专业化建设，与团队共同提升。 任职要求：1、大专及以上学历，三年以上设计工作经验，有互联网或外包工作背景优先；2、色彩感觉较好，有一定的审美及设计品味，热衷研究视觉效果对用户的影响，能很好把握色彩与布局的关系；3、能独立完成APP、H5、Web视觉设计工作，具备良好的UI设计趋势敏感度和领悟分析能力；4、精通Photoshop、AI、AE、XD等专业设计软件，对品质和效果追求完美，有手绘经验者佳；5、责任心强，具有良好的沟通能力、理解力，有团队合作意识，乐于分享，具有敬业精神。,"消费生活,企业服务",150-500人,UI,东莞
ui设计师,https://www.lagou.com/jobs/7054606.html,东莞市市辖区,8k-15k,东莞市芝麻地网络科技有限公司,3-5年,本科,"周末双休,五险一金,带薪年假,技术氛围",工作职责：1、负责公司产品从某个功能需求的整理到UI的设计，到需求的跟进完成。2、与研发人员合作，推进产品开发进度。岗位要求：1、3年以上UI设计经验，熟练PS\AI\CDR等常用设计工具，有扎实的美工功底。2、对于用户体验有较深刻地认识，能够准确表达自己的设计理念与理想3、有较强的逻辑思维以及理解归纳能力，能快速的熟悉复杂的业务流程。4、善于沟通，有较强的抗压能力。公司的福利待遇：1、公司会根据员工的资历与能力提供具有市场竞争力的薪资待遇及不定期调薪；2、周末双休，享有国家规定的法定节假日等假期，入职满一年享有带薪年假；3、入职购买五险一金，签订劳动合同；4、各类丰富的节日福利以及丰富的零食供应、下午茶等活动；5、作为高新技术企业，员工在入户、子女入学、政府人才保障房租赁等方面，享有优先权。,移动互联网,50-150人,UI,东莞
ui设计师,https://www.lagou.com/jobs/7199015.html,东莞市市辖区,6k-8k,东莞美信企业管理咨询有限公司,不限,大专,六险一金、包吃住、年底分红、带薪年假,【岗位职责】1、 根据功能需求，完成界面风格、图标Logo按钮等元素的视觉设计，完成UI布局、色彩搭配、交互流程；2、 有产品设计思维，能提出界面交互行为和功能的改进方案，持续优化产品的用户体验；3、 站在用户角度去思考，能够很好的理解用户关心的产品细节；4、 负责上级交办的其他设计工作。【技能要求】1、 熟练使用Photoshop、Illustrator、Sketch、AE、CorelDraw等平面设计软件；2、 了解前端CSS、HTML的工作，懂得设计与前端实现之间的关系，能独立完成产品UI设计；3、 熟悉Android端、IOS端、小程序及Web端的设计规范及流行趋势。4、 有良好审美能力，有创意，色彩感强，重视细节，对前沿设计探索感兴趣，自我驱动力强；,汽车丨出行,2000人以上,UI,东莞
UI设计,https://www.lagou.com/jobs/7034786.html,东莞市市辖区,11k-22k,易宝软件科技（南京）有限公司,不限,本科,周末双休 五险一金 节假日福利,1有2年以上移动互联网产品UI/UX设计经验，至少独立负责过2个以上产品用户界面设计； 2、熟练使用Dreamweaver、photoshop、lllustrator、flash等相关设计软件，且有多款已上线APP产品； 3、勒戒国际化的设计风格，时刻关注前沿的产品设计趋势，良好审美能力，有创意、色彩感强，可以独立完成设计和操作； 4、对于用户体验有较深刻地认识，能够准确表达自己的设计理念与理想； 5、有能力分析和设计复杂的网站和APP包括信息架构、交互流程、视觉和交互规范等高层面设计；6、善于沟通，有良好的团队合作精神和独立分析解决问题的能力，善于总结和设计经验，并乐于分享。,移动互联网,150-500人,UI,东莞
ui设计师,https://www.lagou.com/jobs/7173107.html,东莞市市辖区,8k-12k,东莞市三基音响科技有限公司,3-5年,本科,垂直知识付费平台前景广阔,岗位职责1.负责对公司知识付费平台系统进行UI设计2.负责确定任务流、交互设计、以及人-机任务分配3.需具备基本的UI设计技巧，掌握前端开发的知识，包括HTML、CSS和JavaScript，以及Photoshop、图形设计以及代码编写的能力4.做好资料收集、整理、汇总，提供优质素材5.网站活动专题版面策划、设计和制作岗位要求1.本科以上平面设计、视觉传达等相关专业2.两年以上需求UI工程师经验3.熟练使用Photoshop、AI、等平面设计软件；熟练使用日常设计工具，Sketch、PS、Flash、AE等4.具有优秀的平面排版能力和美感，有创意、有想法、有洞察设计流行趋势的敏锐度，重视细节，对前沿设计探索感兴趣，自我驱动力强，能用设计效果准确表达想法,"企业服务,硬件",500-2000人,UI,东莞
ui设计师,https://www.lagou.com/jobs/7141328.html,东莞市市辖区,5k-8k,东莞吾觅信息科技有限公司,3-5年,本科,UI,岗位职责：1、负责网站、APP、H5等产品UI界面设计，提供全局的设计方案，包括：界面布局、界面图标、交互设计、配色等；2、关注同行产品等，关注用户需求，不断优化升级产品设计，提高用户体验；3、对设计文件进行合理的尺寸规范，对细节抱有严谨态度；4、配合产品经理、开发团队等进行界面布局和效果的整体实现。任职资格：1、设计、美术相关专业，扎实的美术功底和视觉设计表现力；2、一年以上网站、APP、H5视觉设计工作经验，热衷于研究体验各种网站、APP、H5，对设计能够提出自己的见解，能很好的把握色彩与页面布局，熟悉用户体验，基础扎实优秀应届生亦可；3、能独立完成网站全站、APP、H5视觉设计工作，对UI设计趋势有灵敏触觉和领悟能力；4、精通Photoshop、AI、AE、Sketch等专业设计软件；,软件开发,少于15人,UI,东莞
ui设计师,https://www.lagou.com/jobs/7141256.html,东莞市市辖区,9k-15k,深圳市东宝信息技术有限公司东莞分公司,3-5年,本科,股权激励,【岗位职责】：负责PC端、后台管理系统软件产品的设计和创意工作；1. 需求分析：参与与产品经理及产品专员的需求分析，参与产品交互原型的评审;2. 设计执行：基于需求原型及用户交互体验进行交互界面、图标，logo按钮等相关元素的视觉创意设计，优化完善设计流程，高质量完成产品设计3. 界面评审：根据产品需求原型同开发人员进行界面评审，以确定方案研发可行性，及功能需求、交互体验的补充完善;4. 产品研发：同研发人员积极沟通，提供标准化的界面规范，保证界面交互的效果实现，并提供切图等相关的技术支持；5. 产品测试：对接测试人员，保证产品界面及功能实现的在符合产品需求，配合开发减少和解决bug；6. 产品上线：对上线产品进行界面的维护和优化，不断提高界面交互的可用性，使用户界面更人性化。   【任职要求】：1. 本科以上学历，3年以上软件UI设计相关工作经验，美术设计类相关专业； 2. 精通Photoshop、Dreamweaver等设计软件；3. 有CSS样式、HTML经验，能独立完成产品UI设计；4. 有良好审美能力，有创意，色彩感强，对以用户为中心的设计理念有一定的理解；5. 善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量;6 .PC端后台或SAAS系统设计经验优先；,"移动互联网,信息安全",150-500人,UI,东莞
UI设计师讲师,https://www.lagou.com/jobs/7077458.html,东莞市市辖区,7k-12k,上海天琥教育培训有限公司广州分公司,3-5年,大专,设计师讲师-教学经理-校长（股份分红）,岗位职责：1、岗前培训后，依据课程研发团队授课大纲讲授专业设计课程；2、负责课程的辅导和答疑，分析学员学习情况并提供学习服务；3、做好班组长管理及学风建设；4、参与课程的教研工作，反馈、评估、改进教学效果；5、协助市场部进行技术及课程的宣传推广。6、负责教授UI设计等设计课程；任职要求1、专科以上学历，美术、设计或相关专业优先；2、熟练使用photoshop，掌握illustrator等矢量图形软件！对流行设计趋势有领悟能力。3、有web、APP设计相关经验，有移动端产品设计经验优先；4、对教育有强烈的责任心与兴趣薪酬福利：1、高薪+高课时费+全勤奖+广阔的发展平台+出国游；2、五险一金；3、教学老师-教学经理-校长（股份分红）3、节日福利、下午茶等日常福利；4、部门活动经费、生日福利等公司专项福利；5、婚假、产假、带薪年假等各类法定有薪假期；6、优美温馨的办公环境、轻松和眭的氛围。,教育 移动互联网,500-2000人,UI,东莞
ui设计师,https://www.lagou.com/jobs/6761628.html,东莞市市辖区,8k-12k,深圳市云客众创网络科技有限公司,3-5年,不限,福利好，空间大。项目前景光明,1. 根据项目的需求定义，设计出具有创新思维的UI方案；2. 根据UI设计文档输出切片及标注文档给开发；3. 全程跟进产品开发，确保开发最终实现效果和高保真效果图一致；4. 参与产品可用性测试和评估，提出界面交互行为和功能的改进方案，持续优化产品的用户体验；5. 配合部门成员制订UI设计规范及流程。任职资格：1. 本科以上学历，3年以上UI设计工作经验，有自己的设计风格并有成熟的设计作品；2. 审美能力突出，有扎实的美术功底和设计能力，在排版、造型、配色、交互等方面都有丰富的经验，熟悉移动互联网用户的使用习惯；3. 精通Sketch、Photoshop、Illustrator、AE、C4D等常用设计工具；4. 熟悉Android端、IOS端、小程序及Web端的设计规范及流行趋势；5. 工作主动性强，具有良好的语言表达和沟通理解能力，善于团队协作，有责任心；6. 拥有动效设计能力者优先。,"移动互联网,电商",50-150人,UI,东莞
UI设计师,https://www.lagou.com/jobs/481674.html,东莞市市辖区,10k-15k,东莞市乐游网络科技有限公司,1-3年,大专,提供食宿、年底双薪、项目奖、过节费,职位描述：1）  根据功能需求，设计对应界面的UI布局、色彩搭配、交互流程、特效定义等；2）  设计整个游戏各功能之间的衔接、切换、流转等流程及步骤； 岗位要求：1）  精通PhotoShop、Axure等相关设计软件，能够独立设计游戏界面的交互流程及线框图；2）  善于把握图形和文字布局及主次关系颜色搭配，对游戏UI用户体验有充分了解；3）  有良好的美术基础，熟悉游戏美术制作流程；4）  善于研究同类游戏优秀的交互设计，并加以学习和应用；5）  表达沟通能力、抗压能力、责任心强，工作认真负责，有团队合作精神；,"移动互联网,游戏",50-150人,UI,东莞
UI设计师,https://www.lagou.com/jobs/7079035.html,东莞市市辖区,5k-8k,东莞兰格网络科技有限公司,3-5年,本科,初创公司，发展前景良好,1、负责公司项目界面设计工作。2、配合公司现有系统UI界面升级优化。3、协助项目负责人安排的其他工作。要求需要有商城设计相关经验，并提供作品展示，熟悉移动端UI设计规范且必须有相关项目经验,"移动互联网,电商",15-50人,UI,东莞
UI设计师,https://www.lagou.com/jobs/6289101.html,东莞市市辖区,10k-15k,深圳市东宝信息技术有限公司东莞分公司,5-10年,本科,高薪职位,【岗位职责】：负责PC端、后台管理系统软件产品的设计和创意工作；1.需求分析：参与与产品经理及产品专员的需求分析，参与产品交互原型的评审;2.设计执行：基于需求原型及用户交互体验进行交互界面、图标，logo按钮等相关元素的视觉创意设计，优化完善设计流程，高质量完成产品设计3.界面评审：根据产品需求原型同开发人员进行界面评审，以确定方案研发可行性，及功能需求、交互体验的补充完善;4.产品研发：同研发人员积极沟通，提供标准化的界面规范，保证界面交互的效果实现，并提供切图等相关的技术支持；5.产品测试：对接测试人员，保证产品界面及功能实现的在符合产品需求，配合开发减少和解决bug；6.产品上线：对上线产品进行界面的维护和优化，不断提高界面交互的可用性，使用户界面更人性化。【任职要求】：1.本科以上学历，1年以上软件UI设计相关工作经验，美术设计类相关专业；2.精通Photoshop、Dreamweaver等设计软件，能独立完成产品UI设计；3.有良好审美能力，有创意，色彩感强，对以用户为中心的设计理念有一定的理解；4.善于与人沟通，良好的团队合作精神和高度的责任感，能够承受压力，有创新精神，保证工作质量。5.PC端后台或SAAS系统设计经验优先。,"移动互联网,信息安全",150-500人,UI,东莞
前端开发,https://www.lagou.com/jobs/7209636.html,东莞市市辖区,8k-15k,南京睿晖数据技术有限公司,1-3年,大专,周末双休，五险一金,岗位职责：    1、负责公司系统的移动端，pc端的web应用开发    2、配合后端开发人员实现产品功能与操作流程    3、对已有系统进行bug修复和迭代优化以及新项目开发   岗位要求：    1、掌握ECMAScript标准、HTML/HTML5/XML、CSS/CSS3、Ajax等前端开发技术；    2、掌握nodejs相关知识，能熟练使用webpack相关构建工具；  3、具备良好的编码习惯，能遵循团队编码规范进行编码；    4、对接UI，根据草图、PSD、PNG的内容转换为前端代码；    5、熟练使用react.js、vue、ant.design（有微信小程序经验优先）    6、对页面设计、交互有一定了解；    7、有责任感，可承受多任务并行的工作压力。,"企业服务,数据服务",150-500人,UI,东莞
android开发工程师,https://www.lagou.com/jobs/7203781.html,东莞市市辖区,8k-15k,东莞吾觅信息科技有限公司,3-5年,本科,海外市场，有出国旅游机会,岗位职责：1、负责直播项目功能特性开发；2、参与移动客户端在性能、稳定性方面的建设；3、负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；4、负责项目重点、难点的技术攻坚以及手机移动产品新技术预研等。任职要求：1、良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力； 2、深入理解Android SDK NDK，熟悉Android平台体系结构；精通各种UI控件，能够实现复杂的界面交互； 3、熟练掌握Android平台下的高性能编程及性能调优； 4、具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向； 5、有强烈的责任心和团队精神，善于沟通和合作；6、具有音视频、直播、OpenGL相关开发经验者优先。,软件开发,少于15人,UI,东莞
视觉设计师—东莞,https://www.lagou.com/jobs/6842041.html,东莞市市辖区,10k-15k,上海易宝软件有限公司深圳分公司,1-3年,本科,节日福利 年度调薪 带薪年假,岗位职责1.可胜任公司产品的前期的视觉风格设定，能够根据产品特性及目标用户群特点提出视觉概念提案，建立良好的品牌感知；2.对各终端多平台视觉标准熟悉了解，视觉设计符合规范标准规范，满足产品化上线需求；3. 对迭代期产品可提出视觉改进建议，不断完善产品设计及视觉体验。任职要求1.本科及以上学历，美术相关专业， 3年以上UI界面设计和运营设计经验，有成熟的视觉作品；2.对设计定位、风格定义、规范执行有相关经验；3.具备一定的设计理论与设计技巧，对时下趋势具有敏锐的洞察力；4. 执行力强，抗压能力强，具有良好的团队合作精神，善于总结；5. 请随简历附上个人具代表性作品或链接；,移动互联网,150-500人,UI,东莞
平面设计师,https://www.lagou.com/jobs/4889884.html,东莞市市辖区,5k-8k,广东巨蜂品牌设计有限公司,1-3年,本科,​五险一金、绩效考核、带薪年假,职责范围：【注意：本公司以品牌VI为业务主体，*若只有UI或APP设计经验者一律不予录用，若通晓C4D建模、视频后期剪辑等软件者优先录用；鉴于最近发现应聘者有盗用站酷、古田路等平台案例来应聘的现象，我们会审查您的案例，以便对您的设计水平进行评估，案例真实者优先录取】1、负责企业品牌VI（Visual Identity）设计制作（包括VI基础、VI应用、商城及官网交互设计）2、配合策划总监、美术指导，在既定的策略及品牌定位诉求，设计出对应风格的设计作品，并且根据甲方的反馈的建议，进行设计和修改工作。3、对品牌美学有强烈的追求，洞察并了解最新的设计发展趋势，收集行业竞品的信息，从美术角度配合，品牌项目执行人员共同做好项目落地执行的工作，包括物料印刷、设计供应商对接等。4、协助策划总监、美术指导完成的其它平面设计需求。平面设计师岗位要求：1、有一定的设计推导思维和悟性，要求从事设计工作一年到三年及以上；2、专业技术要求：精通Photoshop、Illustrator、Flash、C4D等相关设计软件，有插画（不限于动漫、装饰画等）或视频剪辑技能优先录用；3、学历要求【本科】及以上学历，专业对口（视觉传达专业、广告设计等），有企业CI设计项目经验者优先录用；4、对品牌美学有执着的追求，有一定的设计手绘方面的动手能力，色彩搭配感觉良好。5、吃苦耐劳，能够承受一定的广告设计的工作压力。【我们待遇很好，只因你足够优秀！无品牌经验者请勿投递】有意者请发相关作品，如符合我们的审美要求的我们会及时联系您，谢谢！,"移动互联网,广告营销",15-50人,UI,东莞
