job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ui设计师,https://www.lagou.com/jobs/6998114.html,江北区,5k-10k,宁波全能蝌蚪科技有限公司,1-3年,大专,五险，不加班，双休,职位描述1.参与公司产品的前期构思；2.参与公司产品的设计调研；3.负责公司移动端app产品的ui设计；4.负责界面ui的实现（切图、尺寸标注、切图调整等工作）；5.负责跟进产品的设计及实现；6.负责产品相关的其他设计。岗位要求：1.专科及以上学历；2.2年以上移动端web端的ui设计岗位工作经验；3.熟悉android、ios等移动操作系统的ui设计模式；4.熟悉android及ios等平台的ui设计规范及流程，能够独立完成软件界面的布局、设计、方案展示、切图、尺寸标注、切图调整等工作；5.具有扎实的美术基础，对色彩有透彻的理解，优秀的创新意识与娴熟的设计技巧，有能力把设计理念转化为现实；6.对设计流行趋势有敏锐的洞察力，擅长把握各种设计风格、主导产品的设计；7.精通photoshop或者其他设计相关软件。其他要求：1.有互联网公司相关岗位从业经验者、有移动app设计经验者。,"数据服务,软件开发",少于15人,UI,宁波
ui设计师,https://www.lagou.com/jobs/6533366.html,镇海区,8k-12k,宁波西北梦电子商务有限公司,1-3年,大专,团队融洽，发展空间大，环境好,岗位职责：1、负责软件界面的美术设计、创意工作和制作工作；2、根据各种相关软件的用户群，提出构思新颖、有高度吸引力的创意设计；3、对页面进行优化，使用户操作更趋于人性化；4、维护现有的应用产品；5、收集和分析用户对于GUI的需求。6、负责完成上级领导交办的其他任务。任职要求：1、精通Photoshop，能够独立完成静态网页设计工作；2、熟练操作常用办公软件，且具备其它软件应用能力；3、对通用类软件或互联网应用产品的人机交互方面有自己的理解和认识；4、具备良好的审美能力、深厚的美术功底，有较强的平面设计和网页设计能力；5、具有敏锐的用户体验观察力，富有创新精神。,电商,15-50人,UI,宁波
UI设计师,https://www.lagou.com/jobs/5508963.html,江北区,4k-8k,宁波微世信息科技有限公司,应届毕业生,本科,自由发展，无情绪化沟通，可不打卡。,1.APP的设计。2.小程序的设计3.网站设计。4.logo设计5.海报设计要求：大专以上学历，为人耐心，性格好，实习也可以。工作地点江北商务区亿天中心901。,"电商,移动互联网",15-50人,UI,宁波
前端开发工程师,https://www.lagou.com/jobs/7190876.html,鄞州区,7k-10k,四川倍施特科技股份有限公司,1-3年,大专,七险一金、交通补贴、双休、年终奖,技能要求1、精通HTML5、CSS3、Javascript等web前端开发技术，精通web2.0标准，Ajax、DOM、XML等相关技术。2、了解HTML5最新规范，能够熟练运用HTML5特性构建移动端的WebAPP。3、负责web、H5等产品视觉设计。4、精通Photoshop、Illustrator等设计软件，能独立完成产品UI设计5、熟悉使用主流js框架：jquery、vue等。至少有一款UI框架基础如：layui，Bootstrap等。6，需有小程序开发经验。任职要求：1、大专及以上学历，沟通表达能力良好；2、1- 2年以上相关工作经验， 3、具有良好独立工作能力和解决问题的能力；思维活跃，思路开阔，具有较强的沟通理解能力，能准确理解产品需求4、工作地点：宁波月薪：7000-10000元,移动互联网,50-150人,UI,宁波
产品经理,https://www.lagou.com/jobs/6789805.html,海曙区,8k-15k,浙江网新恩普软件有限公司,3-5年,大专,上市公司 政府项目 稳定性强,1.负责客户端产品线，规划产品发展，管理产品生命周期；2.负责产品规划，确定产品功能、流程，制作产品原型，编写技术需求文档；3.研究相关产品，分析市场动态，挖掘产品客户需求；4.与技术团队高度配合，跟踪产品开发进度，完成产品开发、测试、版本管理，评审发布，产品上线等相关工作；5.跟踪产品运营，收集整理客户反馈，通过定性和定量的分析，持续改善优化产品，提升用户体验。任职要求：1.3年以上移动应用产品设计工作的经验，至少独立负责过一款产品的全生命周期；2.有丰富的产品策划工作经验，对终端产品的UI/UE有深刻的理解，能独立编写策划和详细流程；3.对工作充满激情，具有强烈的创新创业精神，富于责任心，能承受工作压力；4、能接受省内短期出差；,"移动互联网,金融",500-2000人,UI,宁波
前端开发工程师,https://www.lagou.com/jobs/7165817.html,鄞州区,6k-12k,上海驻云信息科技有限公司,1-3年,本科,五险一金，带薪年休假，节日福利，双休,"工作职责:1、完成UI设计师的设计要求，将UI设计稿转换多浏览器适配的WEB页面；2、配合后台工程师一起研讨技术实现方案，进行应用及系统整合；利用HTML5/ Node.js/CSS3等技术实现网站和客户端的前端页面；3、编写可复用的用户界面组件；4、持续的优化前端体验和页面相应速度，实现异步加载，保证兼容性和执行效率，确保产品具有优质的用户使用体验。任职资格:1、全日制本科及以上学历，计算机相关专业， 1年以上前端开发工作经验；2、具有较强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神；3、精通JavaScript、HTML、CSS等前端技术，熟悉Bootstrap，Jquery等前端的框架和技术，熟练运用MVC架构和设计模式；深刻理解Web标准，会响应式页面开发；熟悉java""script""与后台的交互方式；了解移动HTML5应用。","移动互联网,企业服务",150-500人,UI,宁波
前端工程师,https://www.lagou.com/jobs/5816115.html,鄞州区,5k-10k,宁波智士教育信息咨询有限公司,1-3年,本科,负责PC端页面和管理后台优化，提供住宿。,职位描述：1、负责产品美工、UI和前端可视部分的设计和开发2、配合后端开发人员完成前端应用开发和后端系统的对接3、服从项目的目标和任务安排，配合团队完成开发任务指标4、不断优化代码，应用前沿技术，不断提高前端应用性能任职要求：1、1 年以上前端开发经验2、精通 Html5/CSS3/JavaScript3、熟练使用 Vue，熟悉 ES6 语法4、熟悉 Git、Webpack、Gulp 等常用版本管理工具、构建工具的使用5、能够独立完成复杂的交互场景和前端效果，对页面性能调优和浏览器兼容性处理有丰富的经验6、具备良好的编码风格，良好的沟通能力和团队协作精神，独立推动目标和结果的达成。7、热爱前端，能在前端工作中感受幸福和成就感。,企业服务,15-50人,UI,宁波
产品经理,https://www.lagou.com/jobs/5883754.html,鄞州区,8k-12k,宁波牛信网络科技有限公司,3-5年,本科,高收入，高福利，发挥空间大,岗位描述：1、负责产品规划、设计、运营和项目执行，以及持续的产品迭代优化等工作2、充分挖掘客户需求，分析竞争对手动态和市场动态，独立完成产品需求说明书、产品原型 3、协调UI、开发、测试、运维同事共同推进产品迭代实现，并负责整个产品生命周期管理4、对接运营和推广需求，提供产品解决方案支持，并高效推进执行任职资格：1、全日制本科及以上学历，计算机、通信、电子、数学、统计等相关专业2、三年以上互联网行业产品经验；3、具有敏锐市场洞察力和行业分析能力，学习能力强，愿意接受挑战，有较强的抗压性；4、熟练掌握Axure、Visio、Xmind、等基本产品工具，熟悉产品实现基本流程；5、具有通信、广告、金融平台类成功产品经验者优先；,"通讯电子,数据服务",50-150人,UI,宁波
web前端开发工程师,https://www.lagou.com/jobs/7080214.html,海曙区,4k-8k,宁波云数信息科技有限公司,1-3年,大专,"工作环境好,晋升空间大",职位描述：岗位职责: 1. 根据UI设计，熟练运用 HTML CSS JavaScript 产出兼容于目前主流浏览器的前端页面；  2. 实现Web前端用户界面编码，能够和UI设计师、后端工程师紧密沟通协作，负责将UI提供的设计图转化成静态页面。 任职要求： 1. 大专及以上学历，至少2年Web前端开发经验；  2. 精通HTML、CSS、JavaScript、Ajax等Web前端开发技术，能轻松写出符合W3C标准、兼容多种浏览器的前端页面代码，对于页面效果实现有足够的经验；  3. 能熟练使用Vue.js开发；(这条很重要哦) 4. 对用户体验，交互设计等有深入的理解，对前端页面代码结构及前端交互性能有深入的理解； 有UI设计能力者优先，薪资可再面议； 6. 具备良好的敬业精神、团队协作能力、沟通能力和学习能力。,"移动互联网,教育",15-50人,UI,宁波
高级交互设计师,https://www.lagou.com/jobs/6599202.html,鄞州区,10k-20k,宁波逸享电子商务有限公司,3-5年,本科,发展前景无线 挑战性大,岗位职责：1、承担app前台核心产品设计及营销中台交互设计工作，与视觉合作输出整体的产品方案；2、通过设计方法定期发现体验问题点，并推动改进；3、对交互组件规范进行制定，提高产品迭代效率。4、能够独立设计产品的结构、功能、界面、操作流程等，输出完整的交互设计原型，能对产品方案进行可用性测试和分析，并提出改进方案；5、跟踪产品开发各环节（产品、UI、开发），并推动设计方案落实；6、制定并输出相关设计规范，和设计师默契配合，并推进落地。任职要求：1、3年以上交互设计经验，潜力优秀者不受年限限制；2、设计决策，可以为产品功能和特性设计合理的系统解决方案，有完整的成功案例和深入思考有加分；3、善于沟通，同理心强，积极主动，具有将场景故事化的能力；4、具备产品思维，同时能很好的结合设计思维，并能找到两者在设计中的平衡点；5、逻辑严谨，书面表达能力佳；6、具备数据分析经验，熟悉电商行业优先，有用户研究能力优先。,"电商,社交",15-50人,UI,宁波
