job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ui设计师,https://www.lagou.com/jobs/6488901.html,盘龙区,4k-8k,昆明必搭科技有限公司,1-3年,不限,五险一金，高额任务提成，弹性制工作,技能要求：平面，UI，APP设计，视觉岗位职责：1、负责公司软件系统相关产品的UI设计；2、参与产品设计讨论，和研发团队共同创建用户界面，跟踪产品效果提出设计改善方案；3、根据产品需求，对产品的整体美术风格、交互设计、界面结构、操作流程等做出设计；4、从用户的角度出发，优化产品的易用性，持续提升用户体验。任职要求：1、美术、平面设计等相关专业毕业，1年以上相关工作经验；2、熟练使用PS、AI、AE等相关软件，对图片渲染和视觉效果有较好认识；3、掌握 iOS / Android / Web 等不同平台的设计规范，能给出适应不同平台规范、适配不同尺寸设备的设计方案；4、能够提供设计稿件，标注稿件与设计切图稿件，并能根据产品原型设计交互动效及动画等；5、对设计有独到的见解，具备良好的审美能力；6、有丰富的WEB端、APP端UI设计经验；7、如有作品请附上相关作品或相关作品的网址。,"人工智能,VR丨AR",15-50人,UI,昆明
ui设计师,https://www.lagou.com/jobs/6492734.html,西山区,6k-10k,昆明外星人互联网技术有限公司,3-5年,大专,带薪年假、培训、年终绩效、工龄奖、餐饮,岗位职责：1、参与移动端、Web端产品需求设计，并根据产品需求进行UI设计；2、负责产品UI原型图和效果图设计；3、负责产品前端需要的各类图片设计；4、负责并指导产品前端开发工程师完成产品UI开发，并实际效果设计测试；5、根据用户反馈和产品思路调整完成对产品的UI设计调整、优化和升级。 任职要求：1、大专及以上相关专业学历，要求具备美术功底和手绘功底，2年以上移动端、Web端界面设计工作经验及相关作品；2、具备艺术审美能力，视觉设计能力，交互设计和平面设计经验，了解互联网UI设计的潮流，了解互联网产品设计理念和思路；3、精通Sketch、illustrator、Photoshop、Coreldrew等图形制作软件，熟悉Axure等原型制作软件；4、工作积极性强，沟通能力强，有责任心，善于团队协作，能独立完成工作任务并及时反馈，对自己的设计和结果严格要求；5、加分项：若还精通或熟悉前端开发，熟练使用HTML5、CSS3、JS、JQuery等，优先录用，工资按“全链UI设计师”能力核算。6、招聘人数：2人，25-35岁，性别不限；普通话标准。薪资待遇：6K-10K/月+绩效奖金+公司福利+带薪年假+餐补其他：在BAT、京东、美团、滴滴等平台有相关工作经验者优先。,"软件开发,物联网",50-150人,UI,昆明
网页设计师/UI设计师,https://www.lagou.com/jobs/4862316.html,官渡区,4k-8k,昆明奥远科技有限公司,1-3年,大专,"双休,年终奖,团队强大,五险",任职要求：一：熟悉Photoshop/AI等作图软件。二：一年以上相关工作经验，有大型门户网站、商城、论坛、社区制作经验者优先。三：对新技术有浓厚兴趣。富于创新、思维活跃，并对先进的设计理念和技术有较强的理解能力。四：能吃苦耐劳，能接受加班，有上进心，前期有人带。五：思想品德优越，具备良好的团队精神只要你对设计有兴趣，有一定基础，愿意为之付出努力，公司将会给你一个广阔的平台，培养你成为一流设计师以上都不重要 关键一点：用作品说话！可接收优秀毕业生公司官网:http://www.aykj.net,"移动互联网,企业服务",50-150人,UI,昆明
ui设计师,https://www.lagou.com/jobs/6950549.html,五华区,4k-6k,昆明洲创科技有限公司,不限,大专,周末双休、年假、五险一金和完善的晋升通道,"岗位职责：1、主要负责PC端、移动端产品UI设计,以及相关视觉设计工作（如：banner、活动页、平面海报等）；2、快速理解产品的UI设计方案，根据需求原型交互文档，生成优质视觉设计方案；3、配合产品的设计需要，不断优化产品设计，做好版本迭代的工作；4、独自完成移动互联网产品视觉设计工作；5、参与设计体验、流程的制定和规范。岗位要求：1、大专以上学历，具有美术专业设计知识；对设计、互联网行业感兴趣，计算机相关专业、设计等相关专业毕业生优先；2、熟练操作PS、AI、Coreldraw、Photoshop、Illustrator、Axure等图形软件；3、有Android 、Web平台App及网站相关的用户界面视觉的设计经验；4、对web前端技术有一定了解；5、拥有优秀的交互设计和界面设计能力和沟通技巧，能快速消化业务；6、具有一定的学习能力、创新能力及团队协作精神，工作认真，有较好的综合素质者优先。7、面试的时候准备好自己设计的相关案例，可供参考。","移动互联网,企业服务",15-50人,UI,昆明
UI设计师,https://www.lagou.com/jobs/6747482.html,西山区,13k-18k,云南厚恒投资有限公司,3-5年,本科,五险一金，租房补贴,"工作内容：1、主要负责PC端、移动端产品UI设计,以及相关视觉设计工作（如：banner、活动页、平面海报等）；2、快速理解产品的UI设计方案，根据需求原型交互文档，生成优质视觉设计方案；3、配合产品的设计需要，不断优化产品设计，做好版本迭代的工作；4、独自完成移动互联网产品视觉设计工作；5、参与设计体验、流程的制定和规范；6、会动画特效者优先。任职要求：1、2年以上相关工作经验，美术、设计相关专业优先；2、拥有优秀的交互设计和界面设计能力和沟通技巧，能快速消化业务，融入团队工作；3、工作积极有责任心，能够应对压力和挑战，认真细心，有良好的沟通能力和团队协作精神；4、有较强的审美和创意，敏锐触觉；5、精通Photoshop、Illustrator并熟练使用sketch、AXURE、AE、C4D等设计软件。",金融,少于15人,UI,昆明
软件测试工程师,https://www.lagou.com/jobs/6963399.html,西山区,3k-6k,神州数码系统集成服务有限公司,不限,大专,五险一金+餐补+电脑补 薪资待遇优厚,岗位职责：完成公司APP端，web端，PC端相关软件的测试。参与公司项目需求讨论，制定测试计划，设计测试用例，执行测试用例，编写测试报告；跟踪问题缺陷，推动问题处理；按时保质，保量的完成各项分配的工作内容；任职资格：1. 计算机相关专业优先；2. 英语四级或以上；3. 具有WEB系统测试或移动APP测试经验；4. 熟悉软件测试流程，能独立编写测试用例、执行测试用例；5. 熟悉Linux、MySQL数据库、fiddler、Jmeter、postman等；6. 认真仔细，逻辑思维清晰严谨，有良好的学习能力、分析与解决问题的能力；7. 工作积极主动，具有团队意识；8. 熟悉至少一种编程语言Python，Java的优先；9. 熟悉Android测试专项、UI自动化、服务端性能测试、安全测试者优先。,企业服务,2000人以上,UI,昆明
高级web前端开发人员,https://www.lagou.com/jobs/6330606.html,五华区,14k-17k,深圳市聚数网络科技有限公司,1-3年,本科,"五险一金,新技术探索,弹性工作",岗位职责：1.  负责网站，企业管理平台等在线应用的开发;2.  负责设计家平台主站和运营管理后台的开发;3.  快速，充分理解运营团队，产品经理对于用户端产品，运营管理后台及开放后台的需求;4.  和UI/UX团队进行充分的沟通，能够将理想的用户体验和交互在用户端的产品落地实现;5. 精通小程序开发6.  和测试团队充分合作，解决系统的各种问题;7.  能接收异地出差办公任职要求：1.  精通前端技术，精通常见的前端工程化工具，并深入理解一个以上工具的设计原理和技术实现;2.  精通Vue框架，以及基本前端技术（HTML、CSS、JavaScript）;精通小程序开发3.  精通resful和后端交互通讯;3.  熟悉切图工作，能讲静态的PSD设计稿件，转换成动态的html;并且熟悉和运用响应式切图;统一PC和移动端版本。4.  有3年左右Web端开发经验，有1年以上大中型移动端H5应用开发经验，具备优秀的抽象能力;5.  熟悉php者优先;6.  有强烈的工作责任心和良好的团队协作能力;,"电商,企业服务",15-50人,UI,昆明
web前端美工,https://www.lagou.com/jobs/6907916.html,五华区,5k-7k,新疆疆安行安防科技有限公司,3-5年,不限,单休、五险一金,职位描述岗位职责：1. 负责网站和App界面的布局和结构等方面的整体规划和静态页面设计；2. 负责公司产品广告宣传资料相关的美术设计制作等；3.能熟练HTML5+CSS3+js+jquery 根据原型制作静态页面 优先考虑任职要求：1. 美术或设计相关专业毕业，具有扎实的美术功底与良好的创意能力。2. 1年以上web，UI或平面设计经验，熟练使用各类平面，web设计软件。3. 有手机端等移动应用界面设计，web切图，flash等经验者优先。4. 具有良好的沟通与团队协作能力，能很好的和团队配合；5. 肯吃苦耐劳，工作认真负责，具备良好的职业素养。,软件开发,50-150人,UI,昆明
前端开发工程师,https://www.lagou.com/jobs/6618081.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.负责公司产品Web前端的架构设计与研发；2.负责统一Javascript框架、公共组件架构；3.对提出的需求给出前端技术评估和解决方案；4.与后端开发人员紧密配合，完成产品的整体开发；5.特殊js交互效果的实现，前端代码优化。    岗位要求1.本科及以上学历，2年以上Web前端工作经验，熟悉HTML5与CSS3，熟悉Div/CSS布局；2.熟练掌握原生javascript，主流的JavaScript框架，具备一定框架设计能力，有成功的多终端网站项目经验；3.熟悉常见Web前端的优化规则，注重代码质量；4.熟悉JavaScript、vue、Jquery等UI组件和框架，了解浏览器内核原理；5.对前端性能及常见安全漏洞有一定了解，并有相关实践；6.热爱并关注前端技术的发展，有大型互联网开发经验或有前端技术性能优化优先；7.富有责任心，学习能力强，工作认真负责高效，敢于接受挑战和承受工作压力，有较强的沟通能力和团队合作精神。,"数据服务,移动互联网",50-150人,UI,昆明
web前端开发工程师,https://www.lagou.com/jobs/7159621.html,盘龙区,8k-12k,云南龙马星震信息技术有限公司,1-3年,本科,办公环境舒适、发展前景良好、福利待遇佳,岗位职责：1、负责软件产品前端程序的设计、开发、移植及扩展；2、根据产品展现需求，设计并完成功能开发、验证和修正测试中发现的问题。3、学习应用WEB开发的新技术，编写设计开发及实现的技术文档；4、完成公司领导交办的其他工作任务。 任职要求：1、计算机、电子信息等相关专业，大专及以上学历，；2、精通 HTML+CSS，并能快速处理各浏览器兼容性问题，会PS等设计软件的优先；3、熟练使用JavaScript，掌握Ajax技术，能够根据UI设计图制作网页实现常用特效；4、熟练掌握一到两种前端框架的应用，如React/Vue/Angular等。5、熟悉HTML5和CSS3技术，兼容移动端开发；6、具备快速学习能力和良好的自我驱动能力。7、对工作有强烈责任心以及良好的沟通协作精神。 公司主要业务：智能建造，智慧城市、智慧社区的平台研发薪酬：月薪8000-12000元+项目绩效福利：双休+五险一金+免费中餐+免费健身房+优质培训学习机会+节假日福利等发展：项目资源优秀+大牛带队+完善的晋升机制+行业竞争力水平薪资+飞速个人成长我们是学习型组织，我们提倡奋斗者文化，我们在时代中努力奔跑，我们愿意把成果和战友们一起分享，给予足够的尊重与诚意，欢迎行业精英入加战队！！！,软件开发,15-50人,UI,昆明
