job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
安卓开发工程师,https://www.lagou.com/jobs/7156028.html,徐汇区,11k-18k,上海轻轻信息科技有限公司,1-3年,本科,发展晋升快 免费下午茶 团队氛围好,岗位职责:1、负责Android端相关产品的迭代改进和开发维护；2、持续改进产品的用户体验，优化产品的性能；3、参与产品需求分析，参与制定技术实现方案；4、参与hybrid相关开发工作；任职条件：1、本科及以上学历，计算机相关专业，一年以上Android工作经验；2、熟练掌握Java语言，至少一年以上使用经验，对多线程、常用数据结构等有一定的了解；3、熟悉android UI开发，了解其基本原理，对应用性能优化有一定理解和实践；4、有较好的学习能力、沟通能力、逻辑思维能力，热爱技术，对技术有自己理解并付诸实践；5、有较强的责任心和较好的团队合作精神,"移动互联网,教育",2000人以上,android,上海
安卓开发工程师,https://www.lagou.com/jobs/6747056.html,静安区,15k-25k,上海勃池信息技术有限公司,5-10年,本科,"年底多薪,期权激励,团队大牛多,弹性工作",岗位职责：1.负责Android手机软件的开发及设计；2.根据产品的需求进行Android产品的分析；3.对Android平台开发技术进行研究，发现其缺陷并改正更新；4.根据用户需求研发新的Android产品，并测试其性能，进行改进；5.根据项目需求进行学习并快速掌握技巧；6.了解海外市场，有海外项目经历。任职要求：1.本科及以上学历，计算机相关专业优先；2.具备Android手机平台开发经验；3.了解并能熟练使用Android开发工具以及其他开发工具；4.具有良好的编程技巧和文档编写能力；5.能迅速适应工作环境以及抗压能力；6.要有良好的沟通能力，团队合作精神。,"金融,数据服务",50-150人,android,上海
Android开发工程师,https://www.lagou.com/jobs/7038754.html,杨浦区,15k-30k,上海哔哩哔哩科技有限公司,3-5年,本科,上市公司，氛围好,1、负责 Bilibili Android App 业务功能的研发及代码优化工作；2、负责 Bilibili Android App 内公用控件及部分基础框架的研发工作；3、参与移动规范制订、技术文档编写。,"移动互联网,文娱丨内容",2000人以上,android,上海
android高级开发工程师,https://www.lagou.com/jobs/6986408.html,松江区,22k-32k,上海满孟信息科技有限公司,5-10年,本科,14薪、七天带薪年假、各种福利,1.熟悉面向对象编程思想；2.熟练使用Java编程语言，具有良好的编码习惯；3.熟练使用常用的设计模式，有较强的重构能力；4.能对主流厂商的手机屏幕以及系统差异进行适配；5.熟悉UI组件生命周期，能根据产品需求独立开发UI组件；6.熟练使用文件、sqlite进行本地缓存处理；7.精通多线程编程方式、精通网络请求处理；8.熟悉Retrofit、RxJava、DataBinding优先考虑；9.熟悉MVP、MVVM开发架构优先考虑；10.有产品开发经验优先考虑。岗位职责：1.能够明确并认同每月的月度目标；2.能够按照月度目标完成相关的开发任务；3.能够及时、高效的解决线上产品问题；4.能够独立完成技术攻关；5.能够对代码进行持续优化；6.能够承担较强的工作压力。公司福利：1.五险一金全额缴纳2.带薪年假+法定节假日                                                      3.每年调薪机会                                                                    4.年度免费体检                                                                    5.生日福利+节日礼品+免费打球场地+免费下午茶+团体聚餐,"文娱丨内容,数据服务",50-150人,android,上海
android开发工程师,https://www.lagou.com/jobs/6973653.html,松江区,20k-30k,上海满孟信息科技有限公司,3-5年,本科,14薪、七天带薪年假、各种福利,本科以上学历1.熟悉面向对象编程思想；2.熟练使用Java编程语言，具有良好的编码习惯；3.熟练使用常用的设计模式，有较强的重构能力；4.能对主流厂商的手机屏幕以及系统差异进行适配；5.熟悉UI组件生命周期，能根据产品需求独立开发UI组件；6.熟练使用文件、sqlite进行本地缓存处理；7.精通多线程编程方式、精通网络请求处理；8.熟悉Retrofit、RxJava、DataBinding优先考虑；9.熟悉MVP、MVVM开发架构优先考虑；10.有产品开发经验优先考虑。岗位职责：1.能够明确并认同每月的月度目标；2.能够按照月度目标完成相关的开发任务；3.能够及时、高效的解决线上产品问题；4.能够独立完成技术攻关；5.能够对代码进行持续优化；6.能够承担较强的工作压力。公司福利：1.五险一金全额缴纳 2.带薪年假+法定节假日     3.每年调薪机会   4.年度免费体检    5.生日福利+节日礼品+免费打球场地+免费下午茶+团体聚餐,"文娱丨内容,数据服务",50-150人,android,上海
android开发工程师,https://www.lagou.com/jobs/6069212.html,徐汇区,20k-40k,腾讯科技（深圳）有限公司,1-3年,本科,有挑战，成长好，福利待遇好,工作职责负责移动端AI算法工程化，并完成相关优化工作；负责移动端视频图像类终端应用的架构设计；负责移动端视频图像类终端应用版本现有功能的维护及新功能模块的开发；负责定位并解决现有模块存在的问题；负责承担版本的系统设计、性能及内存调优工作。工作要求计算机相关专业，对互联网行业有浓厚兴趣；接触过Android开发，对于native层有一定了解；具备扎实的C/C++编程基础，对常见数据结构与算法有深入理解；具备优秀的沟通和协调能力、良好的服务精神及团队合作能力，责任心强。,社交,2000人以上,android,上海
Android开发工程师,https://www.lagou.com/jobs/7218707.html,闵行区,1k-2k,上海理兮科技有限公司,1-3年,本科,创业项目,希望找到志同道合的朋友一起创业 目前团队有4人论否app andtoid版开发工作懂全栈更佳因为是核心岗位不接受兼职,移动互联网,少于15人,android,上海
高级Android开发工程师,https://www.lagou.com/jobs/6592909.html,徐汇区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,福利待遇/年终奖/职业发展,岗位职责：承担Android SDK相关功能的设计、实现、测试及功能维护负责Android端疑难问题的优化和解决负责其他终端上的SDK开发岗位要求：本科及以上学历，计算机或相关专业，三年以上Android开发经验熟练使用C++、Java等开发语言，熟悉常用数据结构和算法熟悉Android 平台及框架原理，熟悉Android的基本组件使用熟悉NDK/JNI开发，熟悉Android，IOS跨平台SDK开发熟悉HTTP、HTTPS、TCP/IP、Protobuf通讯协议，精通多线程编程对Unity或UE4游戏引擎开发有一定了解者优先责任心强，良好的编码习惯和风格，代码严谨规范，学习能力强,社交,2000人以上,android,上海
安卓android开发工程师,https://www.lagou.com/jobs/6660270.html,徐汇区,25k-35k,上海鱼泡泡信息科技有限公司,3-5年,本科,薪资福利待遇比较好,岗位职责1、负责公司APP Android项目开发及版本迭代升级2、对Android应用进行架构规划及性能调优等3、主导项目重点、难点的技术攻坚4、推进移动端跨平台方案调研推进及落实任职要求1、全日制本科以上学历，4年以上Android开发经验，有2年以上知名互联网公司经验；2、熟练掌握Java语言，至少2年以上使用经验，对多线程、常用数据结构等有一定的了解； 3、熟悉android UI开发，掌握主流开源框架的使用，了解其基本原理，对应用性能优化有一定理解和实践； 4、熟悉Android平台音视频录制编码等直播相关技术优先；5、具有较好的代码风格，有较强的独立工作能力，熟悉android各版本的适配与系统兼容； 6、有较好的学习能力、沟通能力、逻辑思维能力，热爱技术，对技术有自己独到的理解并付诸实践。,社交,500-2000人,android,上海
Android/安卓逆向工程师,https://www.lagou.com/jobs/6314063.html,闵行区,16k-30k,上海虎推网络科技股份有限公司,1-3年,本科,年终奖、节日福利、旅游、不定期活动等,岗位职责：1、负责Android逆向分析，插件的开发，应用的底层技术实现2、开发和维护Android App的组件化框架，熟悉Android SDK及相关开发3、负责提供防逆向解决方案、移动端新技术的调研和引入岗位要求：1、熟悉使用各种动静态逆向分析与工程软件2、熟悉Android注入、Hook等机制3、熟悉IDA Pro、OllyDbg、WinDbg、JEB、Apktool等常用逆向分析工具，具备一定的逆向分析能力4、熟悉安卓常用反混淆手段，APK文件的反编译，调试5、有较强的app逆向分析能力，有app反编译经验，Android混淆编译、反混淆、反编译加分项：有过Android插件化，组件化，热修复开发经验有Android嵌入式开发经验，有app性能优化等相关经验，对Android底层和虚拟机有一定的了解,企业服务,少于15人,android,上海
Android 安卓,https://www.lagou.com/jobs/7197450.html,嘉定区,10k-15k,西安奥途网络科技有限公司,1-3年,大专,大型企业项目，领导好，氛围好，团建。,岗位要求：1、大专以上学历，2年以上工作经验；2、熟悉Java语言，具有扎实的Java编程基础；3、熟悉Android程序开发，具备Android项目开发经验；4、热爱技术，勤于钻研；5、思路清晰，善于思考，能独立分析和解决问题；6、责任心强，具备良好的团队合作精神。,软件开发,150-500人,android,上海
Android安卓高级开发工程师,https://www.lagou.com/jobs/6586608.html,虹口区,15k-30k,上海纳纳科技有限公司,3-5年,不限,"团建旅游,餐交通补助,团队年轻化",岗位职责：1、主导公司移动端产品Android端的技术设计、开发、测试、维护及技术文档编写工作；2、根据产品需求，参与需求评审，制定技术实现方案，承担核心模块架构设计，合理分配、制定开发任务；3、关注学习最新技术与实践，负责产品持续的结构优化、性能调优；4、把控Android端项目进度，能够协调沟通各责任同事，在跨部门沟通中发挥于作用。任职要求：1、全日制本科学历，211/985学校优先考虑；2、5年及以上Android开发经验，2年以上团队管理经验优先考虑；3、多款产品独立开发经验，百万日活用户产品开发维护经验优先考虑；4、熟练使用Retrofit+RxJava，LiveData，Room，Lifecycle，Kotlin；优秀的编程习惯；5、优秀的学习能力、沟通能力、协调能力、团队管理协作能力及严谨积极的工作态度，可适应较强的工作压力。,"企业服务,数据服务",50-150人,android,上海
Android安卓开发工程师,https://www.lagou.com/jobs/6402710.html,虹口区,15k-25k,上海纳纳科技有限公司,3-5年,本科,平台好 业务稳 氛围好 福利多,岗位职责：1、负责公司移动端产品Android端的开发、测试、维护与技术文档编写工作；2、根据产品需求，参与需求评审、确定实现方案，完成产品Android端功能优化、开发、多机型适配工作；3、定位并解决现有版本存在的问题，持续优化产品体验、性能及内存调优工作。任职要求：1、全日制本科学历，3年及以上Android开发经验，能够独立进行Android项目开发；2、熟练使用Retrofit+RxJava，熟练使用LiveData，Room，Lifecycle，能使用Kotlin优先；良好的编程习惯；3、良好的学习能力、沟通能力、团队协作能力、有较强的解决问题的能力及严谨积极的工作态度，可适应较强的工作压力。,"企业服务,数据服务",50-150人,android,上海
