job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/6537575.html,东莞市市辖区,10k-20k,南京彩晔信息科技有限公司,1-3年,本科,"五险一金,定期体检,年度旅游,发展空间大",岗位职责：1、负责Android平板应用程序的开发和维护（包含系统应用）2、负责Android平板应用程序的体验和性能优化打磨任职要求：1、本科及以上学历，计算机相关专业2、2年及以上Android应用开发经验，熟练掌握和运用Android常用组件3、扎实的Java编程能力，熟悉计算机原理、操作系统、数据库、网络、常用算法和数据结构等基础知识4、至少参与过一个Android应用的开发全流程5、熟练使用Android应用性能优化工具和掌握常见的性能优化方法,"移动互联网,电商",50-150人,android,东莞
Android开发工程师,https://www.lagou.com/jobs/7139774.html,东莞市市辖区,13k-21k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金+周末双休+ 重点项目+节日福利,（1）熟悉JAVA语言，熟悉Android系统，有Android软件开发经验；（2）熟悉framework，SDK等；（3）统招本科及以上学历，2年及以上工作经验。业务技能要求：（1）强烈的责任心、良好的沟通、推动能力和服务意识；（2）能快速接受和掌握新技术，有较强的独立、主动的学习能力。,移动互联网,150-500人,android,东莞
android,https://www.lagou.com/jobs/6551199.html,东莞市市辖区,11k-22k,深圳市天瑞地安网络科技有限公司,1-3年,本科,五险一金、双休,岗位职责：1.负责音频产品的手机端应用软件的代码开发，版本交付。2.解决所开发应用软件的用户体验问题及软件问题。任职要求：1、本科及以上学历，3年以上软件开发经历，熟悉软件开发环境和工具，熟悉Android/Java/C开发相关经验，深入掌握Android/Java/C应用开发技术2、深入掌握Linux，Android等操作系统知识；3、具有穿戴/智能配件设备应用软件开发背景或者经验优先；4、热爱音乐，热爱生活。,"移动互联网,电商",50-150人,android,东莞
android开发工程师,https://www.lagou.com/jobs/7203781.html,东莞市市辖区,8k-15k,东莞吾觅信息科技有限公司,3-5年,本科,海外市场，有出国旅游机会,岗位职责：1、负责直播项目功能特性开发；2、参与移动客户端在性能、稳定性方面的建设；3、负责高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；4、负责项目重点、难点的技术攻坚以及手机移动产品新技术预研等。任职要求：1、良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力； 2、深入理解Android SDK NDK，熟悉Android平台体系结构；精通各种UI控件，能够实现复杂的界面交互； 3、熟练掌握Android平台下的高性能编程及性能调优； 4、具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向； 5、有强烈的责任心和团队精神，善于沟通和合作；6、具有音视频、直播、OpenGL相关开发经验者优先。,软件开发,少于15人,android,东莞
安卓开发,https://www.lagou.com/jobs/5381885.html,东莞市市辖区,10k-20k,东莞市芝麻地网络科技有限公司,3-5年,大专,"周末双休,五险一金,带薪年假,技术氛围","岗位职责 ：1、参与Android客户端的需求分析、系统设计、代码编写、测试支持和上线维护，确保项目进度和质量达到相关要求。 2、 按时完成上级领导安排的其它各项任务；岗位要求 ：1、大专以上学历，计算机或相关专业； 2、3年以上android开发经验，精通JAVA语言相关开发工作经验,有github开源项目、成功发布App者优先；3、具有良好的编程习惯、沟通能力强、工作认真负责、吃苦耐劳、具有团队合作精神。公司的福利待遇：1、公司会根据员工的资历与能力提供具有市场竞争力的薪资待遇及不定期调薪；2、周末双休，享有国家规定的法定节假日等假期，入职满一年享有带薪年假；3、入职购买五险一金，签订劳动合同；4、各类丰富的节日福利以及丰富的零食供应、下午茶等活动；5、作为高新技术企业，员工在入户、子女入学、政府人才保障房租赁等方面，享有优先权。",移动互联网,50-150人,android,东莞
android开发工程师,https://www.lagou.com/jobs/5572818.html,东莞市市辖区,10k-20k,广东德澳智慧医疗科技有限公司,3-5年,大专,福利待遇、发展前景,1、3年以上Android端平台应用软件开发经验，大专及以上学历2、熟悉Android下网络通信机制，有网络编程性能优化方面的经验3、熟悉Android端原生和HTML混合开发技术，并在实际项目中有过广泛应用4、熟悉掌握各平台和各主流机型的差异化开发和测试5、熟练掌握对Android端的性能调优的方式、方法6、具备良好的团队协作、沟通能力,"移动互联网,医疗丨健康",50-150人,android,东莞
android开发工程师,https://www.lagou.com/jobs/6935936.html,东莞市市辖区,10k-15k,东莞市铺先生网络科技有限公司,1-3年,大专,五险一金,岗位职责：1、编写应用流程的基本架构图，提交实现App所采用的实现技术方面的文档，包括不限于第三方框架，方案等。2、独立开发Android客户端的开发和模块开发，能独立维护Android客户端的后续迭代和维护；3、参与项目组项目分析会议，以及技术研讨会议，严格按照会议讨论方案执行项目开发工作，遇到问题要抛出问题；4、及时关注Android官方信息，比如系统版本迭代后要求适配，关注App市场应用审核流程，了解如何通过审核。采用第三方框架，尽量做到用好的同时也要知道其底层实现原理。5、及时认真负责的完成领导分配的其他工作。岗位要求：1、2年以上Android开发工作经验；2、精通java语言，精通Android开发；具备一定的财务管理、劳动法律法规、质量管理等方面的知识；3、掌握WORD、EXCEL、POWERPOINT等办公软件的使用方法，具备基本的网络管理知识，具备良好的语言文字写作能力。4、个性稳重、富亲和力。服从团队管理。薪资待遇：10K-15K，8小时制，单休，社保，高大上办公室，大公司，团队稳定，B端C端成熟.,"移动互联网,消费生活",150-500人,android,东莞
安卓android,https://www.lagou.com/jobs/6254206.html,东莞市市辖区,10k-12k,东莞市三心网络科技有限公司,3-5年,不限,五险，包午饭，大小周,熟悉Android平台下View的工作原理、View的事件体系、IPC机制、消息机制、Window的内部机制等 熟悉Java，掌握Gradle，了解Kotlin、Js等语言 掌握组件化、RxJava、Retrofit2、Dagger2、DataBinding等主流技术 掌握MVC、MVP、MVVM架构模式、Http，Socket网络通信技术 掌握Git、SVN版本控制工具进行项目的配置管理及协同工作,"软件开发,区块链",50-150人,android,东莞
安卓android（初级）,https://www.lagou.com/jobs/7065364.html,东莞市市辖区,8k-13k,东莞市理工软件有限公司,1-3年,大专,双休，项目提成，晋升空间大,"1、大专以上学历，一年以上Android开发经验，计算机相关专业；2、熟悉Android系统原理和内部机制，了解不同系统版本的差异性。3、熟悉代码开发规范，标准化开发流程，具有应用的整体设计和架构能力。4、熟练掌握JAVA, 熟悉Android SDK, 熟悉Android的UI/网络/数据库框架；5、有Javaccript，vue项目开发经验优先。6、具有良好的沟通能力合作能力，能够面对较强的工作压力。","移动互联网,其他",15-50人,android,东莞
Android开发工程师,https://www.lagou.com/jobs/7131503.html,东莞市市辖区,14k-25k,上海易宝软件有限公司,3-5年,本科,四年以上工作经验,岗位职责：1、负责Android应用相关自动化平台、工具的开发2、负责测试工具和方法创新，推动使用创新方案提升测试效率岗位要求：1、3年以上Android软件开发开发经验，熟悉Android系统底层相关2、熟练掌握java，主导或实际参与过自动化框架、工具开发3、有扎实计算机基础，熟悉网络编程、数据库、常用算法等4、熟悉python优先、有持续集成方面实际经验者优先,移动互联网,500-2000人,android,东莞
