job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/6210785.html,鄞州区,15k-25k,宁波逸享电子商务有限公司,3-5年,本科,发展前景优,职位描述1.负责基于Android的移动互联网、互联网的应用软件和客户端的架构设计、开发和维护； 2.规范编写设计和维护文档； 3.独立完成移动终端产品应用的功能模块开发。 任职资格 1.本科及以上学历，计算机相关专业； 2.3年及以上ANDROID实际项目开发经验； 3.精通Android开发平台及框架原理，精通Java语言； 4.对数据结构、基本算法熟练掌握，并具备基本的算法设计能力； 5.有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作； 6.具备较好的学习能力、问题分析能力，可以独立调试解决问题； 7.良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验； 8.工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；,"电商,社交",15-50人,android,宁波
Android开发工程师,https://www.lagou.com/jobs/6698241.html,海曙区,15k-25k,浙江蓝卓工业互联网信息技术有限公司,5-10年,本科,福利待遇，扁平化管理,职位描述：1.负责Android应用客户端软件开发及现有产品的优化2.根据产品需求完成模块编码、模拟器测试、真机测试工作3.熟悉Android开发平台及框架原理，Android开发工具和测试工具的使用4.扎实的Java基础，熟练运用Andriod SDK，熟练运用NDK/JNI5.熟悉Andriod下网络通信机制，熟悉Socket、HTTP、TCP/IP通讯协议，熟悉多线程编程6.优化产品的质量、性能、用户体验职位要求：1. 大学本科及以上学历，Android平台开发经验者优先2.有良好编程习惯和文档编写能力；较强的分析和解决问题的能力3.工作态度积极，责任心强，有良好的团队合作精神,"移动互联网,信息安全",150-500人,android,宁波
android开发工程师,https://www.lagou.com/jobs/6788035.html,江东区,10k-18k,宁波康铭泰克信息科技股份有限公司,3-5年,本科,绩效奖金，员工旅游，周末双休,岗位要求：1 熟悉常用的设计模式、数据结构;有Android软件开发经验，熟悉Android移动终端开发技术，熟悉Kotlin优先，了解react native；2 有扎实的Java语言基础;熟练掌握Android各种UI布局和控件，能够熟练自定义UI控件；3 熟练掌握HTTP及Socket编程;对Android程序性能优化、内存优化有一定的经验；有良好的代码习惯，要求结构清晰、命名规范、逻辑性强、代码冗余率低，代码注释清晰；4 在规定时间内高效完成任务并具备良好的团队合作精神，可承受一定的工作压力;具有强烈的进取心和求知欲望，善于学习和运用新知识，乐于解决具有挑战性的问题等；公司福利：1、入职及缴纳五险一金，绩效奖金、各类补贴；2、带薪假期，各类法定有薪假期，带薪年假，周末双休；3、员工旅游，不定期的各部门outing happy ；,"移动互联网,消费生活",50-150人,android,宁波
安卓开发工程师,https://www.lagou.com/jobs/6919571.html,鄞州区,8k-12k,乐歌人体工学科技股份有限公司,3-5年,不限,"办公环境好,技术团队好,上市公司",岗位要求1.负责设计开发并维护公司旗下的Android客户端产品2.需要有一定的阅读英文文档的能力任职要求1.熟悉Android平台上的app开发，有3年或以上的应用程序开发经验，或者有复杂的app开发经验，有类似aiui、iflyos、Alexa语音助手相关开发经验的优先2.有一定的阅读英文技术文档的能力3.具备扎实的计算机应用基础，深入理解Java Android，常用的数据结构和算法，设计模式，常用的网络协议等等，熟悉Kotlin语言开发Android优先4.对性能优化有一定经验5.良好的代码风格，代码逻辑清晰6.具备良好的学习能力，主动关注新技术的发展和应用7.具备良好的沟通能力，优秀的团队协作能力；具备良好的分析及解决问题能力8.有混合开发经验更佳9.有Launcher开发经验更佳,硬件,500-2000人,android,宁波
前端工程师(H5安卓混合开发),https://www.lagou.com/jobs/6725782.html,鄞州区,12k-20k,宁波思骏科技有限公司,1-3年,本科,期权激励；午餐补贴；交通补贴；通讯补贴；,岗位职责：1.负责公司前端应用产品的开发工作；2.有较强的主动改进意识，对现有产品性能、稳定性、技术架构等提出改进意见并实施；3.解决客户提出的需求与问题，提高产品质量与用户体验；4.积极与公司其他岗位协作，保证产品进度与服务质量；5.学习前沿混合开发技术，跟踪技术发展方向，对公司产品的技术演进提出方案或建议；岗位要求：1.计算机相关专业，1年以上H5安卓混合应用开发经验；2.较强的逻辑思维能力、良好的编程基础，重视代码质量；3.较强的责任心、严谨的工作态度、良好的团队协作精神；4.较强的学习能力与钻研精神；5.良好的英语读写能力，能快速阅读相关英文资料；6.具有大型混合移动应用开发经验者优先；,"教育,人工智能",15-50人,android,宁波
Java开发工程师,https://www.lagou.com/jobs/7191561.html,鄞州区,8k-10k,浙江云行者保险科技有限公司,1-3年,大专,年终奖金 五险一金 绩效奖金,职位描述：1、负责开发、维护Android客户端产品； 2、按照项目计划 按时提交高质量代码，完成开发任务； 3、配合测试人员修改相应的bug；4、根据不同软硬件环境 保证App性能、质量和体验；5、与产品、设计、运营等人员沟通 协调相关事宜岗位需求：1、计算机或相关专业本科以上学历，1年以上工作经验；2、熟悉JavaKotlin语言，熟悉Android App开发基础；3、代码基本功扎实，具有良好的面向对象编程思想. 了解过区块链相关知识优先,软件开发,50-150人,android,宁波
软件开发工程师,https://www.lagou.com/jobs/3658118.html,海曙区,4k-8k,宁波腾翔信息系统工程有限公司,应届毕业生,本科,"大把的机会,大把的项目,良师指导,顶高的收入",本科及以上学历，软件、计算机、信息相关专业优先，熟悉面向对象思想，熟悉Java\.Net\Android等开发工具，为人正直，积极进取，责任心强、有持续学习的能力,"硬件,信息安全",150-500人,android,宁波
前端开发工程师,https://www.lagou.com/jobs/7206638.html,鄞州区,6k-12k,宁波美象信息科技有限公司,3-5年,本科,双休，五险，法定节假日，培训,岗位要求： 1.两年以上PC／移动端前端开发经验，且有过完整已上线产品，能独立完成前端开发任务； 2.精通W3C标准及规范，精通各种前端技术，包括HTML/HTML5/CSS/CSS3/JavaScript/json等； 3.具有一定的美术功底和美工操作能力，精通photoshop等图片编辑软件，能熟练高效手工编写网页代码； 4.熟悉并掌握至少一款主流的前端开发框架（JQuery、Vue、AngularJs、react、Ember、backbone、bootstrap等）； 5.有android、iphone、ipad等智能手机和平板WebView开发经验优先； 6.有java、jsp开发经验者优先； 7.具备团队合作精神，有较强的沟通及协调能力。,"游戏,其他",50-150人,android,宁波
unity3d开发工程师,https://www.lagou.com/jobs/7193930.html,鄞州区,7k-14k,宁波奇佑网络科技有限公司,1-3年,大专,工资高，稳定，工作环境好,1.协助3D美术制作项目的3D资源，特效，工具/插件/Shader编写；2.负责UNITY游戏的内存资源优化，性能优化；3.Unity3D底层技术研究 ；4.根据策划和UI的设计完成相应界面和功能。任职要求：1.本科或以上学历，计算机相关专业，3年以上游戏相关开发工作经验；2.熟悉C/C+熟练掌握常用数据结构和算法，有多种开发环境使用经验、有跨平台开发经验者尤佳（Windows/Mac/Android/iOS）；3.有扎实的计算机图形学基础，熟悉OpenGL或Direct3D，熟悉至少一款3D引擎;4.用过完整实际的UNITY3D项目经验，熟悉美术3D制作工具与过程；5.热爱移动互联网，热爱手机游戏；6.逻辑清晰、思维敏捷、有很高的创造和突破能力，高度的责任心，良好的沟通能力和团队合作精神；,"移动互联网,其他",少于15人,android,宁波
ui设计师,https://www.lagou.com/jobs/6998114.html,江北区,5k-10k,宁波全能蝌蚪科技有限公司,1-3年,大专,五险，不加班，双休,职位描述1.参与公司产品的前期构思；2.参与公司产品的设计调研；3.负责公司移动端app产品的ui设计；4.负责界面ui的实现（切图、尺寸标注、切图调整等工作）；5.负责跟进产品的设计及实现；6.负责产品相关的其他设计。岗位要求：1.专科及以上学历；2.2年以上移动端web端的ui设计岗位工作经验；3.熟悉android、ios等移动操作系统的ui设计模式；4.熟悉android及ios等平台的ui设计规范及流程，能够独立完成软件界面的布局、设计、方案展示、切图、尺寸标注、切图调整等工作；5.具有扎实的美术基础，对色彩有透彻的理解，优秀的创新意识与娴熟的设计技巧，有能力把设计理念转化为现实；6.对设计流行趋势有敏锐的洞察力，擅长把握各种设计风格、主导产品的设计；7.精通photoshop或者其他设计相关软件。其他要求：1.有互联网公司相关岗位从业经验者、有移动app设计经验者。,"数据服务,软件开发",少于15人,android,宁波
