job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android,https://www.lagou.com/jobs/6551199.html,东莞市市辖区,11k-22k,深圳市天瑞地安网络科技有限公司,1-3年,本科,五险一金、双休,岗位职责：1.负责音频产品的手机端应用软件的代码开发，版本交付。2.解决所开发应用软件的用户体验问题及软件问题。任职要求：1、本科及以上学历，3年以上软件开发经历，熟悉软件开发环境和工具，熟悉Android/Java/C开发相关经验，深入掌握Android/Java/C应用开发技术2、深入掌握Linux，Android等操作系统知识；3、具有穿戴/智能配件设备应用软件开发背景或者经验优先；4、热爱音乐，热爱生活。,"移动互联网,电商",50-150人,android,广东
android开发工程师,https://www.lagou.com/jobs/7173062.html,南山区,10k-15k,深圳市趣虹科技有限公司,1-3年,本科,年终奖、下午茶、节日礼品、团建旅游,岗位职责：1、负责android端产品的需求开发工作2、根据产品需求完成架构、编码、测试、联调等工作3、按UI设计的要求，严格输出对应的动画布局和交互4、与其他开发、测试同事共同配合，完善产品功能和质量技能要求：1. 本科学历，2年及以上工作经验2. 扎实的Java和Android编程基础，熟练掌握核心类库3. 熟悉Android ui设计，精通view的自定义4.熟悉Android体系架构，对性能调优有独特见解，有视频聊天开发经验者优先考虑.,移动互联网,50-150人,android,广东
高级 Android 开发工程师,https://www.lagou.com/jobs/7175349.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 Android 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组件或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、两年以上 Android 客户端开发经验，熟悉 Android 系统问题的分析和解决；3、扎实的计算机科学基础，熟悉 Java，了解 Kotlin，熟悉Android生态配套，熟练使用 Git 等工具；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 Android App 开发经验，有跨平台开发经验；2、有更好的产品sense，能更多站在产品层面思考问题；3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；4、有代码洁癖，对代码精益求精，对技术有极客热情;5、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,android,广东
Android 开发工程师,https://www.lagou.com/jobs/6283626.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 Android 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组件或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、3年以上 Android 客户端开发经验，熟悉 Android 系统问题的分析和解决；3、扎实的计算机科学基础，熟悉 Java，了解 Kotlin，熟悉 Android 生态配套，熟练使用 Git 等工具；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 Android App 开发经验，有跨平台开发经验；2、有更好的产品 sense，能更多站在产品层面思考问题；3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；4、有代码洁癖，对代码精益求精，对技术有极客热情;5、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,android,广东
GE6762-全民K歌Android开发工程师,https://www.lagou.com/jobs/6741899.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,大平台,岗位职责：负责Android平台上全民K歌MV、视频相关需求的开发工作；按时高质量完成Android端的功能开发；与产品、测试及其他团队协作，分析产品需求，制定技术方案、数据上报等；新技术研究和引入；英语良好，能阅读英文资料。岗位要求：本科以上学历，计算机相关专业；2年以上相关工作经验；熟悉安卓ui框架、线程、进程特性，熟悉安卓性能指标、内存分析、监控工具及调优方法；熟悉TCP/IP、UDP、HTTP等网络协议及特性，有相关的开发经验；熟悉java/kotlin语言，具备良好的编码风格，熟练代码管理工具git；具备良好的定位根本原因并解决问题的能力，良好的学习和分享习惯，工作积极主动，责任心强；具有音视频编解码、视频图像处理、native开发经验者优先。,社交,2000人以上,android,广东
TME-腾讯音乐广告Android开发工程师,https://www.lagou.com/jobs/7162076.html,南山区,20k-30k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,工作职责负责QQ音乐/全民K歌Android APP广告业务的开发工作；与产品、测试及其他团队协作，分析产品需求，制定技术方案，攻克技术难题；新技术研究和引入；广告Android SDK的架构设计、迭代开发和重构优化。工作要求3年以上安卓开发经验，计算机基础扎实，熟悉主流框架及原理；熟悉安卓ui框架、线程、进程特性，熟悉安卓性能指标、监控工具及调优方法；熟悉TCP/IP、UDP、HTTP等网络协议及特性，有相关的开发经验；熟悉java/kotlin语言，具备良好的编码风格，熟练代码管理工具git；具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强；了解互联网广告，有广告相关经验者优先。,社交,2000人以上,android,广东
android开发工程师,https://www.lagou.com/jobs/6840223.html,番禺区,10k-16k,广州经传多赢投资咨询有限公司,1-3年,本科,扁平化管理 发展空间大 晋升清晰,"经传自成立以来，以专业的产品与优质的服务取得众多用户的认可和肯定，通过努力奋进，2018年行业排名前三，始终秉承拼搏、创业、协同、共赢的理念，成就百年经传的美好祝愿。随着经传发展壮大，我们期待着更多新鲜血液的加入！ 【岗位职责】1、负责移动组安卓端相关项目的开发；2、较强的逻辑思维能力，可以独立完成 bug 分析解决的工作。【岗位需求】1、计算机相关专业，了解证券股票，两年以上证券相关开发工作经验；2、Java 基础扎实，熟练使用 Android SDK，有源码阅读经验优先；3、较强的逻辑思维能力，可以独立完成 bug 分析解决的工作；4、具有丰富项目经验，包括但不限于（自定义View、性能优化、插件化/组件化、掌握常用数据结构和算法）；5、加分项：了解主流开发框架（如 Dagger2、RxJava、DataBinding等），有Github 或技术博客等相关作品。【补充】项目是主力核心产品，团队成员基本都是独当一面的双端(windows客户端+linux后端)；本职位成员由项目经理和资深UI工程师辅导，能够掌握非常全面的C++开发技术；团队更加有业界一流的金融业务型程序员专家，操盘千万资金，高富帅还远吗?【关于我们】（我们是一个不需要融资的二十年创业团队） 经传多赢 （ http://www.jingzhuan.cn ）公司是互联网金融行业，全国行业排名前三，是有牌照的投资咨询公司（广州仅6家），主要从事证券辅助决策软件研发、金融数据挖掘与分析、金融信息服务等业务，于2013年全资收购了深圳市智多盈投资顾问有限公司（中国证监会核准 [核准号：ZX0172] ）。【我们将为您提供】1、奖金+提成：优秀的您可以共享公司的经营业绩，直接每月兑现公司总销售利润；2、试用期全薪，年终绩效奖金13-17薪，晋升为事业合伙人可享受公司利润提成，优秀员工享受出国旅游机会；3、每日提供下午茶和水果零食，月度""团建活动"",各种节假日礼物、奖金放送；设备补贴；4、购买五险一金；5、年终发放千元孝心红包给父母，平时各种团建活动聚餐；6、年度旅游+部门旅游+月度团建活动，福利待遇超级好；7、舒适高大上的办公环境，位于高新企业园区；8、福利太多，不能一一描述......【温馨提示】上班地点：公司总部（番禺节能科技园总部中心2号楼19楼整层）上班时间：上午8:45—下午6:00，中休2小时，单休，法定节假日正常休息我们还有几个措施也改善下大家的上班体验：1、 给予超市场回报的薪水（也提供更快加速度的涨薪幅度）2、周六多为团建活动与专业知识交流会3、不鼓励加班，倡导高效开发文化。欢迎加入经传的大家庭，不一样的平台成就不一样的你，我在经传等你！",金融,2000人以上,android,广东
android开发工程师,https://www.lagou.com/jobs/7197075.html,龙岗区,10k-15k,深圳市蛋壳创意科技有限公司,1-3年,大专,"地铁周边,年轻团队,五险一金,带薪休假","1.熟悉java，理解面向对象的设计思想，常用设计模式2.熟悉RXJava、MVP开发架构3.熟悉Android UI布局开发，动画开发4.熟悉Android View绘制流程,有开发定制化控件能力5.有良好的编码风格，追求代码执行效率，了解基本数据结构和算法。6.熟练使用GIT版本管理加分项:1.有蓝牙、wifi对接经验2.有ReactNative技术开发经验福利待遇:1.  拥有住房补贴、全勤奖、 管理奖金、结项奖金、带薪年假、年终奖、带薪事假2. 婚嫁/产假/陪产假/丧家等带薪假3. 季度升薪、每个季度我们会针对优秀的员工进行提薪, 提薪额度500-1500不等4.每年一次的设备补贴5.加班提供加班餐和打车报销6.公司为每一位员工购买五险一金, 公积金个人缴纳部分公司全额缴纳7.不定时的团建活动8.齐全的办公和生活设备: 茶水间设有冰箱+微波炉+各类咖啡和茶包9. 公司拥有完善的培训体系+晋升机制, 注重内部人才成长与培养10. 朝九晚六, 半小时弹性上班, 中午休息两小时、每天工作7h, 大小周, 晚走晚到, 最晚可以11点上班11.办公环境: 地铁站旁边、高层写字楼、交通便利, 吃住实惠12.90后年轻团队, 公司氛围好, 个人提升、晋升机会大","移动互联网,其他",50-150人,android,广东
Android开发工程师,https://www.lagou.com/jobs/4641224.html,罗湖区,8k-15k,深圳市阿卡索资讯股份有限公司,3-5年,本科,"双休,五险一金",岗位职责：1、负责Android手机端 App的开发；2、能独立进行应用的设计和实现。 任职要求：1、本科及以上学历，计算机、电子、自动化及通信专业；2、2-3年的Android开发实战经验，深刻理解Handler消息机制，熟悉Java内存管理，动画，多线程开发；3、熟悉Socket，Http(s)等常用协议编程，网络通信基础扎实；4、有 视频直播，音视频开发经验优先 ；5、熟练使用ADT工具，具备Android平台性能优化的经验。,"教育,移动互联网",2000人以上,android,广东
android开发工程师,https://www.lagou.com/jobs/7087716.html,茂南区,8k-12k,广西屏客名榜网络科技有限公司,3-5年,不限,13薪+包吃住+社保+奖金+团建旅游,岗位职责：1、负责Android端APP研发工作；2、和产品部门配合，深度参与手机产品需求讨论，功能定义等；3、依据项目进度与需求完成软件功能实现；4、设计良好的代码结构，不断迭代重构；5、对APP性能进行**优化、重点难点问题攻关解决；6、和产品团队配合，深度进行产品需求讨论等；岗位要求：1、本科以上学历，计算机、通信等相关专业；2、三年以上Android平台应用开发经验；3、独立负责过Android客户端产品关键核心模块的设计工作；4、深入理解Android的消息机制、事件传递机制，有UI优化实践及架构心得和经验更佳；5、熟悉Android网络编程和数据库开发，基本功扎实，可以应对各种Android复杂问题，并迅速给出解决方案；6、熟悉JAVA设计模式，多线程开发，有良好的编程习惯和面向对象编程思想；7、有SSM，Freemark相关工作经验者优先；8、有良好的沟通表达能力和团队合作精神，有较强的学习欲望和学习能力；,"电商,社交",150-500人,android,广东
