job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7188805.html,武侯区,8k-10k,宁夏博信通科技有限公司,1-3年,本科,五险一金 周末双休 节日福利 季度团建,"岗位职责：1. 基于Android平台进行手机软件的设计、开发、需求分析等；2. 熟悉手机客户端应用程序开发工具,包括UI及通讯等；3. 与项目相关人员配合共同完成手机客户端应用软件的开发设计工作；4. 配合美术及策划人员能够优化现有产品的用户操作体验；5. 源代码的模块学习开发及测试。职位要求:1.两年以上android平台开发经验，熟练使用eclipse、androidsdk等开发工具进行开发，了解android框架api；主导过一个以上开发项目者优先。有成熟作品者优先；2.构建软件产品的系统架构，包括软件设计、编码和验证；3.根据产品需求和概要设计写出产品详细设计文档，对指定模块和功能编码实现，参与相关技术难点攻关；4.熟悉Android平台UI设计规范，对Android控件的理解较深，能够按要求实现自定义UI和功能。","企业服务,信息安全",2000人以上,android,成都
Android高级开发工程师,https://www.lagou.com/jobs/6800093.html,高新区,20k-40k,腾讯科技（深圳）有限公司,5-10年,本科,大厂待遇,岗位职责：    1.负责腾讯手游网络优化相关APP设计及开发实现；2.负责其他创新性手游相关APP中重点、难点的技术攻关；3.负责腾讯合作手游的技术运营类工作，包括日常业务运维，故障监控处理，运营工具的开发等。任职要求：1.5年以上移动端项目经验，扎实的数据结构和算法基础，良好的编程习惯；2.精通Android/JAVA，精通Android系统原理，熟悉Flutter，Kotlin；3.较好的C++功底，有C++后台开发项目经验；4.熟练掌握网络通信相关开发，有实际参与过HTTPS、TCP、UDP项目开发；5.熟练掌握Android内存管理机制和多线程、内存优化、性能优化；6.有VPN、游戏引擎unity/unreal/cocos开发、视频流媒体如RTP/RTCP开发经验优先；7.有Windows的开发，熟悉视频服务端开发，熟悉RTMP，RTP/RTCP等流媒体网络传输协议优先；8.参与过GitHub 100start以上开源项目加分；沟通协作意识好，思路清晰、工作积极主动、上进心强，具备足够的抗压能力。,社交,2000人以上,android,成都
安卓android,https://www.lagou.com/jobs/7164521.html,郫县,20k-40k,四川万特达科技有限责任公司,3-5年,不限,包吃住,"1、4年以上工作经验，熟练掌握android studio使用，git，fiddler等工具2、熟悉MVVM、Kotlin，有一定的项目经验，能够快速的上手开发3、了解使用LiveData、DataBinding,会常见的数据绑定，事件绑定4、精通rxjava的使用，常用函数，线程调度的使用5、熟悉https证书验证，http协议请求，tcp/ip,线程池等技术6、具备性能优化，对大内存块排查，内存泄漏问题，能够排查处理，熟悉使用studio profiler使用7、能够独立开发项目，搭建项目框架，熟悉MVP,MVVM模式8、对体育有一定的了解者优先9、有一定的Flutter经验者优先10、成熟稳重、性格活泼、工作认真踏实，学习能力强。11、男女不限，年龄35岁以下，接受异地办公","硬件,数据服务",50-150人,android,成都
android开发工程师,https://www.lagou.com/jobs/6971383.html,武侯区,8k-14k,四川爱迪讯科技有限公司,3-5年,大专,带薪年假、年终奖金。,职位要求： 1、计算机相关专业，3年以上Android客户端开发经验；2、有丰富的移动端APP应用项目经验和架构经验；3、熟悉Android系统体系结构以及底层库及常用布局、UI设计，丰富的手机UI设计经验；4、良好的编程习惯，精通数据结构和面向对象程序设计，编写高效，整洁的代码；5、熟悉Android系统体系结构以及底层库及常用布局、UI设计，丰富的手机UI设计经验；6、参与过React Native，Weex或Flutter等跨端项目；7、熟练掌握并具有kotlin、nodejs、typescript等语言开发经验者优先。,"医疗丨健康,数据服务",15-50人,android,成都
Android开发工程师,https://www.lagou.com/jobs/6021861.html,金牛区,7k-13k,成都骅光医疗器械有限公司,1-3年,不限,"成长培训,吃住全包,发展空间,职位升迁",工作职责 ·  参与软件需求分析、架构设计、功能设计、原型设计、接口设计; ·  参与应用架构设计、开发、性能优化等工作； ·  根据开发规范完成编码、测试以及相关文档的编写； ·  对所负责模块的代码质量与程序稳定性负责； ·  对独立完成产品的后期维护和二次开发； ·  持续不断的改进用户体验，负责相关新技术新架构的实现。基本要求 ·  深入理解Android的消息机制、事件传递机制，熟练自定义控件，有UI优化实践及UI架构心得和相应的适配、性能优化相关经验更佳； ·  熟悉Java设计模式、多线程并发，有良好的编程习惯和面向对象编程思想； ·  熟练使用当下流行的Android开发框架，基本功扎实，可以应对各种Android复杂问题，并迅速给出解决方案； ·  深入研究过Android系统机制和Framework源码，精通Android上的app开发、调试、编译、打包等流程； ·  具有较好的代码风格，有较强的独立工作能力，熟悉Android各版本的适配与系统兼容。加分项 ·  有较完整Android项目的设计、开发、交付经验。,"医疗丨健康,企业服务",500-2000人,android,成都
高级Android开发工程师,https://www.lagou.com/jobs/6544921.html,高新区,10k-20k,成都路行通信息技术有限公司,3-5年,本科,五险，周末双休，节日福利，带薪年假,工作职责：1、负责androidAPP代码、开发设计，架构方面的质量相关开发工作2、从架构、设计和代码层面识别出潜在的问题，提升整个研发效益3、负责效率和质量提升的框架和工具的开发4、完善相关功能模块的开发文档工作要求：1、本科以上学历，计算机或相关专业，3年及以上Android开发经验，带团管理经验优先；2、熟练使用kotlin语言以及kotlin协程、jetpack等架构组件3、熟练使用ARouter、dagger、高德地图等第三方框架并能根据需求进行适当的封装4、熟悉自定义view的绘制流程，并能熟练进行绘制5、熟悉各种动画，并能根据实际情况实现不同的动画效果6、具有一定的性能优化经验，能够系统化的提升应用的整体性能7、有github开源项目者优先，了解与硬件通过WiFi或蓝牙通信相关问题者优先8、具备良好的优化和分析解决问题能力，能承担任务和有系统进度把控能力；较强的团队精神、良好的表达和沟通能力，工作认真负责,"移动互联网,消费生活",500-2000人,android,成都
Android高级开发工程师,https://www.lagou.com/jobs/7218246.html,高新区,15k-25k,成都品果科技有限公司,3-5年,本科,一线产品 扁平管理 双休 福利好,职位描述：1.在Android平台上开发/维护各种富有创意的影像产品2.持续学习新技术，引入现有产品，改善产品体验并创造价值岗位要求：1.3年以上Android开发经验2.掌握基础数据结构及常见设计模式，良好的编码习惯3.熟练掌握Java或Kotlin语言，熟悉Android UI/网络/数据库开发4.能够独立负责App开发，有大型App开发上线经验优先5.熟悉常见开源库及实现原理6.良好的协作沟通能力7.熟悉Kotlin优先、熟悉Camera渲染或图像处理优先,移动互联网,150-500人,android,成都
android开发工程师,https://www.lagou.com/jobs/6935568.html,高新区,10k-15k,成都大淘客科技有限公司,5-10年,本科,"年底多薪,五险一金,带薪年假","岗位职责1.参与CMS项目需求迭代维护和优化工作2.根据产品功能设计进行需求分析和技术方案讨论3.参与Android端项目组件化架构工作4.参与大淘客APP开发工作5.参与APP性能优化工作任职资格1. 计算机相关专业大学本科以及以上学历2. 熟悉组件化开发,良好的架构能力3. 熟悉kotlin开发. 掌握mvc,mvp,mvvm开发模式4. 熟悉性能优化，熟悉Rx响应式编程5. 掌握Android Jetpack下工具包使用6. 掌握设计模式的实际使用7. 良好的编码规范","移动互联网,电商",50-150人,android,成都
Android开发工程师,https://www.lagou.com/jobs/512073.html,高新区,11k-18k,成都奇鲁科技有限公司,1-3年,本科,福利待遇好，发展空间大,岗位职责：1.负责海外Android产品的研发与维护工作；2.负责界面修改、多线程、网络通信、SQLite数据库等操作；3.参与方案讨论和技术调研、负责方案升级、更新。 任职资格：1. 精通android平台，至少3年以上的实际android平台开发经验；2.对android系统有全面的了解，能根据产品设计独立进行应用程序开发；3.了解操作系统原理，掌握常见的数据结构和算法，熟练掌握java语言，对数据结构有深入的理解，有良好的编程习惯；4.具备良好的职业素养和团队协作精神，以及较强的学习和交流能力。,移动互联网,150-500人,android,成都
android开发工程师,https://www.lagou.com/jobs/6399342.html,武侯区,12k-24k,成都艾乐橙文化传播有限公司,5-10年,大专,年终福利 、带薪寒暑假期,"一、我们需要您： 1、负责产品Android客户端相关模块的设计，开发2、负责产品架构的改进及性能优化3、负责新技术的学习、研究和应用二、我们期待这样的您：1、 熟悉Java 深入理解面向对象的设计模式，熟练掌握数据结构、基本算法2、 了解Android平台内存管理机制、进程管理机制、任务管理机制3、 深入了解Android UI事件传递、布局、绘制等原理，能够编写自定义UI控件4、 有良好的编码习惯,要求结构清晰,命名规范,逻辑性强,代码冗余率低5、 学习能力强，工作积极主动，有较强分析和解决问题的能力，工作积极主动，良好的责任感和严谨工作作风,有良好的团队精神和敬业精神三、我们能给您的：1.乐享假期：带薪寒暑假（7-15天），惊不惊喜，意不意外，是的，我们有寒暑假2.公司平台：已获得三轮一线资本融资，素质教育准独角兽创业公司3.工作氛围：友爱活泼的年轻群体，多才多艺的萝莉御姐鲜肉，帅哥多多，美女多多4.日常福利：超多节假日小礼品5.日常活动：定期的团队建设、年度出游、读书会等6.内部福利：学舞蹈（街舞、中国舞等）更轻松，亲朋好友优惠多多","教育,文娱丨内容",500-2000人,android,成都
