job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级android开发工程师,https://www.lagou.com/jobs/7219699.html,余杭区,25k-35k,淘宝（中国）软件有限公司,3-5年,本科,新业务线，发展潜力大，来了就是未来老员工,岗位描述：淘系技术部隶属于阿里巴巴新零售技术事业群，旗下包含淘宝技术、天猫技术、农村淘宝技术、闲鱼、iHome等团队和业务，是一支是具有商业和技术双重基因的螺旋体。新零售技术事业群的使命是技术驱动新商业，淘系技术部的愿景是致力于成为全球最懂商业的技术创新团队，打造消费者和商家一体化的新零售智能商业平台，创新商业赛道。依托淘系丰富的业务形态和海量的用户，我们持续以技术驱动产品和商业创新，不断探索和衍生颠覆型互联网新技术，以更加智能、友好、普惠的科技深度重塑产业和用户体验，打造新商业。随着新零售业务的持续探索与快速发展，我们不断吸引用户增长、机器学习、视觉算法、音视频通信、数字媒体、端侧智能等领域全球**专业人才加入，让科技引领面向未来的商业创新和进步。该岗位主要负责电商系核心项目研发，需要JAVA、Android、ios、前端、测试、数据等方向的研发人才。岗位要求：Android：1、2年以上Android客户端开发经验，有独立设计Android客户端架构经验；2、熟悉Android SDK以及相关配套工具；3、基本功扎实，可以应付各种Android复杂问题，并迅速给出解决方案；4、熟悉Android Framework层，并有一定Android源码阅读经验；5、熟悉各类动态化以及跨端框架，了解iOS/Android的最新特性以及业界最新方向，对端上开发有持久和深入的热情；,电商,2000人以上,android,杭州
Android开发工程师,https://www.lagou.com/jobs/4119036.html,滨江区,12k-24k,浙江天垂科技有限公司,1-3年,本科,"硅谷团队,五险一金,弹性工作,正版软件","作为 Android 开发工程师：
  负责 Android 客户端产品开发和维护；
  持续完善客户端用户体验和性能；
  参与产品需求分析并制定技术方案。
要求:
 至少 2 年以上的 Android 编程经验，有扎实的 Java 语言基础，有着良好的编码习惯
 有至少一款产品全程经验并上线
  熟悉 Android 相关的 framework 和 API
  熟悉 android studio 开发环境，熟练使用开发工具提升效率
  熟悉 Android 下网络通信机制，对 Socket 通信、TCP/IP 和 HTTP 有一定理解和经验；
  善于沟通和合作，掌握源代码管理工具 svn、git 等；
 加分项:
 独立负责过Android项目的开发
 熟练进行Android中的C/C++与Java互操作
 熟练进行相机数据流获取、渲染、交互的功能开发.
 了解其他编程语言（Python、JavaScript 等）
除此之外HR想说：
 截至目前，我们的程序员小伙伴都毕业于211/985学校，还有硅谷的技术大牛带队指导，探寻讨论技术设计、技术框架和技术选型，是一个纯技术、重技术、崇尚技术的小团队；
 热烈欢迎各种小姐姐加入；
 想要转型学习使用其他语言的小伙伴，也请快快砸来简历，我们更看重潜力而非目前的技术水平，HR小姐姐期待你们的加入~~","数据服务,企业服务",15-50人,android,杭州
Android开发工程师,https://www.lagou.com/jobs/7033073.html,萧山区,15k-30k,金华市瑞方信息科技有限公司,3-5年,本科,领导nice 创业团队 社保 公积金,职位描述：1 负责Android客户端的产品开发和维护；2 负责Android底层基础模块和整体架构的优化；3 持续的从技术角度提升App易用性，保证App稳定性；4 根据产品设计，进行高质量的软件开发和持续性能优化。任职要求：1 本科及以上学历，工作3年以上，精通Java、Android SDK、JNI和NDK，熟悉Android平台体系结构；2 精通Android App开发，熟练掌握常见的开源框架及其设计原理，优秀的面向对象化编程思想；3 有基础框架设计、公共组件开发、App重构和优化等实践经验，熟练掌握Android基础框架原理；4 有强烈的责任心和团队精神，善于沟通；5 有重构、优化项目经验者优先。,软件开发,50-150人,android,杭州
Android开发工程师,https://www.lagou.com/jobs/7007818.html,西湖区,10k-20k,杭州涂鸦信息技术有限公司,1-3年,本科,"独角兽,不打卡",岗位描述1）独立完成 Android客户端程序的开发，相关功能预研和研究；2）根据产品需求开发相关的移动产品；3）验证和修正测试中发现的问题；岗位要求：1）计算机或相关专业本科以上学历；2）对数据结构和算法设计具有深刻的理解；3）熟悉掌握Java，熟悉Android SDK；4）一年以上Android开发经验，能独立开发Android App；5）善于学习和运用新知识，具有良好的分析和解决问题能力；6）具有良好的团队合作精神和积极主动的沟通意识；7）具有良好的英语听说读写能力。加分项：1）大型IoT平台应用开发经验2）有React Native开发经验；3）熟练运用算法和数据结构；4）有性能优化项目经验。,"移动互联网,硬件",500-2000人,android,杭州
Android安卓移动开发工程师,https://www.lagou.com/jobs/6527071.html,滨江区,15k-25k,特抱抱科技（杭州）有限公司,3-5年,大专,五险一金，定期体检，年度旅游,职位描述：安卓移动开发工程师1.负责android平台下客户端及通用框架开发工作2.负责android平台下相关业务组件、基础组件的开发工作3.参与项目新技术预研工作4.参与项目中关键技术选型、方案制定5.负责项目相关文档的开发任职资格： 1.扎实的计算机基础，三年及以上工作经验2.Java基础扎实，理解iO、多线程、集合、反射等基础技术3.熟悉Android下网络通信机制，熟悉TCPIP和http协议，对Socket有一定的理解4.了解android内存管理机制，了解android底层技术架构5.熟悉android流行的开源组件和框架6.能够写出强稳定、高可用、易扩展的代码7.对UIUE有自己的感知，理解android设计，追求用户体验，能够进行相关产品讨论8.掌握通用的设计原则和设计模式，理解android模块化和API设计思路9.对React Native、Fluter等跨平台技术有一定的了解 微信分享,"移动互联网,电商",50-150人,android,杭州
安卓开发工程师,https://www.lagou.com/jobs/6869461.html,萧山区,15k-25k,浙江省农村信用社联合社,1-3年,本科,发展前景大、福利待遇好,"一、岗位职责1. 负责银行各业务系统的Android APP的设计和研发工作2. 负责管理自身项目和需求的优先级、按时高质量交付3. 与产品经理沟通需求，进行相关的技术文档编写，方案设计4. 设计良好的代码结构，不断迭代重构5. 指导并带领初级工程师共同完成研发任务二、岗位要求1、年龄35周岁以下（特别优秀的可放宽至38周岁）；2、全日制本科及以上学历并取得相关学位，计算机科学与技术、软件工程、数学等相关专业；3、2年或以上Android开发经验，有成功开发并上线到应用市场的经验4、良好的计算机基础，数据结构和算法。对操作系统相关的线程、内存、文件有深入了解的优先,熟练使用Android，熟悉Android的Runtime, 内存管理机制和多线程开发，熟练处理各版本的兼容性问题。5、对于网络编程有一定的经验，对于HTTP的协议栈能够有深入的认知。6、对于优化程序的性能有一定经验，了解并使用面向接口开发模式，对http协议有一定了解，并可以熟练使用，熟悉XML和JSON数据结构，具有APP安全防范处理经验7、逻辑思维能力强，思路清晰，有创造性，有良好的英文资料阅读能力8、有银行金融业相关开发经验优先考虑","其他,金融",2000人以上,android,杭州
高级Android开发工程师,https://www.lagou.com/jobs/6629677.html,西湖区,20k-40k,杭州晓宇科技有限公司,3-5年,本科,"期权鼓励,扁平管理,弹性上班,前景广阔","投递简历前，请 base64decode 以下内容:```5aaC5p6c5L2g5ZKM5oiR5Lus5LiA5qC354Ot54ix57yW56CB77yM55e06L+35LqO5bel56iL5oqA5pyv77yM6K+35YaZ5LiA5bCB6YKu5Lu277yM566A5Y2V5LuL57uN5L2g6Ieq5bex5bm26ZmE5LiK5L2g55qE566A5Y6G77yM6Z2e5bi45pyf5b6F5pS25Yiw5L2g55qE5p2l5L+hOiBmZWlqaWxiakBnbWFpbC5jb20NCkhhcHB5IGNvZGluZyE=```### 关于『红蓝 CP』，关于工程师岗位职责0. 『一专多精』是我们对『人才』的定义。1. 团队工程氛围异常浓厚，CEO 能写 Query 从 Mysql 或 Hadoop 查数据，产品和运营同学交付需求有时会详细到数据库表设计。2. 产品方向上，我们通过数据做决策。工程研发上，写代码前，我们花大量的时间在做方案设计。3. 工程团队承担极具挑战的研发任务，给用户提供高质量的产品。4. 我们通过大量制造和使用的工具，避免重复劳动，实现快于一般团队数倍的速度交付产品。5. 通常，团队的每个工程师都会涉及多个技术领域的研发工作。### 任职要求0. 为人正直，品味良好。1. 使用 Google 而非百度；2. 基础扎实，了解时间复杂度，空间复杂度；3. 至少熟悉一个技术栈的产品研发;4. 熟悉 Linux 常用命令；5. 代码干净漂亮；6. 良好英文阅读能力；7. 对技术有热情，痴迷于精巧的结构；### 加分项0. 熟悉 Vim 操作；1. 会多种开发语言。2. Typing speed, WPM 90 以上: http://www.keybr.com/3. GitHub 上有代码或者有博客；4. 英语口语好。### 团队技术栈崇尚小而精团队，不做劳动密集型的事情，任何事情要是重复超过 3 次，就一定会被工具化。推崇务实，有问题解决问题的踏实的工程态度。团队每个成员都会多门语言。以下是目前的团队技术栈：* 大前端方向    * iOS: Swift    * Android: Material Design / Target Api 28 / 部分 Kotlin    * 客户端部分功能使用 weex 实现，以减少团队重复劳动    * Web: vue.js，部分老旧业务还是 jQuery；styling: css / less / sass    * 小程序: wepy* 大后端方向    * 开发和生产环境全容器化，server 弹性伸缩    * 全 https    * 大量使用 CDN    * 大量使用队列削峰填谷    * 后端主要语言为 PHP，python 和 Java 做一些中间服务，openresty    * devops: ansible / cloud-init / Jenkins    * 日志收集使用 ELK    * Data warehouse: Hadoop    * 推荐系统目前基于用户标签### 在招职位我们需要业界优秀的人才来带领我们前进，也欢迎聪明有天分的后起之秀为将来提供更多的可能。目前我们处于高速增长阶段，人才多益善。如果你喜欢高效 自驱 开放的团队，如果你认可【创造美好相遇】的使命。如果你擅长以下一个或多个方向，并认同我们，欢迎加入我们：*  Android 方向*  iOS 方向*  后端方向*  前端方向*  数据方向*  机器学习方向Happy coding!---可以先了解我司产品：App：红蓝CP小程序：一周CP | 恋爱体验馆【红蓝CP - 企业介绍】简书链接https://www.jianshu.com/p/2ac36e9f773e","移动互联网,社交",15-50人,android,杭州
Android安卓开发工程师（CBU联接协同）杭州,https://www.lagou.com/jobs/7066620.html,滨江区,18k-29k,广州市百芳斋食品有限公司,5-10年,本科,五险一金 岗位高薪,java精通Java语言，有C/C++/JavaSript经验开发优先职位描述：1、负责SAAS业务移动端即时消息以及音视频通话模块的设计、代码编写及看护等工作；2、参与产品需求、程序架构和代码等评审工作；3、快速解决在项目开发过程遇到的各种问题。招聘要求：1、 熟悉Android的App原生开发；2、 精通java语言，有C/C++/JavaSript经验开发优先；3、 熟悉多线程、TCP/IP，有UI性能优化及数据库优化优先；4、 有即时消息或音视频编程经验优先；5、 具备较强的学习能力和基本沟通能力。,"电商,消费生活",150-500人,android,杭州
安卓开发工程师,https://www.lagou.com/jobs/6975243.html,滨江区,17k-30k,杭州睿琪软件有限公司,3-5年,本科,工程师文化；弹性打卡,"职责描述：1、负责APP产品移动端开发；2、根据公司需要,进行模块的优化和维护; ；3、验证和修正测试中发现的问题；4、配合其他部门,提供产品相关技术支持任职要求：1 有过负责大流量移动端APP开发经验者有先；3-5年以上Android编程经验，有着良好的编码习惯和基础；2、熟悉Android应用层开发；3、掌握面向对象，会使用常用的设计模式；4、熟悉Android Studio 开发环境，能熟悉使用快捷键加速开发；5、善于沟通和合作，掌握源代码管理工具SVN等。",数据服务,150-500人,android,杭州
安卓开发工程师,https://www.lagou.com/jobs/7027505.html,余杭区,18k-35k,杭州同花顺数据开发有限公司,不限,本科,班车；食堂；健身房；带薪年假；五险一金,移动平台开发部为每一位新同学提供了持续成长的技术学习活动，前沿技术、AI结合下场景功能、线上公开课、基础素质等系列来培养人才。让我们来迎接千万级日活用户的挑战吧！工作内容：1、参与同花顺APP客户端的研发工作，包括需求沟通、功能方案设计与开发等；2、参与代码重构、启动性能、页面秒开、效率工具化等建设；3、flutter跨平台建设、安全加固建设。 要求：1、本科学历以上，计算机相关专业，有工作经验；2、对技术有热情，有好奇心，有阅读源码的习惯；3、有良好的面向对象思维、扎实的Java基础，有JNI开发经验者优先；4、对Android的稳定性、高性能编码有比较深刻的认识；5、有前端开发经验者优先，有Kotlin开发经验者优先；6、加分：结合场景给出OOM、ANR、Native Crash等复杂问题的方案。,"金融,电商",2000人以上,android,杭州
