job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7152320.html,江汉区,12k-20k,武汉楚匠网络科技有限公司,3-5年,本科,"成长空间大,薪资有竞争力",岗位职责：1.参加移动端产品的需求分析、架构设计、编码测试、性能优化等工作；2.负责移动端代码的实现，编写需求文档、开发文档等；3.及时准确地判断、定位开发过程或生产运行中的问题并协调解决。岗位要求：1.熟练掌握Android开发平台及框架，一年以上实际开发经验；2.熟悉C/C++或者Java开发语言和环境，熟悉js优先。3.熟练掌握AndroidGUI程序开发；SDK及相关开发工具的使用；4.熟悉移动终端特性和开发特点；熟悉移动终端网络编程；5.接入过多个平台SDK，对Android机型以及适配方面有丰富经验；,软件开发,15-50人,android,武汉
Android开发工程师,https://www.lagou.com/jobs/6875437.html,东湖新技术开发区,20k-40k,华为技术有限公司,1-3年,本科,五险一金、绩效奖金、股票期权，带薪年假,岗位职责：1、负责Android产品应用软件相关模块包括Framework、多媒体、通信协议、上层应用的功能设计、开发、调试等。2、负责解决产品交付过程中问题，包括性能功耗稳定性等专项工作。岗位要求：1、全日制本科及以上学历，一年以上工作经验；2、精通java/C++语言、有模块设计经验；3、掌握android软件开发技术，了解Android系统架构，有Framework、多媒体、GPS/WIFI/NFC/Bluetooth等专业技能者优先。4、有大型软件项目的方案设计、开发经验者，在性能、功耗、稳定性上有调优经验者。5、具备良好的团队精神，责任心强、抗压能力强、沟通协调能力强，工作认真细致。,通讯电子,2000人以上,android,武汉
Android开发工程师,https://www.lagou.com/jobs/4018396.html,洪山区,15k-30k,北京金山办公软件股份有限公司,5-10年,本科,"技术氛围强,六险一金",岗位职责：1、负责App手机软件的开发及设计2、负责App的持续维护、更新3、负责App公共基础lib库建设4、负责软件设计、使用等文档的编写5、持续关注、研究新技术、新产品，积极沟通与分享自己的研究成果岗位要求：1、3年以上Android开发经验，有完整app开发上线运维经验；2、精通Android SDK，网络通信、数组存储、UI布局、动画与控件使用；3、熟悉Mvc、Mvp框架，熟练使用Okhttp、Retrofit、RxAndroid；4、熟练使用注解，熟悉android aop编程5、热爱编程、热爱技术，编写逻辑完整、严谨，风格优雅的代码，完整、规范的文档6、有React-Native或flutter上线项目优先,移动互联网,2000人以上,android,武汉
Android开发工程师,https://www.lagou.com/jobs/7218779.html,洪山区,10k-15k,武汉毕格邦科技有限公司,1-3年,本科,大牛指导、全额公积金、年度旅游、双休,岗位职责：1、据产品需求完成Android移动终端产品的开发、维护和演进；2、与产品经理配合，深入参与移动产品需求讨论、功能定义及完善等。任职要求：1、统招本科及以上学历，985/211优先，专业不限；2、具备1-3年Android系统开发经验，对Android开发平台和主要框架有深入的理解；3、对应用架构有深刻认识，熟悉Android应用性能调优和机型适配；4、有完整的APP产品开发及上架经验，熟悉Java语言；5、有独立解决技术问题的能力，面对技术难点有判断、选型、实施的能力；6、具备视频编解码方向相关项目/产品经验者优先。,移动互联网,15-50人,android,武汉
Android安卓软件工程师,https://www.lagou.com/jobs/6505480.html,武昌区,12k-18k,湖北长江云新媒体集团有限公司,不限,大专,"薪酬福利好,发展前景好",岗位职责：1、带领团队进行项目需求分析、前期技术调研、负责按照iAndroid框架设计和应用开发；2、带领本团队进行项目迭代，按质按时完成版本迭代上线，对本团队成员进行技术培训，提升团队技能水平;3、负责APP业务开发流程的控制、优化，项目进度的管理、把控，团队内外的技术沟通；4、规划团队内部发展目标和组织团队建设;5、核心技术代码的编写和对组内成员代码进行质量监控;6、参与制定团队的技术规划与团队发展目标;任职要求：1、至少五年以上Android平台开发经验，有大型App上线开发经验者优先；2、精通掌握JAVA技术，熟悉面向对象编程设计，具备扎实的编程基础；3、精通Android应用开发框架及Activity生命周期、熟悉Android UI/Framework开发，熟练使用Android SDK、熟练使用SQLite数据库；4、精通移动网络通信机制，对Socket通信，TCP/IP和HTTP有实际开发经验；5、良好编程习惯和文档编写习惯、具备良好的分析解决问题能力、有良好的沟通能力；6、具备良好的框架设计能力和高质量编码能力；7、能够独立解决疑难问题，具备技术前瞻性，熟悉Android运行机制，对团队技术产生影响力，带领团队技术能力的提升；8、良好的数据结构和算法基础；9、具备混合式开发经验，了解H5/JS技术；10、熟悉NDK开发，具有上线NDK开发经验者尤佳；员工福利：1、五险一金，周末双休，国家法定节假日正常放假；2、工作满一年，即可享受带薪年假；3、每年定期身体检查；4、工会福利（生日蛋糕卡、电影票、节日福利等）；上班时间：周一至周五，8:30-17:30，中午休息2小时（夏令时间休息2.5小时），周末双休,"移动互联网,数据服务",150-500人,android,武汉
android开发工程师,https://www.lagou.com/jobs/6922764.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,不限,弹性工作,"工作职责：1、基于Android平台进行移动端应用程序独立开发设计、实现、以及功能维护；2、参与App模块的系统分析，架构设计；负责模块编码和单元测试， 并编写相关技术文档；3、负责客户端产品的优化、升级工作；4、学习新技术以满足产品的需求，并根据开发过程中的体验对产品提出改进建议。任职资格：1、计算机相关专业优先，具备有一定的逻辑思维,热爱互联网工作；2、具备一定的java/c语言基础，熟悉数据结构，常用算法；3、对Android开发有兴趣；喜欢从事Android开发工作；4、学习能力强，工作热情高，富有责任感，能在高级工程师的指导下完成工作内容。",文娱丨内容,2000人以上,android,武汉
Android开发工程师,https://www.lagou.com/jobs/2714124.html,东湖新技术开发区,15k-25k,武汉微派网络科技有限公司,3-5年,本科,"独立开发，发展空间大,技术氛围好",【岗位职责】1.独立完成移动终端产品应用的功能模块开发，可以参考【会玩】App；2.对项目进行性能优化和代码重构、提升产品性能和改善代码质量等；3.研究和分享新技术以满足产品需求、提升效率和促进团队技术进步等。【任职要求】1.熟练掌握面向对象的编程思想，具备良好的数据结构和算法等基础；2.熟练掌握android界面绘制、事件机制、网络通信等原理；3.熟悉android打包流程，启动流程，类加载，进程与线程，同步锁等原理；4.熟悉性能优化方式和指标，设计模式及其原则和思想，项目架构等；5.具备较好的沟通能力、学习能力和解决问题的能力。,社交,150-500人,android,武汉
android开发工程师,https://www.lagou.com/jobs/6836174.html,东湖新技术开发区,10k-20k,武汉佰钧成技术有限责任公司,1-3年,本科,周末双休 交通补贴,二本以上学历，计算机相关专业，1年以上安卓开发经验,移动互联网,2000人以上,android,武汉
Android高级开发工程师,https://www.lagou.com/jobs/6969114.html,东湖新技术开发区,15k-25k,武汉木仓信息技术有限公司,5-10年,本科,年假7天/免费下午茶/开放式工作氛围,岗位职责：1、参与移动端Android应用的开发，负责相关模块或功能的开发工作2、参与相关技术的预研，参与产品的需求评审和讨论3、分享相关技术研究成果，解决各种疑难问题任职要求：1.本科及以上学历，计算机相关专业2.4年以上Android应用开发项目经验3.具有扎实JAVA语言基础，具备良好的编程习惯；4.熟练掌握Android SDK，能够独立开发android应用；5.熟悉Android的UI/网络/数据库框架；6.熟练掌握Android调试工具和方法，可以应付各种Android复杂问题；7.掌握常见的数据结构和算法，熟悉常用的设计模式；8.对Android Framework有比较深入的了解，对Android系统应用管理、进程管理、内存管理等机制有深入理解；9.有较强的责任心并具有一定的抗压能力，具备良好的团队合作精神，较强的沟通协调能力；10.熟悉Kotlin，有App的性能优化、内存泄漏排查、ANR 排查、代码混淆、单元及压力测试等相关经验的优先,汽车丨出行,150-500人,android,武汉
Android开发工程师,https://www.lagou.com/jobs/576543.html,东西湖区,6k-12k,武汉皆能时空关联科技有限公司,1-3年,本科,高薪酬，快发展，股票期权,"学历要求：本科及以上学历求职者请注意：1.请各位精英务必仔细查看招聘要求；2.请勿泛投，否则简历会被直接忽略；3.请浏览公司网站www.geonoon.com， 以了解公司所涉领域与发展方向。岗位职责：1. 负责Android平台的应用设计、开发和调试；2. 能够独立开发Android应用程序；3. 维护和优化相关的产品的质量、性能、用户体验；任职资格：1. 有一年以上的Java语言和Android平台应用开发经验，熟悉Android开发平台及框架原理，对Android终端优化有深入了解。有Android Market上线产品者优先；2. 悉Android移动终端特性、开发特点，有Android平台各类常见问题的应对经验； 3. 有丰富的UI设计经验，熟悉界面设计的某种原型工具；4. 精通网络异步应用的开发模式, 熟悉网络通信机制，对HTTP， WebSocket、有较深刻的理解和经验；5. 有良好编码风格，追求代码执行效率。精通数据结构和算法优化；6. 具备良好的团队合作精神、较好的沟通能力、高度的责任感，具有较强的抗压能力；7. 对移动互联网有浓厚的兴趣，拥有创造**产品的激情。",移动互联网,15-50人,android,武汉
