job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7173062.html,南山区,10k-15k,深圳市趣虹科技有限公司,1-3年,本科,年终奖、下午茶、节日礼品、团建旅游,岗位职责：1、负责android端产品的需求开发工作2、根据产品需求完成架构、编码、测试、联调等工作3、按UI设计的要求，严格输出对应的动画布局和交互4、与其他开发、测试同事共同配合，完善产品功能和质量技能要求：1. 本科学历，2年及以上工作经验2. 扎实的Java和Android编程基础，熟练掌握核心类库3. 熟悉Android ui设计，精通view的自定义4.熟悉Android体系架构，对性能调优有独特见解，有视频聊天开发经验者优先考虑.,移动互联网,50-150人,android,深圳
Android开发工程师,https://www.lagou.com/jobs/4641224.html,罗湖区,8k-15k,深圳市阿卡索资讯股份有限公司,3-5年,本科,"双休,五险一金",岗位职责：1、负责Android手机端 App的开发；2、能独立进行应用的设计和实现。 任职要求：1、本科及以上学历，计算机、电子、自动化及通信专业；2、2-3年的Android开发实战经验，深刻理解Handler消息机制，熟悉Java内存管理，动画，多线程开发；3、熟悉Socket，Http(s)等常用协议编程，网络通信基础扎实；4、有 视频直播，音视频开发经验优先 ；5、熟练使用ADT工具，具备Android平台性能优化的经验。,"教育,移动互联网",2000人以上,android,深圳
android开发工程师,https://www.lagou.com/jobs/7197075.html,龙岗区,10k-15k,深圳市蛋壳创意科技有限公司,1-3年,大专,"地铁周边,年轻团队,五险一金,带薪休假","1.熟悉java，理解面向对象的设计思想，常用设计模式2.熟悉RXJava、MVP开发架构3.熟悉Android UI布局开发，动画开发4.熟悉Android View绘制流程,有开发定制化控件能力5.有良好的编码风格，追求代码执行效率，了解基本数据结构和算法。6.熟练使用GIT版本管理加分项:1.有蓝牙、wifi对接经验2.有ReactNative技术开发经验福利待遇:1.  拥有住房补贴、全勤奖、 管理奖金、结项奖金、带薪年假、年终奖、带薪事假2. 婚嫁/产假/陪产假/丧家等带薪假3. 季度升薪、每个季度我们会针对优秀的员工进行提薪, 提薪额度500-1500不等4.每年一次的设备补贴5.加班提供加班餐和打车报销6.公司为每一位员工购买五险一金, 公积金个人缴纳部分公司全额缴纳7.不定时的团建活动8.齐全的办公和生活设备: 茶水间设有冰箱+微波炉+各类咖啡和茶包9. 公司拥有完善的培训体系+晋升机制, 注重内部人才成长与培养10. 朝九晚六, 半小时弹性上班, 中午休息两小时、每天工作7h, 大小周, 晚走晚到, 最晚可以11点上班11.办公环境: 地铁站旁边、高层写字楼、交通便利, 吃住实惠12.90后年轻团队, 公司氛围好, 个人提升、晋升机会大","移动互联网,其他",50-150人,android,深圳
腾讯音乐--Android开发工程师,https://www.lagou.com/jobs/6115003.html,南山区,15k-30k,腾讯科技（深圳）有限公司,不限,本科,免费班车；员工食堂；健身房；鹅厂福利,工作内容：负责广告Android SDK的架构设计、迭代开发和重构优化。   岗位要求：      1.本科及以上学历，计算机相关专业；      2.3年以上Android开发经验，有负责大型复杂架构的成功经验；      3.精通Android系统和Java编码，熟悉iOS和OC更佳；      4.精通应用程序设计实现、质量保障、性能优化、安全攻防；     5.具备良好的沟通和分析解决问题能力，能独立承担任务和有系统进度把控能力。,社交,2000人以上,android,深圳
TME-全民K歌国际版Android开发工程师,https://www.lagou.com/jobs/6118573.html,南山区,15k-30k,腾讯科技（深圳）有限公司,不限,本科,免费班车；员工食堂；健身房；鹅厂福利,工作内容：    负责Android平台上APP开发，功能维护，性能优化；     推动解决全民K歌相关技术问题；     与产品、测试及其他团队协作，分析产品需求，制定技术方案，攻克技术难题；     新技术研究和引入。    岗位要求：    本科以上学历，2年以上相关工作经验；     计算机基础扎实，精通Java和熟练掌握android应用开发，并有实际项目经验；     熟悉http/https及流媒体上传下载协议，精通TCP/IP协议；     熟悉C/C++语言；     具备良好的分析问题和解决问题能力，责任心强；     了解音频/视频的编解码，有音视频相关经验者优先。     有海外APP开发经验者优先。,社交,2000人以上,android,深圳
高级 Android 开发工程师,https://www.lagou.com/jobs/7175349.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 Android 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组件或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、两年以上 Android 客户端开发经验，熟悉 Android 系统问题的分析和解决；3、扎实的计算机科学基础，熟悉 Java，了解 Kotlin，熟悉Android生态配套，熟练使用 Git 等工具；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 Android App 开发经验，有跨平台开发经验；2、有更好的产品sense，能更多站在产品层面思考问题；3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；4、有代码洁癖，对代码精益求精，对技术有极客热情;5、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,android,深圳
Android 开发工程师,https://www.lagou.com/jobs/6283626.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 Android 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组件或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、3年以上 Android 客户端开发经验，熟悉 Android 系统问题的分析和解决；3、扎实的计算机科学基础，熟悉 Java，了解 Kotlin，熟悉 Android 生态配套，熟练使用 Git 等工具；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 Android App 开发经验，有跨平台开发经验；2、有更好的产品 sense，能更多站在产品层面思考问题；3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；4、有代码洁癖，对代码精益求精，对技术有极客热情;5、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,android,深圳
安卓开发工程师,https://www.lagou.com/jobs/6837693.html,南山区,15k-30k,厦门吉比特网络技术股份有限公司,3-5年,本科,上市公司、12%公积金、快速发展平台,岗位职责：        1、能独立完成Android客户端重要业务的开发及架构设计;        2、深入研究性能优化及速度优化等方面内容;        3、解决项目开发过程中遇到的各种疑难杂症;岗位要求：        1、本科及以上学历，至少有2年Android开发经验;        2、扎实的Java和Android编程基础，熟练掌握核心类库;        3、熟悉Android UI设计、网络编程、多线程和多进程编程，对设计模式有一定认识和理解;        4、熟悉常用开源框架的使用并了解原理，有阅读源码的习惯;        5、熟悉Android体系架构，对性能调优有独特见解，，有即时通讯开发经验者优先考虑.,游戏,500-2000人,android,深圳
高级android开发工程师,https://www.lagou.com/jobs/6927541.html,南山区,20k-30k,厦门吉比特网络技术股份有限公司,3-5年,本科,"上市公司,福利好,平台大,发展空间大",岗位职责：1、负责公司游戏社区/平台移动产品的研发，编写高质量的代码；2、和产品经理配合，深度参与手机产品需求讨论，功能定义等；3、设计良好的代码结构，不断迭代重构。4、参与游戏化社区核心平台构建。5、带领团队负责产品与解决方案的软件开发工作。6、制定开发计划，管理开发进度和质量，确保产品与解决方案按时发布。任职要求：1、计算机及其相关专业，本科及以上学历；2、良好的设计和编码品味，热爱写代码，能产出高质量的设计和代码；2、对稳定性和性能有超乎寻常的关注；3、熟练掌握 Java 语言，至少三年以上使用经验，熟悉 Java 常用的库；4、熟悉 Android SDK，熟悉 Android 的 UI/网络 /数据库框架，三年以上 Android UI 开发经验；5、有良好的产品意识，积极乐观，认真负责，乐于协作；,游戏,500-2000人,android,深圳
安卓开发工程师,https://www.lagou.com/jobs/7051120.html,南山区,15k-25k,中舟（深圳）健康科技有限公司,3-5年,大专,带薪年假 项目奖金 股票期权,岗位职责：1. 负责公司自动售药机/售货机、问诊室、商城、互联网医疗等产品Android客户端的设计、编码、测试工作；2. 参与APP性能优化，关键模块的技术攻关；3. 协助项目组相关人员完成系统分析、架构及接口设计；4. 协助产品经理及UI完成界面及用户体验设计优化，实现产品用户体验的提升、机型适配等工作；岗位要求：1、全日制大专及以上学历；2、3年以上Android应用开发经验，深入了解Android系统以及framework；3、熟悉Android平台的UI组件、数据库、文件系统、多线程等模块的使用与开发；4、掌握内存、网络、性能等无线应用相关的各种优化；5、熟练使用Android Studio等开发工具，熟悉svn Git等版本控制工具；6、有较强的学习能力和问题分析能力，可独立调试解决问题。,"电商,人工智能",15-50人,android,深圳
