job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7053927.html,昆山市,10k-18k,昆山微远信息技术有限公司,3-5年,大专,项目奖金 年终奖 旅游 节日礼品,职位描述：1、根据需求文档完成相应的设计与开发2、能独立地进行Android客户端的开发，测试和维护；3、能和服务端开发进行良好的配合，进行API对接调试；4、能针对客户端具体场景的性能问题进行针对性的调优；5、能快速开发产品原型进行功能验证；6、能根据需求进行合理的客户端架构设计，保证良好的扩展性。 任职要求：1、3年以上Android实际开发经验，具有上线应用，有优秀作品上线优先； 2、熟悉安卓体系架构，能够独立开发维护APP，根据产品功能需求设计完成软件实现；    3、熟练使用git版本控制工具；4、熟悉或者了解自定义控件，熟练使用第三方SDK，控件；5、熟悉Android界面设计，熟悉系统控件、多线程、网络协议、数据库、XMLJSON解析等;    6、.熟悉Android系统工作原理，具备较强的调试和调优技能；                     7、具有良好的沟通能力和团队协作能力，自我规范意识。,"游戏,其他",150-500人,android,苏州
Android/IOS开发工程师,https://www.lagou.com/jobs/6685561.html,工业园区,20k-40k,微软（中国）有限公司,不限,本科,职级开放，****,The Outlook Mobile team 1． mobile developer （IOS/Android），要求做mobile的简易的project test，考基础的算法和coding. 但是英语只要求读写，口语不做要求，当然口语好的话肯定更加积分。2．接受Web/Frontend Dev，Backend dev背景的的人选来做mobile的工作。不会去考project test，但是需要英语有较好的口语沟通能力。,"移动互联网,数据服务",2000人以上,android,苏州
Android开发工程师,https://www.lagou.com/jobs/7214814.html,工业园区,10k-15k,上海天好信息技术股份有限公司苏州分公司,3-5年,本科,一年十三薪，全额社保,岗位职责：1、参与需求评审，确定实现方案，能对复杂需求提出合理的优化方案及意见；2、承担核心模块的代码编写，保质保量的完成任务，并做持续性的优化。岗位要求:1、熟悉 Java 语言编程，对多线程，网络，IO有理解；2、能熟练的自定义 ui 组件，熟悉常用 Android 开源框架；3、具备较强的问题分析及解决能力，勇于面对挑战性问题；4、具有较强自我驱动力，对工作认真负责。加分项1、熟悉跨平台开发，例如：flutter，微信小程序，rn等等2、熟悉常用数据结构，熟悉常见库原理：EventBus，OkHttp，Handler，Glide等等。福利一年十三薪，有餐补，交通补，社保基数全额缴纳等等,软件开发,150-500人,android,苏州
Android 工程师,https://www.lagou.com/jobs/6299962.html,工业园区,9k-15k,力信通信息科技（苏州）有限公司,3-5年,大专,"节日礼品,餐费补贴,免费班车,年度体检",- 岗位职责1、负责Android所有产品客户端的应用软件开发；2、配合产品的设计及UI设计人员完成初步的测试工作；3、按照开发流程维护及编写相关文档；4、具有培养及带领初级程序员的领导能力；5、根据项目的需求、项目经理要求完成相关应用系统的设计和开发，且保证开发的质量。- 岗位要求1、大专及以上学历；2、3年以上的Android开发经验；3、精通Java和 Android平台软件开发；4、精通OpenGL、动画技术，及性能调优或开源项目了解者优先；5、精通MVC等多种设计模式，有过大型App应用的整体架构设计经验；6、具有独立进行软件开发的精神和能力；,"移动互联网,数据服务",150-500人,android,苏州
安卓开发工程师,https://www.lagou.com/jobs/5685698.html,工业园区,8k-15k,天聚地合（苏州）数据股份有限公司,3-5年,本科,五险一金 发展空间大 C轮大数据,"主要职责：1、主要负责公司android客户端设计、技术实现、模块开发。2、基于公司的产品设计,进行android版本应用的实现。3、能够独立完成android软件开发、验证和和修正测试中发现的问题。4、负责各版本的维护与更新。职位要求：1、计算机相关专业，2年及以上工作经验。2、熟练掌握Android应用开发框架，有扎实的java语言基础，熟悉基本的数据结构及算法，熟悉常见的设计模式。3、熟悉Android下jni技术和aidl技术。4、熟悉Android下网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验。5、熟悉Android framework，有分析、改写Android源代码经历者优先考虑6、能独立开发，有自己写的开发逻辑和想法。",数据服务,50-150人,android,苏州
安卓开发工程师,https://www.lagou.com/jobs/7132026.html,工业园区,5k-8k,苏州奖多多科技有限公司,应届毕业生,不限,双休 五险一金全额缴纳 年假15天,工作内容：1. 根据需求完成Android软件系统的设计、开发、测试和维护； 2. 基于Android平台的应用软件开发、测试、维护 ； 3. 撰写和维护相关开发文档； 任职要求：1. 本科及以上学历，计算机、软件、数学等相关专业，有Java基础； 2. 了解Android开发平台和开发架构，网络数据传输，本地数据存储，以及UI框架部分； 3. 具有分析解决问题的能力，重视团队协作，善于沟通，有责任心。,"移动互联网,消费生活",150-500人,android,苏州
OS系统工程师（Android）,https://www.lagou.com/jobs/7137394.html,昆山市,15k-20k,江苏特思达电子科技股份有限公司,3-5年,本科,发展前景,"1、负责android系统的kernel和bootloader的底层开发维护；2、文件系统、系统驱动（TP,LCD，Audio,Wifi）和hal的开发与调试；3、进行底层软件相关的设计、开发、调试、测试。4、能定位系统问题。技能要求1. 计算机，通信，电子相关专业本科以上学校，扎实的C、C++语言基础；2. 两年以上linux驱动开发经验；有过LCD/Touch/Wifi/Audio模块的bring up.3. 有RK/高通开发经验",其他,50-150人,android,苏州
安卓android开发工程师,https://www.lagou.com/jobs/7202341.html,吴中区,10k-20k,苏州蓝宝网络科技有限公司,3-5年,大专,业务补贴，福利租房，餐补，五险一金,1、精通JAVAC语言，对面向对象的开发有深刻认识，熟悉Android Studio集成开发环境；2、具有标准化的代码编写习惯、良好的代码编程风格、扎实的Java开发功底 3、熟悉Android相关接口和平台架构，3年以上的Android applicationframework开发经验； 4、熟悉Android SDK开发架构、UI框架、网络通信等; 5、熟悉Android体系架构，精通Android开发平台及框架原理，对手机性能优化、内存优化有实战经验； 6、强烈的责任心和团队精神，善于合作，愿意致力于新技术的探索跟研究；,"电商,软件开发",50-150人,android,苏州
Android开发工程师,https://www.lagou.com/jobs/6247269.html,工业园区,10k-16k,上海平熙信息技术合伙企业（普通合伙）,不限,大专,很好的发展空间,1、专科及以上学历，2年以上Android开发经验，提供Blog地址、Stack Overflow以及Github账号者优先2、精通Android SDK和JAVA编程、核心类库，熟练编写UI控件和动画特效3、良好的面向对象化编程思想，良好的代码习惯，对App架构有自己的理解4、对Android系统应用管理、进程管理、内存管理机制有深入理解。5、责任心强，具备较强的团队合作精神和沟通表达能力，具有强烈的质量意识，不满足于表象，有极客精神,金融、企业服务,150-500人,android,苏州
Android开发工程师,https://www.lagou.com/jobs/7071897.html,工业园区,8k-15k,苏州排忧网络技术有限责任公司,1-3年,本科,弹性办公、五险一金、定期旅游休假,岗位职责：-Android客户端界面及业务逻辑代码的编写-根据产品功能需求设计并完成软件实现-解决项目过程中的各种故障和问题-跟进Android的新技术发展，编写设计开发及实现文档任职要求：-掌握Android开发技巧，了解Android框架，了解各种优化技术，以及常见的系统问题-精通Android UI布局开发，动画开发，了解常用的开源库-掌握Kotlin语言，及coroutine的原理及编写方法-对TCP/UDP/HTTP协议有深入的认识-对Java与C的互操作有一定了解-对Android系统各版本的兼容性有一定认识-拥有较强的自我驱动力和学习能力，逻辑思维能力优秀-具有良好的沟通能力，和良好的团队合作精神,移动互联网,15-50人,android,苏州
