job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android,https://www.lagou.com/jobs/6760597.html,浐灞生态区,12k-20k,腾讯科技（深圳）有限公司,不限,本科,平台大，团队好,岗位职责   :     1.负责视频会议Android端业务开发；     2.负责视频会议业务开发；     3.负责视频会议稳定性及性能优化；     4. 负责视频会议客户反馈问题跟进及效率工具开发；          岗位要求:     1. 本科及以上学历，计算机或软件工程相关专业；     2. 2年以上安卓开发经验，计算机基础扎实，熟悉主流框架及原理；     3. 熟悉安卓UI框架、线程、进程特性，熟悉安卓性能指标、监控工具及调优方法；     4. 熟悉TCP/IP、UDP、HTTP等网络协议及特性，有相关的开发经验     5. 具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强；     6. 有跨平台开发经验优先。          备注：此岗位为腾讯集团旗下全资子公司编制岗位,社交,2000人以上,android,西安
android开发工程师,https://www.lagou.com/jobs/7213075.html,高新技术产业开发区,13k-18k,北京中合利成电子商务有限公司,3-5年,本科,央企 五险一金,"岗位职责：1、负责公司Android用户产品的研发,编写高质量的代码，丰富的界面实现经验；2、和产品经理配合,深度参与移动产品需求讨论,功能定义等；3、设计良好的代码结构,不断迭代重构；4、参与到项目管理中，推进项目进展。 岗位要求：1、全日制本科及以上学历计算机相关专业，智能手机爱好者和使用者, 追求良好的用户体验；2、有良好的编程习惯, 代码结构清晰, 命名规范；3、熟练掌握JAVA, 熟悉Android SDK, 熟悉Android的UI/网络/数据库框架； 4、两年以上Android开发经验,能独立完成开发项目；5、对软件产品有强烈的责任心, 具备良好的沟通能力和优秀的团队协作能力。",电商,150-500人,android,西安
Android开发工程师,https://www.lagou.com/jobs/7209984.html,雁塔区,12k-20k,北京中合利成电子商务有限公司,5-10年,本科,发展空间大，互联网农业朝阳行业。,"岗位职责：1、负责公司Android用户产品的研发,编写高质量的代码，丰富的界面实现经验；2、和产品经理配合,深度参与移动产品需求讨论,功能定义等；3、设计良好的代码结构,不断迭代重构；4、参与到项目管理中，推进项目进展。 岗位要求：1、全日制本科及以上学历计算机相关专业，智能手机爱好者和使用者, 追求良好的用户体验；2、有良好的编程习惯, 代码结构清晰, 命名规范；3、熟练掌握JAVA, 熟悉Android SDK, 熟悉Android的UI/网络/数据库框架； 4、两年以上Android开发经验,能独立完成开发项目；5、对软件产品有强烈的责任心, 具备良好的沟通能力和优秀的团队协作能力。",电商,150-500人,android,西安
高级Android开发工程师,https://www.lagou.com/jobs/6596618.html,高新技术产业开发区,18k-25k,西安逆袭网络科技有限公司,5-10年,本科,"扁平管理,五险一金,健身福利,股票期权",职责描述：1、负责移动产品的功能研发和性能优化，完成高质量编码和测试工作；2、和产品经理配合，共同打造高性能和极 致体验的产品；3、设计良好的代码结构，不断迭代重构；4、承担重点、难点的技术攻坚。任职要求：1、五年以上Android平台开发经验，主导过相关项目核心模块开发，有完整的成熟移动端产品开发经验优先；2、具有扎实的编程功底，良好的设计能力和编程习惯；3、熟悉Android开发，具备完备的Android开发知识，掌握常用功能开发，图片处理，数据库，动效，网络、多线程处理等技能；4、有较好的产品意识；5、生活工作态度积极，有良好的的沟通能力和团队合作精神，责任心强；6、理解创业精神，敢于创新，思维严谨，勇于挑战自己；7、有图片、视频类开发经验者优先。,"移动互联网,社交",50-150人,android,西安
Android开发工程师,https://www.lagou.com/jobs/6718280.html,高新技术产业开发区,10k-16k,西安逆袭网络科技有限公司,3-5年,本科,扁平管理、五险一金、健身福利、发展空间大,职责描述：1、与产品经理和设计师紧密合作，共同打造高性能和**体验的产品；2、持续优化当前产品结构和实现，提高产品的稳定性、可维护性，应对产品多样化需求。    任职要求：1、三年以上Android平台开发经验，主导过相关项目核心模块开发，有完整的成熟移动端产品开发经验；2、有良好的编码风格，结构清晰，可读性、可维护性强；3、熟悉Android开发，具备完备的Android开发知识，掌握常用功能开发，图片处理，数据库，动效，网络、多线程处理等技能；4、生活工作态度积极，有良好的的沟通能力和团队合作精神，责任心强；5、理解创业精神，敢于创新，思维严谨，勇于挑战自己；6、有图片、视频类开发经验者优先。,"移动互联网,社交",50-150人,android,西安
Android开发工程师,https://www.lagou.com/jobs/7168066.html,未央区,7k-12k,彩讯科技股份有限公司,3-5年,本科,五险一金 周末双休 生日福利,岗位职责：1.根据需求独立完成Android系统的设计与开发；2.负责需求的技术调研和分析，与研发部同事一起推进产品开发进程；3.负责解决开发过程中遇到的技术难题，进行系统的维护优化。任职要求：1. 3-5年Android开发经验，扎实的Java编程基础，熟练AndroidAPP开发流程，计算机相关专业本科及以上学历；2. 熟练使用Android Studio， 熟悉adb下的常用命令；3. 理解UI在不同分辨率下的适配问题；理解视觉设计师的常用输出；4. 理解UI线程和后台线程， 能够进行多线程编程；5. 熟悉http协议，掌握至少一种常用网络请求库；6. 熟练React Native；,"移动互联网,消费生活",500-2000人,android,西安
Android开发工程师,https://www.lagou.com/jobs/6831439.html,高新技术产业开发区,10k-15k,西安超斯塔科技有限公司,3-5年,不限,"弹性工作制，五险一金,绩效激励",岗位职责1、主要负责安卓平台的应用程序设计、开发；2、 能够独立完成安卓软件开发，验证和修正测试中发现的问题；3、负责产品反馈问题跟进及效率工具开发；4、具备学习和研究新技术以满足产品需求的能力；岗位要求1、专科及以上学历，计算机或软件工程相关专业；2、三年以上Android平台开发经验，熟悉Android系统体系结构、应用开发框架、底层库及Android SDK，能独立开发Android应用；3、具备良好的编程习惯，有较强独立解决问题的能力；4、生活工作态度积极，有良好的的沟通能力和团队合作精神，责任心强；5、理解创业精神，敢于创新，思维严谨，勇于挑战自己；,"移动互联网,广告营销",50-150人,android,西安
android开发工程师,https://www.lagou.com/jobs/7075883.html,雁塔区,10k-20k,上海中软华腾软件系统有限公司,3-5年,本科,弹性工作五险一金主管nice年底双薪,"1、统招二本以上学历，1年以上工作经验，理工科专业优先2、 对Android的整体架构有较为深入的了解;3、 精通Java开发语言，Eclipse开发工具，熟悉面向对象编程设计;4、 熟悉Android UI控件编程，熟悉JNI/NDK,有过第三方库平台移植经验，有FFmpeg开发经验者优先;5、 熟悉Android下网络通信机制，对Socket、http通信有深刻的理解，熟悉Sqlite数据库 ;6、 熟悉Android多线程开发；","企业服务,金融",2000人以上,android,西安
Android开发工程师,https://www.lagou.com/jobs/5350940.html,高新技术产业开发区,6k-12k,杭州格像科技有限公司,1-3年,本科,六险一金 年度体检 年度旅游 午餐补贴,工作职责：1.参与公司线上产品开发与维护；2.参与需求分析和软件设计，独立完成编码。要求：1.本科学历，计算机专业基础扎实，1-3工作经验；2.熟悉java语言，熟悉java设计模式并能够灵活应用；3.掌握Android基础知识，能够熟练运用各种组件和框架；4.良好的英语阅读能力，能够阅读英文专业文章；5.学习能力强，能够主动接受挑战和克服困难。,移动互联网,50-150人,android,西安
android,https://www.lagou.com/jobs/7117487.html,高新技术产业开发区,9k-13k,西安源捷科技有限公司,3-5年,本科,年底双薪，员工旅游，人员稳定，氛围轻松,工作职责1、负责Android平台应用程序的开发；2、具备独立工作的能力，积极主动完成项目任务；能对应用进行扩展及修改，并能独立承担模块设计文档的编写。任职资格1、3-5年以上软件开发经验，2年以上Android经验；2、良好的Java语言基础，熟悉常用数据结构和算法，熟悉设计模式，熟悉混合开发技术优先；3、熟悉Android基础架构、功能组件、UI、多线程、性能优化、内存优化等，对于Android的新版本新特性有一定程度的了解；4、熟练使用常用调试工具AndroidStudio、Eclipse，具备良好的分析解决问题的能力，能独立承担任务，有良好的进度把控能力；5、具备良好的编码规范和设计思想，具备良好的编码能力和解决疑难问题能力；6、熟练在Android Studio下的相关开发，测试、配置；,"移动互联网,电商",15-50人,android,西安
