job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Android 工程师,https://www.lagou.com/jobs/6964615.html,渝北区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,1、本科及以上学历，计算机相关专业；2、2年以上Android终端开发经验，知名手机端开发经验者优先； 3、扎实的Java语言基础，深入理解常见的数据结构及算法； 4、熟悉Android框架及各种特性，熟悉面向对象编程，理解设计模式等；5、熟悉网络编程、安卓UI框架及相关开发工具；6、熟悉Android的线程机制，能够熟练使用各种安悉Android系统的线程类，及service、广播等；7、工作积极主动，有良好的团队合作意识1、基于TMF SDK开发移动demo2、基于TMF SDK开发TMF产品功能,社交,2000人以上,android,重庆
android开发工程师,https://www.lagou.com/jobs/7211580.html,渝北区,6k-8k,重庆智小汇科技有限公司,1-3年,大专,"公司前景好,年底双薪,双休","【岗位职责】1、负责android平台下应用的开发和维护；2、负责android项目的架构设计、方案制定；3、负责相关方案及技术文档编写；4、负责优化app的质量、性能、用户体验；5、根据开发过程中的体验对产品提出改进建议；6、学习和研究新技术以满足产品的需求。【任职要求】1.熟悉Java，Android SDK；熟悉Android Studio，Git;2.大专及以上学历，计算机、电子等专业优先考虑；2年及以上Android开发经验；3.熟悉Android开发平台及框架原理，熟练运用UI组件、socket、多线程、sqlite、WebView等编程技术；4.熟悉MVP,Rxjava；5.优秀的控件编写能力，对View的绘制过程，事件流的分发理解透彻，能够实现自定义复杂控件6.工作积极主动，有良好的团队合作意识；思路清晰，善于思考，对数据敏感，能独立分析和解决问题，对代码的质量和性能有追求；7.能独立开发Android App，有Google Play发布App者优先；熟悉ffmpeg优先。","社交,软件开发",少于15人,android,重庆
Android开发工程师,https://www.lagou.com/jobs/7060647.html,渝北区,8k-13k,博拉网络股份有限公司,3-5年,本科,"五险一金,免费班车","岗位职责：1、基于Android操作系统的规范和要求，负责Android客户端软件开发。2、根据产品需求完成Android客户端软件需求分析、模块设计、编码、真机测试工作以及必须的单元和系统集成测试。 3、负责Android客户端软件开发过程中的问题分析和总结，提供建议和帮助改善研发流程。4、独立开发UI界面，能熟练使用各种开发接口。5、熟练使用WEB服务。任职要求：1、本科及以上学历，熟悉Android开发平台及框架原理，熟练运用UI组件、socket、多线程、sqlite、WebView等编程技术，至少2年以上实际android 平台开发经验。2、熟练掌握Android API、系统控件和自定义控件，熟悉Android各版本适配。3、熟悉掌握Android线程模型、事件体系、view体系、消息机制。4、对Android的UI、组件、性能优化、内存优化等有深入实践。5、熟悉Android网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验。6、有扎实的Java语言基础，了解操作系统原理，对数据结构有深入的理解，了解常用设计模式,有良好的编程习惯，掌握版本控制工具。7、熟悉打包、混淆、加密等机制，具有独立开发一款APP的能力。8、有独立完整的APP开发项目经验。9、具备良好的团队精神和沟通意识，责任心强，工作认真细致，有良好的抗压能力。",移动互联网,150-500人,android,重庆
Android开发,https://www.lagou.com/jobs/4840480.html,渝北区,7k-12k,重庆市九吨科技有限公司,1-3年,本科,"五险一金,国外游,年终奖,餐补","岗位描述1、负责在Android平台下的应用程序设计、开发、发布和维护；2、负责Android项目的架构设计、方案的制定；3、跟进Android 的新技术发展，编写设计开发及实现文档；4、负责优化移动产品的质量、性能、用户体验。任职要求：1、计算机或电子专业，有实际两年或以上相关领域的工作经验；2、熟悉Android开发平台及框架原理，熟练运用UI组件、socket、多线程、sqlite、WebView等编程技术，至少2年以上实际android 平台开发经验；3、有扎实的Java语言基础，了解操作系统原理，对数据结构有深入的理解，了解常用设计模式,有良好的编程习惯；4、有创新精神, 对移动端相关技术有浓厚兴趣，有不断提升自己的学习意识，跟踪把握技术发展的最新动态；5、良好的沟通能力和团队协作精神，严谨的工作态度与高质量意识，良好的抗压能力；我们的福利：弹性半小时上班，周末双休，五险一金，丰厚的年终奖金、每日下午茶、每月生日会、带薪年假（全年6天）、节日礼品、年度旅游（1-2次）、年度体检、年终活动会（100%中奖），根据所跟项目情况有项目分红",移动互联网,150-500人,android,重庆
android开发工程师,https://www.lagou.com/jobs/6407832.html,渝北区,10k-15k,完美世界（北京）软件科技发展有限公司,1-3年,本科,"员工食堂,免费健身房",岗位职责： 1、从事全历史若干互联网产品的  Android 客户端开发；2. 与产品经理配合，快速高效迭代产品，掌握从产品设计到开发的全流程；3. 与后台工程师配合，完成各类应用数据接口开发；4. 与视觉设计师配合，实现炫酷的视觉和交互效果。任职要求：1、本科及以上学历；2、良好的计算机及算法基础、积极主动、热爱编程，能吃苦，能承受压力；3. 熟悉掌握 Java 或 C 语言；4. 了解面向对象编程。,"移动互联网,游戏",2000人以上,android,重庆
移动开发工程师（Android/IOS）,https://www.lagou.com/jobs/4072232.html,渝北区,8k-15k,中国民航信息网络股份有限公司重庆分公司,1-3年,大专,五险二金、带薪年假、工会福利、教育培训,"Android方向岗位职责：1、负责Android/AndroidPad平台下应用的开发和维护工作；2、负责相关方案及技术文档编写；3、根据产品需求开发相关的移动产品；4、验证和修正测试中发现的问题；5、学习和研究新技术以满足产品的需求；6、根据开发过程中的体验对产品提出改进建议。 任职要求：1、计算机相关专业本科及以上学历，两年以上项目经验；2、熟悉Java、Kotlin语言，具备良好的编码风格；3、熟悉android UI框架、线程、进程特性，熟悉android性能指标、监控工具及调优方法，有系统化的知识体系；4、熟悉MVVM、Jetpack、DataBinding、ObjectBox 、Dagger；5、了解CI/CD相关技术, 熟练git等工具；6、思路清晰，善于思考，对数据敏感，能独立分析和解决问题，对代码的质量和性能有追求；7、有H5、Vue项目开发经验者优先；IOS方向岗位职责：1、负责iOS/iPad平台下应用的开发和维护工作；2、负责相关方案及技术文档编写；3、根据产品需求开发相关的移动产品；4、验证和修正测试中发现的问题；5、学习和研究新技术以满足产品的需求；6、根据开发过程中的体验对产品提出改进建议。 任职要求：1、计算机相关专业本科及以上学历，两年以上项目经验2、丰富的C，C++或objective-c的编码技能；3、理解面向对象编程思想、设计模式，熟悉网络编程，具备Hybrid项目开发能力；4、熟悉iOS应用开发框架和常用开发架构模式，熟悉多线程，网络编程；5、了解CI/CD相关技术, 熟练git等工具；6、思路清晰，善于思考，对数据敏感，能独立分析和解决问题，对代码的质量和性能有追求；7. 有H5、Vue.js项目开发经验者优先。","移动互联网,电商",500-2000人,android,重庆
android高级工程师,https://www.lagou.com/jobs/6935571.html,渝北区,15k-25k,互爱（北京）科技股份有限公司,3-5年,本科,五险一金、高额分红、大制作项目,岗位职责：Android客户端的系统分析、系统架构与核心模块设计、开发与维护系统公用核心模块；新技术跟踪、挖掘、预研和实施；软件性能优化，重大疑难问题的分析及解决，排除各类潜在技术风险；与其他团队的沟通协调，保证产品按时上线；完成上级领导交办的工作；职位要求：精通Android开发，4年以上Android开发经验，其中1年以上架构经验；熟悉Android应用开发框架，能独立开发高性能的Android应用；熟悉移动网络通信机制，对Socket通信、TCP/IP和HTTP有较深刻；对后端技术有所了解，对 API 有审美和设计能力；对底层框架、内核有所理解和探究；技术拥有一定的广度和（或）深度；具有良好的沟通能力，能根据产品设计独立进行应用程序开发；,"移动互联网,游戏",500-2000人,android,重庆
android开发工程师,https://www.lagou.com/jobs/7126042.html,渝北区,9k-13k,重庆用维通信技术有限公司,3-5年,本科,五险一金，免费午餐，绩效奖金，十三薪。,1、本科及以上学历，计算机或相关专业毕业；2、精通Android系统架构及相关技术，熟悉Android内部的各种机制，具备扎实的C/java编程基础；3、三年以上实际Android平台开发经验；4、热于学习新的技术并勇于在实际编程中使用，乐观进取；5、有金融行业软件开发经验优先。,"数据服务,其他",50-150人,android,重庆
android开发工程师,https://www.lagou.com/jobs/6322063.html,渝北区,7k-12k,博拉网络股份有限公司,3-5年,大专,大平台 氛围好 晋升通道广阔,"岗位职责：1、基于Android操作系统的规范和要求，负责Android客户端软件开发。2、根据产品需求完成Android客户端软件需求分析、模块设计、编码、真机测试工作以及必须的单元和系统集成测试。 3、负责Android客户端软件开发过程中的问题分析和总结，提供建议和帮助改善研发流程。4、独立开发UI界面，能熟练使用各种开发接口。5、熟练使用WEB服务。任职要求：1、熟悉Android开发平台及框架原理，熟练运用UI组件、socket、多线程、sqlite、WebView等编程技术，至少2年以上实际android 平台开发经验。2、熟练掌握Android API、系统控件和自定义控件，熟悉Android各版本适配。3、熟悉掌握Android线程模型、事件体系、view体系、消息机制。4、对Android的UI、组件、性能优化、内存优化等有深入实践。5、熟悉Android网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验。6、有扎实的Java语言基础，了解操作系统原理，对数据结构有深入的理解，了解常用设计模式,有良好的编程习惯，掌握版本控制工具。7、熟悉打包、混淆、加密等机制，具有独立开发一款APP的能力。8、熟练使用appworker混合开发框架。9、有独立完整的APP开发项目经验。10、具备良好的团队精神和沟通意识，责任心强，工作认真细致，有良好的抗压能力",移动互联网,150-500人,android,重庆
安卓开发工程师,https://www.lagou.com/jobs/7165111.html,渝北区,9k-14k,重庆市九吨科技有限公司,3-5年,大专,"公司前景好,年底双薪,五险一金,带薪假期","职位诱惑：五险一金,国外游,年终奖,餐补职位描述（以下条件必须满足其中2条）：1.有熟悉SVG路径动画相关技术；2.有音视频编辑制作app相关经验；3.绘制图形制作动画；岗位职责1、负责在Android平台下的应用程序设计、开发、发布和维护；2、负责Android项目的架构设计、方案的制定；3、跟进Android 的新技术发展，编写设计开发及实现文档；4、负责优化移动产品的质量、性能、用户体验。任职要求：1、计算机或电子专业，有实际4年或以上相关领域的工作经验；2、熟悉Android开发平台及框架原理，熟练运用UI组件、socket、多线程、sqlite、WebView等编程技术，至少2年以上实际android 平台开发经验；3、有扎实的Java语言基础，了解操作系统原理，对数据结构有深入的理解，了解常用设计模式,有良好的编程习惯；4、有创新精神, 对移动端相关技术有浓厚兴趣，有不断提升自己的学习意识，跟踪把握技术发展的最新动态；5、良好的沟通能力和团队协作精神，严谨的工作态度与高质量意识，良好的抗压能力；我们的福利：弹性半小时上班，周末双休，五险一金，丰厚的年终奖金、每日下午茶、每月生日会、带薪年假（全年6天）、节日礼品、年度旅游（1-2次）、年度体检、年终活动会（100%中奖），根据所跟项目情况有项目分红",移动互联网,150-500人,android,重庆
