job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7209800.html,黄岛区,10k-20k,青岛国信城市信息科技有限公司,3-5年,本科,五险二金，免费三餐,"任职资格：1.根据业务需求负责项目的模块设计与开发，完成安卓移动端逻辑与功能开发，并保证良好的用户体验。负责公司移动端产品研发，编写高质量代码，优化App端性能；2.解决开发过程中的技术问题，优化系统性能和架构，提高系统的可用性，可靠性和可扩展性；3.与设计团队紧密配合，实现设计师的设计想法；4.负责公司现有项目和新项目的修改调试和开发工作；5.针对测试过程中发现的缺陷进行定位并修复；6.处理业务部门以及本部门提出的问题，提供技术支持；7.提出产品完善、产品市场竞争力提高的改进方案或意见；8.完成上级领导交办的其他工作。任职资格：学历：本科学历及以上专业：计算机、软件工程、数据等相关专业；年龄：不限；工作技能：1.3年及以上Android端开发经验。2.熟练掌握JAVA, 熟悉Android SDK, 熟悉Android的UI/网络/数据库框架；3.熟悉常见设计模式，有较强的架构能力，能独立负责产品的架构规划和架构演进；4.有移动端混合模式开发经验，熟悉ReactNative、Flutter、Weex等跨平台框架中任意一种；5.有良好的编程习惯, 代码结构清晰, 命名规范。","人工智能,区块链",2000人以上,android,青岛
安卓android,https://www.lagou.com/jobs/4987427.html,崂山区,10k-15k,青岛中科泰岳信息技术有限公司,1-3年,本科,缴纳五险一金,1、负责Android客户端软件的产品开发和维护；2、按照项目计划，按时提交高质量代码，完成开发任务；3、规范文档的编写、维护，以及其他与项目相关工作；4、按时按需完成客户端软件的维护及更新；5.学习和研究新技术以满足产品的需求。,移动互联网,15-50人,android,青岛
软件开发工程师-Android,https://www.lagou.com/jobs/6758716.html,黄岛区,10k-20k,广东讯飞启明科技发展有限公司,3-5年,本科,具有竞争力的薪资,职位描述：1.从事Android平台上应用软件开发工作，包含新功能及新组件的需求分析、开发、问题调试等；2.根据开发流程完成开发任务并解决问题，撰写相应的开发文档；3.独立完成移动终端产品应用的功能模块开发；岗位要求：1.二本及以上学历，3年以上Android开发经验；2.熟悉Android下网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验；3.熟悉Android开发平台及框架，熟悉Android SDK开发，熟悉多线程，熟悉UI布局和控件的使用；4.有扎实的Java语言基础，熟练使用Idea、Eclipse、Android Studio等开发工具；5.熟练掌握android平台UI设计，熟悉常用布局，熟悉主流第三方库；6.具有较强的沟通能力和执行力，能主动思考及推进工作。,教育,150-500人,android,青岛
安卓开发工程师,https://www.lagou.com/jobs/7074069.html,李沧区,12k-16k,北京通达未来科技有限公司山东分公司,3-5年,大专,上市公司项目 五险一金 带薪年假,岗位职责：负责智能硬件APP的设计、开发与改进；岗位要求：1. 计算机相关专业本科或以上学历；；2. 1年以上Android平台开发经验，有扎实的Java语言基础，熟悉Java多线程开发。熟悉常用的设计模式；3. 有着规范的软件开发过程的能力，具有规范的设计，编码，开发文档写作能力；4. 工作踏实认真，思路清晰，善于思考，有良好的学习能力、团队合作精神；,"硬件,软件开发",15-50人,android,青岛
Android开发工程师,https://www.lagou.com/jobs/6339271.html,崂山区,15k-30k,聚好看科技股份有限公司,5-10年,本科,五险一金 绩效奖金 BAT投资,1、负责Android播放模块技术方案设计和开发工作2、负责Android播放模块集成问题修复并持续优化3、负责播放问题定位修复，播放性能持续调优4、负责线上播放异常及播放卡顿问题定位和解决5、持续改进播放用户体验，维持播放稳定率在行业领先水平。 任职资格：1、5年以上Android应用研发经验，有MediaPlayer研发经验优先考虑。2、精通Android MediaPlayer机制，并掌握问题解决定位方法，深入理解MediaPlayer Framework和流媒体技术知识，了解P2P技术原理。3、具备丰富的播放性能调优或播放体验提升经验，具有自研播放器经验者优先。4、掌握Android应用开发技术通用的设计原则和常用的设计模式5、优秀的技术钻研能力，优秀的文档能力及沟通能力和工作责任心。,"移动互联网,社交",2000人以上,android,青岛
Android开发工程师,https://www.lagou.com/jobs/6855751.html,城阳区,6k-12k,青岛诺动机器人有限公司,3-5年,本科,五险一金，宿舍，双休，年终奖,1.负责Android平台应用软件的功能设计和开发。2.负责对Android产品进行性能优化、维护和持续升级。3.负责学习和研究新的移动互联网技术以满足产品的开发需求。4.参与产品需求分析评审及技术实施方案设计。5.参与公司Android手机软件开发。,移动互联网,少于15人,android,青岛
android开发工程师,https://www.lagou.com/jobs/7150831.html,市南区,8k-15k,青岛微智慧信息有限公司,3-5年,本科,五险一金、项目奖金、各种补助及节日福利,1. 本科及以上学历，计算机相关专业，具备3年以上 Android 开发经验；2. 具备1年以上ReactNative开发经验，熟悉IOS或Android原生应用开发；3、精通React技术栈，熟悉ReactNative的基本实现原理，熟悉组件间的通信和数据的管理；4、有React Native实际项目经验，能单独开发React项目；理解Redux工作原理。5. 擅长 Android  UI 开发，精通当前主流互联网应用的开发技术，能独立承担中型客户端产品的开发与维护；6. 掌握软件工程思想，能够对复杂任务分解，熟悉软件迭代开发方法；7. 良好的沟通能力和解决问题的能力，思维敏捷，思路清晰，工作积极主动，能够承受较大工作压力。,移动互联网,50-150人,android,青岛
Android开发,https://www.lagou.com/jobs/7149687.html,黄岛区,8k-10k,上海微创软件股份有限公司,3-5年,不限,交通便利，五险一金,此岗位长期驻点客户方岗位职责：1.从事Android平台上应用软件开发工作，包含新功能及新组件的需求分析、开发、问题调试等；2.根据开发流程完成开发任务并解决问题，撰写相应的开发文档；3.独立完成移动终端产品应用的功能模块开发；任职要求：1.二本及以上学历，3年以上Android开发经验；2.熟悉Android下网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验；3.熟悉Android开发平台及框架，熟悉Android SDK开发，熟悉多线程，熟悉UI布局和控件的使用；4.有扎实的Java语言基础，熟练使用Idea、Eclipse、Android Studio等开发工具；5.熟练掌握android平台UI设计，熟悉常用布局，熟悉主流第三方库；6.具有较强的沟通能力和执行力，能主动思考及推进工作。,"企业服务,移动互联网",2000人以上,android,青岛
android播放器开发架构师,https://www.lagou.com/jobs/7072963.html,崂山区,15k-30k,聚好看科技股份有限公司,5-10年,本科,五险一金 绩效奖金 BAT投资,职责描述： 1、负责Android播放模块技术方案设计和开发工作2、负责Android播放模块集成问题修复并持续优化3、负责播放问题定位修复，播放性能持续调优4、负责线上播放异常及播放卡顿问题定位和解决5、持续改进播放用户体验，维持播放稳定率在行业领先水平。 任职资格：1、10年以上Android应用研发经验，5年以上MediaPlayer研发经验2、精通Android MediaPlayer机制，并掌握问题解决定位方法，深入理解MediaPlayer Framework和流媒体技术知识，了解P2P技术原理。3、具备丰富的播放性能调优或播放体验提升经验，具有自研播放器经验者优先。4、掌握Android应用开发技术通用的设计原则和常用的设计模式5、优秀的技术钻研能力，优秀的文档能力及沟通能力和工作责任心。,"移动互联网,社交",2000人以上,android,青岛
安卓开发工程师,https://www.lagou.com/jobs/7184726.html,城阳区,8k-12k,龙匠（北京）科技发展有限公司,3-5年,本科,自由度高，发展空间大,岗位职责：1、根据项目需求，进行基于Android平台的应用程序开发；2、根据产品功能模块设计，编码实现各模块功能，并确保开发质量；3、参与移动平台软件框架的研究，设计和实现、关键技术验证等工作。4、认真做好自测，并对测试人员提出的问题意见及时反馈，对程序进行调试修改与完善。任职要求：1. 两年以上Android开发经验，本科及以上学历；2. 有扎实的java基础，熟悉数据结构，算法，多线程，网络等3. 熟悉Android体系结构，熟悉上层UI开发，UI性能优化等，能灵活运用开源代码；4. 至少有2个以上大中型完整的 Android 应用开发经验；5. 有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；6. 对技术热衷，勇于创新，工作认真负责，时间管理能力强，能承受较强工作压力，善于沟通协作，具备良好的团队合作精神。备注：我司注册于北京，五险在北京上，可转回青岛。,移动互联网,少于15人,android,青岛
