job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
软件开发工程师(J10603),https://www.lagou.com/jobs/7168331.html,南开区,6k-10k,成都知道创宇信息技术有限公司,1-3年,本科,八险一金，10天年假,,信息安全,500-2000人,go,天津
Devops运维开发技术专家(J23534),https://www.lagou.com/jobs/6957431.html,红桥区,25k-35k,捷信消费金融有限公司,10年以上,本科,六险一金 外资 大牛云集 10天年假,"Duties and Responsibilities 工作职责：1. Performs coding, unit testing and documentation of software units defined by the design document;2.Participates in software modification during integration testing;3.Makes commitments that fall within the tasks given by authorized personnel. Participates in proposing changes that make the system more efficient and/or reduce operation or maintenance cost;4.Develops efficient software within given time frame;5.Responsible for resolve complex technical difficulty;6.Wise or skillful for at least on one technical domain and can give some constructive advice to team lead and architect;7.Responsible for help team lead and architect practice road map;8.Responsible for training team and help team promote technical skill.Requirements: 任职资格：1.Bachelor degree or above in Information Technology or comparable.2.At least 10+ years development experience, 5+years at least for DevOps related coding design and development;3.Proficiency in leverage CI/CD/Monitoring tools to automate development and testing. Experience in agile methodologies and fast-paced DevOps environments – Jenkins, GitLab, ELK, SonarQube, Skywalking, JIRA, Apollo, Prometheus, Grafana, etc;4.3+years head Internet company, such as BAT, etc. and acting as the core technical working, such as Alibaba technical P7+ level;5.Good practice as full stack technical developer, familiar with micro service development – Spring Cloud, Spring Boot;6.Practical experience in at least one of the following programming languages - Python, Node.JS, Ruby, Shell, Go, etc;7.Practical experience for PaaS configuration, kubernetes cloud environment and service mesh tools – Kubernetes, Docker, Istio, Helm, Kiali, etc;8.Practical skill in Oracle and other No-SQL, Mangodb, Redis.9.Passion for the development working, join some open source project is more good, such as join some GitHub open project;10.Good communication skill with technical and non-technical scenario.11. Strong troubleshooting and problem solving skill, like the challenge for the high press;12.Have some computer industry contribution is more good, such as core developer for the familiar system or application, such as Java community contribution;13. Fluency communication with English.Staff Welfare :1. After on boarding, providing supplementary commercial insurance besides the state-stipulated insurance and housing fund;2. Fast and transparent promotion channel and broad development opportunities;3. 5-15 days paid annual leave and 5 days paid sick leave. Free annual physical check-up;4. Attractive employee activities.",金融,2000人以上,go,天津
前端工程师,https://www.lagou.com/jobs/6810447.html,西青区,26k-50k,云账户（天津）共享经济信息咨询有限公司,3-5年,本科,12薪+季度年度奖金、足额六险一金,公司福利：12薪+4次季度奖金（每次0.5-3个月薪资）+年终奖金（2-8个月薪资）、补充商业保险、免费自助午/晚餐、公司6公里内租房/购房补贴、清华大学授课、华为高管培训、期权激励职责描述：1. 负责云账户管理平台开发2. 负责云账户微信小程序开发3. 对产品和架构做分析、优化，提升体验和可靠性任职要求：1. 3 年以上前端开发工作经验，有完整的 React 项目经验，技术功底深厚，关注前端技术发展2. 熟悉 RESTful，熟悉 Web 和 HTTP 的安全策略3. 熟悉前端功能测试和性能测试的方法4. 熟悉 Node.js、PHP、Go 等至少一门后端语言5. 逻辑分析能力强，善于沟通，有较强的学习能力6. 有 SaaS、电商管理平台项目经验加分，有微信小程序项目经验加分,"移动互联网,数据服务",150-500人,go,天津
IT Senior Engineer-SRE,https://www.lagou.com/jobs/6906857.html,红桥区,15k-25k,捷信消费金融有限公司,5-10年,本科,六险一金 周末双休,,金融,2000人以上,go,天津
数据库研发,https://www.lagou.com/jobs/6808516.html,东丽区,12k-24k,江西牛客科技有限责任公司,3-5年,本科,六险一金，稳定性强,— 负责数据库与操作系统交互部分相关研发与文档编写— 负责数据库的性能优化和稳定性提升— 负责参与数据库开源社区贡献◆学历：本科或者本科以上学历◆专业：计算机或相关专业◆专业知识：  — 精通操作系统、网络、数据库安全之中一种；  — 熟悉分布式系统的原理和架构设计，对高并发、高负载系统有过研究和设计经验。  — 至少熟练掌握C/C++/Go中的一种编程语言，精通常用的数据结构和算法◆经验：  — 3年以上系统开发/架构/，熟悉或使用过RDMA、DMA、UDP技术的优先,"移动互联网,电商",少于15人,go,天津
运维工程师,https://www.lagou.com/jobs/6055983.html,河西区,10k-12k,中交智运有限公司,不限,本科,央企福利待遇，发展前景好,岗位职责： 1、负责产品的部署及其他日常运维工作，优化线上技术架构。对突发事件、故障等应急处理；2、制定运维解决方案，服务器部署、监控及调优，推动和开发自动化运维工具或平台，提升运维工作效率；3、编写、维护信息安全技术文档，并推动信息安全工作；4、为研发团队提供技术支持。任职要求：1、统招本科及以上学历，应届毕业或1年以上互联网运维经验优先；2、熟悉Linux系统，熟悉shell/python/go等1种或以上语言；3、了解流行的应用及服务架构，并有相应的配置、维护经验；4、熟悉Mysq Redis等数据库，并掌握查询语法；5、了解计算机网络知识，熟悉TCP/IP、HTTP等协议；6、熟悉Zabbix、Grafana、ELK、Jenkins、Ansible等软件的部署及应用；7、熟悉云平台操作，了解容器及容器编排技术，docker及k8s系统；8、具备较强的学习能力和责任心，良好语言、文字的表达、沟通能力。,"移动互联网,物流丨运输",2000人以上,go,天津
Linux容器技术开发工程师,https://www.lagou.com/jobs/7005830.html,滨海新区,15k-20k,中标软件有限公司,3-5年,本科,六险一金、餐补、通讯补助、住房补贴,岗位职责：国产化平台上的容器云产品的适配和开发，主要是基于 Kuberetnes 容器云产品深度开发及Docker 的开发和优化工作。岗位要求：1.本科及本科以上学历，2.熟悉容器技术原理，生态系统，熟悉Kubernetes、Mesos、Swarm等容器管理系统；3.具有Docker Kubernetes落地实践经验，熟悉Docker Kubernetes相关生态，有集成Docker落地经验者优先；4. 精通python或Go语言开发；5. 熟悉linux系统管理、熟练使用linux下各种常用命令、能够熟练编写shell脚本。,"信息安全,移动互联网",150-500人,go,天津
Ruby开发工程师,https://www.lagou.com/jobs/6626631.html,西青区,18k-25k,天津市莱斯宝科技有限公司,3-5年,本科,"五险一金,朝九晚六,年终奖金丰厚","团队亮点：1、我们是高速奔跑，逆风飞翔，快速成长的团队；2、我们价值观驱动，客户**，真诚客观，我们拥有一群主动承担责任，合作共赢的伙伴；3、在饭团，你将感受到轻松的人际氛围，扁平化的管理，五星级办公环境和技术大牛们一起成长的快乐。 职位亮点：1、纯粹的技术氛围，我们在代码上相亲相爱；2、涉及复杂业务系统的搭建与设计，更多的挑战在等你；3、随着公司的高速发展，获得巨大的成功和回报。我们希望你：1、“以梦为马”：愿意接受挑战，是有梦想的程序猿；2、“细节控”：追求细节和完美的“处女座”；3、“不拖延症”：快速解决实际问题，没有拖延症；4、“ 超级Geek ”：以创新技术为使命的人；5、“好奇心强”：关注前沿领域，对新技术充满热情。工作环境1、人体工学椅2、绿植3、机械键盘4、mac办公设备5、零食屋6、娱乐室（即将上线） 员工福利1、五险一金2、年终奖3、带薪年假10天4、节日福利5、每周三下午茶6、每季度团建7、加班打车报销8、加班餐补岗位职责：后端开发工作任职要求：必会，需要精通以下：1、Ruby2、Rails3、MySql4、Redis5、Git6、SSL7、Socket8、Shell9、Nginx10、RESTful11、Regex12、Stack Overflow加分，需要熟悉以下1、Python2、Go3、Node4、JavaScript5、CoffeScript6、HTML57、CSS38、React9、AngularJS10、VIM11、EMACS精通D&D以上要求全部忽略不计,欢迎志同道合的你加入！","移动互联网,消费生活",50-150人,go,天津
高级前端工程师(天津）,https://www.lagou.com/jobs/7196642.html,西青区,25k-30k,云账户（天津）共享经济信息咨询有限公司,1-3年,本科,发展空间大 公司福利好 七险一金,,"移动互联网,数据服务",150-500人,go,天津
分布式数据库高级研发工程师,https://www.lagou.com/jobs/7181655.html,滨海新区,20k-30k,青岛健栋电子科技有限公司,3-5年,本科,公司实力雄厚，发展前景良好,"职责描述：1、负责分布式数据库核心模块架构设计，核心代码研发、验证工作；2、指导初、中级工程师完成具体模块开发工作，保证产品质量； 任职要求：（关键词：3年，分布式，C语言）1、良好的C/C++/GO开发能力，扎实的计算机底层技术，包括操作系统原理，数据结构算法知识；2、有三年以上数据库或NoSQL、NewSQL研发经历，有事务、索引、缓存等核心模块设计开发经历；3、熟悉分布式系统原理，包括但不限于分布式一致性协议Paxos、Raft，分布式事务，有高可用实现，高可扩展实现，异常处理与容错相关经验；4、熟悉Linux存储IO栈路径，熟悉XFS或者Ext4文件系统，熟悉leveldb、rocksdb等单机kv引擎，理解其实现原理；5、熟悉以下几种数据库系统之一，Oracle、MySQL，PostgreSQL，YugabyteDB,CockroachDB，MongoDB，TiDB、Redis、AWS aurora等，理解其设计宗旨和实现原理；","电商,医疗丨健康",500-2000人,go,天津
