job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
GO,https://www.lagou.com/jobs/6807279.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,3-5年,本科,美女多，上市公司，注重互联网，福利优厚,1. 打造优秀的RPC服务框架/分布式存储系统/中间件系统/核心服务等， 为公司海量数据和大规模业务系统提供可靠的基础设施；2. 快速理解业务场景，从业务问题中抽象出通用的解决方案，建模并正确实现；3. 与团队密切配合，共同研究和使用业内各方向最新技术，共同推动公司技术演进。任职要求：1、具备良好的编码习惯：结构清晰、命名规范、逻辑性强、代码冗余率低；熟悉Golang优先；2、基础扎实，熟练使用各种常见数据结构和算法，在计算机领域具有较完整的知识体系，并能结合到实际工作中；3、具备一定的架构设计能力，能够比较准确、全面地理解系统，并根据系统发展设计出较为合理的架构方案；4、具备良好的沟通能力和团队协作精神。,"移动互联网,电商",2000人以上,go,昆明
DM2665-QQ音乐-C++/GO后台开发工程师,https://www.lagou.com/jobs/6838301.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,岗位职责：负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作； 负责中大型项目的后台server软件架构和整体框架设计； 负责提出海量服务的解决方案，寻找高并发高负载服务应对策略； 负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠； 参与相关产品需求讨论与产品系统架构的设计和优化工作。岗位要求：本科及以上学历，至少2年以上相关开发经验； '掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议； 了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力； 具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学； 拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先； 有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,昆明
TME-腾讯音乐C++/GO后台开发工程师,https://www.lagou.com/jobs/6315992.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,广阔发展平台，鹅厂福利，免费班车,岗位职责负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作；负责中大型项目的后台server软件架构和整体框架设计；负责提出海量服务的解决方案，寻找高并发高负载服务应对策略；负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠；参与相关产品需求讨论与产品系统架构的设计和优化工作。任职要求：本科及以上学历，至少2年以上相关开发经验；掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议；了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力；具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学；拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先；有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,昆明
GO,https://www.lagou.com/jobs/2962839.html,朝阳区,12k-24k,北京九识佳科技有限公司,1-3年,本科,"逗逼氛围,五险一金,零食饮料,餐补",岗位职责：1、小肚皮App后端开发                           2、对现有架构、性能进行优化                    3、和产品经理配合，深度参与手机产品需求讨论，功能定义等岗位要求：1、有责任心 2、具有良好的沟通能力和学习能力3、有独立解决问题的能力4、有良好的编程基础5、至少有半年以上的GO开发经验6、对公司产品有认同感的优先你可以得到：高大上工作环境，VIP健身房，高性能游戏室等你来！年底老板感恩季，绩效奖金拿到手瘫痪，豪华7日国际游天天无限供应的零食大趴踢每周公司心机大聚会，K歌*，吃饭*，密室逃脱*，等你来组队每周一场与一群颜值高队友关于产品/市场的头(撕)脑(X)风(大)暴(会),社交,15-50人,go,昆明
Go,https://www.lagou.com/jobs/506545.html,徐汇区,10k-20k,上海爱可生信息技术股份有限公司,不限,本科,新三板 年终奖 公司内健身区咖吧 各种团建,"我们在做什么:0. 开发语言不限.1. 开发的目标是MySQL数据库管理类平台.2. 开发需要注意的方向: 集群调度, 集群高可用性维护, 集群分布式特性维护, 集群容灾容错, 集群服务降级.3. 开发的日常任务: 日常代码, 维护自动化测试, 读书, 设计架构, 设计产品.4. 希望有意愿和能力逐渐读懂MySQL源码, 理解数据库的设计, 寻找产品的提升空间.5. 相关技术文档可参照公司官网文档中心： http://www.actionsky.com/category/jssq/jswd/ 技术文档 我们需要的候选人:0. 我们不在乎候选人现在的技术背景.1. 在之前的技术背景下, 做出了超过平均水平的/好玩的东西.2. 对自己的输出的品质负责.3. 愿意深入MySQL数据库相关的技术, 能自主完成自己的想法.4. 沟通能力正常. 我们不建议的候选人:0. golang只会beego, Java只会Spring/Hibernate.1. 跑得通开源项目的Quick start, 就""架构师"".2. 听过Paxos/Raft的基本流程, 就""精通分布式"".3. 用过bash命令, 就""熟悉Linux"".4. 信息来源仅包括: 百度搜索/QQ群/论坛.5. 没有仔细的读到这一行.",数据服务,150-500人,go,昆明
后台开发（C++/go/PHP/python）,https://www.lagou.com/jobs/5667224.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,3-5年,本科,"美女多,即将上市,有期权,大牛多","岗位职责：1、负责移动电商应用的后端开发工作；2、基于SOA架构，为各类项目需求设计架构，开发后端所有功能服务；3、通过单元测试、自动化以及代码审查等提升优化代码质量；4、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议；5、同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案任职要求：1、互联网3年以上工作经验  2、扎实的计算机基础知识，熟悉各种常见的数据结构和算法  3、丰富的编程语言经验，掌握C/C++、PHP、python或Go中的一种或多种主流开发语言4、深厚的网络技术功底，熟悉TCP/IP、HTTP等通信协议，具有socket网络编程和大规模并发服务器开发经验优先5、强悍的system设计&编码能力，追求优雅的设计和优秀的代码质量6、思路清晰，具备生产系统快速 trouble-shooting 的经验和能力7、对 memcache, Redis, LevelDB, RocksDB, MySQL, HBase, scribe, kafka 的一项或多项有经验者优先8、责任心强，具有良好的表达和沟通能力及较强的执行力备注：外资背景，五险一金全额缴纳，周末双休，弹性上班，不打卡，早9晚6或者早10晚7，10:30以前到岗都不算迟到，公司有食堂，免费提供三餐，零食下午茶，每月有团建、年度旅游，带薪年假15天，之后每年+1天，试用期3个月，交通补助2000元/月，每月有1天带薪病假，当月有效目前公司规模：2000人以上，三年内扩招到5000人；互联网技术团队200人+薪资：30K起，16.5薪平均，上不封顶","移动互联网,电商",2000人以上,go,昆明
基础技术部-对象存储Go高级开发工程师,https://www.lagou.com/jobs/6847427.html,朝阳区,25k-50k,北京三快在线科技有限公司,5-10年,本科,大牛云集，发展好,,消费生活,2000人以上,go,昆明
go语言软件工程师,https://www.lagou.com/jobs/3513860.html,宝山区,10k-20k,上海臻相软件科技有限公司,1-3年,本科,"年终奖金,项目奖金,发展前景好,股权激励",1、负责公司基础服务和一些业务服务的开发和维护；2、参与产品需求沟通与设计评审、负责产品部分模块的设计与开发;3、培养带领初级工程师，进行技术设计、代码编写的指导和评审;4、配合测试及质量控制人员，完善并优化产品实现，提高交付产品的质量。,信息安全,15-50人,go,昆明
技术支撑平台-高级服务端go开发工程师,https://www.lagou.com/jobs/6263916.html,海淀区,20k-40k,北京搜狗科技发展有限公司,5-10年,本科,明星项目 团队氛围好,岗位职责    主要负责公司基础公用技术平台的开发和维护，比如、对象存储、图片、缓存、消息、接入平台等1、参与需求讨论、架构设计、功能开发与维护、新技术预研等2、及时排查解决线上出现的各种问题，对产品质量负责任职资格1、本科以上学历，计算机及相关专业毕业，至少5年以上相关开发经验；2、逻辑思维清晰、责任心强、具备较好的学习和沟通能力，以及团队合作精神；3、熟悉C/C++/Java/Go等一种或多种语言，有良好的编程能力和代码习惯，对技术有执着的热情；4、有参与或者深入研究过开源项目的优先；5、对存储、网络协议、分布式系统、多媒体处理、VoIP等某一领域有深厚经验者优先。,工具,2000人以上,go,昆明
研发质效-Go高级工程师/技术专家,https://www.lagou.com/jobs/7125937.html,朝阳区,25k-45k,北京三快在线科技有限公司,5-10年,本科,发展空间大，福利好,,消费生活,2000人以上,go,昆明
