job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Go服务器端开发工程师,https://www.lagou.com/jobs/2369475.html,东湖新技术开发区,15k-25k,武汉微派网络科技有限公司,1-3年,本科,团队实力出众，产品靠谱，一起成长,"【职位描述】负责核心系统服务器端模块设计、实现，包括并不限制于TCP协议、游戏网络同步算法。【任职要求】1. 1年以上相关工作经验，精通Go的语言特性以及后端系统架构；2. 熟悉算法，有大规模网站后端架构经验，善于做架构取舍，以及扩展预估；3. 熟悉各种SQL、NoSQL数据库应用场景，熟悉TCP、UDP协议；4. 熟悉各种缓存使用（Memcached, Redis）；5. 严谨的工作态度，对技术、业务细节有充分把控；6. 优异的沟通能力，敢于打回“无理的产品需求”，善于提供“合理的可执行方案”；7. 为自己写的代码骄傲！",社交,150-500人,go,武汉
Go服务端开发工程师,https://www.lagou.com/jobs/5107181.html,东西湖区,15k-30k,北京小米科技有限责任公司,1-3年,本科,"核心部门,六险一金,弹性工作,下午茶","- 负责小米商城后端研发工作（包括PC，移动端，小程序等），为小米用户提供高效可靠服务- 与商城产品，市场活动策划进行密切沟通，通过技术手段，支持小米各项促销大活动- 与团队一起研究解决电商中高并发，高可用系统，微服务架构，多机房，高可用缓存系统等技术难题- 负责新技术研究，通过大数据和AI技术，帮助业务提升业绩，达成目标  工作要求：- 计算机或相关专业本科以上学历，硕士学历加分- 有相关互联网公司工作经验，有大流量项目经验优先- 熟练掌握Go/Java/PHP语言，有相关大型互联网项目服务端开发经验优先- 扎实的编程能力, 熟悉算法和数据结构, 熟悉计算机基础理论, 熟悉分布式系统原理- 熟悉业务开发相关技术：常见数据库和协议，架构，存储，缓存，消息队列，API设计理念等- 有良好的团队合作精神，能与产品、策划，测试等其他同事协作解决问题- 对技术有热情，愿意挑战技术难题，业务难题",硬件,2000人以上,go,武汉
服务端开发实习生（GO/JAVA/PHP）,https://www.lagou.com/jobs/6952881.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,职位描述:从事斗鱼产品服务端的架构设计、开发、优化工作，为斗鱼用户提供稳定、安全、高效和可靠的专业后台支撑体系。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、编程基本功扎实，掌握Java/GoLang/PHP等开发语言、设计模式、常用算法和数据结构；2、熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有很深的理解，并了解HTML语言；3、能熟练使用MySQL/MongoDB等数据库，如有查询优化方面的经验为佳；4、有较强的学习能力、分析及解决问题能力，具备良好的团队合作意识，心态好，有责任心；5、在校期间作为骨干参与校园或工作室网站的开发者加分。,文娱丨内容,2000人以上,go,武汉
"游戏服务器开发（C/C++, GO）",https://www.lagou.com/jobs/6591174.html,洪山区,7k-12k,武汉卓讯互动信息科技有限公司,应届毕业生,不限,发展空间大，大牛带,工作职责：1、参与后端开发工作 ；2、与基础架构工程师、运维工程师一起实现稳定、可扩展的后台服务 ；岗位要求：1.本科或以上学历，计算机及相关专业；2.熟悉常见的数据结构与算法、C/C++，熟悉面向对象技术，熟悉常见的设计模式；3.良好的分析问题和解决问题的能力，求知欲强，喜欢专研新技术；有团队合作意识，有良好的沟通能力和语言表达能力；,"移动互联网,游戏",150-500人,go,武汉
go后端,https://www.lagou.com/jobs/6375002.html,洪山区,12k-24k,武汉金盒子智能科技有限公司,3-5年,本科,升职，期权，办公室零食，办公室红包,岗位职责：1、专业研发技术人员职位，负责新零售产品网关模块的嵌入式软件开发；2、负责软件开发的按研发流程及规范进行软件设计、编写开发文档、完成代码实现、调试及测试；3、分析、定位并解决产品开发过程中的软件问题，并协助制定测试计划；4、参与解决客户反馈的产品相关技术问题；5、完成其他相关任务任职要求: 1、本科及以上学历，电子、计算机类或自动控制相关专业，熟悉嵌入式系统开发，三年以上嵌入式软件开发经验；2、有多年的go语言经验，熟悉Linux操作系统及嵌入式Linux的软件开发，熟悉多线程，多进程等并行程序模型；3、了解服务端应用程序的研发，熟悉网络编程，熟悉HTTP、UDP、TCP/IP协议；4、熟悉并熟练掌握Go语言web开发框架和相关library经验；,"硬件,移动互联网",15-50人,go,武汉
爬虫工程师,https://www.lagou.com/jobs/4114675.html,东湖新技术开发区,15K-25K,北京金山办公软件股份有限公司,5-10年,本科,"六险一金,技术氛围好",岗位职责：    1.负责设计和开发网络爬虫系统，进行多平台信息爬取和页面内容的提取分析；    2. 参与爬虫系统的架构设计和研发，进行网页信息抓取和清洗工作;    岗位要求：    1.计算机相关专业，有2年以上的爬虫开发经验；    2.熟悉Linux系统，熟练掌握Python，Java，Go等语言；    3.精通网页抓取原理及技术，精通正则表达式，可以从结构化的和非结构化的数据中获取信息；    4.有自然语言处理、机器学习技术及经验者优先。    5.有大型分布式爬虫架构经验者优先；    6.对数据敏感，具备良好的逻辑思维能力以及优秀的问题解决能力者优先;    7.在互联网反作弊、反欺诈、数据分析等方面有工作经验者优先。,移动互联网,2000人以上,go,武汉
系统运维开发工程师（腾讯云计算武汉有限责任公司）,https://www.lagou.com/jobs/6744035.html,江夏区,15k-30k,腾讯科技（深圳）有限公司,不限,本科,运维,"注意：本岗位是腾讯云计算武汉有限责任公司发布的岗位信息。腾讯云计算武汉有限责任公司是腾讯全资控股子公司。工作地：武汉工作职责1，负责基础it系统以及应用系统的日常运维和管理工作（部署/监控/升级/优化等），支持一线、二线运维响应，保障系统稳定运行；2，负责推进现网相关问题改进，并进行全方位的性能、监控优化、问题跟进解决；3，制定和优化运维解决方案，构建系统测试、系统部署、基础设施管理等系统，提高运维效率和质量；,4，负责构建和优化自动化运维工具平台，优化工作流程，提升工作效能；工作要求1，计算机相关专业本科以上学历，至少1年以上开发运维经验，熟悉软件开发和系统架构；2，熟悉开发相关技能，熟练掌握一门开发语言php/go/python/java；熟悉linux、k8s、es等开源技术；熟悉云平台相关基础产品功能特性；3，熟悉运维相关系统工具与流程，具备相应的二次开发能力，如：CMDB、变更系统、监控系统等；4，熟悉Linux、Bash，熟悉各种开源组件的使用，包括Ansible、Zabbix、jenkins、Jmeter等。5，了解基本网络及管理协议，比如SNMP、OSPF等，掌握基本的网络排障工具，具有相关经验者优先；6，积极主动、敢于承担挑战性工作，良好的团队协作精神。",社交,2000人以上,go,武汉
Saas甄选市场后台开发,https://www.lagou.com/jobs/6735611.html,江夏区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大公司，大平台，技术挑战大，福利好,"岗位要求：计算机、通信相关专业本科以上学历；编程基本功扎实，精通Java，C/C++，Python，Go一种语言, 熟悉面向对象技术，设计模式；精通TCP/IP协议相关知识及网络编程；熟悉常用算法、数据结构、设计模式、多线程、分布式等技术；精通常用缓存、数据库及相关编程；善于沟通及主动思考总结，倡导创新与持续优化，思路周密，代码严谨，对技术有强烈兴趣；有良好的团队合作及抗压能力，有强烈的主人翁意识推进事务进展；具备一定架构能力，熟悉数据，有大容量、高性能、分布式系统的设计开发经验。此岗位为腾讯集团旗下全资子公司编制岗位。岗位职责：参与腾讯云SaaS千帆-甄选市场，Saas商品中台、商户中台后台研发；参与相关系统的架构设计和评审，参与项目的技术攻坚和优化；参与系统文档的撰写、维护。",社交,2000人以上,go,武汉
高级软件开发工程师,https://www.lagou.com/jobs/6767864.html,东湖新技术开发区,20k-40k,华为技术有限公司,3-5年,本科,五险一金、绩效奖金、股票期权，带薪年假,责职要求：1、承担多个模块的代码编写、单元测试、静态检查、本地构建、测试环境搭建、问题定位、资料开发等工作；2、参与软件系统核心模块的技术竞争力构建，架构设计，跟踪分析业界发展趋势，完成技术竞争力识别，标杆分析和指标设定。 业务技能要求：1、深入理解并精通C/C++/Java/Python/Go等一种或多种语言的开发应用，具备大型软件产品设计和开发经验；2、掌握组件化、服务化相关软件架构和技术，具备丰富的多线程、分布式、云化设计和开发经验；3、经历过大规模软件特性开发，有丰富的项目重构和软件性能优化经验；4、具有良好的沟通能力，刻苦、敬业、有上进心，对技术有激情，喜欢钻研，有较强的独立、主动的学习能力；5、3年及以上项目开发经验，独立承担过模块开发、维护工作，并能独立承担系统和模块开发设计工作。 专业知识：1、深入理解并精通C/C++/Java/Python/Go等一种或多种语言的开发应用，具备大型软件产品设计和开发经验；2、掌握组件化、服务化相关软件架构和技术，具备丰富的多线程、分布式、云化设计和开发经验。,通讯电子,2000人以上,go,武汉
C++后台开发实习生 (MJ000024),https://www.lagou.com/jobs/6952896.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,不限,双休,"职位描述:1、从事斗鱼主站后台架构设计、开发、优化及工作；2、网络接入、业务逻辑、视频流处理、弹幕架构等方向；3、为海量互联网用户提供稳定、安全、高效和高可靠的后台支撑体系。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、掌握C/C++/go等开发语言中的一种，熟悉常用的算法和数据结构；2、熟悉TCP/UDP网络协议及相关编程、熟悉进程间通讯编程；3、了解Linux操作系统，了解Python、Shell等脚本语言；4、了解MySQL及SQL语言、编程，了解NoSQL, key-value存储原理；7、了解分布式系统设计与开发、负载均衡技术，系统容灾设计，高可用系统等知识。",文娱丨内容,2000人以上,go,武汉
