job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
golang,https://www.lagou.com/jobs/7218578.html,南山区,25k-50k,深圳市天创进科技有限公司,5-10年,本科,"双休，团建，下午茶
平台发展空间无限","HelloTalk 是全球最大的外语学习社交社区，纯自然增长做到全球2000万注册用户。用户透过HelloTalk和全球语伴学习150门外语、跨文化交流及交友。HelloTalk 教育产品简介HelloTalk作为全球化、多语言学习服务+内容平台，拥有自主生态的语言学习内容及服务公众号体系，集成来自全球的语言学习内容和服务给用户，同时拥有大型外语教学直播和全球支付系统。www.HelloTalk.com工作职责 1、 参与IM后台的基础服务设计：包括单聊、群聊、在线系统、离线消息存储、推送系统，以及其他内部系统微服务的架构设计和实现；2、 参与feed流后台（类似微信朋友圈包括存储系统、缓存系统）开发及维护；3、 参与分布式缓存系统相关开发及维护工作；4、 参与项目重点、难点的技术攻坚。  任职要求1、 本科及以上学历，计算机相关专业；2、 具备Unix/Linux下 Golang/Python/PHP/C++ 5年以上开发经验， 熟悉常用的数据结构、算法；3、 了解TCP/IP协议，熟悉HTTP协议，熟悉进程间通讯编程，熟悉Unix/Linux下常用架构设计方法； 4、 熟悉Unix/Linux操作系统原理、常用工具， 熟悉Mysql/Oracle等数据库管理、开发,SQL调优； 5、 全面的软件知识结构(操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全)； 6、 具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力； 7. 责任心强,良好的对外沟通和团队协作能力。下列条件者优先考虑1、 参与开发过搜索服务、数据存储服务；2、 具有后台服务Docker化、微服务化相关经验；3、 有大型互联网后台开发经验、经历过平台扩容；4、 熟悉NgxLua和OpenResty。注：我们的产品是一款手机app，面试者请先下载了解我们的产品HelloTalk","移动互联网,教育",50-150人,go,深圳
TME-腾讯音乐C++/GO后台开发工程师,https://www.lagou.com/jobs/6315992.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,广阔发展平台，鹅厂福利，免费班车,岗位职责负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作；负责中大型项目的后台server软件架构和整体框架设计；负责提出海量服务的解决方案，寻找高并发高负载服务应对策略；负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠；参与相关产品需求讨论与产品系统架构的设计和优化工作。任职要求：本科及以上学历，至少2年以上相关开发经验；掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议；了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力；具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学；拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先；有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,深圳
DM2665-QQ音乐-C++/GO后台开发工程师,https://www.lagou.com/jobs/6838301.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,岗位职责：负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作； 负责中大型项目的后台server软件架构和整体框架设计； 负责提出海量服务的解决方案，寻找高并发高负载服务应对策略； 负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠； 参与相关产品需求讨论与产品系统架构的设计和优化工作。岗位要求：本科及以上学历，至少2年以上相关开发经验； '掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议； 了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力； 具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学； 拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先； 有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,深圳
高级后台工程师（Go/Java/C++）,https://www.lagou.com/jobs/7124727.html,福田区,20k-35k,深圳市客路网络科技有限公司,5-10年,本科,独角兽企业；国际化企业；D+轮融资；舒适,"岗位职责： 1. 负责Klook核心产品线（铁路）的业务开发，和产品团队密切配合，深入理解产品和业务，保证业务需求的高效落地 2. 解决各种疑难杂症、核心代码编写、参与技术与业务产品平台和组件的沉淀； 3. 推动优秀的软件工程方法、流程和规范在团队落地； 4. 团队人才培养和技术氛围提升，传播公司内外优秀经验和方法论，创造追求卓越的技术氛围； 任职资格： 1.计算机或相关专业统招本科以上学历，英语六级或者同等水平，8年或以上工作经验，其中2年团队管理经验 2.熟练掌握Java语言，有相关大型互联网项目服务端开发经验优先 3. 扎实的编程能力, 熟悉算法和数据结构, 熟悉计算机基础理论, 熟悉分布式系统原理 4. 熟悉业务开发相关技术：Linux系统, Mysql数据库和协议，架构，存储，缓存，消息队列，API设计理念等 5. 有Linux操作系统优化, 对sql优化有丰富的经验者优先 6. 能适应高强度工作，责任心强，工作积极主动，善于学习和交流，具有良好的团队合作精神 7. 有良好的团队合作精神，能与产品、策划，测试等其他同事协作解决问题",旅游,500-2000人,go,深圳
高级GO开发工程师,https://www.lagou.com/jobs/6788802.html,南山区,20k-25k,万兴科技集团股份有限公司,3-5年,本科,上市公司 发展空间大 管理规范,"岗位职责：1.   根据产品需求和系统规划，负责核心业务系统的系统设计与开发；2.   负责后台功能开发以及维护，研发项目的项目管理工作。任职要求：1.   有四年以上Linux后台服务开发经验，两年以上Go语言实战开发经验，有微服务系统、API、运营系统等设计与开发经验，本科及以上学历；2.   具备优秀的团队协作精神，良好的沟通表达能力；3.   精通Go语言编程和设计模式，精通Linux网络编程、多线程编程，有分布式微服务治理、高性能、大并发后台服务开发经验者优先；4.   精通Mysql数据库，擅长SQL优化者优先；5.   熟悉Redis、Memcache、MongoDB等缓存中间件和NoSQL数据库,熟悉RabbitMQ、NSQ、Kafka等消息中间件。",移动互联网,500-2000人,go,深圳
Go服务端开发工程师-Airpay,https://www.lagou.com/jobs/5421119.html,南山区,20k-40k,深圳虾皮信息科技有限公司,3-5年,本科,外企氛围，蓝海市场，大牛多多，15天年假,岗位职责：1、参与面向东南亚等地区的支付、信贷等金融业务的后台系统的设计和开发实现，包括账户、交易、风控、安全等。2、面向金融业务，实现强安全、高可靠的复杂事务系统；并针对互联网应用场景，提供高并发处理能力和高效的操作体验。3、面向东南亚多个地区的不同的业务特性、物理环境和监管需求等，定义灵活适配的系统功能模块和部署方案。 岗位要求：1、大学本科及以上学历，2年以上后台开发经验；2、熟练掌握Golang/C++/Java语言中的至少一种，熟悉Python者优先；熟练掌握常规的数据结构、算法和多线程技术；3、熟练掌握MySQL/Oracle等数据库读写和常规性能优化方法，熟悉Redis、HBase、MongoDB等大数据组件的使用；4、熟悉分布式架构；熟悉K8S等微服务框架；熟悉TCP/HTTPS等网络协议；熟悉XML/JSON/ProtoBuf等数据交换格式；5、有金融系统开发经验者优先，有互联网高并发系统开发经验者优先。,电商,500-2000人,go,深圳
Service By Shopee Go开发工程师,https://www.lagou.com/jobs/7137704.html,南山区,20k-40k,深圳虾皮信息科技有限公司,1-3年,本科,大牛多，氛围好，外企，福利好,"业务描述：SBS（Service By Shopee）服务于”Shopee自营“和”Shopee代商家运营“两种业务模式，由PMS（采购管理系统，服务于内部运营人员）和SRM（供应商门户，服务于供应商）承载。自2018年起已覆盖供应链供应商管理，商品管理，采购管理，出入库管理等流程，并于2020年搭建结算管理流程以形成一体化综合服务平台，使得供应链得以更好为商家和Shopee电商赋能。SBS产品不仅需要具备供应链的综合性业务知识，更需要对Shopee复合型电商模式的有全面的理解，如何将这两者整合成一个易用的产品，是对这个团队最大的挑战。技术责任描述： 
 负责SBS项目的开发建设、方案设计、优化和需求调查；
 负责建设高可靠、高并发的分布式API系统及服务端软件；
 重构和优化现有系统，满足业务高速发展；
 快速响应，处理解决线上问题；
 指导培训新员工；
 负责新技术的落地实施和相关的技术分享。
任职要求：
 计算机及相关专业，本科以上学历，一年及以上全职开发工作经验；
 扎实的编程基础，良好的代码风格和编程习惯；
 熟练掌握Go语言，有一年以上Golang项目开发经验，熟悉Python优先；熟练掌握IO、多线程、gRPC等基础框架；
 熟练使用MySQL，掌握数据库的设计方法;
 熟悉常见的消息队列、缓存服务和存储服务，有阅读或贡献源码者优先；
 熟悉WEB常见安全问题；
 优秀的逻辑思维能力和学习能力，具备较强的责任感和主动性，良好的沟通能力、团队协作精神；
 有电商供应链、物流系统开发经验优先。",电商,500-2000人,go,深圳
平台开发工程师（go语言方向）,https://www.lagou.com/jobs/5687818.html,南山区,20k-40k,星辰天合（北京）数据科技有限公司,5-10年,本科,潜力平台 牛咖云集 完善福利,岗位职责:1、 负责PaaS平台后端开发；2、 有能力进行分布式系统的需求分析、架构设计及开发；3、 独立编写开发相关文档。  任职要求:1. 3年以上开发经验，1年以上golang开发经验；2. 有Kubernetes、Docker、mesos容器使用经验者优先；3. 具有良好的编码风格和团队协作精神；4. 有Github开源作品/个人Blog优先考虑 我们提供给您：1．完善的福利、五险一金、补充医疗、子女补充医疗；2．每年带薪年假不少于7天（入职**年就享有哦~）；3．年轻自由国际化的工作氛围与文化，无限量咖啡、饮料、零食，每月餐补、通讯补、交通补、团建费……；4．提供职业培训和高效的职业发展通路；5．创业公司的无限可能。6．浓厚的技术工作氛围,企业服务,150-500人,go,深圳
后台开发工程师（GO/C++/搜索推荐方向）,https://www.lagou.com/jobs/7203281.html,福田区,15k-30k,深圳市客路网络科技有限公司,3-5年,本科,国际化平台,,旅游,500-2000人,go,深圳
GO开发工程师,https://www.lagou.com/jobs/3820855.html,南山区,15k-30k,深圳市即构科技有限公司,3-5年,本科,"核心部门,高并发,大牛云集,氛围浓厚",－负责IM类业务需求的后台架构设计、开发、运营－负责在线教育产品SAAS服务的后台架构设计、开发、运营职位要求：－本科及以上学历，2年及以上后台开发经验－良好的数据结构和算法能力－熟悉Unix/Linux开发环境，熟悉网络开发，理解并发编程－熟练掌握GO语言，有大型项目开发经验优先－在GO语言的基础上，有C/C++系统开发经验优先－良好的沟通能力和责任感，能够承担工作压力，独立分析和解决问题,"移动互联网,企业服务",150-500人,go,深圳
