job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
互联网运维工程师,https://www.lagou.com/jobs/7100338.html,高新区,6k-8k,憨妈妈网络科技（苏州）有限公司,3-5年,不限,发展空间大,"工作职责：1、负责公司各项云服务的日常维护，重点技术攻关，7x24*故障响应/处理，恢复预案制定，服务性能调优。2、设计服务器后端架构，实现分布式/集群化运维，确保集群高稳定性，根据具体业务场景平衡数据一致性/可用性，制定并实施相关运维技术方案，确保服务高效、稳定的运行。3、负责选型/设计、实施、优化与运维相关的各自动化工具或系统，减少人工干预（部署流程、CI、性能／业务监控系统、资源分配/弹性伸缩等）4、公司自有运维工具/内部系统研发（自定义监控/流程管理/数据分析等） 岗位要求：1、本科及以上学历，至少4年以上互联网运维经验（能力突出者可酌情考虑）；2、掌握常见网络拓扑结构，深入理解TCP/IP协议，了解HTTP、DNS、FTP等常见应用层协议以及交换机、路由器，安全组，防火墙的工作和运行原理；3、熟练掌握Linux系统常用命令，熟练使用grep、awk、sed等系统工具，至少熟悉一种（Python/Go/Shell/Groovy）等脚本语言者优先；4、有常见性能/业务/异常监控平台的搭建和使用经验，如：prometheus/zabbix/grafana/sentry/datadog等5、 熟悉常见应用和中间件配置、维护/优化/高可用方案，如Redis/kafka/RabbitMq等；6、熟练掌握Nginx/haproxy等应用配置及高可用方案；7、具备Mysql数据库运维能力，了解数据库引擎常规优化和高可用方案；8、熟练掌握jenkins自动化工具，熟悉git版本/分支管理，可持续集成；9、有docker及其常见编排工具（如K8S, Swarm）实践经验者优先；10、有开源项目贡献者或开源项目领导者优先；11、具有良好的沟通协作能力，有较强的团队合作和分享意识；工作主动性强，耐心细致，有责任心，执行力强，并有较强的自驱动能力和学习能力，具备一定的文档能力","电商,企业服务",15-50人,go,苏州
运维工程师,https://www.lagou.com/jobs/7217306.html,吴中区,15k-30k,苏州思必驰信息科技有限公司,3-5年,不限,国内语音独角兽 E轮,"工作职责:1、负责云集群业务运维，保证系统可用性；              2、负责对线上系统的性能、可用性进行监控和持续优化；3、参与运维方向的研发工作, 提高运维自动化水平和效率、故障响应能力、优化资源使用4、参与运维方向的服务架构规划及调整、系统优化及性能分析5、参与运维体系建设，运维相关的新技术研究6、不断优化基础架构，完善运维文档，保证在线服务稳定、高效运行任职要求:1. 3年以上互联网服务运维经验，本科计算机相关专业优先     2. 工作积极主动,细致踏实,有责任心和良好的团队合作精神3. 学习能力强, 有较强的独立分析和解决问题能力4. 熟悉Linux系统及特性,能根据需求进行系统级优化, 熟悉网络设备的基本配置5. 理解TCP/IP,HTTP协议工作原理,并能进行相关问题或故障的快速定位6. 熟悉Linux下Nginx，Iptables，Haproxy，KeepAlive，Etcd，Redis，Mongodb，Mysql等开源服务和中间件的原理和使用7. 熟悉ELK、Prometheus 或其他类似开源软件的安装,配置和管理,及时快速处理告警8. 熟练使用Shell，并至少掌握Python/Lua/Go等一种或多种语言9. 熟悉Docker,Kubernetes(K8S),有实际生产环境使用及故障处理经验佳",企业服务,150-500人,go,苏州
软件开发工程师 —苏州,https://www.lagou.com/jobs/6173434.html,工业园区,20k-40k,微软（中国）有限公司,不限,本科,职级开放，****,"软件开发工程师 (职级 open,招 SE, SEⅡ, senior SE)基本要求：1. 精通一种或多种通用编程语言（如C＃，Java，C， C ++，Python，Go等）2.  算法、数据结构3.英文沟通微软职位 苏州：Office 365；微软硬件团队北京：微软亚洲研究院/云计算与人工智能事业部/互联网工程院上海：云计算与人工智能事业部深圳：微软硬件团队面试流程：简历筛选-HR 沟通（20分钟）并直接推荐给Manager+1轮电话技术面试（45分钟-1小时）+4-5轮现场技术面试（45-60分钟/轮）苏州职位  (职级 open,招 SE, SEⅡ, senior SE，EM)后端1. Office 365（1年+经验，英文middle/strong）2.  Sharepoint（1年+经验，英文strong）移动端1. Outlook Mobile（1年+经验，英文middle）2.  Sharepoint（3年+经验，英文strong）Engineering Manager1. O365 (英文strong，3年+管理经验)2. Sharepoint (英文strong，3年+管理经验)","移动互联网,数据服务",2000人以上,go,苏州
java开发工程师,https://www.lagou.com/jobs/5622025.html,工业园区,15k-30k,上海喔噻互联网科技有限公司,3-5年,本科,股票期权，大牛带队，晋升空间,"1、负责收钱吧相关的后台服务2、配合前端开发人员实现产品功能3、参与系统需求调研与分析、详细设计任职资格：1、至少3年及以上服务器端开发经验2、精通Java语言，对于面向对象模型和设计模式有清晰的认识，了解常用设计模式；3、熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架，熟悉Spring Boot、SpringMVC或netty等框架，熟悉自动单元测试框架；4、熟练掌握mysql或mongodb数据库，了解分布式事务控制；5、了解工作流，分布式服务架构等技术优先, 有高并发，高性能WEB开发经验者优先；6、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；7、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精加分项：1、熟悉任意一门前端框架（Angular.js/Backbone/Ember）2、有Go语言的开发经验者优先",移动互联网,500-2000人,go,苏州
java后端 (苏州）,https://www.lagou.com/jobs/5622088.html,工业园区,15k-30k,上海喔噻互联网科技有限公司,3-5年,本科,股票期权，大牛带队，晋升空间,"1、负责收钱吧相关的后台服务2、配合前端开发人员实现产品功能3、参与系统需求调研与分析、详细设计任职资格：1、5年及以上服务器端开发经验2、精通Java语言，对于面向对象模型和设计模式有清晰的认识，了解常用设计模式；3、熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架，熟悉Spring Boot、SpringMVC或netty等框架，熟悉自动单元测试框架；4、熟练掌握mysql或mongodb数据库，了解分布式事务控制；5、了解工作流，分布式服务架构等技术优先, 有高并发，高性能WEB开发经验者优先；6、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；7、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精加分项：1、熟悉任意一门前端框架（Angular.js/Backbone/Ember）2、有Go语言的开发经验者优先",移动互联网,500-2000人,go,苏州
Software Engineer-O365,https://www.lagou.com/jobs/6425505.html,工业园区,25k-50k,微软（中国）有限公司,不限,本科,国际化团队 多个hc,"【远程面试】[请投递英文简历 谢谢]ResponsibilitiesIn this position, you will build the tools, technologies, and services that enable engineering for Office365.  You will be responsible for building large-scale services as well as ensuring that the day-to-day experience of engineers are both efficient and empowering.• Design, develop, test, deploy, maintain and improve software components, services, systems, and features in large scale, distributed cloud environment• Work with peer engineers, partner teams and program managers across US and China to deliver cutting edge cloud technology• Resolve problems of any scope and aid other team members on a consistent basis• Lead the way with impactful feedback to peers during code reviews and improvements to the code review processQualificationsBS/MS in computer science, software engineering, mathematics, or a related engineering fieldGood communication both in Chinese & English1+ years relevant work experiences in one or more general purpose programming languages (e.g. C#, Java, C/C++, Python, Go etc.)BS in Computer Science or Engineer or equivalent industry experienceProven ability to learn new technologiesPreferred Qualifications:• Experience in large scale distributed system architecture, design and implementation• Experience in large scale machine learning infrastructure is a plus• Strong communication skills and ability to work with multi develop center teams","移动互联网,数据服务",2000人以上,go,苏州
业务安全及反欺诈管理员,https://www.lagou.com/jobs/7215945.html,工业园区,10k-15k,上海悠欧网络工程有限公司,1-3年,本科,发展前景好，福利待遇佳,岗位职责 1.负责公司业务安全风险识别、跟踪及改进；2.分析公司应用及业务活动中的攻击，进行排查与响应、策略优化；3.评估网络黑、灰产对企业的业务影响并组织应对。任职要求1.本科及以上学历，3年以上相关工作经验；2.熟悉业务安全对抗、如内容反爬取等对抗技术，有真实场景下的威胁对抗、溯源、黑灰产对抗经验优先；3.掌握Python/Java/Go或其他编程语言之一，有过软件项目开发经验优先。,"人工智能,通讯电子",15-50人,go,苏州
sre运维工程师,https://www.lagou.com/jobs/7175463.html,高新区,15k-25k,赛摩智能科技集团股份有限公司,3-5年,本科,五险一金 出国旅游 定时培训,岗位职责:1、负责公有云容器相关产品的维护工作，对云管平台系统可用性负责；2、负责公有云容器相关产品的投诉、故障等紧急事件的应急处置工作；3、负责公有云容器相关产品的监控告警优化、监控数据分析工作；4、负责公有云容器相关产品CI/CD系统的建设与维护，负责产品迭代更新工作；5、负责公有云容器相关产品架构及性能优化工作；6、负责公有云容器相关产品运维工具开发工作。7、负责公有云其他产品中容器相关技术支持工作。任职要求:1、全日制本科或以上学历，3年以上系统运维或开发相关工作经验；2、能够熟练使用Linux操作系统，熟悉Linux内核、网络、存储等系统底层原理，具备Linux常用服务的维护、问题处理和优化能力。3、能够熟练使用ansible、saltstack、zabbix、grafana、ELK等常用自动化运维工具并精通其中至少一种，有自动化运维工具开发经验者优先；4、熟悉CI/CD过程管理体系架构、能够熟练使用Jenkins等工具完成产品快速交付；5、精通至少Java、Python、Go、Shell等开发语言中的一种，精通相关开发语言的主流开发框架；6、具备3年以上容器相关运维或开发经验，精通K8S、Docker、镜像仓库等、容器网络等技术和底层实现原理，精通相关源码者优先；7、具备良好的沟通表达能力、团队协作能力、抗压能力和学习能力，具备良好的责任意识、服务意识和主动意识，对IT技术有热情。,"人工智能,软件开发",2000人以上,go,苏州
Web前端工程师,https://www.lagou.com/jobs/4995553.html,高新区,10k-20k,苏州盖雅信息技术有限公司,3-5年,大专,技术领先,职位描述： 根据需求文档和设计稿，开发PC端单页应用和微信公众号。 开发前端基础组件，优化前端技术架构，积极分享并布道。 研究最新技术和规范，在项目中运用并在公司范围内推广。 完善前端开发规范和工具，推进前端开发工程化和自动化。   职位要求： 熟练掌握Javascript（含ES2015+），HTML5和CSS3。 掌握组件化开发思想，熟悉React，Angular或Vue。 热爱前端，热爱编程，对代码追求极简，精益求精。 主动发现并解决项目中存在的问题，善于发现，勇于尝试。有后端开发经验，并熟悉Node，Python，Go或Java中至少一门语言。 如果你有兴趣但又不符合条件，可以通过作品等证明你的潜力。  加分项： 喜欢谷歌，会科学上网。 有自己的博客并经常更新。 英语熟练。   入职配备Mac pro和大屏显示器。,企业服务,150-500人,go,苏州
软件开发工程师（数据库方向）(J10829),https://www.lagou.com/jobs/6895447.html,高新区,20k-30k,中移（苏州）软件技术有限公司,3-5年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,go,苏州
监控系统开发工程师(J10813),https://www.lagou.com/jobs/6895797.html,高新区,20k-30k,中移（苏州）软件技术有限公司,3-5年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,go,苏州
大数据技术高级研发工程师,https://www.lagou.com/jobs/6963716.html,工业园区,20k-40k,中国科学院电子学研究所苏州研究院,3-5年,硕士,***科研机构，空天信息应用,工作职责：1.负责大数据平台工具的架构和开发，包括调度系统，开发平台，多维分析平台，可视化系统等2.负责大数据应用架构制定，包括异构数据存储、计算、分析和挖掘等3.负责系统中台化应用方式的设计构建和推动实施职位要求：1.五年以上数据架构或者数据平台工作经验，熟悉数据挖掘和数据算法优先2.深刻理解 Hadoop、Spark、Hive、Kafka 和 Flink 等技术体系3.优秀的代码开发能力，至少熟练使用 Java、Scala、Go、Python 其中一种4.具备强烈的理解业务、服务业务和驱动业务的意识5.具备出色的逻辑思维能力、组织协调能力、沟通交流能力6.熟悉 Druid，Kudu、HBase、ClickHouse、Kylin 等 OLAP 存储系统底层架构优先,"移动互联网,数据服务",150-500人,go,苏州
全栈前端工程师,https://www.lagou.com/jobs/6965137.html,吴中区,10k-18k,苏州畅踢体育科技有限公司,1-3年,本科,13薪、带薪休假,岗位描述：根据公司项目实际需求，与设计师以及后台开发工程师配合，完成web前端的UI交互、样式和功能的开发工作；前端项目标准化及优化研究，例如前后端分离，前端项目工程化。基础要求：必须喜欢足球，了解足球，球迷或踢球优先有扎实的HTML、CSS、JavaScript语言基础，了解各种主流浏览器兼容性；熟悉响应式框架Bootstrap，有响应式网站的开发经验；熟悉至少以下一种JS框架，React、Vue等，掌握其原理，能独立开发常用组件；对前端工程化与模块化开发熟悉，熟悉打包工具Webpack，能描述清楚CommonJS、AMD/CMD、ESModule等模块化的区别；不依赖框架情况下可以对JavaScript常用数据结构进行操作，包括但不仅限于查找、排序、去重、对象深、浅复制等；熟悉使用Web调试工具，Chrome Web Tools、Firebug等，对于各浏览器内核有一定的研究；熟悉分层架构设计、模块化设计；熟悉数据安全性处理、表单同步/异步验证；兩年以上Web前端开发经验，能熟练使用常见类库或框架，编写高质量的前端代码；熟悉Git、SVN等常用版本管理软件；有良好的编码习惯；有良好的文档书写习惯；有极客精神，能够适应各类复杂困难技术的挑战；有良好的沟通能力、审美能力和团队合作意识。加分点：有开源作品和多端适应项目者;掌握一门后端语言如Ruby、NodeJS、GO等；有Mac环境下工作经验；对新技术有出色的学习能力；有移动端开发、服务端开发经验者优先考虑,"移动互联网,消费生活",少于15人,go,苏州
