job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
腾讯云go后台开发工程师或c++（边缘计算）,https://www.lagou.com/jobs/6826961.html,高新技术产业开发区,13k-25k,腾讯科技（深圳）有限公司,1-3年,本科,新业务，随着5G发展，业务发展空间大。,岗位要求：1、本科及以上学历，2年以上Unix/Linux操作系统下的C/C++/go项目的开发经验；2、熟悉网络编程，熟悉TCP/IP协议及编程，熟悉互联网应用协议；3、责任心强，良好的对外沟通和团队协作能力，主动，好学；4、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；5、良好的计算机技术基础(操作系统、数据结构、数据库系统)。注:此岗位为腾讯集团旗下全资子公司编制岗位   岗位职责：    1、负责腾讯云ECM边缘计算机器，ECP边缘计算平台的业务功能开发维护；2、负责腾讯云ECM边缘计算机器，ECP边缘计算平台的管理后台及流程工具平台建设；3、支持腾讯云ECM边缘计算机器客户接入问题和排障支持；4、支持腾讯云ECP边缘计算平台客户访问问题、排障支持和项目POC支持。,社交,2000人以上,go,西安
腾讯云GO/C++边缘计算后台开发工程师,https://www.lagou.com/jobs/6993317.html,浐灞生态区,15k-26k,腾讯科技（深圳）有限公司,3-5年,本科,福利待遇，上升通道,岗位要求：1、本科及以上学历，2年以上Unix/Linux操作系统下的C/C++/go项目的开发经验；2、熟悉网络编程，熟悉TCP/IP协议及编程，熟悉互联网应用协议；3、责任心强，良好的对外沟通和团队协作能力，主动，好学；4、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；5、良好的计算机技术基础(操作系统、数据结构、数据库系统。岗位职责：1、负责腾讯云ECM边缘计算机器，ECP边缘计算平台的业务功能开发维护；2、负责腾讯云ECM边缘计算机器，ECP边缘计算平台的管理后台及流程工具平台建设；3、支持腾讯云ECM边缘计算机器客户接入问题和排障支持；4、支持腾讯云ECP边缘计算平台客户访问问题、排障支持和项目POC支持。注:此岗位为腾讯集团旗下全资子公司编制岗位,社交,2000人以上,go,西安
Go语言工程师,https://www.lagou.com/jobs/7106674.html,雁塔区,11k-15k,上海安畅网络科技股份有限公司,3-5年,大专,老板好、氛围好、工作环境好、节日福利,岗位要求：1、三年以上Linux环境（GO、python、perl）编程经验； 2、熟悉k8s、docker、ELK、Openstack、Prometheus，有devops产品开发经验者优先； 3、熟悉TCP/IP及HTTP，SNMP等常用网络协议； 4、熟悉Linux系统，了解其工作原理，具备优化和排障能力； 5、具备良好的沟通、协调、学习和创新能力； 6、1年以上beego框架的开发经验； 7、掌握容器分布式网络、分布式存储、虚拟化、devops等相关技术和设计能力者优先。,"电商,数据服务",150-500人,go,西安
GO开发工程师,https://www.lagou.com/jobs/6770009.html,雁塔区,10k-15k,陕西晟运通科技有限公司,3-5年,本科,双休 带薪年假 五险,1. 参与项目架构设计和优化，核心代码和文档的编写；2. 负责产品后端服务接口的实现和维护，负责数据库端数据完整性；3. 熟练掌握 Restful API 接口设计标准及规范；4. 熟悉MySQL、Redis、MongoDb等数据库；5. 熟悉Shell脚本编写、Linux系统及常用命令；6. 了解常用算法及数据结构、TCP/IP网络通讯原理；7. 具备高可用、高并发分布式系统开发设计相关经验优先。,电商,150-500人,go,西安
大数据研发工程师（中高级）,https://www.lagou.com/jobs/7203174.html,雁塔区,16k-24k,杭州评师教育科技有限公司,3-5年,本科,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,go,西安
大数据研发工程师（初中级,https://www.lagou.com/jobs/7203147.html,雁塔区,12k-16k,杭州评师教育科技有限公司,1-3年,不限,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,go,西安
软件开发工程师,https://www.lagou.com/jobs/7083031.html,雁塔区,13k-25k,华为技术有限公司,1-3年,本科,团队 薪酬 能力,"外企德科&产品数字化与IT装备部""华为精英研发项目""OD招聘       华为产品数字化的愿景，是把数字世界带给每个角色、每个活动、每个产品，打造快速灵活、优质高效的端到端企业系统竞争力，持续支持打造可信高质量产品，“从不可能到可能”地做到**领先。       欢迎兼具创新和研究精神、有激情、有实力的人才加入！在这里，你可以与业界**专家共事、接触业界最先进的数字化技术，掌握专业的数据知识，共同支撑公司未来3000亿美金的商业目标实现，一起拥抱美好的DT新时代！岗位职责：1、负责研发领域IT系统技术方案的设计、开发等工作；2、负责项目开发过程中的技术攻关及解决运行中出现的技术问题；3、负责产品核心模块的代码编写和LLT测试；4、负责产品疑难问题的分析和定位。任职要求：1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于Java/C++/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；4、优选条件：a、熟悉Java主流框架、容器及数据库、能够解决疑难问题（如Spring、Tomcat、Mysql、MongoDB等）；b、熟悉微服务框架（如Dubbo、ZooKeeper、Redis、SpringMVC、SpringBoot、Spring Cloud Dataflow等）以及应用，有SOA或分布式高并发系统的设计和开发经验；c、了解消息队列、分布式缓存、NoSQL、分词搜索等技术，能够快速掌握相关开源产品使用。工作地点深圳、西安、成都、东莞",通讯电子,2000人以上,go,西安
高级软件工程师,https://www.lagou.com/jobs/5747312.html,雁塔区,14k-25k,华为技术有限公司,3-5年,本科,福利待遇好,【基本要求】1、扎实的编程基础，熟悉常用的开发框架，具备良好的系统分析设计能力，具备多线程开发、性能优化的能力；2、深刻理解面向对象思想，掌握至少一种主流编程语言（优选Java、C++、Go、Scala）；3、熟悉常用数据库（MongoDB，MySQL等）的原理和使用；4、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识；5、具有良好的沟通能力，对技术有激情，能够快速接收和掌握新技术，有较强的独立、主动学习能力。,通讯电子,2000人以上,go,西安
大数据架构师,https://www.lagou.com/jobs/7049315.html,高新技术产业开发区,10k-20k,北京源清慧虹信息科技有限公司,不限,本科,二次医疗 健身房 体检 通讯补助,职位诱惑：        二次医疗 绩效奖金 健身房职位描述：技能要求：数据架构，解决方案、分布式、微服务架构，大型分布式架构，Hadoop岗位职责：1. 负责物联网大数据平台系统的设计与实现，包括实时流和离线数据等相关功能的开发与实现。2. 负责完成核心代码技术攻坚。3. 根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。4. 负责物联网监测行业的算法工程化实现。任职资格1. 计算机相关专业本科及以上学历。2. 3年以上开发经验熟练掌握Python 、Go 、C++中的至少一种开发语言。3. 有相关的大数据系统架构经验，具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，良好的工程素养，极强的问题解决能力。4. 熟练掌握Hadoop、Kafka、Spark、Storm等分布式框架原理，有相关的调优、运维、开发经验。5. 具有Postgresql、MySql、MongoDB，ClickHouse等其中一种数据库应用开发经验。6. 有物联网相关系统、可视化相关系统、微服务相关系统的设计和研发经验的优先考虑。7. 对技术有激情，有较强的独立、主动的学习能力，良好的沟通表达能力。8. 善于交流，有良好的团队合作精神和积极的工作态度，个人素养过硬。,"信息安全,数据服务",50-150人,go,西安
服务端研发工程师,https://www.lagou.com/jobs/7131292.html,高新技术产业开发区,12k-16k,西安逆袭网络科技有限公司,3-5年,本科,"扁平管理,五险一金,健身福利,项目奖金","岗位职责：
 参与公司产品的研发与维护；
 主要进行服务端程序的开发；
 根据产品需求完成模块设计、编码、服务器环境测试工作；
 能按照项目计划，按时提交高质量的代码。
任职要求：
 三年以上多人在线开发经验，全日制本科及以上学历；
 扎实的数据结构基础，熟悉常用算法，熟悉 python 、go 、nodejs、lua语言开发中的一种；
 熟悉koa、django等相关的框架；
 熟悉MySQL、Mongdb数据库技术 使用缓存Redis、Memcache等数据库技术;
 熟悉网络TCP\IP、HTTP协议，熟悉Socket 编程；
 对Go主流web框架有实战经验；
 熟练使用ES、PostgreSql等至少一种技术，熟悉其设计原理；
 了解Docker, K8S容器相关知识以及关注Golang生态；
 熟悉linux开发环境;
 具有良好的团队合作精神和良好的沟通协调能力。","移动互联网,社交",50-150人,go,西安
