job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/7200591.html,海淀区,20k-40k,北京拉勾网络技术有限公司,5-10年,不限,"发展空间大,弹性工作制,领导Nice",岗位要求：1、计算机或相关专业本科及以上学历，5年以上大数据运维或开发工作经验；2、熟悉linux开发环境，熟练掌握JAVA/GO/Python语言中的一种;3、熟练掌握大数据常用开源组件的技术原理，有现网的hadoop、kafka等开源大数据组件运维或开发经验；4、有较强的逻辑思维能力，思想上开放，主动积极有责任感，能够承担工作压力；有hadoop、kafka、spark、flink等开源组件源码优化经验优先；岗位职责：负责大数据平台消息中间件/Hadoop/实时计算/OLAP的运营支撑和架构优化。,企业服务,500-2000人,hadoop,北京
高级大数据开发工程师,https://www.lagou.com/jobs/7195249.html,海淀区,35k-40k,北京拉勾网络技术有限公司,5-10年,本科,"发展空间大,弹性工作制,领导Nice",岗位要求：1、计算机或相关专业本科及以上学历，5年以上大数据运维或开发工作经验；2、熟悉linux开发环境，熟练掌握JAVA/GO/Python语言中的一种;3、熟练掌握大数据常用开源组件的技术原理，有现网的hadoop、kafka等开源大数据组件运维或开发经验；4、有较强的逻辑思维能力，思想上开放，主动积极有责任感，能够承担工作压力；有hadoop、kafka、spark、flink等开源组件源码优化经验优先；岗位职责：负责大数据平台消息中间件/Hadoop/实时计算/OLAP的运营支撑和架构优化。,企业服务,500-2000人,hadoop,北京
大数据开发工程师,https://www.lagou.com/jobs/6986318.html,东城区,30k-60k,北京默契破冰科技有限公司,5-10年,本科,"七险一金,弹性不打卡,免费午餐,季度旅游",岗位描述：1、参与大数据平台建设，完成大规模数据存储设计、实现；2、负责大数据采集、处理、转换、分析、业务需求等相关开发；3、设计面向业务的OLAP，完成企业级数仓的建设；4、负责大数据作业优化及质量保障；5、参与大数据系统及应用架构设计及新技术调研。岗位要求：1、本科学历，计算机、数据科学等与大数据相关专业，5年以上工作经验；2、精通Hadoop相关技术，包括Spark，Hbase，HDFS，Hive，Yarn，Kafka，Flume，Spark、Flink，Storm等；3、精通java、scala开发语言，精通SQL，熟悉MySQL，熟悉shell，python等脚本语言，熟悉git，jira等工具；4、具有优秀的开发规范意识，对大数据技术和开发有热情，工作认真负责，有较强的学习能力和团队合作意识；5、参与过数据处理、分析、挖掘等相关项目，熟悉阿里云日志系统。,社交,150-500人,hadoop,北京
大数据开发工程师,https://www.lagou.com/jobs/6741505.html,海淀区,30k-60k,北京微聚未来科技有限公司,5-10年,本科,"牛人团队,带薪年假,16薪考核,快速成长",职责：1.负责建设、维护、优化基于Hadoop生态技术的大数据集群和计算框架；2.通过提供平台化的计算框架，支撑海量数据分析、数据挖掘、机器学习工作；3.负责数据产品平台的设计、开发；4.关注开源技术动态，预研、评测大数据生态新技术，引进新的技术框架，满足业务需求并不断提高工作效率及质量； 要求: 1.  计算机、信息系统、数学或相近专业本科以上学历，4年以上大数据研发经验；2.  精通java/scala，精通Hadoop生态并有实战经验，包括但不限于hadoop/flink/hive/spark/impala/hbase/kafka等；3.  有大规模集群维护经验，能够快速处理hadoop或spark等相关技术栈的问题；4.  熟悉大数据的完整处理流程，包括数据的采集、清洗、预处理、存储、分析挖掘和数据可视化，能够设计、开发平台化数据产品；5.  有优秀的业务理解能力，对数据敏感，对金融风控有较深入的认识；6.  有关键技术攻关的决心和能力，能够适应和享受高压力的工作；7.  有OLAP产品开发经验优先。,"移动互联网,金融",500-2000人,hadoop,北京
数据开发工程师,https://www.lagou.com/jobs/7219163.html,海淀区,20k-40k,北京字节跳动科技有限公司,1-3年,本科,各种福利待遇，大佬云集，期待你的加入！,职位描述1、负责字节跳动电商相关业务数据仓库的开发与优化；2、基于Hive/Flink等平台建设数据仓库，实时数仓建设；3、负责数据模型的设计，etl实施，etl性能优化以及相关技术问题的解决；4、负责面向业务的olap，报表，数据提取工具等开发工作。职位要求1、熟悉大数据相关技术：Kafka/Flink/Hadoop/Druid/HBase/Hive 等；2、熟练使用 Java、Go、Python语言中的一种或者多种；3、具备数据库系统理论知识，掌握主流数据库管理和应用，精通SQL；4、有高性能分布式平台开发经验，有电商行业经验优先。,文娱丨内容,2000人以上,hadoop,北京
大数据开发工程师,https://www.lagou.com/jobs/7005187.html,海淀区,20k-35k,北京音娱时光科技有限公司,3-5年,本科,团队优秀；海外市场；免费餐饮；租房津贴；,岗位职责：1、基于对公司业务的广泛理解，负责各个业务模块的数据提取和报表开发；2、跟进维护大数据平台软件栈的技术发展，围绕业务需求作合适的选型及开发；3、能够全局性地理解数据仓库及业务数据，整合需求，为业务方提供系统化、可持续的数据解决方案。任职资格:1、重点统招本科及以上学历; 2、有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；3、熟悉hadoop、hive、hbase、spark等大数据开源工具的架构;了解数据仓库建设的基本思路; 4、精通hivesql，有丰富的hivesql性能调优经验;掌握python脚本语言; 5、具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑; 6、具备良好的团队合作精神，具备出色的沟通能力。,移动互联网,50-150人,hadoop,北京
大数据开发工程师,https://www.lagou.com/jobs/7045440.html,海淀区,30k-60k,上海基分文化传播有限公司,3-5年,本科,领导nice ，氛围好,岗位名称：大数据开发工程师职位描述1、负责趣头条数据中台，全公司各类业务数据仓库的构建；2、负责数据模型的设计，ETL实施、ETL性能优化、ETL数据监控以及一系列技术问题的解决；3、负责构建用户主题、各业务线主题、推荐主题、广告主题、数据门户系统；4、负责各产品线数据维护，提升数据资产质量。职位要求1、计算机、数学相关专业本科及以上学历，2年以上大数据开发工作经验；2、 深入理解常用的数据建模理论，可独立把控数据仓库的各层级设计；有数据挖掘，机器学习，推荐相关经验优先；3、熟悉Aerospike和Clickhouse的同学优先考虑，熟练掌握Hive/SQL，熟悉Spark/Map-Reduce分布式计算框架，熟悉大数据的离线和实时处理，可以进行海量数据模型的设计、开发；4、有产品sense，主动思考基于业务场景下的数据体系建设，而不单单只会做执行；5、工作认真，负责，良好的团队合作精神和解决问题分析能力，钻研技术克服困难，勇于挑战。,文娱丨内容,500-2000人,hadoop,北京
高级大数据开发工程师,https://www.lagou.com/jobs/7122194.html,海淀区,25k-50k,北京转转精神科技有限责任公司,3-5年,本科,"六险一金,牛人共事,弹性工作,成长空间大",岗位职责1、基于海量日志及 hadoop 生态圈相关组件，开发大数据分析平台的后台服务，支持部门的数据统计、分析业务；2、构建基于spark/flink的实时数据处理平台，支撑上层业务使用，如：数据监控、日报展现、统计分析、接口调用等；3、负责海量的三方数据监控、统计与分析；4、高并发、海量数据场景下的数据接入基础服务、工具研发。任职资格1、熟练掌握 Java 编程语言、有一定的后台服务、工程开发经验，对Python、Linux shell熟悉者优先；2、熟悉 Hive、Spark、Flink 等hadoop生态圈大数据框架至少一种，并有相关的使用、开发经验；3、熟练掌握Java网络编程、多线程知识，并有相关实践经验者优先；4、具备一定 Android反编译、逆向工程、爬虫经验者优先；5、有一定Java web开发经验，熟悉 SpringBoot 开发流程并有相关项目经验优先；,"移动互联网,消费生活",500-2000人,hadoop,北京
数据中台测试开发工程师/专家 -【开发工具链方向】,https://www.lagou.com/jobs/6839881.html,海淀区,25k-50k,北京达佳互联信息技术有限公司,3-5年,本科,"六险一金,免费食堂,免费健身","职位描述1. 主要负责快手大数据产品相关的测试和质量保证工作；2. 根据数据产品需求和设计，进行需求分析，并制定测试计划、设计测试数据和测试用例，执行测试用例，能够快速定位和解决问题；3. 对线上问题进行持续追踪，并从中得出一些优化监控、测试方案/框架提升等改进措施；4. 在项目中积极与产品经理、开发工程师和用户进行有效沟通，推动问题及时合理地解决。任职要求1. 本科以上（包含本科）学历 ，3年以上测试开发经验；2. 具有良好的沟通能力和团队合作精神、快速的学习能力、执行力强、工作责任心强；3. 熟练运用Java语言，熟悉常用web前端开发框架，如React，Spring Boot等；4. 熟悉常用的Java和Web测试框架，有复杂系统的测试经验；5. 熟悉常用的自动化测试工具，有能力改进和研发自动化测试工具。 符合以下条件优先： 
对性能测试/稳定性测试/兼容性测试等有独到见解；有数据产品测试和研发经验；有数据仓库建设相关经验。",文娱丨内容,2000人以上,hadoop,北京
数据中台测试开发工程师 -【开发工具链方向】,https://www.lagou.com/jobs/6934676.html,海淀区,20k-30k,北京达佳互联信息技术有限公司,3-5年,本科,"平台大,福利好",,文娱丨内容,2000人以上,hadoop,北京
