job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6679720.html,高新区,10k-20k,杭州初灵信息技术股份有限公司,1-3年,本科,"周末双休,年终奖金,五险一金,弹性工作",岗位职责：1、负责大数据相关技术研究，解决海量数据不断增长面临的挑战；2、负责海量数据的处理、分析、挖掘和存储；3、大数据挖掘计算平台集群管理、部署、优化、排错；4、大数据分析项目的软件开发、维护、架构设计，文档编写等工作；任职要求：1、计算机相关专业本科及以上学历；2、有扎实的Java语言基础，熟悉JVM运行机制和内存管理，熟悉Scala语言者为佳；3、熟悉HHadoop 2.0以上版本体系结构、各个模块的功能，对Hadoop生态圈有较全面了解，同时具有源码级开发经验；4、对Hive、HBase、Map/Reduce、Spark有深入了解，能熟练编写Map/Reduce程序和Spark程序；5、熟悉Hadoop运行监控及调优技术；6、具备机器学习算法理论基础，如分类、聚类、推荐、关联规则，具备相关项目经验为佳；7、有互联网公司或海量数据处理工作经验，数据分析和挖掘经验者优先;,"移动互联网,数据服务",500-2000人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/6832523.html,高新区,15k-30k,成都路行通信息技术有限公司,3-5年,本科,车辆网 新零售 高速发展平台,岗位职责：1.负责车辆碰撞检测分布式实时集群的搭建和研发；2.负责车辆碰撞智慧大脑的搭建和研发；3.负责相关深度学习算法的分布式开发和嵌入、性能优化、工程环境部署； 岗位要求：1.计算机相关专业，本科及以上学历；2.熟悉flink（必不可少）及spark及其原理，有至少2年相关大规模数据采集及处理（超百亿条）的实战经验，或flink实时流处理开发经验；3.了解Hadoop、HBase、Hive的架构和工作原理；4.了解TensorFlow等主流深度学习框架，数据挖掘、机器学习等；5.乐于接受挑战，主动学习意识和能力，抗压能力强，目标导向。温馨提醒：非数仓,"移动互联网,消费生活",500-2000人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/7088446.html,高新区,11k-20k,北京世联互动网络有限公司成都分公司,3-5年,本科,没有加班文化，公积金12%，研发中心,"【岗位职责】：• 负责Naver DDOS防御系统分析端的架构设计，开发，维护及性能优化工作；• 海量数据存储、搜索与分析，系统服务的监控等操作。 【任职资格】：• 统招本科及以上学历，计算机或相关专业，3年以上相关工作经验；• Java基础扎实，spring等常用框架熟练，具有良好的编程习惯和代码编写能力；• 熟悉大数据生态系统：Hadoop, Storm, Zookeeper, Kafka等；• 熟悉 MySQL 数据库及mongoDB等nosql数据库;• 熟悉Linux环境，shell脚本编写，并可以独立完成项目部署，故障排查，组件维护等• 独立负责多个组件的开发工作，具备高效解决问题的能力；• 熟练阅读英文技术文档，可以使用英语完成简单的日常对话加分项：- 了解并有使用HDP/CDH等大数据生态系统者优先","移动互联网,社交",2000人以上,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/6843260.html,高新区,7k-14k,中电万维信息技术有限责任公司,1-3年,本科,公司稳定 福利好 13薪 定期体检,"大数据工程师：岗位职责： 1、负责Hadoop/spark/storm/kafka/zookeeper/flink等的大数据平台搭建及维护； 2、负责业务需求调研,数据仓库业务建模业务需求分析及技术实现； 3、负责开发ETL过程，优化存储方案，设计并实现分布式计算任务，搭建数据处理流程； 4、负责模型和分层等数据产品监控、优化； 5、负责大数据中间件产品后端研发及文档编写；岗位要求：    1、能够参与大数据项目整体解决方案的规划、设计、技术选型，并提出可行性较高解决方案； 2、能够应用分布式编程、NIO、AIO、RPC等底层技术，完成相关大数据扩展 功能研发。    3、能够熟练应用spark、storm、flink、hive、hbase、ES、kylin等大数据组 件底层原理和框架，并结合实际业务场景进行大数据应用面向不同场景的封装、调优；    4、能够结合业务场景和数据资源，进行变量选和算法的选择、设定参数、加载算法、重构变量等操作，最终实现满足业务需求的建模，并能够结合分析结果撰写分析报告或解释性结论；     5、能够结合业务需求分析并规划高可用大数据集群软硬件需求（如查询服务器 、命名服务器、数据服务器等），以及部署架构和进程角色分布。 6、能够独立搭建基于CDH版本或Apache原生版本的大数据集群环境 ，并能够编写shell或python脚本，完成10台以内大数据集群的日常维护和常见故障的定位及优化； 7、有丰富建模项目经验及数据仓库建设经验者优先； 8、有数据中台建设经验者优先。",软件开发,500-2000人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/6860285.html,高新区,15k-25k,成都卓杭网络科技股份有限公司,3-5年,本科,六险一金 年度旅游 超nice氛围,"岗位职责：1、参与数据平台的构建工作, 演进现有数据平台基础设施；2、参与数据相关的软件开发工作, 迭代现有数据运营工具；3、参与设计并构建主题化数据模型，构建公司数据仓库；4、参与数据治理规范的建立, 构建覆盖全公司的数据治理工具。任职要求：1、全日制统招本科及以上，计算机、通信工程、数学等相关专业背景优先；2、至少3年以上Java/Scala开发经验，其中有1年以上的大数据开发经验；3、熟练使用SQL，理解数据库原理；4、熟练使用shell/python等脚本语言开发相关运维管理工具；5、熟悉HDP或CDH相关生态，对Hive/Hdfs/Yarn/Tez/Kafka等有较深的认识, 熟悉大数据架构（Spark，Hbase，Flume，ElasticSearch，Druid等）及解决方案，并有实际工作经验；6、具备丰富的高性能大并发场景下开发及架构经验及性能调优经验优先。","移动互联网,游戏",150-500人,hadoop,成都
数据开发,https://www.lagou.com/jobs/7024514.html,高新区,20k-40k,四川万特达科技有限责任公司,3-5年,大专,1,职责：1、参与快递行业数据仓库设计和研发2、负责从各业务系统抽取数据，做ETL处理后入库到数据仓库3、负责公司内部数据产品的数据开发4、参与各业务系统调研工作，熟悉快递行业业务知识要求 ：1、熟悉数据仓库建设方法论，了解快递行业更佳2、至少熟悉一种大数据处理技术，如Hadoop、Spark3、大专及以上学历，计算机、软件工程等相关专业，3年以上工作经验4、对解决具有挑战性的问题充满激情，具备良好的解决问题的能力，对待工作有较强的自我驱动力,"硬件,数据服务",50-150人,hadoop,成都
高级大数据开发工程师,https://www.lagou.com/jobs/5896605.html,高新区,20k-30k,四川生学教育科技有限公司,3-5年,大专,五险一金+绩效奖金+优厚福利+发展空间,岗位职责：1. 负责区域项目上的数据处理，设计数据采集、存储及清洗方案，实现数据的规模应用；2. 负责跟进hadoop生态体系中前沿的技术解决方案，形成公司级的技术储备。任职要求:1. 本科或以上学历，计算机软件相关专业优先；2. 3年以上大数据处理，大规模的数据分析和算法实践；3. 精通hadoop / Spark编程，或者具有其他并行计算的实践经验；4. 熟悉Mysql/Redis 等常用SQL和NoSQL数据库；5. 至少熟练掌握Java、Python等两种以上语言；6. 熟悉Hadoop、Spark生态圈，能运用其解决问题；7. 有丰富的大数据集群部署和维护管理经验；8. 良好的沟通，团队合作意识，非常强的学习能力；9. 对教育行业充满热情，责任心强，良好的跨团队合作和组织协调能力，能够应对复杂产品线的挑战。福利待遇：1.超出行业平均水平的薪资，多少全凭能力决定；2.享受五险一金，并提供餐补、交通补贴等；3.公司发展离不开员工的努力，员工重大事件公司将慰问及关怀；4.弹性工作制，全天7H工作时间，完美避开上下班高峰时段；5.享受国家法定假日及周末双休，享有带薪年假、病假、调休假等；6.每月举行一次Birthday Party，日常工作日茶餐厅提供饮料、零食、水果等；7.传统佳节会有高标准的节日礼金或礼品；8.每年将进行豪华套餐的健康体检；9.在超过2000平舒适的工作区域工作，保证最佳工作状态。,"移动互联网,教育",150-500人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/7097334.html,武侯区,15k-30k,成都朴华科技有限公司,3-5年,本科,管理扁平，领导好，福利好，业务高速发展,【岗位职责】：1.负责公司大数据项目的规划、设计和开发；2.负责数据建模、处理及数据分析。【任职要求】：1. 本科或以上学历，计算机软件相关专业优先，对数据处理、数据建模、数据分析等有深刻认识和实战经验；； 2. 3年以上大数据处理，大规模的数据分析和算法实践； 3.熟悉大数据应用编程，或者具有其他并行计算的实践经验，主导过大型数据平台建设者优先； 4. 熟悉常用的关系型数据库（SQL Server、Oracle、MySQL等）、非关系性数据库和数据仓库，具有SQL性能优化经验；5. 熟悉cockroachDB、Tidb等newSQL数据库原理、架构、配置及部署，有实际应用案例者优先；6. 熟悉c#、C、python等编程；7. 有丰富的大数据集群部署和维护管理经验；8、思维敏捷，对新技术敏感，有较强的钻研学习能力；9、具备良好工作习惯和团队协作精神,人工智能,50-150人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/6428156.html,武侯区,15k-25k,厦门科拓通讯技术股份有限公司,5-10年,本科,独立团队 双休弹性上下班 团建活动丰富,"岗位职责：1、负责离线，实时数据集市等数据集市规划、研发；2、负责数据管理平台、开放服务、交换服务、质量服务等数据中台服务设计、研发；3、其他大数据产品设计、研发等相关工作。任职要求：1、本科及以上学历，5年以上工作经验，至少3年大数据开发经验；2、有实际的数据仓库开发和数据建模经验，熟悉BI工具软件优先；3、精通Java、python等主流编程语言；熟悉Hadoop、Hive、HBase、Spark、Flink、Kylin、ES，ClickHouse, MongoDB, Ignite等技术；4、掌握多线程及高性能程序设计编码及性能调优，有高并发应用开发经验；5、熟悉消息，缓存技术、服务器优化、集群性能优化、系统性能调优等技术；6、工作态度积极主动、细致、有全局观；具有较好抗压能力；善于与他人合作，具有良好的团队合作意识；","硬件,企业服务",500-2000人,hadoop,成都
大数据开发工程师,https://www.lagou.com/jobs/6387900.html,高新区,15k-25k,北京芯盾时代科技有限公司,5-10年,本科,"五险一金,工作居住证,节日福利,出国旅游",工作职责：1、参与系统的需求分析和技术方案预研。2、负责大数据产品的研发、设计工作，及大数据平台的完善；3、负责各种生产、测试环境业务系统问题的快速定位和解决；4、负责代码编写、单元测试，确保代码执行性能、质量和安全；5、协助客户参与各种环境业务系统的投产及技术支持。 任职要求：1、思路清晰，善于思考，能独立分析和解决问题，较强的表达和沟通能力，责任心强，具备良好的团队合作精神和承受压力的能力，能接收项目驻场；2、熟练使用Kafka、Redis、Storm、ElasticSearch等大数据组件，并有相关项目开发经验；3、对MySQL、Oracle数据库有一定的了解和使用经验；4、对Tomcat、Weblogic服务器有一定的了解和使用经验；5、有Java开发经验者优先；6、有shell、Python开发经验者优先；7、工作积极主动，具有良好的团队协作精神；8、逻辑清晰，快速的学习能力及良好的沟通能力。,"移动互联网,信息安全",150-500人,hadoop,成都
