job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios开发,https://www.lagou.com/jobs/5601575.html,东莞市市辖区,10k-20k,东莞市芝麻地网络科技有限公司,3-5年,大专,"周末双休,五险一金,带薪年假,技术氛围",岗位职责：1.主要负责iOS平台下的应用开发；2.学习和研究新技术以满足产品的需求；3.能独立完成iPhone/iPad软件开发，并验证和修复测试中的Bug。任职要求：1.大专以上学历，三年以上iOS应用开发经验，有APP Store 上架作品或相关作品者优先；2.熟练掌握Objective-C语言和Xcode IDE；3.熟悉iPhone SDK，Cocoa相关技术开发及应用；4.了解HTML5，熟悉HTTP、TCP、UDP等常用协议，能够独立进行网络编程。公司的福利待遇：1、公司会根据员工的资历与能力提供具有市场竞争力的薪资待遇及不定期调薪；2、周末双休，享有国家规定的法定节假日等假期，入职满一年享有带薪年假；3、入职购买五险一金，签订劳动合同；4、各类丰富的节日福利以及丰富的零食供应、下午茶等活动；5、作为高新技术企业，员工在入户、子女入学、政府人才保障房租赁等方面，享有优先权。,移动互联网,50-150人,ios,东莞
IOS开发工程师,https://www.lagou.com/jobs/6610995.html,东莞市市辖区,15k-25k,广东博思顿汽车配件有限公司,3-5年,本科,待遇优厚，公司发展前景非常不错。,"工作职责1.负责iOS相关需求开发与维护2.按照项目工作计划在保证质量的前提下，按时完成开发任务3.调研iOS的相关新技术任职要求1.熟悉Swift语言,有用Swift语言至少开发过两个完整的项目2.熟悉StoryBoard & xib & code开发3.熟悉Animation、GCD、Autolayout、Framework原理，有在项目里实际使用过4.了解Alamofire、Masonry、SDWebImage、SwiftJSON开源项目原理5.熟悉CocoaPods的使用6.熟悉引用计数、Runtime、Runloop原理7.熟悉MVC、通知、代理、KVO、工厂模式设计模式原理8.熟悉TCP/UDP、Websocket原理，有在实际项目上使用过9.了解RSA、AES、MD5、Base64等加密算法原理10.熟悉使用Git相关工具11.熟悉自定义控件优先条件1.有上线的项目2.有混编经验3.有做过智能家居相关项目工作职责1.负责iOS相关需求开发与维护2.按照项目工作计划在保证质量的前提下，按时完成开发任务3.调研iOS的相关新技术任职要求1.熟悉Swift语言,有用Swift语言至少开发过两个完整的项目2.熟悉StoryBoard & xib & code开发3.熟悉Animation、GCD、Autolayout、Framework原理，有在项目里实际使用过4.了解Alamofire、Masonry、SDWebImage、SwiftJSON开源项目原理5.熟悉CocoaPods的使用6.熟悉引用计数、Runtime、Runloop原理7.熟悉MVC、通知、代理、KVO、工厂模式设计模式原理8.熟悉TCP/UDP、Websocket原理，有在实际项目上使用过9.了解RSA、AES、MD5、Base64等加密算法原理10.熟悉使用Git相关工具11.熟悉自定义控件优先条件1.有上线的项目2.有混编经验3.有做过智能家居相关项目","电商,物联网",50-150人,ios,东莞
ui设计师,https://www.lagou.com/jobs/7199015.html,东莞市市辖区,6k-8k,东莞美信企业管理咨询有限公司,不限,大专,六险一金、包吃住、年底分红、带薪年假,【岗位职责】1、 根据功能需求，完成界面风格、图标Logo按钮等元素的视觉设计，完成UI布局、色彩搭配、交互流程；2、 有产品设计思维，能提出界面交互行为和功能的改进方案，持续优化产品的用户体验；3、 站在用户角度去思考，能够很好的理解用户关心的产品细节；4、 负责上级交办的其他设计工作。【技能要求】1、 熟练使用Photoshop、Illustrator、Sketch、AE、CorelDraw等平面设计软件；2、 了解前端CSS、HTML的工作，懂得设计与前端实现之间的关系，能独立完成产品UI设计；3、 熟悉Android端、IOS端、小程序及Web端的设计规范及流行趋势。4、 有良好审美能力，有创意，色彩感强，重视细节，对前沿设计探索感兴趣，自我驱动力强；,汽车丨出行,2000人以上,ios,东莞
前端开发工程师,https://www.lagou.com/jobs/7076143.html,东莞市市辖区,20k-30k,深圳北纬三十度信息科技有限公司,3-5年,大专,大平台 福利好 发展前景好,1.有良好的代码习惯，熟悉W3C标准，能熟练运用HTML、HTML5、CSS进行合理的页面排版布局，熟悉各种主流浏览器的CSS兼容性问题的解决方法； 2.熟悉HTML5、CSS3、JavaScript/ES6等Web前端开发技术，能手写符合W3C标准、兼容多种浏览器的前端页面代码； 3.熟悉HTTP、Ajax、JSON、node.js、webpack等相关技术，熟悉jquery、AngularJS、Vue等框架，能使用原生JS编程，熟悉面向对象编程； 4.熟悉移动端主流浏览器的适配，对Android与iOS等不同平台的html5页面适配充分了解； 5.积极主动，认真负责，具有较强的分析和解决问题的能力。6.有成功项目参与经验，能够适应互联网行业高压工作，良好的团队配合能力,"电商,医疗丨健康",150-500人,ios,东莞
h5前端工程师,https://www.lagou.com/jobs/7193249.html,东莞市市辖区,10k-15k,广东爱车小屋电子商务科技有限公司,3-5年,本科,待上市，有实业，双休，五险一金，年终激励,岗位职责：1.负责前端代码的编写，包括移动端（H5）、PC端、微信小程序。2.持续的优化前端体验和页面响应速度，并保证兼容性和执行效率。任职要求：1.本科及以上学历；2.计算机、通讯相关专业，2年以上Web前端开发经验；3.熟悉Javascript语言；熟悉CSS布局；熟悉Jquery、Zepto、bootstrap、gulp等打包工具；熟悉浏览器（Chrome、Safari、IE、Firefox等）之间的差异，熟悉移动端设备（PC端、Android、IOS）之间的差异。4.有Node js经验者优先；有小程序开发经验者优先；,电商、软件开发,150-500人,ios,东莞
通用软件开发工程师,https://www.lagou.com/jobs/6844383.html,东莞市市辖区,15k-30k,华为技术有限公司,应届毕业生,本科,有年终奖有加班费有五险一金基数为实际工资,岗位职责：  在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：  1、完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；  2、创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等。    岗位要求：  1、计算机、软件、通信等相关专业本科及以上学历；  2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；  3、优选条件：  （1）熟悉TCP/IP协议及互联网常见应用和协议的原理、熟JS/AS/AJAX/HTML5/CSS等前端开发技术。  （2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织。,通讯电子,2000人以上,ios,东莞
测试经理,https://www.lagou.com/jobs/7198219.html,东莞市市辖区,9k-15k,广东得一智能科技有限公司,3-5年,大专,发展前景好,"职位描述：1、 参与项目的需求分析，关注项目需求的合理性，可测性2、参与重要产品需求和架构设计评审，保证产品设计与架构的合理性3、参与重要产品自动化用例的评审，产品性能及安全测试评审，解决测试过程中的复杂技术问题4、 根据项目、产品开发计划和测试需求,编制测试方案，制定测试计划和测试用例，分配测试资源和测试任务，组织实施测试，控制测试进度，调整测试计划； 5.通过测试相关流程、策略、方法和工具等创新，提升测试团队整体质量及效率岗位要求：1、精通Web，Android，iOS，API等平台的测试工具、平台、方法2、至少精通一门开发语言Python，Java等语言，编写过接口自动化或Web自动化3、具有快速熟悉业务流程并建立完善质量体系的能力工作经验：5年以上测试工作经验，至少一年测试管理经验",软件开发,15-50人,ios,东莞
通用软件开发工程师,https://www.lagou.com/jobs/6853327.html,东莞市市辖区,15k-30k,华为技术有限公司,不限,本科,软件开发,岗位职责：      在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：1、完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；2、创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等。岗位要求：1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理、熟JS/AS/AJAX/HTML5/CSS等前端开发技术。（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织。工作地点：深圳、东莞、北京、南京、西安、武汉、上海、杭州,通讯电子,2000人以上,ios,东莞
APP推广经理/总监,https://www.lagou.com/jobs/7017602.html,东莞市市辖区,25k-30k,上海捷利货运有限公司,5-10年,本科,绩效奖金 弹性工作 五险一金,职位信息1、  负责APP客户端海内外市场线上/线下的推广策略、整体规划与执行方案。2、  制定产品推广宣传策略和推广目标3、  对APP下载数、新增用户数、安装量、激活量、活跃度等指标负责。4、  负责推广渠道的数据监控和数据跟踪，对推广数据进行分析，针对性调整推广策略。5、  负责合作管道的拓展及利用；与应用商店、热门应用、网盟广告等各类营销合作及关系的拓展和维护6、  策划产品活动及上线发布跟进；负责相关推广活动的策划并组织实施7、  负责公司推广、运营数据的分析，对获客优化进行整体提升；优化合作渠道（包括不仅限于苹果/三星/VIVO)精准用户群，多渠道多维度增加获客；8、  负责公司网络推广文案、产品文案、品牌文案、资讯内容等的撰写指导和监督执行； 任职要求：1.       本科及以上学历，至少3年以上网络推广经验，1年以上团队管理经验，了解各种推广渠道；2.       有海外搜索、社交媒体、App推广、管道商务合作经验；3.       精通各类网络营销方式，信息流、应用商店、新媒体有较深入了解。4.       熟悉移动互联网行业，熟悉各种软件商店、论坛或渠道商，熟悉IOS和android 平台及APP产品，对APP推广和运营有自己的认识。5.       熟悉iOS/Android渠道特性和运营手法，熟悉专题、活动、商业合作等流程玩法；6.       熟悉各渠道投放规则，优化策略，有丰富的推广资源，对推广获客有自己的认识；7.       能够独立完成营销推广活动的策划制定、组织执行、评估改进、能够独立操作谈判项目；8.       善于沟通，对数据敏感，勇于承担工作责任，抗压能力强，有团队合作精神,物流丨运输,150-500人,ios,东莞
ui设计师,https://www.lagou.com/jobs/6761628.html,东莞市市辖区,8k-12k,深圳市云客众创网络科技有限公司,3-5年,不限,福利好，空间大。项目前景光明,1. 根据项目的需求定义，设计出具有创新思维的UI方案；2. 根据UI设计文档输出切片及标注文档给开发；3. 全程跟进产品开发，确保开发最终实现效果和高保真效果图一致；4. 参与产品可用性测试和评估，提出界面交互行为和功能的改进方案，持续优化产品的用户体验；5. 配合部门成员制订UI设计规范及流程。任职资格：1. 本科以上学历，3年以上UI设计工作经验，有自己的设计风格并有成熟的设计作品；2. 审美能力突出，有扎实的美术功底和设计能力，在排版、造型、配色、交互等方面都有丰富的经验，熟悉移动互联网用户的使用习惯；3. 精通Sketch、Photoshop、Illustrator、AE、C4D等常用设计工具；4. 熟悉Android端、IOS端、小程序及Web端的设计规范及流行趋势；5. 工作主动性强，具有良好的语言表达和沟通理解能力，善于团队协作，有责任心；6. 拥有动效设计能力者优先。,"移动互联网,电商",50-150人,ios,东莞
