job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
iOS开发工程师,https://www.lagou.com/jobs/3692627.html,朝阳区,18K-20K,北京易思卓科技有限公司,应届毕业生,本科,"牛人带领,免费零食,年度旅游,五险一金",岗位描述：1. 客户端相关产品研发工作，核心模块代码编写；2. 参与产品的算法改进、构架优化等工作；产品相关维护工作任职资格：1. 211/985 院校计算机相关专业本科及以上学历2. 扎实的C/C++语言基础、精通objective-c/Cocoa，有良好的编程习惯；3. 对数据结构、基本算法熟练掌握，并具备基本的算法设计能力；4. 熟悉mac os x操作系统和xcode/iphonesdk开发环境；5. 有Appstore上架作品者优先,"移动互联网,社交",15-50人,ios,北京
IOS,https://www.lagou.com/jobs/6807263.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,5-10年,本科,美女多，上市公司，注重互联网，福利优厚,1、根据业务需求，基于IOS平台进行应用程序开发； 2、参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作； 3、参与移动规范制订、技术文档编写。任职要求：1、本科及以上学历，计算机或相关专业； 2、3-8年及以上手机应用实际开发经验，3年以上C/C+/Java开发经验； 3、精通Objective-C、Mac OS X、Xcode；精通IOS SDK中的UI、网络、数据库、XML/JSON解析等开发技巧； 4、有多个完整的IOS项目经验，至少参加过一个完整的商业级手机应用或游戏开发项目； 5、熟悉各种主流手机特性，深刻理解手机客户端软件及服务端开发特点； 6、精通常用软件架构模式，熟悉各种算法与数据结构，多线程，网络编程（Socket、http/web service）等； 7、个性乐观开朗，逻辑思维强，善于团队合作；8、ReactNative Hybrid开发经验是非常大的加分项。备注：外资背景，五险一金全额缴纳，周末双休，弹性上班，不打卡，早9晚6或者早10晚7，10:30以前到岗都不算迟到，公司有食堂，免费提供三餐，零食下午茶，每月有团建、年度旅游，带薪年假15天，之后每年+1天，试用期3个月，交通补助2000元/月，每月有1天带薪病假，当月有效目前公司规模：2000人以上，三年内扩招到5000人；互联网技术团队200人+,"移动互联网,电商",2000人以上,ios,北京
iOS开发工程师,https://www.lagou.com/jobs/4538065.html,海淀区,25k-50k,北京达佳互联信息技术有限公司,不限,不限,"大牛团队,产品超赞,薪酬福利好,弹性工作",职位描述：1.负责iOS客户端设计与开发；2.负责基础模块和组件的研发和维护；3.关注性能，提升客户端用户体验。任职资格：1.良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力；2.深入理解iOS SDK，具有丰富的 Objective-C 及 C/C++ 开发经验；精通各种UI控件，能够实现复杂的界面交互；3.熟练掌握iOS平台下的高性能编程及性能调优；4.具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向；5.有强烈的责任心和团队精神，善于沟通和合作；6.具有音视频、直播、OpenGL相关开发经验者优先。,文娱丨内容,2000人以上,ios,北京
ios开发工程师,https://www.lagou.com/jobs/7032949.html,海淀区,15k-25k,北京世纪好未来教育科技有限公司,1-3年,本科,食堂 绩效奖金 年终奖,岗位职责： 1. 负责沟通和协同类效率工具iOS客户端相关产品的架构、设计、优化;2. 负责基础库、框架、关键模块的技术选型、开发和改进;3. 指导团队其他成员的设计和Coding，保证工程质量;4. 优化IOS团队的开发模式、流程和规范，提高团队效率。岗位要求：1. 3年以上IOS开发经验，可以独立承担架构设计，并主导项目;2. 精通Objective-C，有扎实的算法基础，深入掌握OC的底层机制，对内存管理，多线程编程，runtime等进阶技术有深入了解;3. 有全面的计算机基础知识，有较强的代码阅读能力，代码风格良好，能设计出高效、合理、易读、易于扩展的程序结构;4. 熟练使用 Git、CocoaPods、Instruments 等 IOS 开发常用工具;5. 有Android客户端研发经验的优先;6. 良好的团队协作能力和沟通能力，有责任感，对移动端产品有浓厚的兴趣，有求知欲，热爱学习新知识。,教育,2000人以上,ios,北京
iOS开发工程师,https://www.lagou.com/jobs/6842516.html,海淀区,15k-30k,北京达佳互联信息技术有限公司,3-5年,本科,六险一金、扁平化管理、免费三餐、房补,岗位职责：    1.   负责游戏中台产品(游戏融合，广告融合，游戏一键录屏直播等)的Android、iOS平台的SDK及组件的设计和开发工作；    2. 负责游戏中台产品打包，检测等工具开发；    3. 负责游戏中台产品的性能和质量，流程调优、效率优化工作。    任职资格：    1.   计算机基础扎实，精通Objective-C，熟悉iOS平台并有良好的软件开发经验；    2. 良好的编码风格，以及足够的调试技术和问题解决能力；    3.   熟练使用多种常用设计模式，具有扎实的编程功底和良好的编程习惯；    4. 良好的算法和数据结构基础；    5. 良好的合作，沟通能力，能协同工作；    6. 有Unreal开发经验者优先。,文娱丨内容,2000人以上,ios,北京
IOS开发工程师,https://www.lagou.com/jobs/7021606.html,海淀区,20k-40k,北京车之家信息技术有限公司,5-10年,本科,平台大 氛围好 福利优,"岗位职责：    1、按时保质完成iOS客户端的版本开发任务；    2、提升软件性能，质量，效率等多维度的技术指标；    3、核心功能的框架设计及搭建，新技术调研，难点攻关；岗位要求：    1、5年以上iOS开发经验，主导、研发、发布过线上优秀产品；    2、扎实的Object-c语言功功底，优良的编码风格和设计思维；    3、熟悉iOS系统结构，对于内存，IO，网络，性能优化具备优良的技术能力素质；    4、熟悉常用设计模式，具备优秀的编程素养和代码风格；    5、具备优秀的多线程编程素养；    6、熟悉JSBridge原理，或React Native、Flutter等跨平台技术和框架原理；    7、较强的分析和解决疑难问题的能力；    8、具备专业的职业素养和较强的抗压能力；    9、性格开朗、沟通积极主动，善于与人沟通、合作，勤于思考总结,有责任感、团队合作精神良好；    10、了解wkwebview浏览内核为加分项。",汽车丨出行,2000人以上,ios,北京
高级IOS开发工程师,https://www.lagou.com/jobs/6737164.html,朝阳区,30k-50k,雪球（北京）技术开发有限公司,5-10年,本科,财经知名公司，福利好，氛围好,"主要工作:1.承担雪球APP iOS端的开发任务;2.参与需求讨论, 编写高质量的代码和文档；3.开发并维护公共库、性能调优；4.持续提出合理化建议，提升代码质量；5.其他相关工作内容。任职要求：1. 3年以上iOS开发经验，有知名社区产品的开发经验优先；2. 熟悉 Objective-C、Swift等语言。深入理解iOS开发领域相关技术框架；3. 比较好的代码设计能力和编码习惯，熟悉常用编程范式；4. 良好的计算机相关基础知识，对技术有研究热情和探索精神；5. 良好的的沟通表达和团队协作能力。",金融,150-500人,ios,北京
ios开发工程师,https://www.lagou.com/jobs/7083613.html,海淀区,15k-30k,北京车之家信息技术有限公司,5-10年,本科,16薪 八险一金 办公环境好 带薪年假多,"我们需要你从事：    1、按时保质完成iOS客户端的版本开发任务    2、提升软件性能，质量，效率等多维度的技术指标    3、核心功能的框架设计及搭建，新技术调研，难点攻关   我们希望你：    1、5年以上iOS开发经验，主导、研发、发布过线上优秀产品    2、扎实的Object-c语言功功底，优良的编码风格和设计思维    3、熟悉iOS系统结构，对于内存，IO，网络，性能优化具备优良的技术能力素质    4、熟悉常用设计模式，具备优秀的编程素养和代码风格    5、具备优秀的多线程编程素养    6、熟悉JSBridge原理，或React Native、Flutter等跨平台技术和框架原理    7、较强的分析和解决疑难问题的能力    8、具备专业的职业素养和较强的抗压能力    9、性格开朗、沟通积极主动，善于与人沟通、合作，勤于思考总结,有责任感、团队合作精神良好；    10、了解wkwebview浏览内核为加分项",汽车丨出行,2000人以上,ios,北京
iOS开发工程师,https://www.lagou.com/jobs/7142184.html,海淀区,15k-25k,北京拉勾网络技术有限公司,3-5年,本科,周末双休,岗位职责：1、负责公司核心产品功能的开发和维护，并能编写相应的测试代码；2、负责新技术的调研。任职要求：1、基础扎实，善于学习总结，精通OC语言；2、思维清晰，逻辑完善，并能付诸代码；3、有大型项目开发经验，精通Swift语言者优先；4、善于沟通，认真负责，能主动解决问题；5、注重用户体验，能提出对目前拉勾App的建设性意见及改进方案；6、计算机相关专业本科及以上学历，iOS开发经验3年及以上。,企业服务,500-2000人,ios,北京
iOS工程师,https://www.lagou.com/jobs/6743341.html,东城区,20k-30k,北京默契破冰科技有限公司,不限,本科,七险一金、弹性工作、免费午餐、季度旅游,岗位职责： 1、负责iOS App需求开发； 2、根据产品设计，进行高质量的软件开发和持续性能优化；  3、在规定时间内完成项目的任务模块开发。岗位要求：1、本科及以上学历，三年及以上iOS开发经验，有成功的客户端产品上线经验。2、具备扎实的 Objective-C语言基础，理解语言特性。3、熟悉 iOS平台的音视频框架、网络框架、及其他各类API。4、能实现较复杂的界面和视觉效果，处理好与数据的逻辑关系并保证稳定性。5、抗压能力强，能够独立承担任务模块，分析解决问题。6、具备良好的职业素养和团队协作精神，以及较强的学习和沟通能力。具有强烈的质量意识，不满足于表象，有极客精神。 加分项：1、熟悉iOS逆向相关。2、贡献过开源库或参与开源库的编写。,社交,150-500人,ios,北京
