job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
iOS开发工程师,https://www.lagou.com/jobs/6179222.html,玄武区,9k-16k,南京贝湾信息科技有限公司,不限,不限,"团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位要求： - 熟悉常用iOS开发技术，包括但不限于Objective-C、网络、并发、UI、性能、图片加载等。- 熟悉iOS开发的常用框架，功能和api。-了解oop、代码质量、代码复用，软件工程思想。-了解常用设计模式，数据结构和算法。岗位职责：-负责扇贝app相关产品的设计、开发和维护；-参与产品需求的沟通、讨论和协调；-编写相关技术文档等工作；-参与分析和解决产品开发中遇到的问题。,"移动互联网,教育",150-500人,ios,南京
iOS高级开发工程师,https://www.lagou.com/jobs/6179267.html,玄武区,13k-22k,南京贝湾信息科技有限公司,不限,不限,"团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位要求：- 热爱编程，技术扎实，对高质量代码有着持续不断的追求。- 熟悉iOS系统及常用UI框架，对内存管理，多线程，网络并发有丰富的编程经验。- 基础良好，对计算机系统、数据结构和算法有一定的认知，能够胜任技术预研与选型工作。- 熟悉Apple生态，及时关注业界最新技术，有强烈的求知欲。- 熟练掌握Objective-C，熟悉Swift，对函数式编程有一定理解。- 积极乐观，责任心强，工作细致认真，具有良好的团队功能与协作能力，能承担一定压力。岗位职责：-负责管理app技术团队，参与制定并负责app的迭代，并对开发质量负责；-负责app相关产品的设计、开发和维护；-参与产品需求的沟通、讨论和协调；-编写相关技术文档等工作；-参与分析和解决产品开发中遇到的问题。,"移动互联网,教育",150-500人,ios,南京
ios开发工程师,https://www.lagou.com/jobs/6932708.html,江宁区,12k-22k,孩子王儿童用品股份有限公司,3-5年,本科,平台好 福利待遇好,工作职责：1、负责iOS移动端应用开发2、依据公司业务、产品需求进行iOS平台相关技术研究3，参与改进产品稳定性，优化性能提升4，参与公司App的核心模块的设计和代码实现任职要求：1，本科及以上学历，计算机相关专业，4年及以上iOS开发经验；2、熟练掌握Storyboard布局，精通Objective-C语言的使用并了解其原理，能处理比较复杂的UI、多线程、系统调用、网络等方面问题。3、熟悉App Store发布流程和审核要求4、熟练掌握json数据的解析方法及HTTP协议、AFNetWorking、SQLite存储等移动端常用技术。5、有较强的沟通及团队合作能力，较强的学习和执行力，发现问题可以及时沟通。6、拥有独立开发经验优先。7、拥有Swift 、小程序、ReactNative、JS等开发经验者优先。,消费生活,2000人以上,ios,南京
ios开发,https://www.lagou.com/jobs/6725867.html,浦口区,15k-20k,珠海城觅科技有限公司,3-5年,本科,五险一金 绩效奖金 定期团建,1、负责IOS客户端产品，根据产品需求完成架构和模块设计以及开发⼯作；2、能按照项⽬计划，按时提交⾼质量的代码，完成开发任务；3、改善软件的易⽤性，提升⽤户使⽤体验；3、根据产品运营反馈，改进产品，提升⽤户体验。任职要求：1.3年以上iOS相关项⽬经验2.良好的编程⻛格，扎实的编程基础和数据结构算法基础3.深⼊理解 iOS SDK，具有丰富的 Objective-C 或 C/C++ 开发经验4.深⼊理解⾯向对象编程思想，具有较强的设计能⼒5.熟悉⽹络通信机制及常⽤数据传输协议6.习惯查阅英⽂资料，如 Apple 官⽅⽂档，StackOverflow 等7.超强的分析问题和解决问题的能⼒8.热爱互联⽹和新技术，具有极强的快速学习能⼒,"数据服务,软件开发",150-500人,ios,南京
ios开发工程师,https://www.lagou.com/jobs/7184200.html,雨花台区,9k-15k,北京南海中天科技有限公司,1-3年,本科,试用期享转正薪资,1.1-3年IOS应用开发经验，开发并发布过至少2款成熟的产品2.主要负责ios平台应用开发工作3.独立按时完成各功能模块开发，验证和修复4.熟悉iOS开发常用设计模式、多线程编程、数据持久化、网络通信、动画效果实现、界面布局设计、JSON解析、封装自定义控件等5.具有良好的团队合作意识，责任心强，能够积极主动的学习和思考问题6.计算机科学或相关专业。  加分项，具备以下条件者优先考虑1.熟练使用swift语言进行开发者优先2.熟悉react native，Flutter等与原生混合开发技术经验,"电商,软件开发",50-150人,ios,南京
IOS开发工程师,https://www.lagou.com/jobs/5308310.html,栖霞区,8k-16k,南京迈疆智能科技有限公司,3-5年,本科,五险一金 双休 大疆无人机,"岗位职责：1.在IOS手机上设计和开发应用程序；2.调试解决IOS应用相关问题；3.编写设计开发及实现文档；4.根据产品功能需求设计并完成软件实现；5.参与产品需求分析并制定技术实施方案；6.部门领导交代的其他工作。任职资格：1、2年以上Objective-C、SWIFT 面向对象语言的开发经验,有良好编码风格；2、能熟练阅读英文文档；3、熟悉OOP编程思想；4、熟练使用Xcode和常用控件工具5、熟练使用Apple开发环境的APIs（Cocoa， Cocoa Touch，Core Foundation， Core Graphics 等）；6、熟悉IOS图形图像处理者优先；7、熟悉WEB技术(javascript、css、html5)等优先8、具备良好的编程习惯、文档写作及管理能力，良好的用户需求分析、程序设计的能力。9、熟练掌握IOS及Android 开发经验，架构师级别，有带团队的工作经验。","硬件,移动互联网",50-150人,ios,南京
ios开发工程师,https://www.lagou.com/jobs/6810502.html,建邺区,15k-20k,咪咕文化科技有限公司,3-5年,本科,专业平台,工作职责：1.负责前端应用架构设计，保证代码高可用，可扩展；2.与服务端及其他前端开发有需求制定合理的API数据结构；3.参与代码评审，对代码风险.代码性能.代码高可用等方面提出意见或建议；4.负责现有产品升级开发/维护，快速定位并修复软件缺陷。任职资格：1.全日制本科及以上学历，计算机相关专业；2.3年以上iOS开发经验，精通Object-c语言，熟悉swift语言，熟练掌握C/C++；3.熟练掌握Storyboard.Xib构建UI，熟悉Auto Layout.Size Classes，对于优化系统UI控件的性能有一定经验。,"移动互联网,文娱丨内容",2000人以上,ios,南京
iOS开发（高级）工程师,https://www.lagou.com/jobs/5228911.html,玄武区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,六险一金，高薪期权，弹性工作，免费三餐,,文娱丨内容,2000人以上,ios,南京
iOS架构师,https://www.lagou.com/jobs/7064508.html,雨花台区,25k-35k,南京蓝鲸人网络科技有限公司,5-10年,本科,六险一金，租房补贴，晚餐下午茶，无息贷款,"【职位描述】1、独立负责核心业务的开发设计和实现；2、负责技术架构设计，攻克技术难点；3、完成项目计划的拆解, 项目执行进度的追踪4、识别技术债务，并合理规划技术重构需求。【任职资格】1、关注iOS相关技术，对互联网应用充满激情； 2、5年以上iOS开发经验，能独立完成过iOS软件的设计和开发工作； 3、掌握Objective-C语言的特性，熟悉主流开源框架和开发模式； 4、精通iOS下的并行开发、网络、内存管理、GUI开发； 5、参与过中大型商用APP的开发经验优先； 6、已在App Store发布过作品者优先。7、追求良好的交互设计和界面效果，最好是像素眼；8、对软件产品有强烈的责任心, 具备良好的沟通能力和优秀的团队协作能力","移动互联网,社交",50-150人,ios,南京
ios开发工程师,https://www.lagou.com/jobs/6838207.html,玄武区,10k-12k,南京矽汇信息技术有限公司,1-3年,本科,"五险一金,年终多薪,春游秋游,节假福利",工作职责：根据公司产品策略，开发iOS（iphone/ipad）平台上的应用程序；职位要求：1、熟悉Objective-C（必须）和iPhone/iPad SDK；2、熟悉MAC OS X开发环境，能够熟练运用XCODE开发工具；3、具备良好和规范的编码风格；4、有App Store上架作品或有iPhone/iPad/iPod Touch开发经验和成熟作品者优先；,"医疗丨健康,消费生活",150-500人,ios,南京
