job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios开发工程师,https://www.lagou.com/jobs/7217257.html,滨海新区,15k-25k,北京云圣智能科技有限责任公司,3-5年,不限,丰厚年终奖,工作职责：1，根据业务需求，基于ios平台进行业务框架设计与开发2，负责项目框架搭建，关键技术选型、技术难题攻关等工作3，可独立进行代码开发，单元测试等工作，保证代码的健壮性、可读性、易维护性4，负责app的性能优化，打造高性能客户端5，负责linux端客户端开发任职要求：1，3年及以上移动端开发经验2，熟练掌握Objective-C或swift语言3，工作认真负责，协作沟通能力强，能够承担工作压力4，掌握react-native优先5，掌握部分前端技术的优先6. 有无人机、GIS相关经验,硬件,50-150人,ios,天津
ios开发工程师,https://www.lagou.com/jobs/6012657.html,河西区,15k-20k,中交智运有限公司,3-5年,本科,央企福利,岗位职责：1、负责iOS应用的迭代、修改、优化和维护工作。2、参与项目需求分析、产品功能讨论以及技术方案设计。3、完成相关组件、关键机制、流程等文档的沉淀。4、负责高质量的设计和编码，参与项目架构设计与实现。5、与UI设计团队紧密配合，保证产品用户体验。任职要求：1、全日制本科及以上学历，中共党员优先考虑，计算机相关专业，3年以上iOS开发经验；2、Objective-C、swift基础扎实，对面向对象程序设计思想有深刻的理解，对系统机制和原理有一定了解。3、有团队合作开发经验，具备良好的开发规范和习惯，项目主导推动能力。4、具备一定的架构、模块设计和组件化开发经验，对其有自己的心得和方法。5、有RN、Weex、Flutter等跨平台或前端开发经验优先。6、具备良好的团队合作精神和创新意识，较强的责任心；可承受一定工作压力。,"移动互联网,物流丨运输",2000人以上,ios,天津
初级IOS开发工程师,https://www.lagou.com/jobs/7163733.html,北辰区,5k-8k,天津市拓甫网络科技开发有限公司,应届毕业生,本科,五险一金、周末双休、年底双薪，年度体检，,职位描述：1. 负责iOS客户端以及定制系统应用层的开发与维护；2. 根据项目任务计划按时完成软件编码工作。任职资格1. 应届毕业生，全日制本科（统招二本）及以上学历，计算机相关专业；2. 熟练使用Objective-C或者Swift语言，熟悉面向对象编程，具有iOS开发经验；3. 了解多线程，网络编程和常用设计模式、数据库；4. 基础扎实，熟悉常用数据结构；5. 对代码和工程质量有所追求；6. 有独立钻研移动领域新技术的热情和能力；                            7. 综合素质优秀者条件可适当放宽。,"移动互联网,信息安全",50-150人,ios,天津
iOS高级开发工程师,https://www.lagou.com/jobs/7038193.html,西青区,15k-20k,天津市莱斯宝科技有限公司,5-10年,本科,海外市场，五险一金，合资公司，年终奖金,岗位职责：负责 iOS 客户端相关产品的研发；任职要求：1.计算机或相关专业专科以上学历，3年及以上iOS开发经验；2.熟练掌握C/C++/Objective-C语言及良好的编程习惯；3、熟悉使用Xcode、Interface Builder等开发工具，熟悉iOS框架和原理，熟悉Masonry 框架的原理和使用；4.熟悉iPhone、iPad开发技术，包括UI 多线程等方面，对数据结构、基本算法熟练掌握，具有优秀的内存管理能力；5、熟悉网络编程，XML/JSON解析，熟练使用Postman等相关开发工具，熟练使用Git；6、使用 Swift 做过实际项目，了解Swift-UI开发语言优先；7、具备良好的面向对象设计思想，熟悉软件工程和敏捷开发模式。团队亮点：1、优秀+无限潜力的创业公司，我们是高速奔跑，逆风飞翔，持续增长的团队；2、我们价值观驱动，客户**，真诚客观，我们拥有一群主动承担责任，合作共赢的伙伴；3、大家勤恳板砖，努力生活，我们测试是软妹纸，程序员是文艺范，周末邀你一起打游戏；4、在饭团，你将感受到轻松的人际氛围，扁平化的管理，舒适的办公环境和技术大牛们一起成长的快乐。 职位亮点：1、纯粹的技术氛围，团队都是代码爱好者，我们在代码上相亲相爱；2、业务发展迅速，涉及很多复杂的业务系统搭建与设计，更多的挑战在等你；3、有深度的自营产品，多变的海外市场，让你拥有更好的产品思维和逻辑；4、随着公司的高速可持续发展，更多资本进入，获得巨大的成功和回报。 我们希望你:1、“以梦为马”：愿意接受挑战，是有梦想的程序猿；2、“细节控”：追求细节和完美的“处女座”；3、“不拖延症”：快速解决实际问题，没有拖延症；4、“ 超级Geek ”：以创新技术为使命的人；5、“好奇心强”：关注前沿领域，对新技术充满热情。 工作环境:1、养生绿植3、舒适键盘4、Mac办公设备5、零食屋6、娱乐室（新办公场所即将上线） 员工福利:1、五险一金2、年终奖3、带薪年假4、节日福利5、每周三下午茶6、度团建节日尾牙7、深夜滴滴补助  8、公司烛光晚餐补助,"移动互联网,消费生活",50-150人,ios,天津
移动前端开-Android/ios(J23156),https://www.lagou.com/jobs/6650764.html,红桥区,15k-30k,捷信消费金融有限公司,不限,本科,五险一金、带薪年假、补充医疗保险,Duties and Responsibilities:Requirements:Staff Welfare:,金融,2000人以上,ios,天津
ios开发工程师,https://www.lagou.com/jobs/7184259.html,东丽区,10k-15k,北京博图纵横科技有限责任公司,1-3年,本科,五险一金 办公环境好 注重个人努力,"岗位职责：1. iOS平台架构设计及应用开发, 测试与维护；2. 参与项目需求分析，产品设计，文档编写； 任职要求：1. 具有扎实的计算机基础理论知识;2. 1年以上iOS平台开发经验，扎实的OC或swift语言基础，较好的架构设计能力及复杂UI实现能力；3. 熟悉常用的第三方库及依赖管理方式；4. 熟悉常用算法及设计模式；5. 丰富的调试经验，极强的debug能力；6. 有完整的iOS应用开发经验，有App Store线上作品者优先；7. 为人踏实，善于学习，较好的语言表达能力； 加分项：1.  熟悉web前端开发技术；2.  熟悉安卓平台开发。3.  熟悉flutter等跨平台技术；","移动互联网,数据服务",50-150人,ios,天津
ios开发工程师,https://www.lagou.com/jobs/6620334.html,武清区,12k-24k,玛雅六月新（天津）电子商务集团有限公司,5-10年,不限,五险一金，有双休，免费住宿,职责：1.   参与海外营销APP产品讨论，制定产品计划，验证产品效果；2.协调团队成员，保证每周的产品快速迭代；3.解决产品技术难题，及时采纳新技术，保证团队的技术领先；4.把用户当粉丝，对用户反馈的问题，及时响应和解决。要求：1.四年以上iOS开发经验；2.作为主力开发过至少一个iOS应用；3.熟练掌握C/C++/Objective-C其中一门语言；4.了解iOS平台内存管理机制、进程管理机制、任务管理机制；5.熟悉Xcode开发环境，熟悉iphone/ipad App开发流程；熟悉Socket网络编程和HTTP协议。,电子商务,2000人以上,ios,天津
ios开发工程师,https://www.lagou.com/jobs/6939300.html,红桥区,9k-11k,天津卓朗科技发展有限公司,3-5年,本科,发展前景、工作环境,岗位职责：1、 根据需求文档，完成编码、测试、优化及维护；2、 对核心模块进行持续优化和改进；3、 编写相关的开发文档，如技术文档，设计文档等；4、 对新技术有敏感度，有较强的学习能力，能够提交高质量的研发成果；5、 责任心强，工作积极主动，有较强的自我驱动力；任职资格：1. 年龄23~29周岁，至少三年工作经验2. 全日制统招本科学历，计算机相关专业，学历学信网可查，3. 深入理解iOS底层机制，能对应用各方面性能有效提升；4. 精通Objective-C，Swift，深入理解面向对象程序设计，良好的编码风格，追求代码执行效率；5. 熟悉iOS上常用的方法和开源库，熟练掌握 UI、SQLite操作、自定义控件、多线程、内存管理等技能；6. 熟悉常用的软件架构和设计模式，掌握常用的数据结构和算法；7. 熟悉网络通讯机制，熟悉TCP/IP、UDP、HTTP等网络通讯协议，有使用websocket完成过即时通讯功能者优先；8. 能熟练使用iOS开发及测试、调试工具。,"移动互联网,数据服务",500-2000人,ios,天津
ios开发工程师,https://www.lagou.com/jobs/6674355.html,西青区,7k-10k,北京易知路科技有限公司,1-3年,大专,五险 全勤奖,"技能要求：Xcode，Objective-C，SDK开发，C/C++，Git，XML岗位职责：1. 根据需求进行IOS系统移动端APP的设计与开发，工具类APP方向2、参与项目系统设计、技术方案规划3、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度4、负责软件的设计、编程、调试和模块测试工作任职资格：1、iPhone/iPad平台两年以上产品开发经验2、深刻理解面向对象设计和编程思想，可独立编写良好的结构代码, 具有良好的编码规范3、精通C++/Objective C编程以及Cocoa/UIKit Framework，能熟练使用CoreAnimation等IOS平台技术4、精通网络编程，HTTP/TCPIP协议通讯、json报文解析5、熟悉Swift语言，具备使用Swift搭建iOS应用能力6、熟悉Xcode开发环境、能快速诊断和调试问题7、熟悉IOS界面开发规范和IOS App开发流程,能处理不同版本间的差异8、能对软件进行良好的性能优化，处理内存管理问题9、能熟练使用HTML5，JS相关技术10、精通IOS平台开发技术，有2年以上的IOS平台应用开发经验，有上线的IOS应用经验","企业服务,教育",50-150人,ios,天津
iOS前端工程师,https://www.lagou.com/jobs/5613114.html,河西区,8k-12k,天津亨嘉口岸物流有限公司,不限,不限,"免费工作餐,年终奖,五险一金",岗位职责：1. 负责iphone、ipad客户端软件研发及功能的持续改进；2. 负责理解需求，跟进移动平台终端技术，设计和实现新产品和功能；3. 负责软件质量管理，修正缺陷和BUG，提出优化方案并实施；4. 负责运营软件重构技术，完善产品架构；5. 负责与协作部门沟通，合理安排工作计划，确保质量的情况下完成任务；6. 负责了解相关行业的行业动态，调研竞品产品形态，参与产品方向讨论。 任职要求：1. 计算机或相关专业全日制本科以上学历，2年以上iOS开发经验；2. 熟悉iOS架构体系，具备扎实的语言基础，熟悉ObjectiveC、swift语言各种特性；3. 具备扎实的面向对象思想、常见设计模式有深入了解；4. 深刻理解网络通讯原理，有实际的网络通讯开发经验；熟悉多线程；数据库操作；5. 良好的编码习惯，对软件性能优化、内存优化有一定的经验；6. 具备较强的设计能力、需求分析能力、表述能力；7. 英语良好，具有一定的英文文档阅读能力；8. 能够承受工作压力，乐观，开朗、有团队合作精神和共同学习进步的意识；,"电商,移动互联网",150-500人,ios,天津
