job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
IOS开发工程师,https://www.lagou.com/jobs/7219540.html,,8k-12k,万达宝软件（深圳）有限公司,1-3年,本科,五险一金 专业培训,1.一年以上IOS平台开发经验，有扎实的编程功底和良好的编程习惯；2.精通Objective-C语言和 IOS SDK；3.熟练掌握xcode和相关测试工具；4.了解HTML5/CSS3 标准和语法5.了解 Web前端开发框架；6.对新技术感兴趣，学习能力强，有钻研和开拓精神；7.有2个以上的IOS项目开发经验者优先。,软件开发,150-500人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/6518131.html,天河区,10k-15k,上饶市一三齐齐信息技术有限公司广州分公司,1-3年,本科,职业发展 免费三餐 各种福利,"岗位要求：1、熟练使用Object-C，Swift, Xcode，熟悉iOS的编码规范 ；2、了解iOS网络框架和UI页面制作和逻辑编写；3、能独立解决常见的开发需求，熟悉AppStore的上架流程;4、具备较强的学习及独立分析、设计、解决问题的能力；5、对技术有追求，善于学习新技术；加分项1、了解苹果内购和语言的国际化处理；2、做过静态库开发；3、了解游戏行业或有游戏行业背景更佳，有过包经验；备注：过包奖金5000-10000元/包公司福利： 1、五险一金：涵盖住房公积金、养老、工伤、生育、失业、医疗，为员工提供全面保障；2、免费三餐：公司有自己开发的点餐系统平台，自助餐形式，免费提供早餐、中餐、晚餐；午晚餐每餐10多个菜式，所有菜式任装不限量；3、免费下午茶：每周可免费点下午茶，还有不定时大型主题下午茶，节日下午茶等；4、团建活动：丰富的团建活动及周年庆活动--周年庆旅游、团建卡丁车、珠海长隆海洋王国、从化温泉度假、KTV聚会等等（一切为了放松）；5、免费零食：提供丰富免费的零食供应，工作环境明亮舒适且宽阔，保证大家的轻松工作；6、节日福利：丰富的节日礼品及节日氛围（端午星冰粽、中秋礼品卡、节日红包等等，你所知道的节日都有福利）；7、生日礼遇：生日员工都享有礼品卡（可上网挑选兑换各种礼品或兑换相应金额）；8、梯度全勤：每年实行梯度全勤奖制，1月-12月全勤奖从200-1200元递增；9、租房补贴：入职半年员工，每月享有租房补贴（租房有补贴，工作无压力）；10、带薪年假：入职一年员工即享有带薪年假，休年假依旧享有全勤奖；11、年底双薪：实行全职员工年底双薪制度；12、工龄奖：为做满一年以上的老员工提供工龄奖，逐年递增；13、年度体检：为入职满一年的员工提供定期免费体检（为员工健康护航）；14、晋升空间：内部优先晋升原则，人性化的晋升空间（能力即**）。",游戏,150-500人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/6950149.html,天河区,7k-14k,广州市讯飞樽鸿信息技术有限公司,1-3年,本科,"福利好,氛围轻松",岗位职责：1、负责移动APP（iOS）的设计、开发、维护等工作；2、编写系统分析与设计，确定系统业务和模块技术架构、实现路线；3、负责项目验收与交付的技术工作。4、负责业务平台活动以及经营系统前端需求评估和开发维护；任职要求：1、计算机相关专业，本科及以上学历，1年以上独立上线APP开发经验；2、熟悉APP开发及日常营运，具备IOS开发经验；3、熟悉Objective-C 熟练开发平台，以及iOS控件使用，具有良好的编程习惯；4、熟练掌握iOS界面和交互开发；5、数据库开发经验，掌握MYSQL，SQLITE；6、能熟练使用调试、性能分析工具来调试和优化代码；7、熟悉iOS内存管理（mrc&arc）；8、具有前端开发经验优先，熟悉多种JavaScript框架（Angular/React/Vue)及对它们适用的范围及优劣有独到见解，能够独立开发JS模块；9、具备互联网交互设计能力，熟悉后端服务器运行环境和数据通信协议；10、熟悉响应式布局框架、Bootstrap的JS框架；11、具有规范的编程习惯与文档编写能力；具有优良的分析问题和解决问题的能力;12、具备良好的学习能力，能够主动总结和分享自己的开发经验，能够承受较大的工作压力。,"移动互联网,信息安全",50-150人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/7110217.html,南山区,13k-18k,深圳市超盟金服技术信息服务有限公司,3-5年,本科,领导nice 年轻化团队 集团企业,【岗位职责】1、参与需求的讨论和评审，完成业务功能与技术模块及框架的实现；2、有良好的设计意识、质量意识及代码规范意识，可以通过各种自动化工具3、对模块进行质量测试，并完成设计优化及性能优化；4、关注移动开发前沿技术，参与新技术的调研和选型。【职位描述】1、三年以上iOS开发经验，熟悉Swift开发；2、熟悉 App 内存占用、耗电、网络、UI 渲染等性能方面分析和优化的方法3、熟悉IOS下的程序优化、内存管理、Sqlite/Realm、RunLoop、网络协议、GUI开发，有一定的逆向能力优先考虑；4、熟悉常用的设计模式，具备技术架构的设计能力、设计思路和方法论，对app高用户体验、性能调优、防崩溃、节省流量等的方法有一定了解。 5、积极主动，具备良好的分析解决问题能力，能独立承担开发任务和良好的团队协作能力；6、熟悉IOS应用发布流程及蒲公英等第三方企业版发布流程、jekins自动化打包；7、有Hybrid APP/SDK应用开发经验优先，熟悉weex、Flutter优先，有金融、媒体、支付行业公司工作经验优先。8、精通 iOS UI 界面、多线程，对 HTTP/HTTPS/Socket 等网络通信协议有深刻理解和经验9、熟练OC中ReactiveCocoa、Swift中的RxSwift框架进行日常响应式开发，并有深刻理解10、有知名开源项目或大型项目架构经验优先,移动互联网,500-2000人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/6039876.html,南山区,10k-15k,深圳市趣虹科技有限公司,1-3年,本科,年终奖、下午茶、节日礼品、团建旅游；,任职要求：1.本科以上学历，计算机及相关专业，2年以上iOS平台开发经验；2.能独立承担开发高性能的iOS应用，熟练掌握iOS平台UI、线程、消息和进程通信机制，有社交、通信类应用开发经验者优先；3.熟练掌握iOS框架及各种特性，对Socket通信、TCP/IP和HTTP有较深刻的理解和经验，熟悉JSON/XML，了解sqlite数据库，有网络编程经验；4.熟练掌握Objective-C或swift设计语言，对设计流程有深入理解；5.具备较强的逻辑思维和学习能力，能独立进行模块设计、解决实际问题；6.在APP Store成功上线过应用者优先；7.能够按期完成工作，并适应具备挑战与压力的工作环境，能与团队进行良好的沟通协作；8.有直播APP开发经验者优先。,移动互联网,50-150人,ios,广东
中级iOS,https://www.lagou.com/jobs/6810230.html,南山区,14k-18k,深圳市趣虹科技有限公司,1-3年,本科,下午茶，旅游，五险一金，年终奖，绩效奖,任职要求：1.本科以上学历，计算机及相关专业，2年以上iOS平台开发经验；2.能独立承担开发高性能的iOS应用，熟练掌握iOS平台UI、线程、消息和进程通信机制，有社交、通信类应用开发经验者优先；3.熟练掌握iOS框架及各种特性，对Socket通信、TCP/IP和HTTP有较深刻的理解和经验，熟悉JSON/XML，了解sqlite数据库，有网络编程经验；4.熟练掌握Objective-C或swift设计语言，对设计流程有深入理解；5.具备较强的逻辑思维和学习能力，能独立进行模块设计、解决实际问题；6.在APP Store成功上线过应用者优先；7.能够按期完成工作，并适应具备挑战与压力的工作环境，能与团队进行良好的沟通协作；8.有直播APP开发经验者优先。,移动互联网,50-150人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/6931970.html,番禺区,10k-20k,广州经传多赢投资咨询有限公司,不限,不限,"五险一金,绩效奖金,年底多薪,产品专业",经传自成立以来，以专业的产品与优质的服务取得众多用户的认可和肯定，通过努力奋进，行业排名前三，始终秉承拼搏、创业、协同、共赢的理念，成就百年经传的美好祝愿。随着经传发展壮大，我们期待着更多新鲜血液的加入！ 【岗位职责】1、负责移动产品的研发，编写高质量高性能代码；2、参与移动产品需求讨论，功能定义等；3、设计良好的代码结构，不断迭代重构。【岗位要求】1、扎实的编程功底，良好的设计能力和编程习惯；2、责任心以及良好的沟通与协同能力；3、熟练掌握OC及Swift开发语言，掌握常用iOS框架。【关于我们】（我们是一个不需要融资的二十年创业团队） 经传多赢 （ http://www.jingzhuan.cn ）公司是互联网金融行业，全国行业排名前三，是有牌照的投资咨询公司（广州仅6家），主要从事证券辅助决策软件研发、金融数据挖掘与分析、金融信息服务等业务，于2013年全资收购了深圳市智多盈投资顾问有限公司（中国证监会核准 [核准号：ZX0172] ）。【硬核优势】1、金融证券角度有深厚的行业沉淀，赋予广阔的视野和锻炼机会；2、公司未来几年在技术研发持续大力投入，赋予该职位广阔的发挥空间；3、公司奉行创业文化、利他文化，在人才培养角度相比其他公司更愿意投入，团队平均入职年限超过4年并且平均年龄超过30岁；4、该岗位由资深主管、总监直接指导，可以快速掌握大型项目核心技术，组内大牛密集，技术氛围溢出。【温馨提示】上班地点：公司总部（番禺节能科技园总部中心2号楼19楼整层）上班时间：上午8:45—下午6:00，中休2小时，单休，法定节假日正常休息 我们还有几个措施改善大家的上班体验：1、 给予超市场回报的薪水（也提供更快加速度的涨薪幅度）2、周六多为团建活动与专业知识交流会3、不鼓励加班，倡导高效开发文化【加入我们，您将会享受到】1、薪资结构：基础薪资+绩效奖金，全年12~17薪，优秀的您可以共享公司的经营业绩，晋升为事业合伙人可享受公司利润提成，优秀员工享受出国旅游机会；2、每日提供下午茶和水果零食，年度旅游+部门旅游+月度团建活动，各种节假日礼物福利；3、免费健身房，购买五险一金，各种保障齐全；4、年终发放千元孝心红包给父母；5、工作环境：工作环境温馨、舒适，员工之间关系和谐平等，对待新员工关心、友爱；6、透明晋升渠道：在工作中淬炼本职岗位技能，并用业余时间全面提升自我，技术中心产品线丰富，能够提供匹配员工职业发展的多种成长路线。福利太多，不能一 一描述，心动的伙伴赶紧投简历来面试吧~！,金融,2000人以上,ios,广东
iOS 开发工程师,https://www.lagou.com/jobs/6283604.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 iOS 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组建或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、5年以上 iOS 客户端开发经验，熟练使用 Git 等工具；3、扎实的计算机科学基础，熟悉Swift，熟悉多线程以及网络编程；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 iOS App 开发经验；2、有跨平台开发经验；3、有更好的产品 sense，能更多站在产品层面思考问题；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,ios,广东
iOS经理,https://www.lagou.com/jobs/7219554.html,,30k-50k,雷神科技有限公司,5-10年,本科,薪资待遇高，前景福利好,"工作职责1.根据公司业务发展需求，负责公司负责iOS和android APP开发；2.负责iOS和android APP 网路底层代理、界面及应用程序设计、开发、发布和维护；3.跟进iOS/android的新技术发展，编写设计开发及实现文挡。任职要求1.全日制本科及以上学历，计算机或相关专业；2.5年以上iOS/android开发经验, 精通IOS内核，网络底层，私有API等；3.熟悉iOS/android框架及各种特性，熟练使用iOS的各种UI组件并熟悉其内部原理; 4.精通流媒体相关协议，有音视频、直播业务、rtmp、webrtc相关经验; 5.熟悉常用软件架构模式，熟悉常用算法与数据结构，多线程，网络编程（WebSocket、http/web service）等； 6.同时精通Android内核，底层驱动，网络原理优先；",软件开发,150-500人,ios,广东
ios开发工程师,https://www.lagou.com/jobs/6696780.html,罗湖区,10k-15k,深圳市阿卡索资讯股份有限公司,1-3年,大专,"五险一金,周末双休,健身俱乐部,带薪年假",职位描述：岗位职责：1、负责IOS平台相关应用的开发和维护工作;2、理解产品需求，独立进行客户端产品的技术实现和框架设计；3、根据功能需求和设计方案进行开发，完成代码的编写和调试工作4、能够快速完成高质量的代码，注重代码细节；5、思路清晰，具备良好的沟通能力和理解能力；6、热爱设计编写程序，对IT行业充满激情，有独立的用代码解决问题的能力任职要求：1. 计算机相关专业大专及以上学历，2-5年以上相关工作经验2. 熟练掌握Objective-C/Swift，C/C＋＋语言，掌握MVC、MVVM架构以及设计模式，有一定算法知识3. 熟悉多线程开发，理解OC Runtime运行机制，熟悉常用第三方框架4. 能独立负责应用开发，积极主动沟通，及时高效完成开发任务5、熟悉iOS SDK中的UI、网络、数据库、Webkit、JavascriptCore等开发技巧，熟悉常见iOS第三方开源库；6、熟悉各种UI控件，能够实现复杂的界面交互；7、掌握Android开发和了解跨Android、iOS平台开发框架加分；8、熟悉多线程，内存管理，内存优化，熟悉 Git 代码管理工具加分9、热爱并愿意投身在线教育事业。,"教育,移动互联网",2000人以上,ios,广东
