job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios,https://www.lagou.com/jobs/7191668.html,江干区,13k-20k,苏州天乙佳网络科技有限公司杭州分公司,3-5年,大专,全额五险一金 股票期权 节假日福利,职位详情1.配合公司iOS以及相关开发人员按时完成业务的开发。2.能独立完成iOS软件开发以及测试中发现的问题。3.能够快速的融入团队，维护老代码。4.优化APP，完成日常产品需求。5.快速解决老项目遗留问题。任职要求：1、专科及以上学历，三年以上的iOS开发经验，具有良好的团队开发精神。2、精通Objective-C、熟练掌握run-time，OC内存管理机制，多线程开发。3、熟练掌握MVVM、MVC，熟悉响应式编程思想、熟悉ReactiveCocoa框架。4、熟练掌握常用的第三方框架如：AFN、Masonry、SDWebImage。熟悉常用的数据结构、以及一些加密方式。5、良好的代码习惯、对事情追求**，熟悉git代码管理工具，工作积极主动，有强烈的责任感和严谨的工作作风；对移动产品有浓厚的兴趣。6、有多个完整额iOS项目经验，至少参加过一个完整应用的技术框架搭建。7、具有良好的团队意识，以及高度的责任心、良好的语言表达能力，善于与人沟通、合作。8、掌握常用的设计原则和常用的设计模式，理解模块化和API设计思路。9、有电商平台或直播平台的优先、有swift项目经验优先。,电商、社交,500-2000人,ios,杭州
ios开发工程师,https://www.lagou.com/jobs/6665606.html,滨江区,13k-20k,浙江聚智软件技术有限公司,3-5年,不限,五险一金、全勤奖、带薪年假、高温补贴,"1、负责iOS客户端软件的开发及维护；2、根据产品需求完成模块设计、编码工作，具备独立开发项目的能力；3、优化客户端的用户体验，性能优化，架构设计，提升业务开发效率。职位要求：1、计算机相关专业优先，大专及本科以上学历，具有3年及以上开发经验，熟悉iOS开发流程、规范；2、熟练掌握OC,熟练使用Xcode等开发工具。3、熟悉Cocoa及UIKit框架，熟练使用多线程，深刻理解runtime、RunLoop等机制；4、熟悉iOS下的网络编程，数据库及内存管理、熟悉XML/JSON的解析，及常用的开源框架；5、对APP性能检测，Crash处理，内存优化，模块解耦有丰富的经验；6、具备良好的设计模式和面向对象编程思维，良好的编程习惯，对代码品质和产品品质优较高的要求；7、熟悉AppStore上架流程，审核规则，在AppStore有上架应用者优先。",移动互联网,15-50人,ios,杭州
iOS工程师,https://www.lagou.com/jobs/7007858.html,西湖区,10k-20k,杭州涂鸦信息技术有限公司,1-3年,本科,"独角兽,不打卡",岗位描述：1.参与客户端IoT产品的设计和开发；2.参与客户端IoT SDK的方案设计和实现；3.关注移动开发、物联网前沿技术，参与新技术的预研；岗位要求：1.大学本科及以上学历；2.熟悉C/C++/Objective-C之一，扎实的计算机基础，熟悉设计模式，有自己的理解；3.撰写个人技术博客，Github活跃，或拥有个人技术作品如网站、APP、自己开发的工具或系统等优先；4.酷爱技术，喜欢折腾、钻研(这点最重要)；5.具有良好的语言表达能力，善于与人沟通、合作。,"移动互联网,硬件",500-2000人,ios,杭州
高级iOS开发工程师,https://www.lagou.com/jobs/6869456.html,萧山区,20k-40k,浙江省农村信用社联合社,5-10年,本科,发展前景大、福利待遇好,"一、岗位职责1、负责银行各业务系统的iOS APP的设计和研发工作2、负责管理自身项目和需求的优先级、按时高质量交付3、与产品经理沟通需求，进行相关的技术文档编写，方案设计4、设计良好的代码结构，不断迭代重构5、指导并带领初级工程师共同完成研发任务二、岗位要求1、年龄35周岁以下（特别优秀的可放宽至38周岁）；2、全日制本科及以上学历并取得相关学位，计算机科学与技术、软件工程、数学等相关专业；3、4年或以上iOS开发经验，2年及以上项目管理或研发团队管理经验，具备主导银行项目开发经验者优先；4、良好的计算机基础，数据结构和算法。对操作系统相关的线程、内存、文件有深入了解的优先,熟练使用Objective C，熟悉iOS的Runtime, 内存管理机制和多线程开发，或具有良好的C/C++、swift语言基础，了解内存和指针概念5、对于网络编程有一定的经验，对于HTTP的协议栈能够有深入的认知。6、对于优化程序的性能有一定经验，了解并使用面向接口开发模式，对http协议有一定了解，并可以熟练使用，熟悉XML和JSON数据结构，具有APP安全防范处理经验7、逻辑思维能力强，思路清晰，有创造性，有良好的英文资料阅读能力8、有银行金融业相关开发经验优先考虑","其他,金融",2000人以上,ios,杭州
ios开发工程师,https://www.lagou.com/jobs/6869455.html,萧山区,15k-25k,浙江省农村信用社联合社,1-3年,本科,发展前景大、福利待遇好,"一、岗位职责1、负责银行各业务系统的IOS APP的设计和研发工作2、负责管理自身项目和需求的优先级、按时高质量交付3、与产品经理沟通需求，进行相关的技术文档编写，方案设计4、设计良好的代码结构，不断迭代重构5、指导并带领初级工程师共同完成研发任务二、岗位要求1、年龄35周岁以下（特别优秀的可放宽至38周岁）；2、全日制本科及以上学历并取得相关学位，计算机科学与技术、软件工程、数学等相关专业；3、2年或以上iOS开发经验，有成功开发并上线到AppStore的经验4、良好的计算机基础，数据结构和算法。对操作系统相关的线程、内存、文件有深入了解的优先,熟练使用Objective C，熟悉iOS的Runtime, 内存管理机制和多线程开发，或具有良好的C/C++、swift语言基础，了解内存和指针概念5、对于网络编程有一定的经验，对于HTTP的协议栈能够有深入的认知。6、对于优化程序的性能有一定经验，了解并使用面向接口开发模式，对http协议有一定了解，并可以熟练使用，熟悉XML和JSON数据结构，具有APP安全防范处理经验7、逻辑思维能力强，思路清晰，有创造性，有良好的英文资料阅读能力8、有银行金融业相关开发经验优先考虑","其他,金融",2000人以上,ios,杭州
IOS开发工程师,https://www.lagou.com/jobs/7026501.html,西湖区,30k-60k,北京达佳互联信息技术有限公司,3-5年,本科,客户端开发,职位描述1、负责iOS客户端设计与开发；2、负责基础模块和组件的研发和维护；3、关注性能，提升客户端用户体验。任职要求1、良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力；2、深入理解iOS SDK，具有丰富的 Objective-C 及 C/C++ 开发经验；精通各种UI控件，能够实现复杂的界面交互；3、熟练掌握iOS平台下的高性能编程及性能调优；4、具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向；5、有强烈的责任心和团队精神，善于沟通和合作；6、具有音视频、直播、OpenGL相关开发经验者优先。,文娱丨内容,2000人以上,ios,杭州
iOS开发工程师,https://www.lagou.com/jobs/6849242.html,西湖区,15k-30k,杭州晓宇科技有限公司,3-5年,不限,氛围轻松，期权鼓励，恋爱社交，大牛聚集,"【职位诱惑】扁平管理；优厚薪资；不打卡；带薪休假，超长年假；提供餐补，休闲下午茶；职业大牛；晋升空间；自由发挥；团队氛围好，团建活动丰富；### 关于『红蓝 CP』，关于工程师岗位职责0. 『一专多精』是我们对『人才』的定义。1. 团队工程氛围异常浓厚，CEO 能写 Query 从 Mysql 或 Hadoop 查数据，产品和运营同学交付需求有时会详细到数据库表设计。2. 产品方向上，我们通过数据做决策。工程研发上，写代码前，我们花大量的时间在做方案设计。3. 工程团队承担极具挑战的研发任务，给用户提供高质量的产品。4. 我们通过大量制造和使用的工具，避免重复劳动，实现快于一般团队数倍的速度交付产品。5. 通常，团队的每个工程师都会涉及多个技术领域的研发工作。### 任职要求0. 为人正直，品味良好。1. 使用 Google 而非百度；2. 基础扎实，了解时间复杂度，空间复杂度；3. 至少熟悉一个技术栈的产品研发;4. 熟悉 Linux 常用命令；5. 代码干净漂亮；6. 良好英文阅读能力；7. 对技术有热情，痴迷于精巧的结构；### 加分项0. 熟悉 Vim 操作；1. 会多种开发语言;2. Typing speed, WPM 90 以上: http://www.keybr.com/3. GitHub 上有代码或者有博客；4. 英语口语较好；### 团队技术栈1. 崇尚小而精团队，不做劳动密集型的事情，任何事情要是重复超过 3 次，就一定会被工具化。2. 推崇务实，有问题解决问题的踏实的工程态度。3. 团队每个成员都会多门语言。以下是目前的团队技术栈：* 大前端方向    * iOS: Swift    * Android: Material Design / Target Api 28 / 部分 Kotlin    * 客户端部分功能使用 weex 实现，以减少团队重复劳动    * Web: vue.js，部分老旧业务还是 jQuery；styling: css / less / sass    * 小程序: wepy* 大后端方向    * 开发和生产环境全容器化，server 弹性伸缩    * 全 https    * 大量使用 CDN    * 大量使用队列削峰填谷    * 后端主要语言为 PHP，python 和 Java 做一些中间服务，openresty    * devops: ansible / cloud-init / Jenkins    * 日志收集使用 ELK    * Data warehouse: Hadoop    * 推荐系统目前基于用户标签### 在招职位我们需要业界优秀的人才来带领我们前进，也欢迎聪明有天分的后起之秀为将来提供更多的可能。目前我们处于高速增长阶段，人才多益善。如果你擅长以下一个或多个方向，并认同我们，欢迎加入我们：*  Android 方向*  iOS 方向*  后端方向*  前端方向*  数据方向*  机器学习方向---可以先了解我司产品：App：红蓝CP小程序：一周CP | 恋爱体验馆【红蓝CP - 企业介绍】简书链接https://www.jianshu.com/p/2ac36e9f773e 工作地址杭州 - 西湖区 - 文三路 - 华星时代广场B座312","移动互联网,社交",15-50人,ios,杭州
高级IOS开发工程师,https://www.lagou.com/jobs/6630096.html,西湖区,20k-40k,杭州晓宇科技有限公司,3-5年,本科,"期权鼓励,扁平管理,弹性上班,前景广阔","【职位诱惑】扁平管理；优厚薪资；不打卡；带薪休假，超长年假；提供餐补，休闲下午茶；职业大牛；晋升空间；自由发挥；团队氛围好，团建活动丰富；### 关于『红蓝 CP』，关于工程师岗位职责0. 『一专多精』是我们对『人才』的定义。1. 团队工程氛围异常浓厚，CEO 能写 Query 从 Mysql 或 Hadoop 查数据，产品和运营同学交付需求有时会详细到数据库表设计。2. 产品方向上，我们通过数据做决策。工程研发上，写代码前，我们花大量的时间在做方案设计。3. 工程团队承担极具挑战的研发任务，给用户提供高质量的产品。4. 我们通过大量制造和使用的工具，避免重复劳动，实现快于一般团队数倍的速度交付产品。5. 通常，团队的每个工程师都会涉及多个技术领域的研发工作。### 任职要求0. 为人正直，品味良好。1. 使用 Google 而非百度；2. 基础扎实，了解时间复杂度，空间复杂度；3. 至少熟悉一个技术栈的产品研发;4. 熟悉 Linux 常用命令；5. 代码干净漂亮；6. 良好英文阅读能力；7. 对技术有热情，痴迷于精巧的结构；### 加分项0. 熟悉 Vim 操作；1. 会多种开发语言。2. Typing speed, WPM 90 以上: http://www.keybr.com/3. GitHub 上有代码或者有博客；4. 英语口语好。### 团队技术栈崇尚小而精团队，不做劳动密集型的事情，任何事情要是重复超过 3 次，就一定会被工具化。推崇务实，有问题解决问题的踏实的工程态度。团队每个成员都会多门语言。以下是目前的团队技术栈：* 大前端方向    * iOS: Swift    * Android: Material Design / Target Api 28 / 部分 Kotlin    * 客户端部分功能使用 weex 实现，以减少团队重复劳动    * Web: vue.js，部分老旧业务还是 jQuery；styling: css / less / sass    * 小程序: wepy* 大后端方向    * 开发和生产环境全容器化，server 弹性伸缩    * 全 https    * 大量使用 CDN    * 大量使用队列削峰填谷    * 后端主要语言为 PHP，python 和 Java 做一些中间服务，openresty    * devops: ansible / cloud-init / Jenkins    * 日志收集使用 ELK    * Data warehouse: Hadoop    * 推荐系统目前基于用户标签### 在招职位我们需要业界优秀的人才来带领我们前进，也欢迎聪明有天分的后起之秀为将来提供更多的可能。目前我们处于高速增长阶段，人才多益善。如果你擅长以下一个或多个方向，并认同我们，欢迎加入我们：*  Android 方向*  iOS 方向*  后端方向*  前端方向*  数据方向*  机器学习方向Happy coding!---可以先了解我司产品：App：红蓝CP小程序：一周CP | 恋爱体验馆【红蓝CP - 企业介绍】简书链接https://www.jianshu.com/p/2ac36e9f773e","移动互联网,社交",15-50人,ios,杭州
IOS开发,https://www.lagou.com/jobs/6569232.html,滨江区,10k-20k,杭州老爸评测科技有限公司,1-3年,本科,"精英团队,工作氛围好,知识分享,发展空间",岗位职责:负责公司各产品线的iOS客户端模块设计、开发、自测、优化、维护。任职资格:1、计算机等相关专业大专及以上学历，能独立开发应用；2、1年以上IOS开发经验，有扎实的C/C++基础，熟悉Objective-C、Swfit，熟悉MacOS操作系统和XCode开发环境；3、熟悉iOS系统，对iOS SDK、相关框架及配套工具有深入理解，能够对移动应用进行性能分析和优化；4. 熟悉iOS下的网络通信机制，对Socket通信/TCP/HTTP有深刻的理解；5、可承受压力，有责任感；学习能力强，自我驱动力强。,"电商,移动互联网",150-500人,ios,杭州
ios开发工程师,https://www.lagou.com/jobs/7061486.html,西湖区,15k-30k,杭州溜达网络科技有限公司,5-10年,本科,"五险一金入,双休,餐补交补等,带薪年假",岗位职责：1、参与公司多好APP客户端的研发工作，包括需求沟通、功能方案设计与开发等；2、参与代码重构、性能和稳定性建设；3、为保证开发效率和质量而进行的工具流程建设等。任职资格：1. 对面向对象语言有自己的理解，熟练掌握Objective_C语言的使用，理解该语言的核心概念。2. 熟练掌握iOS端开发常用的知识点。3. 数量掌握iOS开发中的常用的工具以及调试技巧。4. 有前端和脚本开发经验者优先，有swift开发经验者优先。5. 做过项目架构的优先。,移动互联网,50-150人,ios,杭州
