job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
iOS开发工程师,https://www.lagou.com/jobs/4647042.html,洪山区,15k-25k,北京金山办公软件股份有限公司,3-5年,本科,"六险一金,年终奖金,高额餐补,下午茶",工作职责：1、从事iOS终端应用软件的开发工作；2、负责新产品的iOS版本开发工作；3、承担版本的系统设计、性能及调优工作。岗位要求：1. 三年及以上 iOS 开发经验，有独立完成较为复杂功能的经验。2. 熟悉并能阐述 iOS 系统框架，UI 绘制及渲染，事件传递，runtime 等机制。3. 熟练掌握 iOS 多线程高性能编程并有解决相关问题的经验。4. 熟悉前端开发优先，有与前端交互经验优先。5. 具备一定的抗压能力，独立思考和独立解决问题的能力。,移动互联网,2000人以上,ios,武汉
iOS开发工程师,https://www.lagou.com/jobs/7218782.html,洪山区,10k-15k,武汉毕格邦科技有限公司,1-3年,本科,大牛指导、全额公积金、年度旅游、双休,岗位职责：1、根据产品需求完成iOS移动终端产品的开发、维护和演进；2、提供产品相关技术支持。任职要求：1、统招本科及以上学历，985/211优先，专业不限；2、1-3年iOS开发经验，具备视频/图像类产品开发经验者优先；3、过往开发的作品在App Store已上线；4、熟练使用Objective-C或者 Swift 语言，熟悉iOS应用性能调优和设备适配；5、有独立解决技术问题的能力，具备良好的团队合作意识，自我驱动型。,移动互联网,15-50人,ios,武汉
ios开发工程师,https://www.lagou.com/jobs/6922765.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,不限,弹性工作,工作职责：1、参与iOS应用的日常开发与维护；2、与其他团队成员配合保障业务需求顺利上线；3、 遵守团队规范，参与团队文档建设；4、学习新技术以满足团队和业务发展的需要。任职资格：1、计算机相关专业优先，具备有一定的逻辑思维，热爱互联网工作；2、具备一定的Objective-C或C/C++语言基础，熟悉常用数据结构与算法；3、对iOS开发有兴趣；喜欢从事iOS开发工作；4、学习能力强，工作热情高，富有责任感，团队意识强。2、与其他团队成员配合保障业务需求顺利上线；3、 遵守团队规范，参与团队文档建设；4、学习新技术以满足团队和业务发展的需要。,文娱丨内容,2000人以上,ios,武汉
iOS开发工程师,https://www.lagou.com/jobs/4771258.html,东湖新技术开发区,15k-25k,武汉微派网络科技有限公司,1-3年,本科,"亿级用户,充分授权,待遇丰厚",【职位描述】1.常规的UI开发，可以在AppStore搜索“贪吃蛇大作战”，参看里面的UI；2.常规的HTTP/TCP网络数据交互，协议、接口设计，客户端本地数据管理；3.在迭代阶段解决App崩溃问题、用户反应的性能问题。【职位要求】1.独立的线上App开发经验；2.扎实的Objective-C语言基础，至少1年以上iOS实际开发经验；3.较强的策略设计能力，对兼容性、扩展性、安全和性能敏感，代码干净不将就；4.对移动产品有较强的敏感度和热情，具备较强的沟通协调能力，良好的职业素质和团队合作精神，对工作认真负责。,社交,150-500人,ios,武汉
ios开发工程师,https://www.lagou.com/jobs/6952220.html,洪山区,15k-25k,深圳比特屋网络有限公司,3-5年,本科,午餐补助 五险一金 带薪年假,【岗位职责】 1、根据产品需求，进行iOS终端应用软件的开发工作； 2、提供技术支持，承担设计、维护及优化工作。   【岗位要求】 1、本科及以上学历，扎实的Objective-C语言基础； 2、独立负责过一个以上完整商业级App开发优先。   【加分项】1、掌握iOS自动布局，对CoreAnimation或其他动画库有深入了解； 2、iOS交互动画处理经验，能独立设计编码相关UI框架 （有优秀GitHub开源项目者优先）； 3、程序性能优化经验，掌握iOS内存管理机制和多线程开发； 4、图片视频优化处理经验，包括图片视频压缩、后台上传等， （有云同步相关开发经验者优先）。,移动互联网,15-50人,ios,武汉
iOS开发工程师,https://www.lagou.com/jobs/3444386.html,洪山区,10k-20k,武汉悦然心动网络科技有限公司,1-3年,本科,"极客思维,工程师文化,扁平管理",团队概况：公司核心技术团队来自于华科、中科大和清华等**高校，工程师文化，产品技术实力一流，目前多款产品用户超千万。积极发掘新方向，为下一个Big Dream努力着。公司使命：海外移动互联网的产品专家。岗位职责：1、根据产品需求完成iOS移动终端产品的开发、维护和演进；2、提供产品相关技术支持。任职要求：1、熟练使用Objective-C或者 Swift 语言；2、两年以上iOS开发经验，并独立或作为项目负责人完成过项目开发；3、作品在App Store已上线；4、熟悉iOS应用性能调优和设备适配；5、有独立解决技术问题的能力；6、计算机相关专业，本科学历以上。福利待遇：1    六险一金，住房公积金缴纳比例8%；2    项目专项奖，年度奖金，涨薪、晋升快；3    年度全员带薪出国旅游；4     弹性工作，免费体检、免费下午茶，扁平管理。,"社交,游戏",150-500人,ios,武汉
高级ios开发工程师,https://www.lagou.com/jobs/7027314.html,东湖新技术开发区,15k-25k,武汉木仓信息技术有限公司,5-10年,本科,行业前景 福利待遇,岗位职责： 1、参与移动端ios 应用的开发，负责相关模块或功能的开发工作；2、负责产品架构的改进及性能优化； 3、参与讨论程序功能设计，独立完成功能开发，验证和修正测试中发现的问题； 4、学习和研究新技术以满足产品的需求，根据开发过程中的体验对产品提出改进建议 ；任职要求： 1、具备扎实的Objective-C 编程基础，良好的编程习惯； 2、熟练运用UIKit、Masonry 等进行界面开发； 3、熟练掌握多线程相关知识，以及实战运用； 4、熟悉各种动画和特效实现方案； 5、熟悉iOS 的性能和内存优化； 6、熟悉Git、CocoaPods 等工具； 7、具备一定的数据库知识； 8、具备分析问题、独立攻关、能够有效分配时间掌控开发进度的能力； 9、有大型ios 客户端相关架构经验者优先考虑。,汽车丨出行,150-500人,ios,武汉
ios开发工程师,https://www.lagou.com/jobs/7184012.html,东湖新技术开发区,20k-35k,上海蔚来汽车有限公司,3-5年,本科,五险一金；期权；补充商业保险；,"岗位职责:• 负责业务需求，基于iOS平台进行开发；• 根据业务产品功能模块设计，实现模块功能，并确保开发直连；• 负责项目的性能调优和线上问题跟踪。任职资格：• 本科及以上学历, 计算机或相关专业, 2年以上iOS开发经验，有成熟商业项目开发优先；• 熟悉Objective-C、Swift,具有扎实的编码能力；• 熟练掌握内存管理、多线程、网络、UI绘制等技术和知识；• 掌握iOS常用系统和第三方开发框架；• 熟练使用Git、CocoaPods等常用工具；• 有蓝牙开发经验加分；• 熟悉RxSwift有Flutter相关开发经验加分；• 对技术有一定追求，有一定抗压能力；• 良好的沟通能力，责任心强，具备良好的团队合作精神和抗压能力。","移动互联网,硬件",2000人以上,ios,武汉
ios开发工程师,https://www.lagou.com/jobs/6886880.html,洪山区,15k-30k,北京一一万物科技有限公司,3-5年,本科,五险一金 年度旅游 周末双休,职责描述：1、负责基于Flutter的移动应用开发，能够独立完成iOS应用的开发工作2、研讨Flutter iOS相关技术实现方案，进行应用及系统整合3、对Flutter及插件开发技术进行研究，根据开发过程中的体验对产品提出改进建议4、持续对产品开发流程进行改进与优化，提高开发能力和效率，并能通过技术提升用户体验和可用性5、接受其他工作安排职位要求：1、熟悉Flutter框架，Dart语言，了解Flutter常用组件的实现原理2、有3年以上iOS开发经验，有iOS上线应用，有知名App开发经验优先3、有良好的面向组件编程经验4、熟悉Flutter、iOS原生混合开发、独立开发下的技术流程5、能够独立解决Flutter中的技术难题6、有Flutter实际项目经验或插件开发经验者优先7、熟练使用Git常用操作命令8、有强烈的求知欲和进取心，对新技术有持续的热情，有较强的学习能力9、有良好的沟通和表达能力工作时间：10:00-19:00,"移动互联网,社交",150-500人,ios,武汉
ios高级开发工程师,https://www.lagou.com/jobs/7211490.html,洪山区,15k-25k,科大讯飞股份有限公司,5-10年,本科,"人工智能,上市企业,双休","技能要求：IOS，手机开发岗位职责：1、根据需求进行IOS系统移动端APP的设计与开发，参与项目的需求分析、产品设计、应用模块的开发和维护；2、基于公司的产品设计,根据策划运营提出的需求,进行ios版本应用的实现；3、独立完成ios软件开发、验证和修正测试中发现的问题。任职要求：1、本科及以上学历，计算机及相关专业，具有两年以上iOS平台开发经验；2、熟悉iOS开发技术，能够独立完成开发，解决验证和修正测试中发现的问题；3、熟悉软件开发流程,熟悉iPhone/iPad/Mac应用开发流程；4、具备扎实的C/C++、Objective-C编程基础及良好的编程习惯；5、熟悉HTML5CSS3，熟悉webService、HTTP协议开发，交互，即时通讯等技术；6、有一定的架构设计能力，良好的编码能力，编写文档能力；7、具备良好的沟通协调能力团队协作能力。","移动互联网,数据服务",2000人以上,ios,武汉
