job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级ios工程师,https://www.lagou.com/jobs/7211731.html,工业园区,20k-30k,苏州奖多多科技有限公司,5-10年,大专,双休 五险一金全额缴纳 年假15天,"岗位职责：1.根据业务和技术需求，进行ios平台应用程序开发, 并有能力承担部分管理工作2.负责移动端技术分析和设计工作，解决技术难题和技术攻关突破3.针对复杂业务进行架构和重构编码，设计有效的技术方案并推动提高业务交付效率4.通过输出解决方案和流程规则持续改进应用性能和工程质量和交付效率5.完成领导交代的其他任务。任职资格： 1.三年及以上ios实际开发经验2.熟练掌握ios应用开发和架构，熟悉平台API、网络/交互/存储/多线程/性能优化等开发内容3.有多个完整的ios项目经验，至少参加过一个完整的商业级手机应用开发项目4.良好的沟通能力，对业务类和技术类的需求委托有清晰的理解并通过技术促进业务发展5.有管理经验优先","移动互联网,消费生活",150-500人,ios,苏州
ios开发工程师,https://www.lagou.com/jobs/7132042.html,工业园区,5k-8k,苏州奖多多科技有限公司,应届毕业生,不限,双休 五险一金全额缴纳 年假15天,工作内容：1.完成开发组长安排的需求开发内容； 2.对代码进行文档管理； 3.负责单元测试的编写和小号上包； 任职要求：1.本科级以上，计算机、通信专业等相关专业； 2.了解objective-c语言和swift语言，了解xcode的使用； 3.有扎实的计算机专业基础，有实习经验的优先考虑。,"移动互联网,消费生活",150-500人,ios,苏州
ios开发工程师,https://www.lagou.com/jobs/7209970.html,工业园区,15k-25k,智慧芽信息科技（苏州）有限公司,3-5年,本科,管理偏平、老板NICE、上班不打卡,工作职责：1、 负责智慧芽视频APP产品的功能特性开发工作；2、探索各项跨平台技术，在App开发中落地方案，进行相关架构和规范建设；3、持续改进跨平台技术的效率、性能、安全性、稳定性和可扩展性；4、设计和建设相关脚手架、打包发布等配套工具平台。任职要求：1、本科及以上学历，3年及以上移动原生APP开发经验；2、深刻理解React Native/Flutter/Hybrid至少一种方案，对相应方案的性能/稳定性/交互体验/原生扩展/脚手架工具，具备优化和建设能力；3、精通JavaScript/Dart/CSS/HTML至少一种语言，有相应跨平台产品或Demo者优先；4、计算机相关知识基础扎实，有良好的工程代码规范，具备一定业务/架构设计能力；5、热爱移动大前端，思维敏捷，较强的自学能力，对新兴技术敏感，有实战项目经验。6、带过移动开发团队优先,移动互联网,150-500人,ios,苏州
Android/IOS开发工程师,https://www.lagou.com/jobs/6685561.html,工业园区,20k-40k,微软（中国）有限公司,不限,本科,职级开放，****,The Outlook Mobile team 1． mobile developer （IOS/Android），要求做mobile的简易的project test，考基础的算法和coding. 但是英语只要求读写，口语不做要求，当然口语好的话肯定更加积分。2．接受Web/Frontend Dev，Backend dev背景的的人选来做mobile的工作。不会去考project test，但是需要英语有较好的口语沟通能力。,"移动互联网,数据服务",2000人以上,ios,苏州
ios开发工程师,https://www.lagou.com/jobs/6618216.html,工业园区,10k-15k,苏州阿基米德网络科技有限公司,3-5年,本科,弹性工作不打卡 福利待遇优越,岗位职责：1、负责建立iOS智能平台客户端软件的开发框架；2、根据产品需求和开发规范，负责iOS客户端软件设计、编码和测试；3、负责在开发过程中相关的技术规范文档的编写工作；4、负责iOS App通用组件的开发和封装；5、负责相关前沿技术研究和产品预研，参与移动平台软件框架的研究，关键技术验证和选型等工作。任职要求：1、两年以上iOS开发经验，有APP实际作品；2、具备扎实的 Objective C、Swift基础，使用过Swift进行实际的开发工作；3、熟悉iOS开发中常用的第三方库4、熟悉SVN或Git等相关的代码管理工具；5、工作认真负责，有良好的组织纪律和团队合作精神，乐于分享，沟通能力好。6、加分项：熟悉Flutter或者React Native的使用,移动互联网,15-50人,ios,苏州
ios开发工程师,https://www.lagou.com/jobs/7181375.html,相城区,10k-15k,苏州博智电子科技有限公司,3-5年,本科,年终奖、项目奖金、不打卡、领导nice,"职位描述：1、负责公司APP的性能优化以及架构设计；2、负责公司APP在苹果设备上的适配、调试和功能开发；3、根据产品需求完成软件实现，并配合测试、运营等其他部门，提供产品相关技术支持；4、参与与服务器交互的设计，参与产品的讨论。岗位要求：1、本科学历以上，计算机科学或相关专业，3年以上APP开发经验；2、可以独立承担架构设计，独立负责iOS产品开发（有上架应用者优先）；3、熟悉Objectivec及Swift开发语言，iOS SDK ,Objective-C开发语言，熟练掌握Xcode等相关开发工具,熟悉c/c++，熟悉常见的设计模式和数据结构，熟练掌握多线程；4、对IOS的基础架构、组件、性能优化、内存优化有深刻了解；5、熟悉IOS平台网络开发，HTTP及Socket网络通讯、JSON解析等技术，熟悉数据加密方法；6、熟练掌握UI设计、布局和实现，具有屏幕适配和iOS系统兼容的经验，熟练掌握UI设计、自定义控件、storyboard和xib等；7、熟悉iOS的发布流程，熟悉使用svn、git等相关的代码管理工具；8、熟悉MVC，MVVM设计思想；9、熟悉各个版本IOS系统的特性能及时适配系统。10、熟悉iOS前端与后台通信机制、内存管理、JSON数据传输和http协议；11、对iOS下的多线程编程、网络编程、内存管理、GUI开发、消息通讯机制有深刻认识;12、精通IOS平台下的多线程开发，了解音视频相关开发;13、熟练掌握常用的第三方库，如SDWebImage、Masonry、MJRefresh、AFNetWorking等;14、有良好的数据结构及算法基础功底、熟悉多线程编程和网络编程；15、对新技术保持热情，具有良好的分析、解决问题的能力；基本信息：1、可在家办公，每周到公司2-3天，其余时间均可在家办公2、试用期：3个月，入职缴纳社保公积金3、年终奖","移动互联网,电商",15-50人,ios,苏州
高级iOS开发工程师,https://www.lagou.com/jobs/5705786.html,工业园区,15k-20k,苏州排忧网络技术有限责任公司,3-5年,不限,弹性工时，扁平化管理，自由舒适，五险一金,"[工作职责] 
 负责公司iOS移动端产品的研发，编写高质量的代码；
 配合苹果审核团队，具有良好的英文沟通技巧；
 和产品经理配合，深度参与产品需求讨论，功能定义等；
 根据开发过程中的体验对产品提出改进建议；
[职责要求] 
 两年以上 iOS 开发经验，有主导iOS应用开发及发布经验； 
 有强烈的求知欲和进取心，对新技术有持续的热情；
 有良好的交流沟通能力 。
 具有扎实的编程工底，良好的设计能力和编程习惯； 
 熟练掌握 Swift, 熟悉 iOS ； 
 能独立开发 iOS App ； 
 学习能力强，具有良好的团队合作精神。",移动互联网,15-50人,ios,苏州
iOS工程师,https://www.lagou.com/jobs/3402794.html,工业园区,8k-13k,苏州伊品众网络科技有限公司,1-3年,大专,五险一金，周末双休，带薪年假，年终奖,"岗位职责：1、主要负责 iOS应用程序的设计、开发工作2、基于公司的产品设计，根据需求，进行 iOS 版本应用的实现3、独立完成 iOS软件开发、验证和修正测试中发现的问题4、对iOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议 任职资格：1、熟悉 iOS 开发，能够独立完成 iOS 项目开发 2、熟练掌握 Objective-C 编程,具有扎实的 C/C++编程基础 3、熟练掌握 MRC&ARC 内存管理机制以及应用性能优化 4、熟练掌握网络处理,熟练使用 NSURLConnection&NSURLSession,熟练使用 AFN 等第三 方网络框架 5、熟练掌握 JSON&XML 数据解析和 GET/POST 数据请求等操作 6、熟练使用 SQLite 嵌入式数据库,进行常见的 CRUD 操作，熟练使用 CoreData 进行数 据存储，以及数据库表结构设计 7、熟练使用 GCD、NSOperation、NSThread 多线程编程 8、熟练掌握屏幕适配, 熟练使用 AutoLayout 页面布局 9、精通 KVC,KVO,通知等核心机制以及 MVC、代理、单例、观察者等设计模式 10、熟练使用 Instruments 工具对应用进行性能优化，熟悉 UITableView 的性能提升  11、熟练使用 cocoapods 管理第三方资源库，熟悉应用开发规范 12、熟悉应用上架流程，熟悉 App Store 应用审核规则 13、对数据结构、基本算法熟练掌握,并具备基本的算法设计能力 14、具有丰富的 BUG 调试经验和性能调优经验,熟练使用各种性能分析工具",移动互联网,15-50人,ios,苏州
iOS Software Engineer,https://www.lagou.com/jobs/7035732.html,工业园区,15k-25k,诺仕科技（苏州）有限公司,3-5年,本科,年底双薪 带薪年假 午餐补助 五险一金,"Minimum Qualifications-Bachelor’s degree in Computer Science, Information Systems or related field preferred, or equivalent experience with prior related work experience.-3 years’ of software development, programming and analytical experience-Ability to analyze requirements, provide feedback, create detailed design specifications, and perform required design work-Ability to analyze and recommend solutions to programming issues, defects and bugs as assigned or encountered-Ability to manage multiple priorities and meet deadlines in a fast paced environment with limited supervision-Experience integrating to hardware APIs / SDKs-Experience with git (GitLab especially)-Effective communications and interpersonal skills-Excellent organizational skills-Ability to maintain confidentiality-Ability to work independently, but with a team focus-Must be able to effectively communicate in English with remote team across time zonesRequired -iOS development experience using SWIFT-Experience building UI’s in Xcode and Interface Builder-Knowledge and demonstrable apps built on the current iOS platform-Strong understanding of multi-tier architecture, design patterns (MVC) and good engineering practices Functions-Work as a member of a globally distributed software development team-Write and maintain developer test suite of unit and integration tests-Work with QA and BA to ensure finished product meets all requirements-Deliver across the entire app life cycle –concept, design, build, deploy, test, release to app stores and support-Keep up to date on iOS industry trends and mobile technologies-Be able to communicate well with technical and non-technical members of the team-Participate in team code reviews to ensure quality is maintained","电商,金融",500-2000人,ios,苏州
Web/安卓/iOS苹果APP测试开发工程师,https://www.lagou.com/jobs/6760878.html,工业园区,10k-15k,龙测科技（北京）有限公司,1-3年,本科,福利待遇优、有丰厚奖金,描述：1. 负责写安卓/苹果APP的功能测试用例代码2. 执行与维护测试代码，并形成测试报告要求:1. 计算机或相关专业本科及以上学历2. 有写安卓/苹果APP测试代码半年到1年经验3. 熟悉至少一个测试框架如uiautomator，Robotium，Appium等4. 熟练掌握Java/Python开发语言工作认真负责能独立完成上级交付的任务,移动互联网,少于15人,ios,苏州
