job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java高级开发工程师,https://www.lagou.com/jobs/7219327.html,浦东新区,25k-35k,上海众旦信息科技有限公司,5-10年,本科,运营支撑，大数据量挑战,1.参与公司运营支撑系统需求分析和系统设计2.负责与产品沟通相关需求和技术方案输出3.需求任务拆解和工作分配管理4.领域核心功能代码设计和实现任职要求：1.7年及以上工作经验，java基础扎实，具备领域相关设计和研发经验2.负责域内开发计划排期以及任务拆解，指导组内低级别小伙伴的代码开发，组织小伙伴进行codeReview3.熟悉JVM原理及调优，熟练掌握spring-cloud、redis、rocketMQ等技术栈，4.对数据库的基本理论和内部实现机制有深刻的理解，能够熟练应用MySQL，有实际大数据量的数据库设计（数据库架构设计，水平分库分表）经验以及NOSQL设计经验5.有小团队（3人以上）管理经验优先考虑，能给团队做技术、经验分享，帮助组员成长与提高,电商,500-2000人,java,上海
Java开发工程师,https://www.lagou.com/jobs/7219328.html,徐汇区,14k-25k,武汉讯锡云科技有限公司,3-5年,大专,互联网 产品业务 医疗行业,技术栈：1、SpringBoot、Spring Cloud 或 Dubbo、MyBatis 或 Spring JPA2、MySQL、MongoDB、Redis、ES3、RocketMQ、RabbitMQ4、Jenkins、Maven、Git岗位职责：1、负责新一代互联网产品后端系统的设计与开发，保证系统可靠性，性能，可维护性；2、负责开发后端功能模块，编写设计文档，并与产品经理及前端开发配合；3、参与技术预研和技术重构，参与团队交流，为新功能提供前期准备；4、协助运营和其他技术人员解决线上问题；5、和小伙伴互相进行Code Review。岗位要求：1、 5年以上Java开发经验（至少年以上互联网或移动互联网开发经验）；医疗类、电商类项目经验优先。2、 熟悉Spring及常用的Web框架，如SpringMVC，Struts2；3、 熟悉MySQL数据库及MyBatis；4、 熟悉常用的NoSQL产品，如MongoDB，Redis，Memcache；5、 优秀的团队合作和沟通技能；6、 愿意接受挑战性的工作，能够主动高效及时完成工作，能够承受交大工作压力,"移动互联网,消费生活",150-500人,java,上海
java高级开发工程师,https://www.lagou.com/jobs/7219146.html,浦东新区,14k-20k,上海煜旺电子商务有限公司,3-5年,本科,下午茶，节日福利，旅游，打车报销,"0、请仔细阅读，**印象答不上来的不用投简历，实际工作经验，培训经验自动过滤1、java基础好，反射，集合，线程，日志，map,链表，异常，jvm，面向对象，常用的设计模式,java相关特性等2、spring框架，微服务相关，扩展，基础，aop，ioc，事务等3、mybatis试用，缓存，写法等4、熟悉oracle，sql优化，索引，表设计的理由5、做过多线程高并发项目，金融经验6、自己做的项目要很清楚流程，价值和自己做的模块有哪些突出的技术体现7、【毕业4年以上，本科学信网可查，双证齐全,工作地点在6号线北洋泾站，非诚勿扰】",电商、房产家居,150-500人,java,上海
Java开发工程师,https://www.lagou.com/jobs/7186504.html,杨浦区,30k-50k,青岛盛世创想信息科技有限公司,3-5年,本科,明星电商平台,福利待遇：高于市场的补贴和福利阿里/头条/腾讯的同事职责描述：1.负责移动应用的后台系统设计的迭代、开发、重构;2.编写代码实现产品功能，完成项目开发，撰写相关文档，参与需求分析;3.负责核心技术问题的攻关，架构设计、系统优化，协助解决项目开发过程中的技术难题;4.了解互联网的技术发展、评估外部技术与解决方案。职位要求：1. 3年以上Java及Java Web开发经验， 具有扎实的程序设计基本功，有志于从事技术工作，能够独立担当功能模块的设计开发；2. 理解Java常用设计模式，并且能够合理运用，基本技术特性，如Java数据结构，多线程编程，Java IO等3. 熟练使用Java常用框架和工具，如 Spring boot 、Spring Cloud、SpringMVC、Struts、Hibernate、Mybatis等4. 熟悉缓存Redis、Memcache/Couchbase，缓存设计和模式及其应用；5、熟悉数据库原理并熟练掌握相关优化方案，熟悉ORACLE、MySql数据库开发技术及相关工具，熟悉数据库设计，熟练掌握SQL语句；6、能在类Unix环境下熟练开发，掌握Java开发，Tomcat 配置、MySQL配置；有shell/python脚本开发能力更佳；7、好的沟通能力及团队合作精神，具备良好的理解能力和表达能力，能够承受一定工作压力；8、有移动互联网行业开发经验者优先。 PS：1.之前公司必须有一个是中大型企业，不接受一直在技术人员少于100人的公司。2.处理电商平台高并发，日活百万是最低要求3.负责后台功能的设计、开发及维护4.期望跳槽不要太频繁，5年最多接受2次跳槽，年龄26-33，有大厂经历可放宽要求,"移动互联网,电商",50-150人,java,上海
java开发工程师,https://www.lagou.com/jobs/6220537.html,浦东新区,14k-24k,奥解思信息科技（上海）有限公司,1-3年,本科,福利好，弹性工作制，培训机会多,1、2年以上Java开发经验，良好的基于Java系统设计和开发相关经验。2、本科及本科以上计算机相关专业3、熟悉JAVA(核心JAVA、多线程、Spring、Restful服务)4、熟悉Maven、GIT、Hudson、JUnit等类似技术。5、数据库- Oracle或具有SQL、PL/SQL编程经验。6、unix /Linux脚本编写技巧(Korn shell)7、具有Mongo DB经验，会Spark优先考虑8、有消息服务(JMS、Tibco EMS)和Websphere application server方面经验优先。9、英语优秀优先考虑。,金融,500-2000人,java,上海
高级java开发工程师,https://www.lagou.com/jobs/6097218.html,浦东新区,15k-30k,上海商涌网络科技有限公司,5-10年,本科,"学习成长快,团队氛围好,发展空间大",岗位职责：1、负责系统的架构设计、数据建模和核心代码的编写；2、能够指导初、中级研发工程师的工作，完成技术难点的功关，解决项目中遇到的技术难题；3、在负责处理本域事务的基础上，也能协调相关上下游域的事务；4、对外技术合作的沟通、接口的设计和主要代码的实现；5、线上系统的运维支持、排查和解决系统疑难问题；6、完成领导安排的其他开发与设计工作。任职资格:1、计算机软件或相关专业本科及以上学历，5年左右Java开发经验，具有扎实的Java编程功底和良好的编码规范及规范的文档编写习惯；*2、熟悉MySQL，有丰富的主从架构、读写离、分库分表设计和实际应用经验，能够根据业务设计出合理的方案，熟悉NoSQL、Redis、ZooKeeper使用优先；*3、熟悉Java语言开发，JAVA基础扎实，精通io、多线程、集合等基础框架，精通分布式、缓存、消息等机制；4、熟悉kafka、activemq等消息组件，以及消息中间件的使用场景，能够根据业务需求设计合理的使用方案；5、熟悉Dubbo、SpringCloud等微服务技术框架，了解微服务架构设计和技术实现；  6、具有高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；7、具有良好的沟通合作技巧、较强的责任心，能承受较大的工作压力；8、熟悉大流量、高并发、高性能的分布式系统的设计及应用，熟悉安全机制及性能调优。,"数据服务,人工智能",50-150人,java,上海
java工程师,https://www.lagou.com/jobs/5947381.html,浦东新区,10k-20k,上海商涌网络科技有限公司,3-5年,本科,"发展前景好,学习空间大,团队氛围好","工作职责:1、负责业务线及技术改造类项目的系统分析、设计、编码，与相关团队的协作、沟通2、负责线上稳定，线上问题独立定位、解决2、系统性能优化，持续提升系统在大规模分布式系统环境下高并发、海量请求数下的高处理性能3、解决各类潜在系统技术风险，保证系统的安全、稳定、快速运行任职资格:1、本科及以上学历，计算机相关专业优先2、有3年以上JAVA开发工作经验；有并发编程经验，扎实的Java编程基础；3、熟悉常用Java开源类库，熟悉设计模式，熟悉JVM，缓存，分布式架构等核心技术及原理；4、对各种开源的框架如Spring、ibatis、mq、redis等有深入的了解，对框架本身有过开发或重构者可优先考虑；5、熟练使用关系型数据库（MySQL/Oracle），有SQL优化和数据库调优经验者优先；6、熟悉常用的项目工具（如maven,git)，熟悉Linux    系统及常见命令，具备很好的问题分析和排查能力；7、积极主动，责任心强，能承受高度工作压力，具有良好的信息收集能力、归纳思维能力、团队协作意识强；有良好的软件工程知识和质量意识；","数据服务,人工智能",50-150人,java,上海
java开发工程师,https://www.lagou.com/jobs/6093903.html,徐汇区,10k-18k,上海唯都市场营销策划股份有限公司,3-5年,本科,500强企业项目，500强企业园区,"工作内容：1.负责知名品牌的网站，微信公众号、小程序及CRM系统的开发和运维2.理解业务需求，设计系统功能并实施3.负责公司内部开发框架的编写和完善工作任职要求：1.计算机及相关专业本科以上，3年以上Java开发经验2.JAVA基础扎实，精通io、多线程、集合等基础框架，熟悉常用的设计模式3.熟悉流行的开发框架：Spring MVC/struts2、Hibernate/Ibatis（myBatis）、Spring等4.对大型的分布式系统架构有很深入的理解，在SOA架构和应用架构上丰富经验，能够解决各种系统架构问题5.熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；擅长性能调优者优先6.熟悉RabbitMQ, Redis, ElasticSearch等流行技术框架工具者优先",广告营销,150-500人,java,上海
java技术专家,https://www.lagou.com/jobs/7219318.html,浦东新区,20k-30k,上海众旦信息科技有限公司,5-10年,不限,核心交易链路，高并发挑战,职责：1.支付相关应用系统模块设计和开发，按照项目计划独立完成编码功能实现2.相关系统维护，确保服务稳定运行3.开发过程中各相关文档的编写任职要求：1.5年及以上相关领域工作经验2.掌握基本设计模式，对系统架构有一定了解3.熟悉JVM原理及调优，熟练掌握spring-cloud、redis、rocketMQ等技术栈4.能够熟练应用MySQL，精通MySQL性能分析方法，并能进行合理优化5.良好沟通能力，善于学习，有强烈的学习欲望和学习能力，对技术有追求,电商,500-2000人,java,上海
Java工程师,https://www.lagou.com/jobs/6168541.html,闵行区,16k-25k,锋泾（中国）建材集团有限公司,5-10年,本科,五险一金，中秋春节福利，年终奖,"任职资格：1、至少五年以上Java开发经验，扎实的Java基础；2、熟悉敏捷开发，了解微服务架构并有实际开发经验，熟悉springboot、springcloud；3、熟悉redis、mongodb等，熟练掌握Oracle、MySQL等数据库，精通MyEclipse,IDEA等开发工具；4、对于Java开发的底层架构逻辑有比较深入的了解；5、对业务需求有深入的了解，能耐心研究复杂的业务逻辑。","电商,房产家居",500-2000人,java,上海
