job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/7175919.html,西城区,20k-35k,建信金融科技有限责任公司,5-10年,本科,五险二金，补充医疗、食堂、零食、领导好。,"一、岗位职责1、主要负责信用卡产品核心账务的设计开发工作；2、应用方案和功能模块的设计与程序开发、单元测试；3、与业务部门保持有效沟通，实现从业务向技术系统的转换承接。依据项目需求进行概要和详细设计，按时保质完成具体模块或特定任务的开发，并编写相关技术文档；4、支持项目测试，对测试中发现的问题进行及时的反馈、跟踪和修改。二、任职条件1、全日制大学本科及以上学历，3年以上工作经验，计算机及相关专业教育背景；2、具备较丰富的系统设计及开发经验，能够独立完成需求分析、系统设计、代码开发，能提供应用解决方案，具备对产品质量和系统性能进行持续优化的能力；3、扎实的java编程基础，熟悉JVM，包括内存模型、类加载机制以及性能优化；熟悉Java网络编程，了解Java并发编程；4、熟系Spring、Struts、MyBatis等主流的开发框架，掌握常用的设计模式，并具有实践应用经验；5、熟练掌握数据库Oracle或者MySql，能够熟练进行SQL编程。6、熟练掌握linux操作系统，熟练常用的linux命令,有实际的Linux运维开发经验；7、熟悉高性能、高并发设计方案，熟悉批处理文件数据处理，例如：海量数据处理,账务处理,报表处理等；熟悉高可用系统设计方案，如服务升降级、限流、主备切换等；8、具有高度的责任心，具有较强的适应能力和自学能力、良好的沟通协作能力，做事专心专注，能够独立分析和解决问题。?9、对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。10、具有银行信用卡相关开发设计经验者或具有大批量文件数据处理研发经验优先。ps:基本条件补充说明1、最高学历学校为985或211院校，或计算机类强校（仅限计算机类、软件工程类专业）。2、最高学历为硕士及以上的，本科院校须为全日制一本及以上院校；3、境外大学QS世界排名前500；4、社会招聘近5年跳槽次数少于3次（不含3次）。5、年龄原则上在35周岁及以下，表现特别突出者可酌情适当放宽年龄限制。","金融,软件开发",2000人以上,java,北京
java开发工程师,https://www.lagou.com/jobs/7048569.html,朝阳区,15k-25k,一城一家网络科技有限公司,5-10年,本科,开放办公 大牛分享 无需融资,岗位职责：1、 参与需求评审，系统概要设计，并负责完成核心代码；2、 根据开发规范和流程独立完成核心模块的设计和编码；3、 负责所辖系统的线上维护工作；4、 完成模块单元测试代码编写；5、 技术分享，新技术研究；任职要求：1、 本科以上学历，计算机相关专业，4年以上java开发经验，平均每家公司任职至少两年；2、 Java基础扎实，精通IO、多线程、集合等基础框架，了解JVM模型及原理；3、 熟练应用spring/springmvc/springboot/springcloud/Mybatis/dubbo等开源框架，并对其核心思想、实现原理有一定认知；4、 熟悉系统常用设计模式；5、 熟悉常用的数据库软件（Mysql/Oracle）的原理及使用，对数据库优化有一定经验；6、 熟悉分布式、缓存、消息、搜索、负载均衡等机制和实现7、 熟悉Linux下常用命令；8、 思路清晰、善于思考，具备独立分析及解决问题能力；9、 学习能力强、责任心强、有良好的沟通能力，能接受较大的工作强度；10、  有大型互联网系统设计和研发经验者优先。,"移动互联网,消费生活",2000人以上,java,北京
java,https://www.lagou.com/jobs/6936162.html,西城区,25k-50k,网联清算有限公司,5-10年,本科,金融业务,职责描述：1、参与业务需求评审；2、参与系统架构，包括相关方案的设计和评审工作；3、进行网联交易/对账/差错/清算系统的代码开发及性能优化；4、指导其他开发人员提升代码质量；5、负责系统的生产变更和故障分析等；任职要求：1、具有5年以上的金融支付研发经验；2、精通io、多线程、集合等基础框架，能熟练使用spring、mybatis、dubbo等技术；3、具备分布式系统开发经验，深入理解RPC通信框架、分布式事务、消息队列等技术；4、能熟练操作Linux系统、mysql数据库等；5、有账务、结算、清算、支付、收费等系统经验者优先；6、能承受一定的工作压力，有责任心、上进心，具备良好的自学能力和独立解决问题能力,金融,150-500人,java,北京
Java开发工程师,https://www.lagou.com/jobs/5145572.html,海淀区,12k-20k,上海文景信息科技有限公司,3-5年,本科,朝阳产业，牛人多，***项目,岗位职责：1、根据软件设计文档进行程序编码；2、负责执行软件模块测试及集成测试等；3、配合测试人员对产品进行测试；4、建设内部知识库体系；5、完成上级领导交办的其他工作；6、发展方向：高级软件工程师、项目经理、系统架构师。 技术要求：1、有Java WEB开发经验，计算机相关专业；2、JAVA基础扎实，熟练使用SSH、SpringMVC、MyBatis等主流框架，能编写高质量简洁清晰的代码；3、熟练使用Tomcat等web容器，熟悉Redis原理，有Tomcat集群、负载均衡工作经验更佳；4、熟练使用MySQL、Oracle等关系型数据库，能熟练编写和优化SQL语句；5、熟悉JS/JQuery等前端开发技术； 任职要求：1、大学本科及以上学历，计算机或相关专业；2、有扎实的软件基础知识，精通面向对象编程方式；3、严谨认真，责任心强，工作积极主动；4、有港口、航运或物流相关行业经验者优先；5、热爱技术，善于总结，良好的团队合作精神，良好的沟通能力和认真负责的工作态度。,"移动互联网,其他",50-150人,java,北京
高级Java开发工程师,https://www.lagou.com/jobs/4451664.html,朝阳区,25k-35k,天津五八驾考信息技术有限公司,5-10年,本科,"班车,免费下午茶,五险一金,弹性工作制","岗位职责1、对产品需求分析和设计、以及接口间的设计和开发等技术工作2、负责saas驾校管理系统职位要求1、5年以上Java开发经验，熟悉Spring框架2、有数据库设计经验，熟悉MySQL，有SQL优化经验3、有服务器端缓存系统经验，Memcached、Redis等4、有Linux服务器使用经验5、有手机端应用接口开发经验优先6、有驾校管理系统经验优先7、国家统招本科及以上学历（985、211优先）我们的福利： 1.每月团建一次吃饭K歌, 团队氛围没的说； 2.高大上的办公环境，健身房、咖啡厅、睡眠室、下午茶、晚间零食免费提供； 3.5-10天带薪年假； 4.五险一金；  我们提供给你什么样的平台：1.自由发挥的空间，只要你有想法，只要你有能力，薪资、发展神马的都是浮云！2.直呼其名的团队氛围，领导nice，逢年过节红包满天飞~3.创业公司的激情，年轻团队的朝气与活力，我们虚位以待――就等你了！！",移动互联网,150-500人,java,北京
JAVA,https://www.lagou.com/jobs/6807272.html,朝阳区,25k-35k,四川伊澳农业科技有限公司,3-5年,本科,美女多，上市公司，注重互联网，福利优厚,"1、负责公司商业系统的研发工作，并不断满足业务的变化和用户的需求2、沟通项目需求，从技术角度评估需求的合理性，评估项目开销(人力、周期、风险、预算等)及可行性，评估技术方案的合理性3、负责项目的计划制定、进度控制、风险控制、项目总结与汇报等相关工作4、确保线上服务的稳定性和架构合理性5、对疑难技术问题提供有效解决方法并主导完成实施6、负责核心模块的设计开发7、负责与其他相关团队(产品、测试、运维等)的沟通配合与协调工作任职要求：1、本科或以上学历，计算机相关专业，热爱互联网2、具有3年以上Java研发经验3、可以熟练编写SQL语句和进行数据库优化 ,同时了解nosql系统4、有较强的责任感、有强烈的进取心、有较强的抗压力和沟通能力5、有大规模项目架构设计经验者优先6、大流量高并发Web开发经验者优先","移动互联网,电商",2000人以上,java,北京
高级java开发工程师,https://www.lagou.com/jobs/6966017.html,海淀区,20k-40k,北京世纪好未来教育科技有限公司,3-5年,本科,上市公司、年底奖金,工作职责负责英语在线服务端的架构改进、完善、性能优化、保证系统稳定性；参与技术决策，技术选型、技术架构和技术风险评估；负责系统及相关产品需求分析及架构设计；负责解决项目中的关键问题和技术难题，协助中级工程师对线上疑难问题进行排查和解决，并给出恰当的指导和改进意见；负责基础类库、核心代码开发、系统优化等工作；职位要求本科及以上学历，计算机相关专业，3年以上系统研发工作经验；独立承担超过2年以上的软件项目系统分析和架构设计经验，有相关系统软件架构设计经验；熟悉JAVA体系架构，精通主流的开源框架；了解最新的技术及发展趋向，有大局观念；熟悉缓存技术和分布式系统理论，有相关项目实战经验；较强的文档撰写能力，良好的语言表达及沟通能力；逻辑思维能力、逻辑分析能力、学习能力和创新能力强，具有团队合作精神；有大数据量、高并发、高可用系统的设计开发经验优先；具有较强产品意识者优先；具有大/中型互联网公司工作经验者优先；,教育,2000人以上,java,北京
高级java开发工程师,https://www.lagou.com/jobs/6818563.html,西城区,20k-40k,网联清算有限公司,3-5年,本科,发展前景,职责描述：1、参与业务需求评审；2、参与系统架构，包括相关方案的设计和评审工作；3、进行网联交易/对账/差错/清算系统的代码开发及性能优化；4、指导其他开发人员提升代码质量；5、负责系统的生产变更和故障分析等；任职要求：1、具有3-5年的支付研发经验优先；2、精通io、多线程、集合等基础框架，能熟练使用spring、mybatis、dubbo等技术；3、具备分布式系统开发经验，深入理解RPC通信框架、分布式事务、消息队列等技术；4、能熟练操作Linux系统、mysql数据库等；5、有账务、结算、清算、支付、收费等系统经验者优先；6、能承受一定的工作压力，有责任心、上进心，具备良好的自学能力和独立解决问题能力；,金融,150-500人,java,北京
java高级开发工程师,https://www.lagou.com/jobs/7046165.html,海淀区,26k-36k,海尔集团,5-10年,本科,物联网平台前景好、薪资福利好、项目激励高,岗位职责：1.配合架构师进行AIoT PAAS平台架构设计2.负责核心代码实现以及指导中级、初级工程师完成开发任务，负责代码的编写与检查3.帮助团队其他成员解决技术问题，参与代码Review工作4.参与技术难点的攻关工作岗位要求：1.JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；2.5年及以上使用JAVA开发的经验，对于用过的开源框架，能了解到它的原理和机制；3.对spring，mybatis，kafka，spark，elasticsearch等开源框架熟悉者优先； 4.熟悉分布式系统的设计和应用，能对分布式常用技术进行合理应用，解决问题；5.掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先；6.学习能力强，适应能力好；具备耐心细心的品质；7.我们希望你喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队,"物联网,电商",2000人以上,java,北京
高级Java开发工程师,https://www.lagou.com/jobs/6980684.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,不限,本科,技术大牛多 团队氛围好,"职位描述：1、参与快手核心产品需求的开发，深入发掘和分析业务需求，撰写技术方案和系统设计，以及相关的代码开发；2、接受高并发、海量数据的挑战，分析和发现系统的优化点，负责推动系统的性能和可用性的提升； 3、为团队引入创新的技术、创新的解决方案，用创新的思路解决问题。   任职要求：1、三年以上Java开发经验，有扎实的计算机基础知识和编程功底；2、精通多线程编程，熟悉JVM，熟悉常见的开源分布式中间件、缓存、消息队列等，熟悉MySQL，熟悉Linux下的DevOps；3、熟悉面向对象设计，有一定的系统架构设计能力；4、热爱技术，对代码质量和开发规范有近乎苛刻的要求，善于沟通与团队协作；5、有大型分布式、高并发、高负载、高可用性系统设计和稳定性经验优先。""",文娱丨内容,2000人以上,java,北京
