job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java开发工程师,https://www.lagou.com/jobs/7031791.html,浦口区,9k-12k,宁夏博信通科技有限公司,1-3年,本科,五险一金 周末双休 节日福利 季度团建,工作内容1. 负责火瞳业务和智慧政务后端业务开发2. 可以独立负责某业务模块，并在迭代过程不断优化3. 参与系统的整体架构设计、数据库设计等4. 参与生产环境问题的定位和解决任职要求1. 三年以上工作经验2. 熟悉java语言，拥有较好的基础知识3. 熟悉MySQL数据库、Redis数据库的常用操作4. 熟练使用Spring、git、Maven等项目构建和管理工具5. 熟悉spring boot、spring cloud 优先6. 有责任心，有担当，有一定抗压能力者优先,"企业服务,信息安全",2000人以上,java,南京
java开发工程师,https://www.lagou.com/jobs/7212209.html,雨花台区,10k-20k,深圳市一应科技有限公司,3-5年,不限,六险一金 技术大牛 福利多多,"java开发工程师岗位职责1、根据开发进度和任务分配，承担开发工作； 2、根据设计文档或需求说明以及代码规范完成代码编写，调试，测试和维护； 3、能够快速分析并解决开发过程中的问题；4、现有项目的维护。任职要求1、三年以上软件开发工作经验，有大型项目开发实施经验； 2、有物联网、智慧城市或其他传统数字化转型等项目开发经验优先； 3、java基础扎实，较强的分析设计能力，扎实的编程基础； 4、熟悉J2EE、熟练使用SpringMVC、MyBatis、SrpingBoot，Spring Cloud进行开发；5、熟练使用MySQL、Oracle , SQL Server 等一种的数据库系统； 6、工作主动，具备良好学习、沟通能力及团队协作精神，对工作积极严谨，勇于承担压力。有独立完成项目核心模块开发者优先",物联网、数据服务,150-500人,java,南京
java开发工程师,https://www.lagou.com/jobs/7063143.html,雨花台区,11k-22k,华为技术有限公司,3-5年,本科,薪资优厚,岗位名称：软件开发工程师工作年限：1年以上  学历：统招本科及以上   薪资11K以上   工作地：南京岗位职能：java 【工作职责】1、负责解决方案的设计、开发等工作 2、负责项目开发过程中的技术攻关及运行中出现的技术问题； 3、负责产品核心模块的代码编写； 4、负责产品疑难问题的分析和定位； 业务技能要求： 1、掌握Java，了解相关语言主流框架；熟悉主流的数据库； 2、熟悉Spring、mybatis等架构开发； 3、1年以上开发经验。 专业知识要求： 熟练掌握操作系统、数据库、编程语言、网络协议、网络安全、虚拟化、、网络安全、软件工程、CMMI/敏捷等基础知识和基本概念。,通讯电子,2000人以上,java,南京
Java开发工程师,https://www.lagou.com/jobs/6907962.html,建邺区,15k-25k,紫金财产保险股份有限公司,3-5年,硕士,国企，福利，互联网金融转型期,1.有3年以上Java应用开发经验，精通Java语言及J2EE平台特性，熟悉常用的设计模式和开源框架；2.具有基于spring cloud/spring boot的微服务架构经验，熟悉高并发；3.精通分布式架构、高并发架构设计；4.精通微服务架构或容器技术架构设计，并从事过应用容器化和微服务化改造并具有应用编排经验；5.熟悉业界常用的微服务架构，熟悉如dubbo、thrift、grpc等开源代码项目；6.熟悉分布式系统常用技术，如缓存（Redis）、消息中间件(Kafka)、搜索引擎(elasticsearch)等；7.有大并发系统架构设计、运营、jvm调优经验者优先；,金融,2000人以上,java,南京
Java开发工程师--中级,https://www.lagou.com/jobs/5630488.html,雨花台区,10k-16k,南京转换宝网络科技有限公司,3-5年,大专,扁平管理、氛围轻松、牛人团队、提供午餐,岗位职责：1、根据用户需求进行业务需求分析和软件概要设计。2、独立进行软件详细设计和编码实现，确保性能、质量和安全。3、维护和升级现有软件产品，快速定位并修复现有软件缺陷，对产品发展提供帮助。4、能够比较前瞻性的考虑业务需求、系统现状以及问题，对系统的发展进行规划并推进实施。5、和产品经理一起讨论需求，能够深刻理解业务，并对需求进行分析、设计和开发工作。任职要求：1、三年以上工作经验，有一般项目的全流程掌控能力，乐于沟通，能够和不同岗位角色进行协作。2、熟悉web研发相关技术，能够和团队成员一起完成项目的需求分析、架构设计、代码开发，测试和发布。3、熟悉Java EE平台相关技术生态，熟练掌握JVM。至少了解一种前端技术：安卓/ios/web/桌面应用，能够理解前端的基本原理。4、深入理解和掌握SpringBoot/Mysql/Redis，并有实操经验。5、熟悉RESTful风格。6、熟悉高并发、多线程、高可用系统的开发。7、对技术方案具备良好的描述能力，良好的文档编写能力，能够将自己的所思所想表达清楚。8、具备新技术的快速学习和预研评估能力，有技术追求，热爱技术挑战。能够较为准确的评估出项目的开发周期，并按时交付。9、具备一定的产品思维，理解业务需求，能够配合产品经理和项目经理的工作。10、热爱学习，热衷分享，愿意通过共同学习和培训，提升整个团队的整体水平。11、有GIT，博客，公众号者优先。12、有过创业或参与创业经历者优先。,"移动互联网,广告营销",50-150人,java,南京
Java开发工程师--高级,https://www.lagou.com/jobs/7168292.html,雨花台区,15k-25k,南京转换宝网络科技有限公司,5-10年,本科,氛围轻松、牛人团队、提供午餐、扁平管理,岗位职责：1、负责公司产品的后端开发和维护，把握质量和性能；2、负责公司产品后端架构的改进和优化，确保后端服务稳定、可靠、高效；能够比较前瞻性的考虑业务需求、系统现状以及问题，对系统的发展进行规划并推进实施；3、主导后端前沿技术的探索。任职要求：1、五年以上工作经验，有复杂项目的全流程掌控能力，善于沟通，能够和不同岗位角色进行协作。2、精通web研发相关技术，能从架构和原理上把握web应用开发各种前后台技术，具备复杂场景的系统设计能力。能够带领团队成员完成项目的需求分析、架构设计、代码开发，测试和发布。3、熟悉Java EE平台相关技术生态，熟练掌握JVM优化。至少熟悉一种前端技术：安卓/ios/web/桌面应用，能够理解前端的基本原理。4、深入理解和掌握SpringBoot/Postgresql/Mysql/Redis/Docker/K8S/ES，并有实操经验。5、精通RESTful风格，熟悉设计模式，熟悉微服务的设计原理并有实操经验。6、精通高并发、多线程、高可用系统的设计和优化。7、对技术架构具备良好的描述能力，良好的文档编写能力，能够将自己的所思所想表达清楚。8、具备新技术的快速学习和预研评估能力，有技术追求，热爱技术挑战。能够较为准确的评估出项目的开发周期，并按时交付。9、具备较好的产品思维，理解业务需求，能够配合产品经理和项目经理的工作。10、热爱学习，热衷分享，愿意通过共同学习和培训，提升整个团队的整体水平。11、有GIT，博客，公众号者优先。12、有过创业或参与创业经历者优先。,"移动互联网,广告营销",50-150人,java,南京
java开发工程师,https://www.lagou.com/jobs/6200846.html,雨花台区,12k-18k,众能联合数字技术有限公司,3-5年,本科,独角兽企业、发展平台、竞争力薪酬,"岗位职责：1、和产品、测试、运营进行密切沟通，根据需求提出合理技术方案；2、承担众能互联网平台后端的技术设计、开发、维护等工作，核心功能代码编写，重点项目架构设计开发；3、独立完成众能后台的CRM、ERP、HRM等系统的技术设计和关键模块的开发工作，保证其准确、稳定的运行；4、深入理解业务，分析和发现系统的优化点，负责推动产品性能和架构优化；5、新人指导、培训及Code Review，主导技术难题攻关，提升团队整体技术水平；任职条件:（1）教育与培训计算机、通信等相关专业本科及以上学历；优秀的工作背景学历可放宽至大专；（2）经验3年及以上的Java后端开发经历。（3）工作技能1、踏实诚恳、责任心强，能接受较大的工作强度，具备良好的沟通能力和学习能力。2、精通Java并有较全的知识面，精通Servlet、Spring、Hibernate、iBatis、Velocity开发，对SOA模式有深入理解，对虚拟机及Linux下的开发环境有较深厚的开发经验；3、熟悉redis, mysql等常见开源数据库,并对其架构和实现机制有一定的了解。熟练MySQL，对数据库有较强的设计能力，熟悉数据库优化及SQL优化，同时熟悉大数据相关技术；4、熟练使用至少一种NOSQL(Redis/Memcache/MongoDB等)，理解其使用场景和限制；5、熟悉部分NIO框架（如Netty）、RPC调用框架(如Thrift)、消息队列框架(RabbitMQ/Kafka等)，了解分布式协调服务 Zookeeper者优先；6、熟悉Maven项目配置管理工具，熟悉Tomcat、Jboss等应用服务器，熟悉高并发处下的性能优化；7、热爱技术，热爱学习，关注技术发展的新动向。对编程开发有丰富的经验，有GitHub开源项目是**加分项。（4）态度有创业能力和精神，有团队精神，有很强的学习能力和思考能力。","移动互联网,企业服务",500-2000人,java,南京
java高级开发工程师,https://www.lagou.com/jobs/5497874.html,雨花台区,18k-30k,众能联合数字技术有限公司,5-10年,本科,独角兽企业、发展平台、竞争力薪酬,"岗位职责：1、和产品、测试、运营进行密切沟通，根据需求提出合理技术方案；2、承担众能互联网平台后端的技术设计、开发、维护等工作，核心功能代码编写，重点项目架构设计开发；3、独立完成众能后台的CRM、ERP、HRM等系统的技术设计和关键模块的开发工作，保证其准确、稳定的运行；4、深入理解业务，分析和发现系统的优化点，负责推动产品性能和架构优化；5、新人指导、培训及Code Review，主导技术难题攻关，提升团队整体技术水平；任职条件:1、计算机、通信等相关专业统招本科及以上学历;2、两年及以上的Java后端开发经历。（211及985计算机及相关专业本科及以上应届生学习成绩优异或者项目经验丰富者亦可考虑）;3、踏实诚恳、责任心强，能接受较大的工作强度，具备良好的沟通能力和学习能力;4、熟练使用spring、spring mvc、spring boot等常用web框架，有spring cloud等微服务框架使用经历者优先;5、熟悉redis, mysql等常见开源数据库,并对其架构和实现机制有一定的了解。熟练MySQL，对数据库有较强的设计能力，熟悉数据库优化及SQL优化，同时熟悉大数据相关技术；6、熟练使用至少一种NOSQL(Redis/Memcache/MongoDB等)，理解其使用场景和限制；7、熟悉部分NIO框架（如Netty）、RPC调用框架(如Thrift)、消息队列框架(RabbitMQ/Kafka等)，了解分布式协调服务 Zookeeper者优先；8、熟悉Maven项目配置管理工具，熟悉Tomcat、Jboss等应用服务器，熟悉高并发处下的性能优化；8、热爱技术，热爱学习，关注技术发展的新动向。对编程开发有丰富的经验，有GitHub开源项目是**加分项;9、有创业能力和精神，有团队精神，有很强的学习能力和思考能力。","移动互联网,企业服务",500-2000人,java,南京
高级JAVA开发工程师,https://www.lagou.com/jobs/6523452.html,玄武区,10k-20k,同程网络科技股份有限公司,3-5年,不限,节日福利、丰厚年终奖、通讯补贴、商业保险,岗位职责：1、参与系统的需求调研和需求分析，负责和产品一起讨论项目的可行性方案；2、根据业务与架构设计，完成功能模块架构设计和数据库设计，以及部分代码的编写工作；3、负责系统的性能优化、稳定性建设；4、负责客运供应链业务需求开发、客运资源接入、业务供应链差异化数据处理、清洗、标准数据资源输出给业务端使用等相关研发工作。任职要求：1、3年及以上java 互联网项目开发经验；2、java基础扎实，编码规范，程序具备较高的健壮性，熟悉常用设计模式；3、掌握Linux环境下的网络编程、多线程编程，数据结构和算法能力良好；4、熟练MySQL、Redis、Memcached等数据存储系统；5、熟悉MVC、RPC等相关技术，例如：Spring MVC、Spring、MyBatis、Spring Boot 等；6、熟悉高并发架构、分布式架构、以及NoSql、消息等相关开发，并有一定的理解；7、具备较好的业务架构设计能力，能够深刻把握业务需求，抽象成系统设计；8、具有高度的责任心、勇于承担责任，能承受较强的工作压力，并能够带领团队完成项目；9、积极主动，敢于接受挑战，有较强的团队合作精神；10、有海量数据存储经验、高并发数据处理经验者优先考虑。,旅游,2000人以上,java,南京
高级Java开发工程师,https://www.lagou.com/jobs/4144270.html,栖霞区,20k-40k,南京浦和数据有限公司,5-10年,本科,"薪酬优渥,带薪年假,法定节假,专注技术",工作内容：1、负责业务系统需求分析、数据库设计、后端开发；2、 负责核心业务的技术方案设计与评审;3、负责生产环境维护，现有平台疑难问题定位，优化；4. 根据业务需求进行功能模块设计及编码实现。必备技能：1、至少精通Oracle/SQLServer/MySQL数据库的一种，熟练使用sql语言，熟悉数据库应用开发；2、精通JAVA语言，熟悉 JVM 运行机制；3、熟悉spring cloud 微服务架构，对开源的分布式框架有深入的了解；4、了解基础的数据结构、算法知识；5、熟悉Docker容器，对容器技术有所了解；6、具有良好的沟通能力、团队协作能力，遇事积极主动的解决。加分技能：1、熟悉DevOps开发流程；2、熟悉软件技术文档的编写，具备良好的文档编辑习惯和代码书写规范；3、了解大数据方面的相关知识。,数据服务,50-150人,java,南京
