job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/6697230.html,鄞州区,6k-10k,宁波博威合金材料股份有限公司,3-5年,大专,1、重视IT发展。2、平台大，项目多,岗位职责： 1、负责根据财务管理要求及管理流程，通过信息系统的设计、应用及推进，固化管理要求及管理流程；根据变更要求进行系统的流程、配置维护，确保信息系统与管理要求相符； 2、负责对信息系统的执行及操作要求，建立标准化文档并动态维护，确保其最新及有效；并对信息系统的执行及操作要求进行宣贯、培训、落实推进，确保执行与要求相符； 3、负责对信息系统设计、配置文档进行整理，形成完备的过程资料； 4、负责对信息系统的操作及应用质量进行监控，针对发现的问题，组织相关部门进行检讨分析，并对落实情况进行跟踪监督，以提升信息系统应用效果； 任职要求： 1、精通java开发语言，大专及以上学历； 有HR或OA系统开发经验优先。2、2年以上软件开发工作经验，3个项目及以上开发经历优先。,硬件,2000人以上,java,宁波
Java开发（外派宁波银行）,https://www.lagou.com/jobs/4991193.html,鄞州区,8k-12k,浙江网新恒天软件有限公司,3-5年,本科,"银行项目,Java,后端开发",Requirements：1.本科或以上学历，计算机或相关专业，3年以上Java开发实际项目经验；2.精通java 语言，熟练掌握面向对象设计方法，理解设计模式；3.熟悉Spring、JPA、JSP/Servlet、JavaScript、Html、CSS、XML等语言工具和开发技术；4.至少掌握Oracle、MySql、DB2中至少一种数据库管理系统的开发技术并有开发经验；5.有金融行业开发经验者优先，有做过结售汇系统的优先；6.具有良好的团队精神和沟通能力，学习能力强。,软件开发,2000人以上,java,宁波
Java研发工程师（宁波）,https://www.lagou.com/jobs/5739663.html,鄞州区,8k-15k,浙江乐檬信息技术有限公司,1-3年,本科,"上升空间,五险一金,做事靠谱,福利好",、负责乐檬相关系统的的架构设计、技术选型、服务端开发和技术路线规划等。2、根据产品经理提交需求，合理安排开发计划。3、负责系统架构和核心功能模块的开发。4、解决开发实施中遇到的技术问题。5、乐于分享技术、指导新人，提高整个团队的技术水品。保持积极、负责的工作态度面对各种日常工作，对团队充满正能量、对项目充满强自驱力。任职要求：1、精通Java编程语言；精通Spring Frawework；精通Hibernate或MyBatis其中一种Java ORM框架；精通MSSQL、MySQL、Oracle、PostgreSQL其中一种关系数据库，精通掌握Redis、MangoGo等其中一种NoSQL；2、数学、物理理或计算机相关专业，本科（含）以上学历；通过大学英语CET-4，不借助工具能够直接阅读英文技术文档；3、如期完成计划开发任务。4、211、985等重点大学本科应届生亦可薪资待遇：固定工资（8K-15K）+绩效奖金，工作满6个月参与季度绩效考核，年底13薪，专项奖另计，预期全年税前13-17薪+，年收入10万-20万+；有学习成长能者每年年收入涨幅15%以上。工作时间：9：00---18：00 单双休，单休周周六上午团队周例会和学习分享，下午团建活动。,"企业服务,消费生活",50-150人,java,宁波
java开发工程师（宁波）,https://www.lagou.com/jobs/7005224.html,鄞州区,10k-18k,维恩贝特科技有限公司,3-5年,本科,年度体检 定期旅游 年终奖金,岗位职责：1.负责项目设计，进行系统框架及核心模块的详细设计，编写文档以实施软件文档计划；2.参与组织用户需求调研、需求评审讨论、分析、整理形成需求报告；3.参与软件架构设计，负责系统分析、模块设计和关键编程任务，并指导下级人员的工作，确保开发的进度和质量。4.对所负责的模块或程序进行严格的综合测试，进行软件故障的诊断、定位、分析和调试，以实施产品测试方案。任职要求:1、本科以上学历（学信网可查），3年或以上java开发经验；2、熟练掌握db2或者oracle，能熟练进行编程；3、了解UNIX，linux；4、熟练掌握JAVA、Eclipse计算机语言及开发工具与技术；5、掌握HTML、CSS、DIV、XML、JavaScript语言；6、掌握J2EE开发技术（Spring、Hibernate、Ibatis、Struts4、WebSphere、Jboss、Tomcat ） ；7、具备良好的学习能力，思维敏捷；良好的沟通能力以及团队合作精神；8、有银行项目开发经验者优先考虑。,电商,500-2000人,java,宁波
中级JAVA工程师,https://www.lagou.com/jobs/6491548.html,鄞州区,15k-25k,宁波小遛共享信息科技有限公司,3-5年,大专,"薪资待遇高,工作氛围好","职责：1. 能够独立承担单块业务功能的开发工作2. 在高级工程师或者架构师的带领下完成部分核心组件的开发3. 与前端配合完成接口对接，完成系统的开发和维护4. 与测试协作修复发现的问题5. 参与方案的讨论，技术研究和难题的攻关要求：1. 计算机或相关专业本科以上学历，3年以上JAVA开发工作经验；2. 精通java语言，代码编写规范，编程基础扎实，逻辑思维能力强；3. 深入理解设计模式，熟悉常见的数据结构和算法；4. 有分布式系统开发设计经验，熟悉spring、spring boot, spring cloud,dubbo等开源框架；5. 熟悉mysql数据库，redis等开发与优化；6. 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。","移动互联网,硬件",500-2000人,java,宁波
java项目经理（统招本科）,https://www.lagou.com/jobs/6978578.html,鄞州区,15k-20k,中信网络科技股份有限公司,5-10年,本科,全额公积金、年底双薪、旅游、带薪假,"岗位职责1.项目实施实行项目经理负责制，项目经理负责项目整个实施过程；2.项目的范围、进度、成本控制；3.项目的风险控制；4.撰写项目相关文档；5.与客户的有效沟通；6.负责项目实施过程中的实施记录和备案。任职要求1．本科及以上学历，计算机相关专业；2． 4年以上 Java 开发经验；精通 java 编程语言。3．熟练掌握SpringBoot，Spring Data JPA，Hibernate。4. 有银行项目开发经验优先考虑。5. 有项目管理经验。中信网络科技股份有限公司是中信集团子公司，于2001年在北京正式成立，是北京市认定的软件企业和高新技术企业，并通过系统集成贰级认证和ISO9001国际质量体系认证。公司业务主要涵盖应用软件开发、系统集成、IT服务和IT咨询服务，已为许多大、中型客户提供了市场领先的IT解决方案。 公司业务主要涵盖应用软件开发、系统集成、IT服务和IT咨询服务。       目前，中信网络科技已经为许多大、中型客户提供了相关的IT解决方案，并在一些主要行业取得了领先的市场地位，主要产品线有卡业务类、互联网金融类、风控业务类、移动互联网类和基础业务类。 服务领域以金融行业为主，涉及各大银行及政府大中型企业。 核心产品有金融IC卡业务平台、审计信息系统、人力资源管理信息系统、协同信息办公系统等。          中信网络科技以“诚信、创新、责任、协同、卓越”为核心价值观，诚信是我们的立足之本，创新是我们的发展之源，责任是我们的坚定之心，协同是我们的凝聚之钥、卓越是我们的追求之路。       中信网络科技始终致力于为中国金融机构、政府、大中型企业信息化建设提供领先的应用软件产品和专业化服务, 打造金融IT行业一流品牌，成为客户可信赖的合作伙伴、提供员工发展的舞台、为股东创造价值。",金融,500-2000人,java,宁波
高级java开发工程师（骑行平台）,https://www.lagou.com/jobs/7202512.html,鄞州区,20k-25k,宁波小遛共享信息科技有限公司,5-10年,大专,"薪资待遇高,工作氛围好","高级JAVA：职责：1. 在架构师的带领下完成核心功能设计2. 承担大部分核心功能的开发工作3. 编写接口文档，完成与三端的接口对接4. 与测试协作修复发现的问题5. 参与方案的讨论，技术研究和难题的攻关6. 配合架构演进的规划，持续重构优化现有系统要求：1. 计算机或相关专业本科以上学历，5年以上JAVA开发工作经验；2. 精通java语言，代码编写规范，编程基础扎实，逻辑思维能力强；3. 深入理解设计模式，熟悉常见的数据结构和算法；4. 有分布式系统开发设计经验，熟悉spring、spring boot, spring cloud,dubbo等开源框架；5. 熟悉mysql数据库，redis等开发与优化；6. 对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。7. 熟悉敏捷开发/有开源项目者优先","移动互联网,硬件",500-2000人,java,宁波
JAVA技术经理,https://www.lagou.com/jobs/6973431.html,鄞州区,15k-20k,中信网络科技股份有限公司,5-10年,本科,"午餐补贴,五险一金,年终奖，双休，年休假",职责描述：1.主持并带领团队参与公司项目的设计、研发、发布，确保项目的代码质量、按时完成率、用户满意度达到预计目标；2.确保所负责系统的持续稳定运行，牵头组织处理各类突发状况；任职要求1.本科及以上学历，计算机相关专业；5年以上 Java 开发经验；精通 java 编程语言。2.熟练掌握SpringBoot，Spring Data JPA，Hibernate。3.熟练使用和优化Mysql/Oracle、Redis/Memchache数据存储方案。4.熟练使用Nginx/Tomcat等开源中间件，maven、svn、IDEA等工具。5.熟悉基于SpringCloud+Euraka的微服务技术框架，了解Docker、RabbitMQ、Junit等相关技术。,金融,500-2000人,java,宁波
java开发工程师,https://www.lagou.com/jobs/6407545.html,鄞州区,8k-12k,浙江方糖科技有限公司,应届毕业生,本科,五险一金，年终奖金，节假日福利，员工活动,"岗位需求：1.2年以上Java软件开发经验，具有扎实的Java基础；2.精通主流开源应用框架，如Spring、Struts、ibatis、XML、JSON等开发技术；3.熟练Linux,Nginx, Tomcat,Jvm的配置与操作；4.熟悉分布式、缓存、消息、搜索等机制；5.熟悉Oracle、SQLServer、MySQL数据库开发；6.具有面向对象系统分析和设计经验、拥有良好的软件质量意识，熟悉重构及各种软件开发方法；7.良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题。","移动互联网,企业服务",50-150人,java,宁波
java开发工程师,https://www.lagou.com/jobs/7160216.html,鄞州区,10k-15k,浙江方糖科技有限公司,不限,不限,五险一金，年终奖金，节假日福利，员工活动,"职位描述：岗位需求：1.2年以上Java软件开发经验，具有扎实的Java基础；2.精通主流开源应用框架，如Spring、Struts、ibatis、XML、JSON等开发技术；3.熟练Linux,Nginx, Tomcat,Jvm的配置与操作；4.熟悉分布式、缓存、消息、搜索等机制；5.熟悉Oracle、SQLServer、MySQL数据库开发；6.具有面向对象系统分析和设计经验、拥有良好的软件质量意识，熟悉重构及各种软件开发方法；7.良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题。","移动互联网,企业服务",50-150人,java,宁波
