job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/7036390.html,盘龙区,6k-8k,云南数投科技有限公司,3-5年,本科,创业团队，公司扁平化，更多几乎,岗位职责：1.按照需求文档设计数据库表结构2.按照需求文档开发服务器后台逻辑3.为web前端和App开发服务器接口任职要求：1.大学本科毕业，3年以上相关工作经验。熟练使用Java开发服务器后台程序2.熟悉tomcat+spring mvc+mybatis开发3.熟悉mysql数据库4.2年以上相关开发经验5.熟悉微信公众号开发者优先,企业服务、数据服务,少于15人,java,昆明
java开发工程师,https://www.lagou.com/jobs/6917232.html,盘龙区,7k-13k,云南尊友科技有限公司,1-3年,大专,年终奖 周末双休 技术导向团队成长快,职位描述1.1年以上Java相关开发经验；2.精通Java开发语言，具有一定的J2EE应用项目开发经验；3.深刻理解面向对象技术、设计模式和数据库设计方法，并熟练掌握主流J2EE开源框架（如SpringMVC、Spring、Hibernate/MyBatis等）的原理和使用方法；4.熟悉MySQL或Oracle等常用的数据库系统的部署和配置优化方法，对数据库有较强的设计能力；5.熟悉主流J2EE应用服务器一种或以上（JBoss、Tomcat等）的部署和配置方法；6.熟悉与前端Web和H5数据交互；7.熟练掌握SCM工具（GIT或SVN）。公司介绍云南尊友科技有限公司成立于2014年，致力于为大型国企和政府单位提供信息化定制开发服务，以专业高效的优质服务深得用户信赖。,"企业服务,移动互联网",15-50人,java,昆明
中高级java,https://www.lagou.com/jobs/6494782.html,西山区,8k-14k,成都三泰铭品金融信息服务有限公司,3-5年,大专,重点培养，可往项目经理发展,岗位职责：1、参与公司项目的开发和实施工作；2、根据开发进度和任务分配，完成相应模块软件的设计、开发任务；3、能够与客户有效沟通，充分理解和整合客户需求，对项目可能遇到的困难进行预测、评估并做好应对方案。 岗位要求：1、大专及以上学历，具有4年以上的java web项目开发经验，能接受出差；2、具有扎实的Java开发经验，精通SpringMVC等主流技术框架，熟悉Spring、Struts2等技术；3、了解前端技术框架，能根据项目需求进行前后端模块开发；4、熟练应用tomcat、was、weblogic、mysql、oracle、sqlserver等；5、熟练使用Windows Server，能使用ssh等工具进行项目搭建部署；6、独立完成过项目建设开发、具备TO B端项目开发经验者优先。,"数据服务,金融",150-500人,java,昆明
java开发工程师,https://www.lagou.com/jobs/6832910.html,盘龙区,10k-15k,信息技术力量（成都）有限公司,3-5年,本科,福利待遇、发展前景,岗位职责：1. 参与软件技术框架设计以及搭建，以及技术难点攻克；2. 参与软件设计、完成软件部分功能设计；3. 开发关键代码，并指导中初级开发人员遵从设计、规范进行系统开发；4. 按照公司软件开发管理规范要求，编写软件开发说明文档；5、负责项目团队的技术指导以及系统技术方案制定；6、带领团队进行项目实施。任职要求：1、4年以上软件项目开发经验，做过team leader或者项目管理者，则更佳；2、熟练掌握SpringCloud，以及技术难点的攻克；3丶熟练掌握JAVA开发语言，对spring、VUE等开源框架有深入的了解，自己能够搭建SpringCloud等相关框架，自己写过核心功能；4、熟悉MySQL、oracle、Nginx的使用；5、能优化系统性能，解决项目中遇到的疑难杂症；6、熟悉Linux 环境下应用的的安装部署和日常维护；7、熟悉JAVA软件项目相关的开发、测试、实施流程和标准，具有良好的学习能力，组织、协调和沟通能力，有较强的责任心和事业心；8、具备良好的编写代码、逻辑思维能力、需求分析能力，良好的冲突处理能力、组织能力。,"移动互联网,数据服务",50-150人,java,昆明
java开发工程师,https://www.lagou.com/jobs/7190115.html,西山区,6k-9k,深圳市费米智能科技有限公司,1-3年,本科,五险一金,"岗位职责 1.根据业务需求,负责公司的项目研发工作和公司产品设计研发工作; 2.根据业务需求或产品需求,实现功能模块的编写,并确保开发质量; 3.参与平台设计工作,参与设计、文档等工作,参与组件化、接口化设计和开发工作; 任职资格 1、计算机及相关专业本科以上学历; 2、熟练熟练开发Java EE项目,理解java基础原理、集合、多线程编程和理解JVM工作原理,精通SpringMVC框架,熟悉SpringBoot以及微服务周边中间件的应用,有实践经验优先使用springboot框架进行BS应用程序开发;3.精通SQL，熟练使用MySQL、Oracle等数据库，并具有一定的SQL优化能力；熟悉Memcached、Redis、MongoDB等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先； 4.熟悉Tomcat等应用服务器的部署和配置； 5.熟悉Linux操作系统常用命令；6.了解html、Javascript、CSS、Xml、Jquery等技术,了解Vue、angularJS、react经验者优先; 7.有系统重构经验的优先，有互联网公司架构经验的优先，有分布式系统开发设计经验者优先。","移动互联网,数据服务",少于15人,java,昆明
Java开发工程师,https://www.lagou.com/jobs/7075117.html,盘龙区,9k-16k,江苏中世人工智能软件有限公司,3-5年,大专,"五险一金
团建","岗位职责：1、参与公司产品规划，为新产品开发提供技术意见和技术解决方案；规划系统架构设计及搭建；2、带领技术团队，完成产品项目开发工作，组织攻关重点技术难题，为产品实现提供技术保障；3、开发和维护公司产品及相关项目；优化开发流程，完善开发制度，制定开发标准，规范开发文档，为产品开发效率和质量负责；4、项目目标设定、计划制定、执行监督、资源协调等；5、团队人才培养/员工考核/团队建设等相关工作。任职要求：1.java基础功底扎实 ,三年以上相关开发经验；2.熟悉springboot、springcloud、jpa、MyBatis、Hibernate等开源框架及原理；3.熟练使用Spring MVC框架、消息队列、线程池、缓存、RPC框架；4.熟练使用SQL (MySQL/Oracle/pgsql) ， NoSQL (Redis/HBase/MongoDB)?；5.熟练使用SVN、GIT等版本管理工具，能够独立解决开发中常见的问题，如代码冲突，代码回滚等；6.熟悉Linux、Unix等主流操作系统；7.性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神；8.逻辑能力强、思维活跃，敢于接受压力和挑战、能够独立完成任务攻关；9.热爱技术，对Java后端技术发展有强烈的兴趣，有良好的自学能力和强烈的责任心；",软件开发,50-150人,java,昆明
JAVA开发工程师,https://www.lagou.com/jobs/4862192.html,官渡区,5k-10k,昆明奥远科技有限公司,3-5年,大专,"周末双休,五险,年终奖,加薪快","1、计算机相关专业大专以上学历，至少2年工作经验；2、熟悉JAVA编程能够熟练使用jsp、servlet；3、熟悉J2EE软件架构(struts+hibernate+spring或JPA+springMVC)，有商城开发经验者优先；4、熟悉常用服务器中间件至少熟悉tomcat、jboss、WebLogic中的任意一种5、有一定的数据库设计思想，至少熟悉mysql,sqlserver2000,oracle中的一种；6、良好的敬业精神，认真、积极的工作态度，能承受一定的工作压力；7、有良好的口头和书面的沟通、交流、汇报能力。除上述条件外，还必须具备以下基本条件：1. 有爱心.2. 责任心强,工作积极3. 能快速上手新项目，较强的学习能力4. 具备团队合作精神5. 愿意接受工作中的挑战，并能承受工作中的压力7. 无论遇到何种情况都不能和客户吵架，人品要求高于能力要求有您的努力，高薪回报由您作主！详情可登录公司网查询: http://www.aykj.net","移动互联网,企业服务",50-150人,java,昆明
java开发工程师,https://www.lagou.com/jobs/7190095.html,西山区,6k-9k,深圳市费米智能科技有限公司,3-5年,本科,五险一金,"根据业务需求,负责公司的项目研发工作和公司产品设计研发工作;2.根据业务需求或产品需求,实现功能模块的编写,并确保开发质量;3.参与平台设计工作,参与设计、文档等工作,参与组件化、接口化设计和开发工作;
 6.了解html、Javascript、CSS、Xml、Jquery等技术,了解Vue、angularJS、react经验者优先; 7.有系统重构经验的优先，有互联网公司架构经验的优先，有分布式系统开发设计经验者优先。 
 任职资格 1、计算机及相关专业本科以上学历; 2、熟练熟练开发Java EE项目,理解java基础原理、集合、多线程编程和理解JVM工作原理,精通SpringMVC框架,熟悉SpringBoot以及微服务周边中间件的应用,有实践经验优先使用springboot框架进行BS应用程序开发;
 3.精通SQL，熟练使用MySQL、Oracle等数据库，并具有一定的SQL优化能力；熟悉Memcached、Redis、MongoDB等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先； 4.熟悉Tomcat等应用服务器的部署和配置； 5.熟悉Linux操作系统常用命令；","移动互联网,数据服务",少于15人,java,昆明
Java开发工程师,https://www.lagou.com/jobs/4893072.html,官渡区,5k-10k,云南腾道科技有限责任公司,1-3年,本科,"激发潜能,善于穿心,不断突破",岗位名称：Java软件开发师  岗位职责 1、负责公司WEB应用和服务端应用的设计及开发工作； 2、参与组件、API等开放性接口开发设计； 3、编写相关设计/开发文档； 4、参与平台系统组件架构设计；  5、负责公司现有平台二次开发工作。 任职资格： 1、计算机及相关专业本科以上学历； 2、能熟练开发Java EE项目，熟练使用SSM或SSH等Web框架进行BS应用程序开发； 3、熟练使用Jsp、Javascript、CSS、Xml、Jquery等技术； 4、掌握react、vue、angularjs前端技术开发者优先； 5、熟悉MySQL等数据库开发技术； 6、具有一定项目开发经验，具备电力、水利等行业软件开发者优先！  公司福利： 1、定期培训 2、提供透明、公平的内部晋升通道 3、年终奖、社保、生日福利及丰富多彩的团队建设活动等 4、周末双休，带薪休假，上班时间（上午09：30-下午18：00）,"移动互联网,消费生活",50-150人,java,昆明
java开发工程师,https://www.lagou.com/jobs/7045202.html,官渡区,5k-7k,云南远信科技有限公司,1-3年,本科,五险一金 管理规范 周末双休,岗位职责：1. 负责参与新项目的开发及计划；2. 负责项目系统构架设计及系统接口设计；3. 负责根据用户及市场需求设计文档及开发，不断改善；4. 负责完成一定程度的部署实施工作。任职要求：1. 本科及以上学历，计算机相关专业；2. 1年以上Java项目开发经验；拥有扎实的Java编程基础，能独立完成linux系统的一般操作；3. 熟悉多种java工具，精通spingboot、mybatis等；4. 可以熟练运用html、JSP、Servlet等进行编程；5. 具有良好的创新思维、有团队合作精神及沟通能力；6. 可以听从公司安排，可以适应短期出差；7. 为人谦虚好学、具有较强的学习能力，肯钻研，能够踏实工作，责任心强。,"移动互联网,企业服务",150-500人,java,昆明
