job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级java开发工程师,https://www.lagou.com/jobs/6128860.html,拱墅区,25k-35k,大箴（杭州）科技有限公司,5-10年,本科,五险一金；15薪；弹性工作；扁平化管理,"P7岗位岗位职责:1.负责智能数据产品的技术方案编写、架构设计、功能研发 2.参与项目设计方案评审3.根据项目计划，提交高质量代码，按时完成开发任务4.核心业务系统的优化和重构5.负责JAVA技术框架搭建5.技术前瞻性研究，并能形成技术沉淀  任职要求:1. 7年以上互联网行业java开发经验2. 熟悉常用分布式框架SpringCloud,Dubbo的使用，熟悉使用多线程，可以进行高性能的设计与编码以及关键参数性能调优3. 熟练掌握redis、mongodb、RabbitMQ、kafkah,hbase，hive等中间件和框架4.有很强的分析，解决问题的能力和强烈的事业心，责任感5.能够熟练使用linux进行日常的操作6. storm, spark 和 flume 大数据框架有一定的了解7.有大型系统设计开发经验优先，有相应的DSP,SSP开发经验优先","人工智能,企业服务",50-150人,java,杭州
java开发工程师,https://www.lagou.com/jobs/6618264.html,拱墅区,18k-25k,大箴（杭州）科技有限公司,3-5年,本科,15薪，年终分红；下午茶；,"岗位职责: 1.参与平台项目的需求分析，详细设计，技术文档编写 2.参与java技术开发框架搭建 3.解决日常开发中出现问题，协助测试，系统交付工作等 4.负责跟进生产环境中业务系统出现的问题，并及时处理解决任职要求:    1.至少3年以上java开发经验    2.熟悉Spring,SpringMVC,SpringBoot，dubbo等框架的运行机制，并能够熟练使用    3.熟练使用MySQL数据库，具备优秀的SQL脚本编写能力    4.熟悉Redis，mongodb等NoSQL数据库缓存体系    5.熟悉互联网金融业务场景    6.有MySQL集群，分库分表分区经验    7.熟悉消息队列中ActiveMQ,RabbitMQ,RocketMQ，Kafka中至少一种    8.熟练使用linux常用的基本命令","人工智能,企业服务",50-150人,java,杭州
Java开发工程师,https://www.lagou.com/jobs/7219681.html,余杭区,25k-35k,淘宝（中国）软件有限公司,3-5年,本科,新业务线，发展潜力大，来了就是未来老员工,"岗位描述：淘系技术部隶属于阿里巴巴新零售技术事业群，旗下包含淘宝技术、天猫技术、农村淘宝技术、闲鱼、iHome等团队和业务，是一支是具有商业和技术双重基因的螺旋体。新零售技术事业群的使命是技术驱动新商业，淘系技术部的愿景是致力于成为全球最懂商业的技术创新团队，打造消费者和商家一体化的新零售智能商业平台，创新商业赛道。依托淘系丰富的业务形态和海量的用户，我们持续以技术驱动产品和商业创新，不断探索和衍生颠覆型互联网新技术，以更加智能、友好、普惠的科技深度重塑产业和用户体验，打造新商业。随着新零售业务的持续探索与快速发展，我们不断吸引用户增长、机器学习、视觉算法、音视频通信、数字媒体、端侧智能等领域全球**专业人才加入，让科技引领面向未来的商业创新和进步。该岗位主要负责电商系核心项目研发，需要JAVA、Android、ios、前端、测试、数据等方向的研发人才。岗位要求：Java：1、两年以上Java开发经验，熟悉io、多线程技术, 熟悉Spring、MyBatis等技术框架以及常见的NoSQL技术；2、具备独立系统设计能力, 尤其是高并发、高可用和高负载的架构经验；3、有大型分布式、高并发、高可用系统设计、开发和调优经验, 有JVM/性能优化经验优先；4、具有一定的业务理解能力，能够发现业务需求、系统架构设计中存在的问题，并给出有效的解决方案;5、具有较强的协调沟通能力；Android：1、2年以上Android客户端开发经验，有独立设计Android客户端架构经验；2、熟悉Android SDK以及相关配套工具；3、基本功扎实，可以应付各种Android复杂问题，并迅速给出解决方案；4、熟悉Android Framework层，并有一定Android源码阅读经验；5、熟悉各类动态化以及跨端框架，了解iOS/Android的最新特性以及业界最新方向，对端上开发有持久和深入的热情；iOS:1、有至少2年及以上OS X/iOS开发经验，能独立完成OS X/iOS软件的设计和开发工作；2、掌握Objective-C/Swift语言的特性，具备主流开源框架的使用经验；3、精通OS X/iOS下的并行开发、网络、内存管理、GUI开发；4、能熟练使用调试、性能分析工具来调试和优化代码；5、有大型商业iOS软件开发经验或已在App Store发布过作品者优先；6、熟悉各类动态化以及跨端框架，了解iOS/Android的最新特性以及业界最新方向，对端上开发有持久和深入的热情；",电商,2000人以上,java,杭州
java工程师,https://www.lagou.com/jobs/6081077.html,西湖区,10k-20k,杭州勤路软件有限公司,不限,本科,最有竞争力的发展平台；团队成熟稳定,岗位职责：1、负责游戏服务器的设计和开发；任职要求：1、本科及以上学历，计算机相关专业；2、至少1年以上软件开发工作经验，有网站/高并发类经验的优先考虑3、熟悉java编程语言和JavaEE技术，SSH等常用框架，并有实际的项目开发经验；4、熟悉TCP/IP协议，有Java Socket的开发经验；5、熟悉SQL语言，以及MySql数据库的使用，具有数据库应用软件的开发经验；6、具备良好的文档编写习惯和代码书写规范，7、责任心强，有良好的团队合作精神和承受压力的能力；,游戏,50-150人,java,杭州
Java开发工程师,https://www.lagou.com/jobs/7219432.html,下城区,8k-10k,杭州柳橙物流科技有限公司,1-3年,本科,五险一金，绩效奖金，带薪年假，节日福利,"一、岗位职责1. 负责公司业务系统的需求分析、设计、开发工作；2. 遵循公司技术标准、规范，高质量完成设计和开发任务；3. 解决日常开发中遇到的技术问题，根据需要不断修改完善软件产品；4. 强烈的责任心和团队合作能力，善于沟通，良好的学习和抗压和抗压能力，并且敢于创新和接受挑战；二、任职要求1.有扎实的Java基础，具有J2EE项目开发经验，熟悉Spring， Mybatis等框架；2.熟悉数据库技术(MySQL等)，数据库优化及SQL优化；3.熟悉html，css，js等前端技术以及vue等js框架；4.代码风格整洁，编码格式规范；5.熟练使用SVN等项目版本管理工具，熟悉maven；6.有前端开发经验，熟悉ElementUI,ExtJs优先录用7.做过物流相关行业软件项目的优先录用",物流丨运输,少于15人,java,杭州
高级java开发工程师,https://www.lagou.com/jobs/7158545.html,余杭区,20k-40k,前锦网络信息技术（上海）有限公司北京分公司,5-10年,本科,稳定，待遇福利好,高级java开发工程师工作职责1.参与完成中小型项目的系统分析、设计。并负责业务功能与底层基础功能的架构设计、代码编写。2.严格遵循开发规范和流程，独立完成系统功能编码，能针对性进行项目技术方案攻关。3.参与建设通用、灵活、智能的业务支撑平台的开发与设计，支撑上层多场景的复杂业务。任职资格1、本科以上学历，5年以上Java开发经验；2、具有面向对象分析、设计、开发能力，精通OO，AOP，设计模式；3、具有深厚的专业技术基础，精通JavaEE相关技术，熟悉常见的RPC框架，对Dubbo/Springboot/SpringCloud等服务框架有比较资深的使用经验；4、熟悉Mysql等关系型数据库，掌握缓存机制(Redis、Memcached)和MQ消息机制；5、掌握JVM性能调优、了解常见JVM垃圾收集算法、Java并发框架与库、了解Java内存模型；6、对技术有热情，优秀的责任心,"移动互联网,企业服务",500-2000人,java,杭州
Java工程师,https://www.lagou.com/jobs/6999598.html,滨江区,9k-18k,深圳市汇合发展有限公司,不限,本科,双休、加班费、年终奖等,"公司金融总部新增6个JAVA开发，需求单号：F2020013  级别：初中级 岗位要求如下：1、本科及以上学历，计算机相关专业优先。2、工作2年以上且从事计算机软件开发；至少参与2个以上大型项目，至少负责过1个小型项目，或具有同等项目经验。3、至少主导编写过一个小型项目需求文档，至少输出小型项目子系统软件设计一篇；熟练应用已有软件设计及架构设计，并参与过一个小型项目应用架构构建，或具有同等项目经验。4、具备项目管理知识与技能，具备项目风险管理能力，有项目任务安排及协调各方资源的经验。5、熟悉开发语言如Java, C/C++, C#, Python等；熟悉常用数据库如 SQL Server、Oracle 或 DB2 常用操作；熟悉常用操作系统如 OindoOs Server、AIX 等的日常操作；具有扎实的网络基础知识。","企业服务,金融",2000人以上,java,杭州
Java高级开发工程师,https://www.lagou.com/jobs/1357435.html,西湖区,25k-45k,支付宝（杭州）信息技术有限公司,3-5年,本科,"五险一金,置业贷款,蚂蚁股权,核心岗位","岗位描述:1. 独立完成中大型项目的系统分析、设计，并能够完成核心代码的编写，确保技术方案能够按计划要求，高质量的完成；2. 具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性。；3. 对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，出现问题时能够通过较强的技术手段较好的解决问题。岗位要求:1. JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解； 2. 3年及以上使用JAVA开发的经验，对于用过的开源框架，能了解到它的原理和机制；对Spring,ibatis,struts等开源框架熟悉； 3. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题； 4. 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先； 4. 掌握Linux 操作系统和大型数据库（Oracle、MySql）；对sql优化有丰富的经验； 5. 学习能力强，适应能力好；具备耐心/细心的品质； 6. 我们希望你对互联网或J2EE应用开发的最新潮流有关注，喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队","金融,移动互联网",2000人以上,java,杭州
java高级开发工程师,https://www.lagou.com/jobs/7195762.html,江干区,15k-25k,苏州天乙佳网络科技有限公司杭州分公司,5-10年,大专,全额五险一金 股票期权 节假日福利,职位描述：岗位职责：1.负责核心业务系统的需求分析、技术架构、详细设计、核心功能开发。2.优化现有系统，对现有系统流程、系统响应速度、内存使用等方面做优化，提升系统的稳定性和用户体验。3.负责公司内部系统开发与维护。4.负责子系统架构与设计任职要求:1.6年以上Java开发经验。2.Java基础扎实，精通多线程编程，熟悉JVM，包括内存模型、类加载机制以及性能优化，精通常用设计模式。3.熟悉Java常见技术框架及使用，Spring、Spring Boot、Spring Cloud、MyBatis等。4.熟悉分布式系统的设计和应用，熟练掌握缓存、消息、搜索引擎（Redis、MQ、ElasticSearch、Zookeeper等）技术。5.熟练Mysql优化。6.熟练使用Linux及常用命令。7.熟练使用各种设计模式。8.对spring，mybatis源代码有深入研究9.具备良好学习、沟通能力及团队协作精神，对工作积极严谨，勇于承担压力。8.加分项：a) 有大型IT公司开发团队工作经验者优先。b) 有自己的技术博客或开源项目，请附上您的链接。c) 对电商领域、供应链领域、物流领域有经验者优先。d) 有过项目组管理经验优先。,电商、社交,500-2000人,java,杭州
java开发工程师,https://www.lagou.com/jobs/7195758.html,江干区,13k-22k,苏州天乙佳网络科技有限公司杭州分公司,3-5年,大专,全额五险一金 股票期权 节假日福利,"职位描述：岗位职责：1.负责核心业务系统的需求分析、技术架构、详细设计、核心功能开发。2.优化现有系统，对现有系统流程、系统响应速度、内存使用等方面做优化，提升系统的稳定性和用户体验。3.负责公司内部系统开发与维护。4.负责子系统架构与设计任职要求:1.3年以上Java开发经验,有直播开发经验优先。2.Java基础扎实，精通多线程编程，熟悉JVM，包括内存模型、类加载机制以及性能优化，精通常用设计模式。3.熟悉Java常见技术框架及使用，Spring、Spring Boot、Spring Cloud、MyBatis等。4.熟悉分布式系统的设计和应用，熟练掌握缓存、消息、搜索引擎（Redis、MQ、ElasticSearch、Zookeeper等）技术。5.熟练Mysql优化。6.熟练使用Linux及常用命令。7.熟练使用各种设计模式。8.对spring，mybatis源代码有深入研究9.具备良好学习、沟通能力及团队协作精神，对工作积极严谨，勇于承担压力。8.加分项：a) 有大型IT公司开发团队工作经验者优先。b) 有自己的技术博客或开源项目，请附上您的链接。c) 对电商领域、供应链领域、物流领域有经验者优先。d) 有过项目组管理经验优先。",电商、社交,500-2000人,java,杭州
