job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/6841934.html,高新技术产业开发区,15k-25k,海尔集团,3-5年,本科,六险一金 员工活动 多种激励 带薪假期,岗位职责：1、负责云端服务API和web应用的开发、封装、部署、维护等工作，搭建语音、图像识别等商业系统；2、负责云端文本、音视频等各种数据的存储、传输系统，及相应的数据管理平台系统的开发和测试等工作；3、负责云端对各种语音、图像、自然语言处理算法模块的开发和测试等工作；4、协助架构师完成统一接口的设计、开发和测试等工作； 岗位要求：1、本科以上学历、计算机相关专业公办统招学历、学位；3年以上开发经验；2、良好的编程能力，对数据结构和软件开发有深入的理解，熟练使用Java进行开发，熟悉/Python/Javascript/C++/C等主流语言中的1种或多种，能够在实际项目开发中进行组合使用；3、熟悉Linux服务器，掌握各种脚本语言，有服务器部署的经验；4、熟悉MySQL等数据库的开发，具有一定的性能调优经验；5、熟练使用Tomcat框架做接口开发，具有RESTful API开发的经验；6、对网络服务的并发处理、负载均衡、稳定性处理、降级处理等有一定的经验；7、对服务端程序优化加速有一定的经验，熟练使用各种开源性能分析工具；8、能够协助架构师对产品需求文档和设计文档进行迭代，不断优化系统端设计架构；9、主动学习能力强，能对未知问题或遇到的困难，灵活高效找到解决,"物联网,电商",2000人以上,java,西安
高级java开发工程师,https://www.lagou.com/jobs/6535060.html,雁塔区,13k-20k,华为技术有限公司,1-3年,本科,福利待遇好,岗位要求:1.扎实的JAVA编程基础；3年及以上项目开发经验，熟练掌握JAVA/Web等主流开发语言常用的技术框架，可独立承担模块开发设计。2.具有良好的沟通能力，刻苦、敬业、有上进心，有良好的团队合作精神。喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。业务技能要求：1、善于沟通与合作，有较强的推动和协调能力，有较好的判断力和洞察力；2、具有创新能力，逻辑思维强，有较强的执行力；3、富有激情，追求卓越，自驱力强。,通讯电子,2000人以上,java,西安
Java开发工程师,https://www.lagou.com/jobs/7067537.html,雁塔区,13k-25k,北京仁科互动网络技术有限公司,5-10年,本科,腾讯领投、D+轮，六险一金，扁平化管理,工作职责: 1、负责公司业务软件的研发工作； 2、协助架构师进行系统设计工作； 3、参与技术研究和攻关工作； 4、参与系统单元测试工作； 5、负责相关技术文档编写工作。 任职资格: 1.本科以上学历，3年以上工作经验； 2.java基础扎实，熟悉微服务相关架构，有架构设计能力； 3.熟悉java虚拟机工作原理，有一定的性能调优经验； 4.熟悉mysql数据库查询调优； 5.团队沟通协调能力较强； 6.有spring boot或spring cloud使用经验为佳； 7.有缓存，消息队列使用经验； 8.有企业微信集成，对接相关工作经验优先,"移动互联网,数据服务",500-2000人,java,西安
java开发工程师,https://www.lagou.com/jobs/6893369.html,雁塔区,6k-11k,西安点通软件信息技术有限公司,1-3年,本科,五险一金、周末双休、年终奖金、绩效奖金,"岗位职责： 1. 参与产品的需求调研和业务分析与软件设计 2. 根据需求设计开发方案 3. 负责解决开发过程中的技术问题 4. 完成应用软件的开发和维护 5. 撰写软件需求、设计等文档岗位要求： 1. 计算机相关专业 2. 有1年及以上Java 相关开发经验 3. 熟练 Java，JavaScript 或 其他编程语言 4. 熟悉 Linux 开发环境 5. 熟悉 Ngnix, Apache, Tomcat 网络服务器 6. 熟悉 MySQL, Postgresql 或 Oracle数据库 7. 学习能力强，具有良好团队合作精神 8. 工作认真负责，善于沟通 9. 英语书面及口头表达流利者优先福利待遇：1. 薪酬福利：季度奖，年终奖，社保，带薪年假2. 员工关怀：弹性工作，团建活动，日常福利，年度旅游3. 职业发展：技能培训，职业发展辅导，晋升机会4. 点通文化：机会与挑战并存，困难和希望同在我们坚信：唯有真诚，才能感动客户唯有努力，才能实现梦想唯有坚持，才能创造奇迹",移动互联网,15-50人,java,西安
java开发工程师,https://www.lagou.com/jobs/5753450.html,雁塔区,15k-20k,西安卓派信息科技有限公司,3-5年,本科,半弹性工作；英文环境；赴美工作,"【我们的团队】    如果你不只满足于机械的码代码，如果你对新技术仍然具有好奇心和热情，如果你希望自己感兴趣的技术会在日常工作中实践并产生价值，如果你想技术能力，沟通能力，英语表达能力都有质的提升，那么，我们团队一定会是你的选择。    在与美国工程师团队一起努力一年有余之后，我们整个系统的架构已经基本完成——依托AWS平台，应用kubernetes实现的一个包括CI/CD，服务监控和报警，日志收集，链路追踪等一系列功能的微服务架构平台。同时，我们的探索也从未停止，开放的工作环境能够使每一位员工有机会接触和参与公司架构改进以及平台的变迁，并直接应用到日常的研发。在大家的不懈努力之下，公司飞速发展，团队里的每个成员也都和公司一起快速成长，他们崇尚技术，注重分享，勇于迎接挑战，对工作严谨负责，像这样处在变革中的飞速成长的团队，值得每一位对自己有要求有期待的程序员加入。【岗位职责】    1. 参与需求沟通分析及技术方案设计    2. 根据技术方案完成编码及UT/IT    3. 维护和升级现有程序，重构和修复现有软件缺陷，快速定位问题    4. 把控代码质量和设计，确保代码从设计到实现的质量    5. 评估项目潜在风险，提供解决方案【岗位要求】    1. 三年以上Java领域研发经验    2. Java基础扎实，了解多线程编程    3. 熟悉Java平台上的开发技术与常用框架spring，mybatis，hibernate等，有spring-boot 研发经验    4. 熟悉mysql，postgresql等数据库产品    5. 英语基础扎实，能适应全英文办公环境    6. 了解微服务及其基本概念，有相关研发经验    7. 注重代码质量，有UT/IT经验，了解敏捷开发    8. 责任心强，能独立分析和解决问题，具备良好的团队合作精神和承压能力【加分项】
 互联网研发经验
 AWS, 阿里云等云服务平台使用经验
 有自己的技术博客并定时更新
 技术涉猎广，有以下产品使用或研发经验：Kafka, ELK, kubernetes等
 各种MOOC认证
【薪酬福利】1.六险一金；2.有竞争力的薪酬及福利；3.试用期全额工资及缴纳社保；4.午餐补贴、晚餐补贴、交通补贴；5.英语、技术学习补助；6.定期团建（电影、羽毛球、游泳、桌游、旅游、电子竞技等）；7.年度体检；8.带薪年假（最多可至15天），特色假期：“三八”+“五四”+“六一”；9.其他福利：水果零食+生日礼物+节日礼物+宝宝礼金+新婚礼金；【关于我们】NEXT Trucking是全美专注于以货车车主与小型车队为中心、连接货主与车主的网络平台，目前已完成由Brookfield Ventures投资的C轮融资。西安卓派信息科技有限公司作为NEXT Trucking在中国设立的子公司，负责为整个NEXT Trucking所运营的网站以及多种产品提供专业的研发、培训和技术支持。","消费生活,其他",50-150人,java,西安
Java高级开发工程师,https://www.lagou.com/jobs/2361627.html,雁塔区,20k-25k,西安卓派信息科技有限公司,5-10年,本科,半弹性工作；英文环境；赴美工作,"【我们的团队】：    如果你不只满足于机械的码代码，如果你对新技术仍然具有好奇心和热情，如果你希望自己感兴趣的技术会在日常工作中实践并产生价值，如果你想技术能力，沟通能力，英语表达能力都有质的提升，那么，我们团队一定会是你的选择。    在与美国工程师团队一起努力一年有余之后，我们整个系统的架构已经基本完成——依托AWS平台，应用kubernetes实现的一个包括CI/CD，服务监控和报警，日志收集，链路追踪等一系列功能的微服务架构平台。同时，我们的探索也从未停止，开放的工作环境能够使每一位员工有机会接触和参与公司架构改进以及平台的变迁，并直接应用到日常的研发。在大家的不懈努力之下，公司飞速发展，团队里的每个成员也都和公司一起快速成长，他们崇尚技术，注重分享，勇于迎接挑战，对工作严谨负责，像这样处在变革中的飞速成长的团队，值得每一位对自己有要求有期待的程序员加入。【岗位职责】：    1. 参与需求沟通分析及技术方案设计    2. 根据技术方案完成编码及UT/IT    3. 维护和升级现有程序，重构和修复现有软件缺陷，快速定位问题    4. 参与code review以及design review，确保代码从设计到实现的质量    5. 评估项目潜在风险，提供解决方案     6. 把控项目整体进程，推进项目技术迭代升级以及代码优化，确保项目稳定高效运行【岗位要求】：    1. 五年以上Java领域研发经验    2. Java基础扎实，有多线程，高并发，分布式系统相关研发经验    3. 熟悉Java平台上的开发技术与常用框架spring，hibernate等，有spring-boot 研发经验    4. 熟悉mysql，postgresql等数据库产品，对Kafka，ES等中间件有一定了解    5. 英语基础扎实，能适应全英文办公环境    6. 熟悉微服务架构，有相关研发经验    7. 注重代码质量，有UT/IT经验，了解敏捷开发    8. 责任心强，能独立分析和解决问题，具备良好的团队合作精神和承压能力【加分项】：    1. 互联网研发经验    2. AWS, 阿里云等云服务平台使用经验    3. 有自己的技术博客并定时更新    4. 技术涉猎广，有以下产品使用或研发经验：Kafka, ELK, docker, kubernetes等    5. 各种MOOC认证【薪酬福利】：1.六险一金；2.有竞争力的薪酬及福利；3.试用期全额工资及缴纳社保；4.午餐补贴、晚餐补贴、交通补贴；5.英语、技术学习补助；6.定期团建（电影、羽毛球、游泳、桌游、旅游、电子竞技等）；7.年度体检；8.带薪年假（最多可至15天），特色假期：“三八”+“五四”+“六一”；9.其他福利：水果零食+生日礼物+节日礼物+宝宝礼金+新婚礼金；【关于我们】：NEXT Trucking是全美专注于以货车车主与小型车队为中心、连接货主与车主的网络平台，目前已完成由Brookfield Ventures投资的C轮融资。西安卓派信息科技有限公司作为NEXT Trucking在中国设立的子公司，负责为整个NEXT Trucking所运营的网站以及多种产品提供专业的研发、培训和技术支持。","消费生活,其他",50-150人,java,西安
Java高级开发工程师,https://www.lagou.com/jobs/4164849.html,雁塔区,10k-20k,深圳市易流科技股份有限公司,5-10年,本科,"前沿技术,友好团队,晋升通道","职位职责：1、负责公司产品的开发及线上产品迭代；2、参与需求评审和技术方案设计；3、根据开发任务要求，编写相关技术文档；4、负责产品的升级维护相关工作。岗位要求：1、本科及以上学历，4年及以上Java开发工作经验；2、Java基础扎实,了解JVM基本知识；3、熟悉Spring/SpringBoot/SpringCloud；4、熟悉Linux/Mysql/Mq/Redis；5、热爱技术，有过性能优化，高并发项目的经验者优先。",移动互联网,500-2000人,java,西安
java开发工程师,https://www.lagou.com/jobs/3202850.html,雁塔区,7k-14k,深圳市易流科技股份有限公司,3-5年,本科,"晋升透明,免费住宿,氛围好",职位职责1、负责公司产品项目的开发及线上产品迭代；2、参与需求评审和技术方案设计；3、根据开发任务要求，编写相关技术文档； 岗位要求：1、本科及以上学历，2年及以上开发经验；2.Java基础扎实，熟悉Mysql；3.熟练使用Spring/Mybatis及SpringBoot相关生态组件；4.了解Mq、Redis；5.熟悉前端相关基础知识，熟悉Vue；6.热爱技术，有过性能优化，高并发项目的经验者优先。,移动互联网,500-2000人,java,西安
java开发工程师,https://www.lagou.com/jobs/6809786.html,雁塔区,12k-16k,深圳市智载科技有限责任公司,5-10年,本科,福利待遇好。发展前景好,工作职责1本科以上学历，5年以上java开发工作经验，熟练使用各类Java核心技术，对线程、网络IO、消息处理、对JVM运行机制、内存管理有深入了解；     2、精通Linux操作系统及shell；     3、精通Spring，SpringBoot，Mybatis等框架（框架提供的特性及其实现原理）     4、熟悉分布式系统基础设施中常用的技术，如缓存、消息、队列等；     5、熟悉于Hadoop或spark等大数据生态了解并有实际经验者优先；     6、熟悉掌握HTTP协议相关知识，熟练掌握apache，nginx等常用web   server，熟悉Linux，shell及mysql，具有良好的代码编写习惯；     7、具备SOA治理或构建经验，dubbo/spring cloud框架经验丰富。     8、精通maven、git、gitlab、jenkins 等项目管理、代码管理、自动化部署工具。    岗位要求     1、积极主动开展工作，与团队密切协作，确保沟通顺畅，保证研发任务的进度及质量；     2、深刻理解服务器端的产品需求，负责Java服务器端（后台）程序的开发、改进、升级和维护；     3、负责评估需求开发工作量，拆分工作任务，及时沟通研发进度及困难；     4、组织设计评审，参与需求评审、测试评审；     5、负责进行相关的设计工作，并编写相关的技术文档；     6、对软件开发技术方面的评估以及运行效率、扩展性、安全性等方面的分析和探索。,移动互联网,50-150人,java,西安
高级java开发工程师,https://www.lagou.com/jobs/7115284.html,雁塔区,11k-20k,上海安畅网络科技股份有限公司,5-10年,大专,老板好、氛围好、工作环境好、节日福利,岗位职责：1、负责定制化项目开发；2、根据业务需求进行相关产品的需求分析、设计、开发及自测并撰写相关技术文档。任职要求：1.计算机及相关专业，五年及以上java开发经验；2.深入理解SpringMVC，SpringBoot，Mybatis等主流框架，熟悉Maven、gradle项目开发；3.熟悉微服务开发，有SpringCloud、dubbo等相关使用经验；4.熟悉分布式锁的使用，熟悉分布式事务相关技术；5.熟悉Mysql、influxdb数据库，熟悉sql优化；6.熟悉rabbitMQ、redis、kafka等缓存、消息中间件机制和技术，有实际项目使用经验；7.熟悉docker、docker-compose等容器和容器编排技术；8.熟悉linux系统，熟练使用linux常用命令；9.熟悉k8s，有k8s相关使用经验优先；10.有较强沟通能力，团队合作能力，认真负责；11.有devops经验者优先。,"电商,数据服务",150-500人,java,西安
