job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
PHP开发工程师,https://www.lagou.com/jobs/4528993.html,东莞市市辖区,10k-20k,东莞市芝麻地网络科技有限公司,3-5年,大专,"周末双休,五险一金,带薪年假,技术氛围","岗位职责：1、负责PHP相关系统架构设计、数据库结构设计、业务逻辑抽象、组件封装等编码工作；2、进行bug处理，攻克团队遇到的技术难题、对线上突发问题进行及时响应并解决。 任职要求：1、全日制大专以上学历，计算机相关专业，3年以上PHP工作经验；2、熟悉PHP面向对象开发，了解PHP的性能最优化和安全最大化；3、对OOP有较为深入的认识，掌握常用设计模式 , 熟悉常见的PHP开发框架，熟悉ThinkPHP优先考虑；4、熟悉MySQL数据库开发及常用优化方法，有BO、Finereport、Tableau等报表经验，能够设计和开发相应的管理报表；5、参与过较完整的数据采集、整理、分析和建模工作；对常见高负载网站应用方案有深入研究,能够因地制宜提出自己的解决方案；6、较强逻辑思维能力，熟悉业务抽象和数据模型设计，具备分析问题和解决问题的能力，对解决具有挑战性问题充满激情；7、熟悉ERP库存管理，有电商管理行业软件开发经验或者SaaS开发经验优先。 公司的福利待遇：1、公司会根据员工的资历与能力提供具有市场竞争力的薪资待遇及不定期调薪；2、周末双休，享有国家规定的法定节假日等假期，入职满一年享有带薪年假；3、入职购买五险一金，签订劳动合同；4、各类丰富的节日福利以及丰富的零食供应、下午茶等活动；5、作为高新技术企业，员工在入户、子女入学、政府人才保障房租赁等方面，享有优先权。",移动互联网,50-150人,php,东莞
php开发工程师,https://www.lagou.com/jobs/7135183.html,东莞市市辖区,6k-12k,广东八块钱网络科技有限公司,1-3年,大专,项目奖金 氛围活跃,岗位职责：1、 负责PHP开发项目的设计和开发工作；2、 在团队统一规范及原则下进行程序开发工作；3、 分析客户需求并给出最优的技术解决方案；4、 能独立完成项目开发，包括编码开发、测试等；任职要求：1. 大专以上学历，2年以上PHP项目实际开发经验。2. 精通PHP语言，并对PHP有较深刻的理解，熟悉Lavarel、ThinkPHP5.0等PHP框架。3. 熟悉Linux操作系统，熟练MySQL及NoSQL数据库（Memcached、Redis），熟悉常用的系统性能分析及优化方法。4. 有分布式部署开发经验、MySQL主从开发、以及大流量网站构架与编码经验者优先。5、有CRM系统经验优先；6. 具备良好的责任心、良好的技术文档编写能力和良好的团队沟通能力。注：每年至少一次调薪，进步越快，调薪幅度越大。,金融,500-2000人,php,东莞
PHP开发工程师,https://www.lagou.com/jobs/4058500.html,东莞市市辖区,8k-12k,东莞市沃趣网络科技有限公司,1-3年,大专,"五险一金,双休,年终奖,弹性上班","1. 精通PHP开发语言，熟悉面向对象的软件设计方法，熟悉ThinkPHP5框架； 2. 熟悉Unix/Linux操作系统，能做一些简单的运维； 3. 熟悉HTTP协议及W3C相关互联网规范，熟练掌握XHTML、CSS、DIV、Javascript    等页面技术； 4. 熟悉MySQL数据库应用开发，了解MySQL的数据库配置管理、性能优化等基本操    作技能； 5. 具备良好的代码编程习惯及较强的文档编写能力； 6. 具备强烈的进取心、求知欲及团队合作精神，有较强的沟通及协调能力，能独立完成项目；公司福利：1、昨晚加班太晚了？特意给你准备了弹性考勤制度，在正常的工作时间范围内(9:00-12:00,14:00-18:00)，允许弹性调整。员工均带薪享有国家法律规定的各种假期及年休假。2、创业如同在泥潭里掘金，既让人恶心，却又让人欲罢不能。在这里，期权也为你特意留出来了。3、谁说创业就是苦逼没保障？五险一金我们一个不差：为所有员工购买社会保险（养老保险、医疗保险、失业保险、工伤保险、生育保险）及公积金。4、每月定例一次团建，发放一次日常经营奖励，不定期下午茶，工作也要开心地过！对你的要求：1、不骄不躁，不气不馁才能通向阳光大道。请你也带着这份决心来加入我们！2、请你对自己的收入（不只是薪资，包括能力储备）有所要求，我们会和你谈谈怎么朝着共同的目标达成一致。","移动互联网,电商",15-50人,php,东莞
php开发工程师,https://www.lagou.com/jobs/5621497.html,东莞市市辖区,5k-8k,东莞市智擎信息科技有限公司,1-3年,大专,社保 商业保险 住房补贴,PHP项目开发1年以上开发经验，有微信商城/小程序商城或手机APP接口或办公系統相关工作应验。1.精通PHP+MYSQL开发(memcach\redis精验)，编程逻辑清晰。2.熟练使用js、html5/html、JSON操作。2.具有独立开发能力，面试带相关作品。3.熟练thinkphp开发框架（3.23或5.1），良好的编写代码习惯。4.工作积极性高对程序开发有浓厚的兴趣，有较强的学习能力。5.具备小型团队管理经验更佳。社会保险，法定假日休息，年底分红，年假休息。加入我们，您将获得：行业内富有竞争力的薪资待遇；和高效率卓越团队成员共事；多通道职业生涯规划，无限制发展空间，充分展示才华实现个人价值；五星级办公条件，温馨、舒适的工作环境；为所有工作伙伴购买五险一金；享受国家规定的法定假期，带薪年假；公司部门月度或季度不定期组织集体活动（旅游、烧烤、拓展、登山等）；如家的感觉，不定期的下午茶；年底双薪、年底分红，即在一年12月的基础上增加1-2个月的薪资；优才计划：重视员工的成长，并定期评选优秀**人给予奖励。我们看重你的能力，更加看重你的为人，公司尽所能为你提供最好的，公司要求你报着共同创业、共同发展的理念与公司共同成长。,"移动互联网,企业服务",少于15人,php,东莞
php开发工程师,https://www.lagou.com/jobs/6193682.html,东莞市市辖区,8k-15k,深圳市沙井铺先生网络科技有限公司,1-3年,大专,五险一金,职位描述 岗位职责：1.使用php语言开发网站应用程序；2.网站开发及功能模块开发及维护；3.与设计师沟通编写部分javascript相关代码及嵌套页面模板；4.对现有网站不合理代码进行整理并重构、网站结构优化。任职要求：1.计算机相关专业，专科及以上学历；2.有2年以上互联网php开发经验，有良好的代码书写格式，代码规范，注释规范；3.精通linux／apache／mysql/oracle／php / smarty开发模式，熟练使用javascript、jquery等；4.熟练掌握php面向对象思想、mvc开发模式，代码规范，注释清晰，易维护；至少精通一门框架，熟练掌握yii框架者优先；5.了解并具备缓存经验；6.熟练掌握sql语句，有一定的数据库优化意识；7.逻辑思维能力强，有较强的分析问题和解决问题的能力；8.有较强的责任心，良好的团队合作精神，对工作负有激情，良好的沟通能力。,"移动互联网,消费生活",150-500人,php,东莞
PHP开发工程师,https://www.lagou.com/jobs/501604.html,东莞市市辖区,8k-16k,东莞市微通文化传播有限公司,不限,不限,高薪，期权，氛围好、双休*7h、市中心,"岗位职责：1、负责公司产品开发，主要以微信定制和网站定制为主；
2、熟悉开源应用，有生产环境的开发、部署、维护和使用经验；
3、根据设计文档或需求说明完成代码编写，调试，测试和维护；
4、网站/微信应用的搭建、功能完善及代码优化。


任职要求：
1、学历专业要求:大专以上；
2、有PHP网站编程开发经验；
3、具有良好的沟通能力，有较强的独立工作能力和解决问题的能力；
4、有激情和团队协作精神，善于压力环境下保质完成工作任务。


本岗位同时招聘应届毕业生，欢迎有志青年报名！","移动互联网,电商",50-150人,php,东莞
PHP开发工程师,https://www.lagou.com/jobs/2273036.html,东莞市市辖区,8k-16k,东莞快创信息科技有限公司,1-3年,本科,高薪，期权，氛围好、双休*7h、市中心,1、负责公司产品开发，主要以微信定制和网站定制为主； 2、熟悉开源应用，有生产环境的开发、部署、维护和使用经验； 3、根据设计文档或需求说明完成代码编写，调试，测试和维护； 4、网站/微信应用的搭建、功能完善及代码优化。 任职要求： 1、学历专业要求:大专以上； 2、有PHP网站编程开发经验； 3、具有良好的沟通能力，有较强的独立工作能力和解决问题的能力； 4、有激情和团队协作精神，善于压力环境下保质完成工作任务。 本岗位同时招聘应届毕业生，欢迎有志青年报名！,"移动互联网,消费生活",50-150人,php,东莞
php高级开发工程师,https://www.lagou.com/jobs/7202900.html,东莞市市辖区,6k-10k,东莞热爱云居科技有限公司,1-3年,本科,年终奖金 办公环境好 扁平化管理,工作职责：1.负责云平台各个模块、后台应用，、API接口的开发；工作要求：1.本科以上学历，计算机相关专业，211/985院校毕业生优先；2.对php框架有了解，熟悉Yii2.0开发框架优先；3.熟悉微信开发体系，包括公众号、小程序、微信支付等；4.了解PSR4规范，有composer使用经验优先；5.必须对面向对象要有一定了解；6.熟悉MySQL数据库，了解MySQL的简单优化； 7.熟悉Linux，能使用Linux作为开发环境；8.熟悉Docker/Kubernetes等容器化技术方案的优先；9.熟悉TCP/IP协议，对Socket/WebSocket通信和HTTP/HTTPS协议有深刻理解优先；,软件开发,15-50人,php,东莞
php开发工程师,https://www.lagou.com/jobs/7160575.html,东莞市市辖区,8k-12k,广东法诺文化传媒有限公司,1-3年,本科,福利好,职位要求：1、熟练掌握PHP+MySQL环境的Web应用开发，熟练掌握MySQL数据库设计开发；2、熟练掌握HTML、CSS、Javascript，有丰富的跨浏览器开发经验，具备优化Web应用程序性能经验；3、熟悉1个MVC框架，有CIPHP/ThinkPHP框架使用经验优先；4、能独立进行开发，熟悉各种常用开源框架和技术，深刻理解各框架的优缺点，熟悉分布式、缓存、消息等高性能架构相关开发技术，熟练使用TP框架优先。5、有较强的程序开发逻辑思维，对技术有激情、有追求；富于技术创新精神，勇于解决技术难题。6、具备良好的代码编程习惯、较强的文档编写能力、学习能力和沟通能力。任职资格：1. 三年以上开发工作经验；2.使用thinkphp、lumen等框架开发；3.了解Microservice架构思想；4.有Redis、memcached等nosql缓存雪崩，缓存并发，主动缓存以及被动缓存的场景的开发经验；5.懂得mysql基本索引优化，以及如何效率考虑；6. 熟悉http协议，有百万级流量和数据量系统开发经验优先。7.熟悉海外服务器接口及视频数据应用者优先。,"移动互联网,硬件",15-50人,php,东莞
PHP高级工程师,https://www.lagou.com/jobs/6310874.html,东莞市市辖区,8k-15k,欧菲斯办公伙伴控股有限公司,3-5年,大专,周末双休，五险一金，年底双薪，带薪年假,岗位职责：1、 负责商城功能模块的研发与维护，根据运营业务需求进行研发；2、 按照网站需求进行需求分析并编写概要设计、代码、及相关技术文档；3、 根据工作进度，高质量完成指定模块的设计、开发任务；4、 熟悉git的代码管理，对公司现有网站数据库维护、优化、升级，并提出合理化改进方案并负责实施；5、 对反馈的软件产品故障进行定位、跟踪、调试和修复；6、 独立完成业务模块开发，对产品完善提出合理化建议；7、 与高级工程师配合完成各项系统的开发，完成高级工程师分配的任务；8、 针对其他部门及子公司提出的实际需求，提供相应的技术支持。公司福利：工作时间：周末双休，上午8:30-12:00，下午13:30-18:00法定福利：入职即购五险一金薪酬水平：固定工资+绩效奖金++年底双薪+每年2次调薪机会法定节假日：法定节假+转正即享受带薪年假10天+婚假+产假+陪产假+哺乳假+带薪病假+丧假等团队活动：月度团建，轻松下午茶、体育活动，年度联欢会节日关怀：过节礼物+活动奖品+节日派对生活关怀：午餐补贴，公司设有茶水间，提供微波炉+冰箱培养晋升：带薪培训与学习机会，体系化晋升机制,"消费生活,企业服务",2000人以上,php,东莞
