job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/7005834.html,海淀区,18k-30k,北京世纪好未来教育科技有限公司,3-5年,本科,发展迅速，大牛带队,岗位职责：                                                                      1、根据公司业务需求，包括架构设计、服务拆分、性能优化等2、系统需求分析与设计，制定接口规范并完成核心功能PHP代码实现3、配合产品经理进行技术决策，进行技术方案评审和代码质量把控任职要求：1、计算机相关专业本科及以上学历，3年以上PHP开发经验；2、熟练掌握PHP开发语言，有相关独立项目经验，熟练掌Laravel/lumen 等框架使用；3、熟悉数据库设计具备高并发，高负载技术架构知识；4、熟悉 Unix/Linux 操作系统，熟悉 Nginx者优先；5、有云平台、微服务相关经验的优先考虑,教育,2000人以上,php,北京
高级PHP开发工程师,https://www.lagou.com/jobs/7144566.html,昌平区,20k-38k,北京世纪好未来教育科技有限公司,不限,本科,上市公司、大牛云集、好福利,岗位职责：1.负责在线教育的服务端核心业务的开发；2.负责所编程序的自测试工作，并参加系统集成和联调；3.能在高压下工作并解决具体工作中的疑难杂症； 岗位要求：1.3年以上PHP开发经验，熟悉常见的MVC框架2.精通基本数据结构及算法（链表、队列、树等）；3.主导或主要参与并上线过稳定的系统架构；4.具有丰富的LNMP环境系统维护经验； 优先条件：1.具有一线互联网公司核心系统开发经验者；2.具有丰富的系统重构与代码审查经验者；3.具有高并发架构设计者优先,教育,2000人以上,php,北京
高级PHP开发工程师,https://www.lagou.com/jobs/5457298.html,海淀区,18k-36k,北京微聚未来科技有限公司,3-5年,本科,技术大牛 扁平管理 七险一金 16薪考核,职位描述：1. 负责金融类系统的设计、研发；2. 负责既有系统的重构、升级与维护；3. 引领团队技术能力不断提升；岗位要求：1、统招本科及以上学历，具备数据结构、算法计算机基础，至少3年以上PHP开发经验；2、熟练掌握PHP，有良好的代码能力和编程习惯；3、熟练掌握MySQL，良好的数据库设计能力；4、逻辑思维能力强，具备快速解决问题的能力；5、熟悉HTML、Javascript、CSS、Ajax等Web前端开发技术者优先 ；6、具备面向对象编程经验，熟悉设计模式与面向对象基本原则者优先；,"移动互联网,金融",500-2000人,php,北京
PHP开发工程师,https://www.lagou.com/jobs/7089005.html,朝阳区,18k-28k,奇虎360科技有限公司,5-10年,本科,待遇优厚 重点业务 全面福利 技术大牛,"工作描述1. 参与安全项目需求分析，参与制订技术解决方案；2. 负责产品后端功能的设计及开发；3. 参与后台系统架构、性能、安全、扩展等优化的设计和实现；4. 负责产品网络架构的设计、研判与开发工作任职要求1. 热爱编程工作，具备3年以上从事软件编程工作的经验，精通php、Java、C++中至少一种编程语言，全面掌握面向对象编程技术； 2. 精通mysql数据库开发,熟悉SQL索引调优，熟悉memcache、redis等一种nosql技术，熟悉一种消息队列技术； 3. 基础扎实，熟悉常用数据结构与算法； 4. 熟悉Linux系统下的各项技术，包括但不限于虚拟化技术、网络、容器技术（docker）、iptables、iproute2等；5. 有视频流、voip等项目实际开发经验的优先；6. 较强的沟通能力和团队合作精神，能够快速融入团队；7. 对高负载、大访问量情况下的系统架构的搭建、调试、排错、优化、部署等方面有一定的经验。",信息安全,2000人以上,php,北京
php开发工程师,https://www.lagou.com/jobs/6127662.html,朝阳区,15k-25k,奇虎360科技有限公司,3-5年,本科,环境好、沟通氛围好、年终奖、免费三餐,工作职责：1.负责平台的设计研发工作； 2.对产品需求进行抽象建模、制定技术方案，并与项目组成员共同实施落地。3.通过设计及监控服务和节点状态，保证整个运行平台状态可知以及高可用；4.支持组内对容器功能、性能等方面的需求咨询和实现；5.深度学习解决方案与容器的整合流程、稳定性、性能的优化工作；任职资格：1、统招本科学历，计算机相关专业2、熟练PHP，熟悉PHP常用框架3、优秀的数据库设计优化能力，至少精通一种数据库应用4、熟悉linux，能熟练应用一门或几门以下语言：golang/shell/python/lua/nodejs等5、具有大规模高并发系统的实战经验，精通分布式、事务、缓存、消息、负载均衡等机制的原理和实现6、较强的逻辑思维能力，较强的产品意识，良好的沟通协调能力，良好的团队合作精神,信息安全,2000人以上,php,北京
PHP,https://www.lagou.com/jobs/1606899.html,朝阳区,12k-24k,北京九识佳科技有限公司,1-3年,本科,逗逼氛围、五险一金、年度旅游、餐补,"岗位职责：1、小肚皮App后端开发                          2、对现有架构、性能进行优化                     3、和产品经理配合，深度参与手机产品需求讨论，功能定义等岗位要求：1、有责任心 2、具有良好的沟通能力和学习能力3、有独立解决问题的能力4、有良好的编程基础5、至少有半年以上的PHP开发经验6、对公司产品有认同感的优先你可以得到：
 高大上工作环境，VIP健身房，高性能游戏室等你来！
 年底老板感恩季，绩效奖金拿到手瘫痪，豪华7日国际游
 天天无限供应的零食大趴踢
 每周公司心机大聚会，K歌*，吃饭*，密室逃脱*，等你来组队
 每周一场与一群颜值高队友关于产品/市场的头(撕)脑(X)风(大)暴(会)",社交,15-50人,php,北京
PHP开发工程师,https://www.lagou.com/jobs/6508350.html,朝阳区,18k-30k,北京九识佳科技有限公司,3-5年,本科,"逗逼氛围,餐补,每月团建",岗位职责：1、小肚皮App后端开发                          2、对现有架构、性能进行优化                     3、和产品经理配合，深度参与手机产品需求讨论，功能定义等岗位要求：1、有责任心 2、具有良好的沟通能力和学习能力3、有独立解决问题的能力4、有良好的编程基础5、至少有三年以上的PHP开发经验6、对公司产品有认同感的优先你可以得到：高大上工作环境，VIP健身房，高性能游戏室等你来！年底老板感恩季，绩效奖金拿到手瘫痪，豪华7日国际游天天无限供应的零食大趴踢每周公司心机大聚会，K歌*，吃饭*，密室逃脱*，等你来组队每周一场与一群颜值高队友关于产品/市场的头(撕)脑(X)风(大)暴(会),社交,15-50人,php,北京
PHP工程师,https://www.lagou.com/jobs/6450373.html,朝阳区,10k-20k,小叶子（北京）科技有限公司,1-3年,本科,年终13-15薪，免费午晚餐，交补,工作职责1 负责真人陪练市场获客相关维护开发2 对接第三方广告商接入3 把控项目进度任职要求1 统招本科以上学历，计算机相关专业者优先；2 有扎实的编程能力，有优秀的设计和代码品味；3 有1~3年PHP开发经验，有python、golang开发经验加分；4 熟悉Mysql、Nosql、消息队列等常用WEB组件；5 有较好的产品意识，有在线教育开发经验者优先；6 积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力；,"硬件,教育",150-500人,php,北京
php开发工程师,https://www.lagou.com/jobs/5942341.html,朝阳区,15k-30k,北京蓝城兄弟信息技术有限公司,3-5年,不限,"行业独角兽,弹性工时,免费午餐",任职要求：1. 2年以上PHP中大型互联网产品开发及维护经验；2. 熟悉PHP语言的开发工作，熟练掌握LAMP开发，熟悉PHP主流框架；3. Web或客户端sever的应用系统开发经验；4. 熟悉MySQL数据库设计及优化；5. 熟悉Linux\Unix，具有系统分析能力；6. 具有高并发web　server设计开发经验优先；7. 具有良好的学习能力、时间和流程意识、沟通能力、团队合作、坦诚直接；8. 有较好的沟通交流能力，能够迅速融入团队。岗位职责：1. 根据产品、运营和推广需求，进行客户端server或者web端server的开发；2. 负责blued客户端服务器端、搜索以及运营平台的开发。,"移动互联网,社交",150-500人,php,北京
PHP工程师,https://www.lagou.com/jobs/2519250.html,朝阳区,13k-20k,北京玩在一起科技有限公司,1-3年,本科,"工作餐,水果零食,五险一金,弹性工作",岗位职责：  1.负责玩加B端产品PHP相关功能模块开发；  2.负责玩加网站和APP块PHP相关功能模开发。- 职位描述：  1.工作经验2年以上，平均每段工作经历1年以上，具有大型网站项目开发经验者为佳；  2.精通PHP语言，熟悉 YII、CI 等PHP常用框架，具备OOP编程思想，熟悉设计模式和算法软件开发的知识结构全面，基础扎实；  3.熟悉MySQL或其他数据库，有高性能数据库设计经验，具备大型数据开发经验者优先；  4.熟悉 Redis、MongoDB 的使用与性能优化，具备实际项目开发经验者；  5.熟悉高并发处理的解决方案，具备较大规模服务架构设计能力；  6.熟悉Linux/Unix等操作系统、熟悉 Nginx 与 FPM 的工作机制；  7.了解运用 HTML、JavaScript、Ajax、CSS等技术；  8.具有良好的学习能力、高度的责任心，良好的沟通能力和团队合作意识。,"移动互联网,文娱丨内容",50-150人,php,北京
