job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php后端,https://www.lagou.com/jobs/4793448.html,南海区,2k-4k,佛山市都域贸易有限公司,应届毕业生,本科,销售提成&,"PHP开发工程师 （社招）关键词:实习/初中级 后端开发 PHP 商城后台职位诱惑：岗位晋升，极速成长，活跃氛围，有宿舍提供。 职位诱惑： 岗位晋升，购买五险，进步迅速，活力氛围 岗位职责： 1、负责商城日常开发和维护，定期维护网站程 序，处理反馈回来的系统bug: 2、按照项目计划，遵循公司软件开发流程按时提交高质量代码，完成开发任务； 3、按照项目，软件开发设计文档进行编写、维护，以及其他与项目相关工作； 4、与产品、项目经理、技术部门其他成员沟通保证产品的质量和开发进度； 5、参与产品、项目设计方案评审，并提出问题和改 进意见。 任职要求： 实习生需要有较好的PHP基础，对口专业 1、1年左右PHP开发经验，具有独立开发网站的经 2、熟悉部分主流的框架，如:PHP、TP5、Laravel等 3、(加分项)会使用JQuery,JavaScript,XML,AJAX的优先4、具有独立分析、解决问题的能力，具有良好的编 码习惯； 5、具有良好的沟通能力，团队合作精神，高度的责 任心，能承担工作压力。 工资:（3000-6000按能力 ），（实习生1K-3K）试用期3个月。3个月后正常工资+试用期工资补贴福利待遇： (需要的可申请宿舍) 1、上班时间：上午08：30-12：00，下午14： 00-18：00，大小周末轮休制度； 2、薪酬待遇：全勤奖、部门绩效奖、年终奖、； 3、福利制度：五险（养老保险、医疗保险、工伤保 险、失业保险、生育保险）： 4、假期安排：享有国家规定的法定节假日及带薪年 假、婚假、产假、带薪病假、等假期； 5、其他福利：下午茶、集体聚会等； 6、节日福利：五一、端午、中秋、春节福利品； 7、员工活动：员工组成的各个部门活动，生日会等 员工活动。","消费生活,移动互联网",15-50人,php,广东
php开发工程师,https://www.lagou.com/jobs/6762047.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；2、负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；3、协助进行系统推广、培训、运营等相关落地支持工作。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；3年以上应用系统开发经验；2、熟悉PHP语言，同时熟悉或实践过Go/Java等后端语言开发者为佳；3、熟悉Linux操作系统，能熟练使用MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；4、主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；5、有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；6、对新技术保持好奇心并具有专研精神和创新思维。,社交,2000人以上,php,广东
php开发工程师,https://www.lagou.com/jobs/6112330.html,龙华新区,6k-8k,畅销家（深圳）科技有限公司,应届毕业生,大专,"薪资优势,前景好，氛围好,成长快","岗位职责 1.负责日常的查询维护2.常用快递的新增3.代理池的维护4.日常客服的常见问题的处理等 任职资格 1.全日制大专以上学历，1年以上互联网工作经验，计算机专业优先； 2.掌握基本的前端知识，熟悉js，jq的运用；3. 熟练使用php正则，有抓包经验优先；4. 熟悉基本的http响应code，如500,302等；5.要有基本的分析能力和应对基本的问题能力，如：工作上基本问题的应对等；员工福利：1、上班制（大小周），9:00-12:00,13：30-18:30；2、六险一金，法定节假日按国务院规定的执行；3、定期下午茶水果零食/每周羽毛球篮球运动/每月员工生日会庆祝/公司室内免费健身房/定期读书和技术分享会/提供相关书籍的阅读；4、定期团建/年度体检/节日津贴/项目奖金；","电商,数据服务",15-50人,php,广东
php开发工程师,https://www.lagou.com/jobs/4793202.html,南海区,4k-8k,佛山市都域贸易有限公司,1-3年,本科,包住，独立房间,"PHP开发工程师 关键词:中级 初级 后端开发 PHP 商城后台 职位诱惑：岗位晋升，五险一金，极速成长，活跃氛围，提供宿舍包住。 岗位职责： 1、负责公司网站日常开发和维护，定期维护网站程 序，处理反馈回来的系统bug: 2、按照项目计划，遵循公司软件开发流程，按时提交高质量代码，完成开发任务； 3、按照开发设计文档进行编写、维护，以及其他与项目相关工作； 4、参与产品、项目设计方案评审，并提出问题和改 进意见。 *任职要求： *1、1年-3年以上PHP开发经验*2、具有独立开发的能力*3、具有web前后端交互的接口开发经验4、具有配置网站的经验5、熟悉些主流的框架，如:PHP、TP5、Laravel等 6、(加分项)会使用JQuery,JavaScript,XML,AJAX的优先7、具有独立分析、解决问题的能力，具有良好的编 码习惯8、具有良好的沟通能力，团队合作精神，高度的责 任心，能承担工作压力。 福利待遇： 1、上班时间：上午08:30-12:00，下午14:00-18:00，大小周末轮休制度； 2、薪酬待遇：全勤奖、部门绩效奖、年终奖； 3、福利制度：五险一金；4、假期安排：享有国家规定的法定节假日及每年配额假期等； 5、其他福利：下午茶、集体聚会等； 6、节日福利：五一、端午、中秋、春节福利品； 7、员工活动：员工组成的各个部门活动，生日会等 员工活动。","消费生活,移动互联网",15-50人,php,广东
高级PHP开发工程师,https://www.lagou.com/jobs/4822767.html,宝安区,15k-30k,深圳哈稀网络技术有限公司,3-5年,本科,"福利好,奖金多,发展前景好",职位诱惑：大牛团队、海外旅游、花样奖金【岗位职责】：负责公司产品的研发和产品功能优化迭代。【职位描述和要求】：1、3年以上PHP开发经验，有大型PHP项目开发经验； 2、扎实的PHP编程基础，有基于Redis队列开发经验； 3、深入分析过主流MVC框架，精通ThinkPHP等，了解底层结构；4、熟悉MySQL数据库的操作，优化与开发技术；5、有基于开源框架二次开发经验者优先；6、有交易所撮合系统开发经验者优先。,"移动互联网,金融",50-150人,php,广东
php开发工程师,https://www.lagou.com/jobs/7108890.html,宝安区,10k-20k,深圳哈稀网络技术有限公司,1-3年,本科,奖金多多，发展空间大,【岗位职责】：负责公司运营需求迭代和高性能服务器调优。【任职资格】：1、1年以上PHP开发经验，有大型PHP项目开发经验； 2、扎实的PHP编程基础，有基于Redis队列开发经验； 3、深入分析过主流MVC框架，了解底层结构；4、熟悉MySQL数据库的操作，优化与开发技术；5、有基于开源框架二次开发经验者优先；,"移动互联网,金融",50-150人,php,广东
php开发工程师,https://www.lagou.com/jobs/6029514.html,龙华新区,6k-11k,畅销家（深圳）科技有限公司,1-3年,大专,可接触到高并发，大流量，前景好，氛围好,"岗位职责 1.负责日常的查询维护2.常用快递的新增3.代理池的维护4.日常客服的常见问题的处理等 任职资格 1.全日制大专以上学历，2年以上互联网工作经验，计算机专业优先； 2.掌握基本的前端知识，熟悉js，jq的运用；3. 熟练使用php正则，有抓包经验优先；4. 熟悉基本的http响应code，如500,302等；5.要有基本的分析能力和应对基本的问题能力，如：工作上基本问题的应对等；员工福利：1、上班制（大小周），9:00-12:00,13：30-18:30；2、六险一金，法定节假日按国务院规定的执行；3、定期下午茶水果零食/每周羽毛球篮球运动/每月员工生日会庆祝/公司室内免费健身房/定期读书和技术分享会/提供相关书籍的阅读；4、定期团建/年度体检/节日津贴/项目奖金；","电商,数据服务",15-50人,php,广东
php开发工程师,https://www.lagou.com/jobs/7160578.html,罗湖区,11k-16k,坤金聚宝（深圳）科技有限公司,3-5年,大专,五险一金 弹性工作时间 周末双休,1. 根据设计，进行相关模块及功能的代码编写，随时检查开发过程，调整进度，保证编码开发工作的按时完成，并保证代码符合公司的相关规范要求；2. 根据项目开发方案，进行系统建模、数据结构设计等，保证程序开发的规范性、健壮性；3. 开发高性能数据接口、数据分析任务、平台业务相关模块；4. 参与维护并不断发现和改进存在的问题，不断提升系统性能；5. 积极参与产品，功能与技术架构的改进，参与技术规范的实施。6. 参与项目需求评审，编写开发文档、计划文档；,电商,15-50人,php,广东
php开发工程师,https://www.lagou.com/jobs/6036947.html,龙华新区,15k-25k,深圳市智学帮科技有限公司,3-5年,大专,在线教育，员工期权，五险一金，带薪年假,【岗位职责】1、负责公司产品的服务端设计和开发；2、负责系统的稳定运行和性能优化；3、负责新项目需求分析、系统设计、数据库设计。【任职要求】1、3 年以上开发经验；2、熟练使用 Laravel，并且有扎实的 PHP 基础，掌握面向对象开发思想；3、熟悉LNMP体系的开发，熟悉Linux操作系统，熟悉Nginx系统配置4、掌握 HTML / CSS / JavaScript 等前端开发技术；5、熟悉MySQL数据库，有MongoDB等NoSQL数据库开发经验者优先6、熟悉memcache/redis、MVC/REST架构、模板引擎、中间件的原理与应用；7、熟练掌握 git，掌握 git workflow;8、有JAVA\GO\Python开发经验优先考虑;9、热爱编程，工作积极主动，学习能力强，友善容易相处。,教育,15-50人,php,广东
PHP开发工程师,https://www.lagou.com/jobs/5019992.html,越秀区,9k-15k,链行天下（广州）区块链研究有限公司,3-5年,大专,"年底双薪,团队大牛多,项目好,人性化管理","岗位职责：1、参与系统的需求调研和需求分析,撰写相关技术文档。2、负责功能模块的设计、编码、单元测试,按时保质地完成工作任务;3、快速准确定位问题,通过现象分析本质,能在最短时间内修复系统故障;岗位要求：1、熟悉一到两种常用PHP框架（laravel、CI、Zend Framework、ThinkPHP、Yaf等）;2、熟悉OOP的设计方法，具有扎实的算法和数据结构基础；3、熟悉MySQL数据库，有优化数据库经验的优先考虑；4、熟练掌握H5、javascript、CSS开发；5、熟练使用Linux开发环境，有高负载、高并发大型WEB服务经验者优先；6、遵守团队的代码格式、代码安全、代码结构的规定，编写易读、易维护、高效率的代码，对代码和设计质量有严格要求；7、熟悉TCP/IP协议，了解Socket通信和HTTP协议；8、熟悉缓存（Redis/Memcached）、消息（ActiveMQ/RabbitMQ）、搜索(ElasticSearch)等机制和使用经验；9、3年以上PHP开发经验，喜欢捣腾前沿技术，善于学习，经常阅读书籍；",移动互联网,50-150人,php,广东
