job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师（江阴华士）,https://www.lagou.com/jobs/6742880.html,江阴市,8k-13k,福村宝医疗科技有限公司,3-5年,本科,产品好+福利好+氛围轻松+团队正能量,"1.      负责公司app端系统业务的开发和维护；2.      负责接口（IOS、Android端提供数据）研发，对接与调测；3.      负责对系统的性能和可靠性调优；4.      负责基础组件开发、代码库整理及优化；5.      参与相关产品需求讨论与产品系统架构的设计和优化工作。任职资格：1.     本一或以上学历，计算机软件、数学等相关专业。2.     精通php基础，具备php开发经验、面向对象思想，有需求分析、系统设计经验；3.     熟悉Linux+apache+nginx+php+mysql开发环境，熟悉PHP一些主流框架，如：laravel、ThinkPHP等；4.     具有php缓存技术、静态化设计方面的经验；熟悉linux服务器命令，具有高负载、大访问量情况下的架构经验者优先；5.     熟悉HTML、CSS、JavaScript、XML等语言，熟悉AJAX、Jquery;6.     精通hbuilder语言及VS后端开发优先，3年以上移动互联APP应用开发经验优先；7.     具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；8.     良好的编码习惯,良好的团队合作能力和沟通能力；热爱互联网产品，工作态度积极，对产品细节敏感。",医疗丨健康,50-150人,php,无锡
php开发工程师,https://www.lagou.com/jobs/7214598.html,无锡新区,8k-10k,江苏澳云软件技术有限公司,3-5年,不限,五险一金 周末双休 工作氛围,PHP开发工程师岗位职责1、负责棋牌类游戏客户端/服务端的测试、代码维护工作；2、负责评估产品需求的技术可行性以及控制实现周期；3、协助解决游戏程序的BUG及设计问题；4、负责发布测试代码，保证可靠性和良好的用户体验。任职资格1、计算机相关专业，3年以上编程经验；2、扎实的PHP开发基础，能独立进行PHP编码工作；3、有手机游戏相关开发经验；4、具有较好的沟通交流能力，对游戏开发、维护有热情，能主动提出游戏的各种优化、改进方案。,"信息安全,软件开发",15-50人,php,无锡
php开发工程师,https://www.lagou.com/jobs/6887847.html,梁溪区,5k-8k,微趣软件（无锡）有限公司,1-3年,不限,有发展前景,"岗位职责：1．参与项目的需求分析、设计与开发；2．根据开发文档，进行相关拈的编码工作，并根据项目开发中遇到难点问题，参与技术攻关，按阶段有计划地完成代码开发工作，并测试合格，按时提交；3．参与并负责现有产品的维护与迭代更新；4．在项目开发过程中，总结经验和教训，归纳案例，实现经验共享；5．按照公司管理体系要求,参与软件工程文档编写,发布和维护；6．完成技术经理交办的其他事情。岗位要求：1．熟悉PHP语言，两年以上开发经验，熟悉PHP编码规范，有良好文档编写能力和编程风格；2．掌握xml、HTML/XHTML、HTML5、CSS、javascript、AJAX、JSON等Web页面技术；3．熟悉主流的PHP框架如：PhalApi，TP，YII2.0，CI，laravel；4．熟悉MYSQL、redis、mongodb；5．有独立完成工作的能力，较强的团队精神；6．工作认真细致，责任心强；7．热心开朗，沟通与协调能力强；8．具学习掌握新知识新技能的愿望与能力；","电商,体育",15-50人,php,无锡
php开发工程师,https://www.lagou.com/jobs/6924302.html,滨湖区,11k-18k,江苏微盛网络科技有限公司,3-5年,大专,五险一金 互联网 腾讯,岗位要求：1、参与移动端开发项目，负责系统的技术架构和概要设计。2、能够独立完成详细设计及编码、进行代码检查。3、负责微信接口设计、开发和维护。4、负责开放平台所需要的接口和数据管理，API数据接口开发工作。5、相关技术文档编写与维护。6、配合产品经理、项目经理、技术总监，按时完成分派工作与任务，保证项目的进度。任职要求：1、大专及以上学历，有较强的责任心，工作认真。2、精通微信开发框架，精通PHP等开发语言、熟悉XML、HTML5脚本语言，熟悉Oracle或MySql等主流数据库。3、精通移动端WAP开发框架，有相应工作经验者优先。4、熟悉微信接口，有微信支付接口、微信GIS开发经验者优先。5、熟悉当前互联网的流行应用，在交互开发、用户体验等方面有自己的见解，能主动根据业务需要，提出合理的方案。6、3年及以上PHP开发经验。7、有技术团队管理经验。8、有微信推广运营经验者优先。,"移动互联网,电商",150-500人,php,无锡
PHP工程师,https://www.lagou.com/jobs/3957541.html,滨湖区,6k-8k,无锡财优数据科技有限公司,应届毕业生,本科,"发展空间大,技能培训,五险一金,年底双薪","任职要求：1.精通PHP语言,熟练使用ThinkPHP,CI,YII任意两种等相关MVC框架，具有OOP编程思想;2.有前后分离项目开发经历，熟悉后端接口开发，对接过微信小程序，微信支付，支付宝支付等第三方接口，阅读第三方文档能力强。3.Linux环境下，能独立部署项目，有apache/nginx web服务器部署经验；4.精通mysql数据库，有电商平台开发经验，熟悉memcache，redis开发经验；5.在github发布或参与过其他开源项目优先；在技术博客或者论坛中发表过文章优先；6.具备独立解决问题的能力，思维逻辑性要强，能主动积极、善于学习和沟通，有良好的代码编写习惯,具有团队协作精神；岗位职责：1. 负责公司自主产品的研发；2. 负责数据库设计，接口设计开发，项目部署；3. 参与公司平台级产品的设计和研发；","移动互联网,数据服务",15-50人,php,无锡
后端开发,https://www.lagou.com/jobs/7216544.html,滨湖区,5k-10k,无锡方纬国信息技术有限公司,1-3年,本科,工作时间：8:30-5:00 做六休一,岗位职责：1、负责公司小程序平台的维护与迭代，完成部分功能模块的优化开发。2、负责数据库优化、程序性能优化，能够主动整理技术文档。维护软件/平台，保持软件/平台的可用性和稳定性。3、配合协同部门的工作，及时反馈需求和技术上的问题，提供合理化建议并积极推动问题解决。4、服务系统服务器运维管理及优化工作。任职资格：1、3年以上PHP项目开发经验，本科以上学历，计算机或相关专业；2、熟练掌握ThinkPHP开发框架，面向对象设计方法和编程思想具有优良的编码习惯；3、熟练使用Redis、Mysql，深入理解缓存、SQL优化；4、熟悉Javascript、html、css、jQuery技术，微信小程序开发经验1年以上；5、责任感强、有较强的逻辑思维能力、沟通能力和抗压能力；6、了解Linux系统，熟悉常用的Linux操作命令；7、有微信公众平台、微信开放平台使用经验优先。8、熟悉LNMP架构，能熟练进行Nginx和PHP的编译和配置。,"数据服务,其他",少于15人,php,无锡
前端高级开发工程师,https://www.lagou.com/jobs/7182664.html,滨湖区,12k-20k,小佩网络科技（上海）有限公司,3-5年,本科,年底双薪 技术氛围深厚 公司团建,"高级前端工程师岗位职责：1. 负责新零售SaaS系统前端开发,微信公众号/小程序/管理系统/物联网等；2. 负责系统功能的设计到开发,包含PC/PAD/手机端3. 欢迎有实力者加入,全栈更佳任职要求：1. 本科以上学历,计算机或相关专业,3年以上项目经验2. 熟练使用angular或者react框架,善于调优解决疑难杂症;3. 混github等开源社区,爱研究源码者优先4. 熟悉mac/linux, gulp, webpack 等开发环境5. 有电商/微信公众号/ ERP开发经验者优先;6. 掌握任一种后端开发者优先,例如 java/php/python/node;7. 热爱前端开发, 工作主动性强；8. 有良好的沟通能力与团队合作精神。","移动互联网,消费生活",150-500人,php,无锡
前端开发工程师(J11111),https://www.lagou.com/jobs/6833828.html,新吴区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,六险一金 年终奖丰厚 不打卡 弹性上班,"1、2020届全日制本科及以上学历应届毕业生，计算机/软件工程/信息管理/数学与应用数学等理工科类专业； 2、熟悉HTML(5)/CSS(3)/Java""script""，并有相关的项目开发经验或成果；","移动互联网,企业服务",2000人以上,php,无锡
前端开发工程师,https://www.lagou.com/jobs/7125653.html,滨湖区,9k-15k,小佩网络科技（上海）有限公司,1-3年,本科,年底双薪 技术氛围深厚 公司团建,"岗位职责：1. 负责新零售SaaS系统前端开发,微信公众号/小程序/管理系统/物联网等；2. 负责系统功能的设计到开发,包含PC/移动端3. 欢迎有实力者加入,全栈更佳任职要求：1. 211本科以上学历,计算机或相关专业,2年以上项目经验2. 熟练angularjs/angular,同时了解react/vue框架,善于调优解决疑难杂症;3. 混github等开源社区,爱研究源码者优先4. 熟悉mac/linux, gulp, bower开发环境5. 有电商/微信公众号开发经验者优先;6. 掌握任一种后端开发者优先,例如 java/php/python/node;7. 热爱前端开发, 工作主动性强；8. 有良好的沟通能力与团队合作精神。","移动互联网,消费生活",150-500人,php,无锡
高级测试专家(J11026),https://www.lagou.com/jobs/6640703.html,无锡新区,10k-15k,朗新科技股份有限公司,3-5年,本科,产品经理,,"移动互联网,企业服务",2000人以上,php,无锡
T5～T6前端开发工程师,https://www.lagou.com/jobs/7139728.html,滨湖区,8k-14k,智慧工场控股有限公司,3-5年,本科,五险一金 双休 定期团建 多次晋升加薪,前端工程师 T5～T6 「岗位职责」 1）【业务支撑】对内承担公司自有产品的研发；对外为公司孵化和投资的项目(公司)提供技术研发支持；2）【文化共建】主动持续学习、沉淀与分享，共同参与团队人员培养、梯队建设、影响力建设，共创工程师文化；3）【知识地图】参与技术体系结构化建设，共同推动团队与个人短期、中期、远期知识地图的规划完善及落地；4）【持续基建】持续完善基础设施，建设工具、抽象框架、复用资产，促进前端工程化、服务化，持续提效，持续提质；5）【架构探索】关注并钻研前沿技术和创新交互，增强用户体验；不断探索新技术框架及边界，产出架构方案并推动落地； 「职位要求」 1）想做事，能做事，会做事，做成事；勤思考，善总结，有思想;2）简单，正直，真诚，积极，乐观，皮实，客观；不阴郁，不政治，不佛系；3）较好的自驱力、沟通能力、工作责任心；良好的编码风格，对技术和开发有热情；4）计算机相关专业;5）英文技术文档读写能力; = 高级T5 =   6K-9KA）2～3年前端工作经验；B）深刻理解 Web 标准，对可用性、稳定性、可访问性、可扩展性等有基于实践的理解和方法论沉淀；C）精通 HTML5、CSS3 和 JavaScript，掌握 HTTP 及相关网络协议，熟悉跨终端、跨浏览器的开发模式和平台特性，了解业界技术发展状况； = 资深T6 =   10K-15Ka）3 年以上前端工作经验（学习能力超强/剑走偏锋的同学除外）；b）具备丰富的前端架构经验，能根据业务产出特定领域的前端技术方案或前端工程方案；c）至少具备一门服务端开发技术（如：PHP、Java、Python、NodeJS 等），具备一定的服务端开发经验；d）持续关注业界前沿技术，具有较强前瞻能力和执行力，对 Web 技术方向发展具备一定的思考；e）有培养新人，带动团队成长的经验；,其他,15-50人,php,无锡
前端工程师,https://www.lagou.com/jobs/7030370.html,滨湖区,6k-10k,江苏拍信云计算科技有限公司,1-3年,大专,福利待遇好，交通便利,岗位职责：1、公司产品的前端业务的实施/升级/维护。职位要求：1、熟练使用Vue全家桶和React+TypeScript，会Angular者优先；2、对UI和交互敏感，擅长CSS美化调优，熟悉CSS预处理器；3、熟悉Node.JS，并且熟悉除次以外至少一种后端语言（如Python/Php等）；4、懂产品部署和CI/CD者优先；5、Github有上参与开源项目者优先。,"企业服务,消费生活",50-150人,php,无锡
小程序开发,https://www.lagou.com/jobs/4214653.html,梁溪区,12K-21K,无锡轻迅科技有限公司,不限,不限,招聘小程序开发人员,"工作职责： 1、负责微信小程序,公众平台开发，包括页面开发，后台开放接口开发，负责系统的技术架构和概要设计； 2、熟悉小程序开发流程，完成UI设计、数据库环境搭建、服务器配置，了解SSL证书； 3、能够独立完成详细设计及编码、进行代码审查。 职位要求： 1、了解 Node.js、PHP、Java等后端语言中至少一种，熟悉MySQL/Redis等数据库、Linux操作系统、Web服务器； 2、精通HTML5、CSS3、JavaScript、Node.js等技术； 3、在交互开发、用户体验等方面有自己的见解，能主动根据业务需要，提出合理的方案； 4、有成熟小程序产品，有微信开发、微信支付、Node.JS经验者优先; 5、熟悉微信小程序开发流程，学习能力强，喜欢尝试新知识； 6、动手能力强，实现速度快，能不停优化和提升产品。","企业服务,移动互联网",少于15人,php,无锡
java开发/前端开发/项目经理,https://www.lagou.com/jobs/5697930.html,梁溪区,6k-12k,无锡启诚感知技术应用有限公司,3-5年,大专,职业规划,"Java开发：（4K-8K）1、1-2年以上相关经验，扎实的Java语言基础，有手机客户端界面编程经验；2、熟练掌握JQuery、Structs,Hibernate、mybatis、Rest Service、Spring Framework等前沿技术，使用过Netty、Mina等主流开源通信服务器框架;3、熟悉 DIV+CSS，有页面美化和设计经验优先考虑；4、熟悉SQL Server、Oracle、MySql、DB2数据库，有数据库优化能力者优先；5、在实际项目中能够根据系统总体设计完成功能模块设计、代码编写、单元测试等工作；6、具有较强的自学能力，能够承受一定的工作压力，迅速解决工作中遇到的实际问题，具有良好的团队合作精神和沟通能力；7、具有良好的代码编写和设计文档编写习惯；8、计算机专业、数学专业专科及本科相关以上学历；9、优秀应届生亦可。前端开发：(4K-7K)1.负责WEB端、APP端（h5及webAPP）产品构建、开发、优化;2.配合后台、UI进行界面和接口集成;3.持续优化前端界面和脚本，保证兼容性和高性能;4.富有挑战的前端新技术研究;5.与团队保持良好的沟通，提供合理的技术方案建议。任职要求：1、了解http协议, 熟悉web开发流程, 有业务网站、电商网站、门户网站、移动端开发经验; 加分项：有H5或webAPP、小程序开发经验2、熟悉HTML5、CSS3、JavaScript语言，具有良好的代码习惯、编程规范，加分项：了解面向对象编程, 了解ES63、熟悉jQuery、bootstrap等主流框架、库;4、熟悉vue、react、angular等一种、多种前端主流框架;5、了解webpack打包工具;6、会安卓移动端的优先考虑;7、有良好的沟通协调能力，有责任心，思维逻辑性强;8、善于学习，自我驱动，了解和学习业界新的技术项目经理：(6K-12K)岗位职责：1、整体把握项目的业务需求，熟悉技术框架，了解主要的技术点。2、在项目实施中进行人员调度和进度安排，督促项目成员按预定计划完成工作。任职要求：1.性格稳重，善于沟通,有责任心。2.有足够的生活经验，对各行业与IT技术应用的关系有充分的认识。技能要求：1.参与过多个项目的实际开发，至少有一个项目的实际管理经历。了解软件开发流程和开发技术。能够独立完成开发框架的搭建。2.精通java并了解php C#等其他开发语言；3.熟练应用oracl sqlserver   mysql 等数据库中的至少一种；4.熟练使用ajax,jquery等前台技术；5.熟悉tomcat，jboss，apache,IIS等应用服务器的部署和应用；6.熟悉手机应用开发（了解安卓 苹果等开发技术）   ；7.了解物联网应用技术（了解传感器原理，网络协议等技术）等现今主流技术。8.有较强的技术调查能力。市场经理(面议)主要职责：1、负责公司周边及全国区域内软件及系统集成类项目的市场拓展；2、负责区域客户维护及行业市场开拓，对IT业市场进行调研；3、提出合理化销售策略及建议，开拓并维护当地客户及渠道业；4. 挖掘潜在商机，展开项目跟踪与商务谈判，完成销售任务。5、负责项目的签订和协调；6、接受总经理的工作安排；7、完成公司安排的其他工作。任职资格：1、全日制专科及以上学历，计算机、软件类、营销类专业优先； 2、有较强的工作责任心和营销能力，具有良好的交流、谈判技巧； 3、 具有计算机集成相关行业销售经验；4、有软件销售经验及客户资源者优先","移动互联网,电商",50-150人,php,无锡
