job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php工程师,https://www.lagou.com/jobs/6848886.html,西湖区,15k-30k,杭州晓宇科技有限公司,3-5年,不限,氛围轻松，期权鼓励，恋爱社交，大牛聚集,"【职位诱惑】扁平管理；优厚薪资；不打卡；带薪休假，超长年假；提供餐补，休闲下午茶；职业大牛；晋升空间；自由发挥；团队氛围好，团建活动丰富；### 关于『红蓝 CP』，关于工程师岗位职责0. 『一专多精』是我们对『人才』的定义。1. 团队工程氛围异常浓厚，CEO 能写 Query 从 Mysql 或 Hadoop 查数据，产品和运营同学交付需求有时会详细到数据库表设计。2. 产品方向上，我们通过数据做决策。工程研发上，写代码前，我们花大量的时间在做方案设计。3. 工程团队承担极具挑战的研发任务，给用户提供高质量的产品。4. 我们通过大量制造和使用的工具，避免重复劳动，实现快于一般团队数倍的速度交付产品。5. 通常，团队的每个工程师都会涉及多个技术领域的研发工作。### 任职要求0. 为人正直，品味良好。1. 使用 Google 而非百度；2. 基础扎实，了解时间复杂度，空间复杂度；3. 至少熟悉一个技术栈的产品研发;4. 熟悉 Linux 常用命令；5. 代码干净漂亮；6. 良好英文阅读能力；7. 对技术有热情，痴迷于精巧的结构；### 加分项0. 熟悉 Vim 操作；1. 会多种开发语言;2. Typing speed, WPM 90 以上: http://www.keybr.com/3. GitHub 上有代码或者有博客；4. 英语口语较好；### 团队技术栈1. 崇尚小而精团队，不做劳动密集型的事情，任何事情要是重复超过 3 次，就一定会被工具化。2. 推崇务实，有问题解决问题的踏实的工程态度。3. 团队每个成员都会多门语言。以下是目前的团队技术栈：* 大前端方向    * iOS: Swift    * Android: Material Design / Target Api 28 / 部分 Kotlin    * 客户端部分功能使用 weex 实现，以减少团队重复劳动    * Web: vue.js，部分老旧业务还是 jQuery；styling: css / less / sass    * 小程序: wepy* 大后端方向    * 开发和生产环境全容器化，server 弹性伸缩    * 全 https    * 大量使用 CDN    * 大量使用队列削峰填谷    * 后端主要语言为 PHP，python 和 Java 做一些中间服务，openresty    * devops: ansible / cloud-init / Jenkins    * 日志收集使用 ELK    * Data warehouse: Hadoop    * 推荐系统目前基于用户标签### 在招职位我们需要业界优秀的人才来带领我们前进，也欢迎聪明有天分的后起之秀为将来提供更多的可能。目前我们处于高速增长阶段，人才多益善。如果你擅长以下一个或多个方向，并认同我们，欢迎加入我们：*  Android 方向*  iOS 方向*  后端方向*  前端方向*  数据方向*  机器学习方向---可以先了解我司产品：App：红蓝CP小程序：一周CP | 恋爱体验馆【红蓝CP - 企业介绍】简书链接https://www.jianshu.com/p/2ac36e9f773e","移动互联网,社交",15-50人,php,杭州
php开发工程师,https://www.lagou.com/jobs/6972670.html,西湖区,20k-30k,杭州微拍堂文化创意有限公司,3-5年,本科,六险一金 双休 节日福利 快速发展平台,岗位职责：1、参与产品初期的需求定义；2、根据需求快速完成开发方案设计，主要负责App的后台系统框架设计开发、及维护工作；3、与前端工程师合作，开发交互、性能、安全性良好的service接口的编写；4、功能自测、代码定期自查、框架及系统完善；5、参与日常的功能快速迭代，负责App的后台管理系统的开发和运营支撑；任职要求：1、三年PHP开发经验，热爱技术，喜欢钻研。精通熟练PHP框架，熟悉Laravel、Symfony、Yii等主流框架其中至少一种，熟悉OOP和OOD思想；2、熟练使用MySQL或其他大型数据库，对索引、锁和事务有较深入的了解，有并发处理经验，有相关的调优经验；3、熟练使用Redis、Memcache等常见非关系型数据机制；4、熟悉直播的相关的优先，有Android或iOS开发经验者更优5、有良好的代码习惯，代码结构清晰、命名规范、逻辑性强、冗余率低、注释清晰。6、具有很强的团队意识和团队合作精神，有强烈的责任感，有良好的沟通协作能力，可承受较强的工作压力7、熟悉Go/Java等一种或几种语言,"移动互联网,电商",500-2000人,php,杭州
PHP技术专家/高级开发工程师,https://www.lagou.com/jobs/7219168.html,余杭区,25k-40k,阿里巴巴（中国）有限公司,3-5年,本科,13薪，年终2-6个月，阿里巴巴集团股票,职位描述1. 参与阿里巴巴经济体的技术阵地建设，负责独立产品。2. 负责团队技术架构，进行系统设计和重构，核心模块开发；3. 指导和培训团队成员，影响并帮助团队成员发展和成长，营造积极乐观的团队氛围；4. 持续学习与创新，深刻理解业务，用技术解决业务问题，追求卓越、精益求精职位要求1.本科及以上学历，计算机相关专业；2.三年以上开发经验，有较强的协同、合作能力，精通PHP、MySQL程序设计及开发；3.对主流PHP框架有实战经验，如Yaf、Yii、Zend等，有Yaf框架实战经验优先；4.熟悉HTML/CSS/JAVASCRIPT相关知识和Redis缓存技术等；5.有责任心，具备良好的编码习惯，思路清晰，较强的学习及沟通能力。6.有较强的架构设计能力，有团队管理经验者佳；7.熟悉java语言，了解微服务框架SpringBoot者更佳。,电商,500-2000人,php,杭州
php开发工程师,https://www.lagou.com/jobs/7113823.html,滨江区,10k-20k,杭州睿琪软件有限公司,3-5年,本科,"弹性工作,餐饮补贴,零食茶饮","职责描述：1. 负责 Web 和 APP 项目的功能实现；2. 快速原型开发，快速迭代并迅速投入产品。职位要求：1. 2 年以上 PHP 编程语言开发经验；2. 深入理解 PHP 和常用开发框架，如：Laravel, ThinkPHP，React 等, 深入理解 Laravel 者优先；3. 深入理解 HTML5、javascript、XML、CSS 等等 Web 相关技术知识；4. 熟悉一种以上主流的关系数据库；5. 掌握算法设计和数据结构；6. 较强的独立工作能力和解决问题的能力，有团队协作精神和带队能力；7. 参与并了解 Web 开发的整个流程者优先；8. 有高并发, 高性能调优工作经验者优先。",数据服务,150-500人,php,杭州
PHP开发工程师,https://www.lagou.com/jobs/1420817.html,江干区,5k-10k,杭州纳舍科技有限公司,1-3年,本科,弹性工作，定期团建,"首先你对技术有着浓厚的兴趣， 能用最适合的工具来更好地完成适合的挑战， 这个意味着你有很多机会去尝试新鲜的技术， 你可能使用php, 可能使用nodeJs, 可能使用Go， Scala，或者Java作为软件工程师， 您会参与到公司新产品的研发工作中，在研发过程中会学习参与到规范严谨的开发流程实践中，以保证产品准时和高质量的完成。岗位职责
 开发互联网硬件设备的业务软件.
 开发基于云上的数据服务.
 自动化测试案例的编写
 参与系统的部署维护和升级
 开发文档的编写和维护
岗位任职要求
 熟悉PHP Symfony框架
 熟悉ORM等相关技术
 熟悉Mysql数据库
 虚心好学，对技术开发有浓厚兴趣
 有良好的英语基础
 对软件开发过程有基本的了解
 了解基本的Linux使用
 良好的沟通能力和团队精神
 有JavaScript开发经验的候选人优先
 有HTML,CSS开发经验的候选人优先
 Nodejs技术栈
 了解Java的候选人优先
福利
 每年一次报销参加费用，可以选择参加ComicUP或者China Joy, 或者其他年度技术论坛等
 每年书券报销
 每月月度奖金
 缴纳五险一金
 定期团建，可能去看西湖全景的自助，也可能去日料全自助，当然比较多的还是去吃了长肉的蟹肉煲
 合理的其他福利都可以提
如果有github账号及开源项目，则优先考虑","企业服务,数据服务",15-50人,php,杭州
php开发工程师,https://www.lagou.com/jobs/7025953.html,江干区,15k-25k,杭州多麦电子商务股份有限公司,3-5年,本科,"双休,五险一金,补贴,国内外旅游","岗位职责：1. 协助系统架构与平台设计工作;2. 承担应用核心模块的设计/实现工作;3. 负责相关设计开发文档的整理和编写; 岗位要求：1. 本科以上学历，至少3年以上PHP开发经验，熟悉主流的PHP框架，如Laravel, Phalcon, Swoole等；2. 熟悉容器、RPC、消息、存储等相关中间件产品开发经验；3. 熟悉Composer组件开发及善于使用Packagist；4. 了解框架的底层实现, 对业务中的疑难杂症有研究精神 ；5. 了解常用算法及算法实现原理, 了解常用设计模式, 了解简单的软件架构方案；6. 可以书写高封装性、高复用的面对对象代码, 可以实现高可用高并发高性能的代码；7. 严格遵守代码编写规范、注释和文档习惯，具有单元测试和持续集成的意识，熟悉Git等版本管理工具, 熟悉Git多分支协同开发流程；8. 个性乐观开朗，有项目管理经验，可以主动推进工作，对结果有追求。","移动互联网,电商",150-500人,php,杭州
PHP工程师,https://www.lagou.com/jobs/6907413.html,西湖区,15k-30k,杭州推宝科技有限公司,3-5年,本科,团队优秀、绩效奖金、餐补、月度团建,岗位职责：1.参与项目需求的技术评审及设计、独立完成相应模块的设计、开发、编程任务；2.完成自己开发功能的单元测试，查出存在的缺陷并进行修正；3.改进框架，基础架构，持续优化服务。 岗位要求：1.本科以上学历，计算机相关专业毕业，4年以上php开发经验；2.掌握web开发规范，熟悉http协议。3.精通php、熟悉MVC开发思想，熟练使用Phalcon、laravel、Yii、Thinkphp等框架至少一种；4.熟悉linux操作系统，能独立完成linux下PHP开发环境的搭建和调优，具备一定的linux日常操作能力；5.参与过1000万以上数据存储方案设计，能力独立完成MySQL建模，项目数据结构设计，有MySQL性能调优经验；6.参与过日活用户量100万以上的项目开发，熟悉redis、memcache原理，精通redis各种数据类型的用法，有一定的数据库缓存设计经验；7.熟练掌握git版本控制系统。8.思维敏捷，学习能力强，热爱程序开发，有良好的沟通能力和团队精神。,移动互联网,50-150人,php,杭州
php开发工程师,https://www.lagou.com/jobs/6956124.html,拱墅区,8k-15k,浙江盘石信息技术股份有限公司,1-3年,本科,五险一金、星级食堂、节庆福利、职业规则,"岗位职责1、根据项目需求，负责项目功能和接口的PHP开发；2、参与需求分析、功能可行性分析、技术可行性分析；3、独立负责部分子模块的系统分析和设计、数据库设计、程序开发、集成测试等；4、对自己开发的模块的性能、稳定、安全等方面的监测和调优承担责任。5、项目维护及开发工作，需要独立完成前端及后端工作。任职要求1、本科以上学历，三年以上PHP开发经验，扎实的PHP语言基础；有JAVA开发能力优先2、熟悉MVC开发模式，熟练使用PHP语言，熟悉至少1种PHP开源框架，熟练使用ThinkPHP框架优先；3、熟悉MySQL数据库与NoSQL数据库，具备一定的MySQL索引优化、查询优化能力；4、熟悉MemCache/Redis缓存等缓存组件,有使用Redis缓存开发经验优先；5、熟悉nginx、redis等基础服务的配置，优化和故障排查,熟悉linux shell脚本编写6、熟悉javascript、html5、CSS3、ajax、jquery等前端页面与交互技术，能独立开发前端页面及使用jquery开发一般交互效果；7、熟悉Linux常用指令，开发环境搭建，熟悉Git版本工作流；8、有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；9、有较强的沟通能力、团队合作精神、高度的责任心和较好的服务意识。","移动互联网,广告营销",2000人以上,php,杭州
高级PHP开发工程师,https://www.lagou.com/jobs/6955219.html,余杭区,20k-30k,杭州悦玩网络科技有限公司,5-10年,本科,全年16薪，包三餐，六险一金,岗位职责：1.负责千万级用户系统、支付系统架构设计及重构优化； 2.针对手游系统的高可用稳定性进行优化；3.基于业务发展趋势，有针对性的对系统进行重构优化；4.协助技术总监管理PHP团队。任职要求1.计算机或相关专业本科以上学历，5年以上开发经验；2.精通php、swoole编程；3.熟悉Linux下lnmp环境部署和性能调优； 4.至少熟悉一种主流框架如ThinkPHP、laravel、yaf等框架； 5.精通mysql、mongodb性能优化；6.精通redis、memcache等数据缓存技术； 7.良好的语言表达沟通能力及组织协调力，全栈能力加分。,游戏,150-500人,php,杭州
高级PHP开发工程师,https://www.lagou.com/jobs/7114077.html,滨江区,15k-20k,南通云尚找家纺电子商务有限公司,5-10年,大专,弹性工作 餐补,岗位职责：1、负责公司平台及客户的网站开发和维护工作；2、与团队各部门合作，使用PHP+MySQL搭建网站及客户端，实现网站及客户端各个功能；3、进行网站各项功能的测试和维护，对网站各项功能的维护与修改；4、对软件在应用环境下进行二次开发，参与需求分析与设计，负责完成PHP核心代码，接口规范制定；任职资格：1、专科学历，5年以上使用PHP+Mysql编程经验；2、掌握常见场景设计，如消息队列、缓存、高并发、等（有千万级流量网站开发经验、商城系统开发优先）；3、熟悉LNMP环境的使用及搭建、调试、排错、优化、部署等；4、有两年laravel框架的使用经验，熟悉Laravel、Phalcon、ThinkPHP、YII 中至少一种框架；5、对B/S系统有深刻了解，熟悉HTML、javascript、CSS、XML等技术；6、良好的工作态度与团队合作精神及耐性；7、能接受前期出差，入职当月要在南通出差~逐月减少；,"电商,消费生活",150-500人,php,杭州
