job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/6762047.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；2、负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；3、协助进行系统推广、培训、运营等相关落地支持工作。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；3年以上应用系统开发经验；2、熟悉PHP语言，同时熟悉或实践过Go/Java等后端语言开发者为佳；3、熟悉Linux操作系统，能熟练使用MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；4、主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；5、有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；6、对新技术保持好奇心并具有专研精神和创新思维。,社交,2000人以上,php,深圳
php开发工程师,https://www.lagou.com/jobs/6029514.html,龙华新区,6k-11k,畅销家（深圳）科技有限公司,1-3年,大专,可接触到高并发，大流量，前景好，氛围好,"岗位职责 1.负责日常的查询维护2.常用快递的新增3.代理池的维护4.日常客服的常见问题的处理等 任职资格 1.全日制大专以上学历，2年以上互联网工作经验，计算机专业优先； 2.掌握基本的前端知识，熟悉js，jq的运用；3. 熟练使用php正则，有抓包经验优先；4. 熟悉基本的http响应code，如500,302等；5.要有基本的分析能力和应对基本的问题能力，如：工作上基本问题的应对等；员工福利：1、上班制（大小周），9:00-12:00,13：30-18:30；2、六险一金，法定节假日按国务院规定的执行；3、定期下午茶水果零食/每周羽毛球篮球运动/每月员工生日会庆祝/公司室内免费健身房/定期读书和技术分享会/提供相关书籍的阅读；4、定期团建/年度体检/节日津贴/项目奖金；","电商,数据服务",15-50人,php,深圳
php开发工程师,https://www.lagou.com/jobs/7108890.html,宝安区,10k-20k,深圳哈稀网络技术有限公司,1-3年,本科,奖金多多，发展空间大,【岗位职责】：负责公司运营需求迭代和高性能服务器调优。【任职资格】：1、1年以上PHP开发经验，有大型PHP项目开发经验； 2、扎实的PHP编程基础，有基于Redis队列开发经验； 3、深入分析过主流MVC框架，了解底层结构；4、熟悉MySQL数据库的操作，优化与开发技术；5、有基于开源框架二次开发经验者优先；,"移动互联网,金融",50-150人,php,深圳
php开发工程师,https://www.lagou.com/jobs/6112330.html,龙华新区,6k-8k,畅销家（深圳）科技有限公司,应届毕业生,大专,"薪资优势,前景好，氛围好,成长快","岗位职责 1.负责日常的查询维护2.常用快递的新增3.代理池的维护4.日常客服的常见问题的处理等 任职资格 1.全日制大专以上学历，1年以上互联网工作经验，计算机专业优先； 2.掌握基本的前端知识，熟悉js，jq的运用；3. 熟练使用php正则，有抓包经验优先；4. 熟悉基本的http响应code，如500,302等；5.要有基本的分析能力和应对基本的问题能力，如：工作上基本问题的应对等；员工福利：1、上班制（大小周），9:00-12:00,13：30-18:30；2、六险一金，法定节假日按国务院规定的执行；3、定期下午茶水果零食/每周羽毛球篮球运动/每月员工生日会庆祝/公司室内免费健身房/定期读书和技术分享会/提供相关书籍的阅读；4、定期团建/年度体检/节日津贴/项目奖金；","电商,数据服务",15-50人,php,深圳
php开发工程师,https://www.lagou.com/jobs/7160578.html,罗湖区,11k-16k,坤金聚宝（深圳）科技有限公司,3-5年,大专,五险一金 弹性工作时间 周末双休,1. 根据设计，进行相关模块及功能的代码编写，随时检查开发过程，调整进度，保证编码开发工作的按时完成，并保证代码符合公司的相关规范要求；2. 根据项目开发方案，进行系统建模、数据结构设计等，保证程序开发的规范性、健壮性；3. 开发高性能数据接口、数据分析任务、平台业务相关模块；4. 参与维护并不断发现和改进存在的问题，不断提升系统性能；5. 积极参与产品，功能与技术架构的改进，参与技术规范的实施。6. 参与项目需求评审，编写开发文档、计划文档；,电商,15-50人,php,深圳
PHP高级开发工程师,https://www.lagou.com/jobs/6741927.html,南山区,30k-50k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；2、负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；3、协助进行系统推广、培训、运营等相关落地支持工作。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；7年以上应用系统开发经验；2、精通PHP语言，同时熟悉或实践过Go/Java等后端语言开发者为佳；3、熟悉Linux操作系统，能熟练使用MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；4、主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；5、有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；6、对新技术保持好奇心并具有专研精神和创新思维。,社交,2000人以上,php,深圳
高级PHP开发工程师,https://www.lagou.com/jobs/4822767.html,宝安区,15k-30k,深圳哈稀网络技术有限公司,3-5年,本科,"福利好,奖金多,发展前景好",职位诱惑：大牛团队、海外旅游、花样奖金【岗位职责】：负责公司产品的研发和产品功能优化迭代。【职位描述和要求】：1、3年以上PHP开发经验，有大型PHP项目开发经验； 2、扎实的PHP编程基础，有基于Redis队列开发经验； 3、深入分析过主流MVC框架，精通ThinkPHP等，了解底层结构；4、熟悉MySQL数据库的操作，优化与开发技术；5、有基于开源框架二次开发经验者优先；6、有交易所撮合系统开发经验者优先。,"移动互联网,金融",50-150人,php,深圳
高级php开发工程师,https://www.lagou.com/jobs/7186618.html,罗湖区,25k-36k,深圳市阿卡索资讯股份有限公司,5-10年,本科,"五险一金,周末双休,健身俱乐部,带薪年假","岗位职责 ：1、负责各种cms开源程序的开发。2、按负责人的需求把cms开源程序功能进行开发、实现。 岗位要求 ：1、本科或以上学历，计算机相关专业，6年以上PHP开发工作经验，4年以上PHP开发团队管理经验。2、精通PHP编程开发语言、精通MySQL数据库、精通Linux操作系统。3、精通PHP主流框架（如：Lavarel、ThinkPHP、Yii、CI）。4、精通各种cms开源程序。5、精通织梦程序，帝国CMS，苹果CMS,wordpress程序仿站。6、精通前端HTML5、CSS3、jQuery、Node.JS、Backbone。7、精通各种采集。8、具备超前时代思维，思维跳跃。9、年龄：86年-98年。","教育,移动互联网",2000人以上,php,深圳
php开发工程师,https://www.lagou.com/jobs/6036947.html,龙华新区,15k-25k,深圳市智学帮科技有限公司,3-5年,大专,在线教育，员工期权，五险一金，带薪年假,【岗位职责】1、负责公司产品的服务端设计和开发；2、负责系统的稳定运行和性能优化；3、负责新项目需求分析、系统设计、数据库设计。【任职要求】1、3 年以上开发经验；2、熟练使用 Laravel，并且有扎实的 PHP 基础，掌握面向对象开发思想；3、熟悉LNMP体系的开发，熟悉Linux操作系统，熟悉Nginx系统配置4、掌握 HTML / CSS / JavaScript 等前端开发技术；5、熟悉MySQL数据库，有MongoDB等NoSQL数据库开发经验者优先6、熟悉memcache/redis、MVC/REST架构、模板引擎、中间件的原理与应用；7、熟练掌握 git，掌握 git workflow;8、有JAVA\GO\Python开发经验优先考虑;9、热爱编程，工作积极主动，学习能力强，友善容易相处。,教育,15-50人,php,深圳
php开发工程师,https://www.lagou.com/jobs/6658347.html,福田区,15k-25k,深圳市万事富科技有限公司,3-5年,本科,加班补贴、带薪年假,"职位诱惑：        平台大,发展前景好,机会多职位描述：岗位职责：1、编写业务代码，负责公司后端核心模块的设计与开发；     2、设计高扩展，高性能，高可用的应用和数据库结构；    3、解决项目中的关键问题和技术难题。     岗位要求：1、本科以上学历，2年及以上php开发经验，有电商经验优先；2、精通基于PHP开源框架的开发，熟悉服务化、缓存技术（Redis）、非关系型数据库（mongodb）、负载均衡（Nginx反向代理）、消息队列（rabbitmq/kafka）等领域；     3、熟悉常用的算法，熟悉开源框架，解决问题能力强；     4、对后端程序性能优化有丰富经验；     5、善于发现问题，解决问题，并能落地解决方案。                         工作地址","移动互联网,电商",500-2000人,php,深圳
