job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
PHP开发工程师,https://www.lagou.com/jobs/5873190.html,望城区,10k-15k,大汉电子商务有限公司,3-5年,本科,周末双休五险一金定期体检交通补助节日福利,"岗位职责：1、使用PHP语言开发互联网应用程序；2、网站产品和网站功能模块的开发与维护；3、与页面设计师协调沟通，编写部分Javascript和HTML；4、参与底层MVC框架的编写与维护。5、熟悉APP数据接口编写任职要求：1、精通PHP、熟悉html、DIV+CSS、JavaScript、Jquery等编程语言；2、熟悉网站html页面优化，有搜索引擎优化（SEO）意识；3、对面向对象有深入的认识，熟练掌握MVC框架技术、至少熟悉并使用过一种框架；4、熟悉OOP、框架、模板、缓存、优化等技术；5、掌握大型数据库应用,熟悉各大支付API接口6、有责任心，善于学习，具有团队合作精神，良好的沟通及表达能力。","电商,移动互联网",50-150人,php,长沙
PHP工程师（工作地点湖南长沙）,https://www.lagou.com/jobs/7084391.html,雨花区,6k-10k,畅销家（深圳）科技有限公司,1-3年,大专,可接触到高并发，大流量，前景好，氛围好,"职位描述：★此岗位工作地点：湖南长沙办公空间★公司自己的产品非外包产品★面试安排为视频面试岗位职责 ：1、参与公司现有系统的优化与升级；2、参与项目的计划、分析设计、组织开发、测试及维护；3、负责撰写所属模块开发文档；任职资格 ：1、深入理解oop思想，熟悉常见设计模式；2、熟悉 PHP 开发框架，如 Laravel/ThinkPHP；3、熟悉Linux 操作，熟练掌握apache，nginx等在linux系统下的部署；4、熟悉mysql，memcache，redis关系/非关系型数据库, 使用过消息队列；5、会使用html，css，js等前端语言，有使用过vue.js，react的优先考虑；6、熟练应用Subversion或 GIT进行协作开发，有撰写设计文档的习惯，有团队开发经验；7、 热爱学习，自我驱动，具备良好的团队合作精神，高度的责任感，善于沟通，为人踏实，抗压能力强，拥有严谨的工作态度；8、有其他后端语言java，python等优先。员工福利：1、上班制（大小周），9:00-12:00,13：30-18:30；2、六险一金，法定节假日按国务院规定的执行；3、定期下午茶水果零食/每周羽毛球篮球运动/每月员工生日会庆祝/公司室内免费健身房/定期读书和技术分享会/提供相关书籍的阅读；4、定期团建/年度体检/节日津贴/项目奖金；","电商,数据服务",15-50人,php,长沙
22989-腾讯云域名产品PHP后端研发工程师,https://www.lagou.com/jobs/6930499.html,岳麓区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,"岗位要求：    1. 熟练使用PHP；至少熟悉并使用过其中一种PHP开源框架（如：CI、Laravel、Lumen等）；有PHP项目的实战经验；2. 熟练使用mysql/redis/memcache等数据库；有mysql性能调优经验；3. 有域名注册、解析、SSL证书等相关产品的技术研发经验优先；4. 良好的理解沟通能力，合理进行任务分解，并以模块化的思维进行代码设计；5. 具有良好的代码风格、接口设计规范；6. 具有大型运营系统、整站开发经验者优先；7. 至少3年工作经验，本科及以上学历；8. 熟悉云计算、有云产品使用经验者优先。注：""此岗位为腾讯集团旗下全资子公司编制岗位""   岗位职责：    1. 负责腾讯云域名产品（DNSPod）及备案系统的后端开发； 2. 负责域名管理相关功能的实现，包括域名注册、解析等功能开发； 3. 负责域名管理系统的架构规划、性能优化等工作； 4. 负责备案系统的功能开发。注：""此岗位为腾讯集团旗下全资子公司编制岗位""",社交,2000人以上,php,长沙
php开发工程师,https://www.lagou.com/jobs/7216334.html,开福区,8k-13k,湖南迅云信息科技有限公司,3-5年,不限,发展前景很大，期待您的加入,"岗位描述：1、参与公司外包项目的架构设计，架构原型实现及核心模块的开发工作；2、参与公司SaaS平台项目的框架及核心模块的编写与实施；3、参与各项目的需求分析与设计，并负责完成PHP核心代码，接口规范制定；4、完成相关的技术文档编写。岗位要求：1、具有5年以上的PHP/MYSQL/WEB及移动端开发经验，熟悉面向对象；2、熟练掌握Lumen\ThinkPhp\YII等PHP框架的两种以上，并了解框架内部的运行机制，能熟练使用Composer、Git、Svn等工具；3、熟悉各种WEB缓存技术,熟悉网站构架和性能优化，能考虑大数据处理；4、有良好的编程习惯，有查看和编写log并优化代码习惯，追求简洁优雅的代码风格；5、熟练使用Linux及Shell编程，熟知各类lnmp搭建、优化及运维技术，能短时间内解决因系统或运行环境产生的问题；6、有1年以上微信小程序项目开发经验优先；7、具有MySQL索引优化、查询优化和存储优化等经验，要求随时随地贯彻最优化开发的思想；8、加分项目： （PHP高性能编程；大数据压力测试；H5和微信应用能力；熟悉前端Vue、React等框架）；9、对外包公司工作的紧张氛围不反感者优先。","通讯电子,软件开发",15-50人,php,长沙
PHP后端研发经理,https://www.lagou.com/jobs/7161500.html,岳麓区,15k-25k,北京久幺幺科技有限公司,5-10年,本科,五险一金、周末双休,1. 参与移动App项目的架构设计，架构原型实现及核心模块的开发工作；2. 带领技术团队完成系统的业务功能开发，优化服务端性能；3. 指导并参与核心代码的编写，并对开发过程、质量进行把关；4. 系统性能调优、线上问题解决，数据挖掘统计。任职要求：1. 本科及以上学历，5年以上工作经验，计算机等相关专业，具备一定的管理经验；2. 熟悉PHP程序开发，熟悉PHP Laravel等项目框架，熟悉Go Lang程序开发优先；3. 拥有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；4. 较强的自我驱动能力，良好的沟通和表达能力，善于分析问题与解决问题。5. 拥有一定的团队管理经验，全栈技术优先。6. 有泛娱乐或者社交产品相关经验优先；,"移动互联网,文娱丨内容",15-50人,php,长沙
php研发工程师,https://www.lagou.com/jobs/7161522.html,岳麓区,12k-15k,北京久幺幺科技有限公司,3-5年,本科,五险一金、周末双休,1. 使用PHP进行服务器功能的开发；2. 参与服务器架构的优化调整；3. 进行相关产品的技术文档编写，方案设计；4. 学习研究业界先进技术，保持技术进步。任职要求：1. 本科及以上学历，计算机相关专业，3年以上PHP项目开发经验；2. 熟悉PHP程序开发，熟悉PHP Laravel等项目框架，熟悉Go Lang程序开发优先；3. 有高负载、高并发开发设计经验，具有分布式系统设计和开发经验；4. 具备一定的javascript、html、css等前端开发能力；5. 拥有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；6. 较强的自我驱动能力，良好的沟通和表达能力，善于分析问题与解决问题。,"移动互联网,文娱丨内容",15-50人,php,长沙
PHP高级开发工程师,https://www.lagou.com/jobs/6245098.html,天心区,8k-16k,长沙聪衡电子商务有限公司,5-10年,本科,"发展前景好,医疗健康的互联网公司，大牛多",岗位职责1. 参与电商项目开发工作；2. 参与公司指定的研发攻关项目；3. 持续对现有软件架构优化、性能优化；4. 了解TDD、DDD开发模式，编写代码的单元测试；5. 不断优化系统设计和前台表现，提升系统效能和安全性。要求：1. 具有3年以上 PHP开发工作经验；2. 熟练掌握LAMP，了解缓存等性能优化；3. 熟悉mysql等数据库开发、配置、维护、性能优化；4. 熟悉Linux系统，Http、Socket协议，能编写shell脚本；5. 熟练掌握软件开发流程，熟练使用版本控制软件和bug管理软件；6. 具有较强的团队意识，高度的责任感，对工作积极严谨，勇于承担压力。工作时间：周一至周五（8小时工作制），周末双休。福利待遇：1、入职当月购买意外险；2、转正后购买五险；3、生日津贴、节庆物资、慰问金；4、工龄补贴；5、旅游；6、带薪年假等福利。7、弹性工作制,"电商,医疗丨健康",50-150人,php,长沙
PHP高级开发工程师,https://www.lagou.com/jobs/6934977.html,岳麓区,10k-15k,湖南映客互娱网络信息有限公司,3-5年,本科,周末双休，五险一金，交补，餐补，,岗位职责：1.负责直播及电商服务的架构设计和开发;2.分析现有服务架构的性能瓶颈，并进行重构和优化;3.系统性能优化，安全加固，保证网站安全、稳定、快速运行；任职资格：1、三年以上PHP开发经验，熟练go、计算机相关专业优化；2、对缓存、队列、存储、网络、代理、配置等各种服务端开源方案有充分了解和实践；3、具备高可用、高性能、高并发、高扩展系统设计经验，对亿级以上PV的系统架构设计有深刻理解；4、至少精通一门语言，精通多线程编程，熟悉分布式服务开发，熟悉异步编程或函数式编程；5、GitHub 使用者、有开源项目贡献者优先考虑；6、具备大型网站架构经验的优先考虑;7、有千万级同时在线即时通讯相关架构和开发经验者优先。,"移动互联网,社交",150-500人,php,长沙
php开发工程师,https://www.lagou.com/jobs/6132421.html,天心区,15k-25k,长沙天创文化传播有限公司,1-3年,本科,五险一金 年底双薪 带薪休假 出国旅游,"职位描述：岗位描述：1、负责产品的研发、架构设计、产品数据库设计、前后台功能模块开发；2、开发数据API，为移动端和前端提供接口支持；3、负责公司已有程序的维护和优化。岗位要求：1. 3年以上PHP、MySQL为主的开发经验，熟悉LNMP技术体系2. 熟悉互联网各类组件,包括不限于Mysql,Redis,Beanstalk,ElasticSearch等3. 掌握Linux操作系统，熟悉相关常用命令及管理方法。4. 有Python相关编程经验优先5. 有大型项目开发经验者优先。","移动互联网,社交",50-150人,php,长沙
php后台,https://www.lagou.com/jobs/7106664.html,岳麓区,8k-12k,湖南蜜仓供应链管理有限公司,1-3年,大专,创业公司，弹性工作制，有电竞室。,"岗位职责：1、负责本公司电商供应链平台的开发、测试、部署与维护，熟悉移动端开发流程；2、参与功能分析、需求调研、架构设计和方案制订；3、负责项目模块的更新、维护和优化；任职要求：1、2年以上开发工作经验，大专以上学历；2、 良好的编码风格和编程习惯,逻辑思维性强，办事沉稳、细致、思维活跃，有创新精神；3、精通PHP7，熟悉设计模式和算法，深入了解PHP的性能最优化和安全最大化；4、精通数据库：Mysql、Redis、Mongodb，精通sql以及sql优化和数据结构；5、至少掌握主流的两个MVC框架。6、熟悉Linux/Unix基本操作，熟悉Nginx、MySQL、PHP等软件的编译安装和最优化配置，了解这些软件的版本差异和不同安装/运行方式及原理；7、了解XML、HTML/XHTML、CSS、Javascript、Jquery、AJAX、JSON等Web页面技术；8、有B2B项目、大数据、高并发经验者优先考虑；9、有良好的团队合作能力，善于沟通，热爱开发事业。","电商,软件开发",15-50人,php,长沙
