job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/7200520.html,市南区,8k-13k,上海敬游软件科技有限公司,3-5年,大专,顶薪,"工作职责:1.负责产品服务器端开发，搭建服务器端框架，开发服务器端逻辑和各类运营接口；2.负责前端框架的搭建与 Web 后台服务程序的研发和编写；2.确保项目研发计划的进度及质量；3.使用php语言,根据功能需求对服务端进行框架搭建；4.游戏逻辑程序（独立模块）填写，游戏系统框架设计；5.在理解产品业务的基础上，主动提升产品的用户体验，技术驱动业务的发展，在交互方式以及页面性能方面不断创新。任职资格:1.大专及以上学历，有5年以上实际项目的开发经验，必须同时具备PHP后端服务器开发及前端web开发的专业能力；2.精通 HTML/XHTML、CSS，熟悉页面架构和布局，对Web标准和标签语义化有深入理解；3.精通PHP后台语言；熟练使用常见的 Javascript 类库，如 AngularJS 等；4.熟练使用任意一种前端 MVC 框架，有前端工程化相关经验；5.熟悉Linux/unix系统与开发环境，熟悉HTTP协议并了解 RESTFUL 规范；6.熟悉至少一种关系型数据库与非关系型数据库。",游戏,150-500人,php,青岛
php开发工程师,https://www.lagou.com/jobs/7025302.html,市北区,7k-14k,青岛诺万电子科技有限公司,不限,本科,五险一金/绩效奖金/年终奖金,"● 熟练使用thinkPHP6,掌握 PHP7 新特性，熟悉 Composer 和 PSR 标准; ● 熟悉JavaScript，熟悉Vue; ● 有微信公众号接口对接或小程序开发经验。One More Thing：● 坚持和善于用技术和工具解决其他问题。● 丰富的中后台前端研发经验优先。期待志同道合的你，一道给互联网行业带来「微小而美好的改变」。","移动互联网,企业服务",50-150人,php,青岛
php,https://www.lagou.com/jobs/7186832.html,李沧区,8k-11k,山东恒晟源控股集团有限公司,3-5年,大专,定期团建，五险一金，节假日福利，生日福利,岗位职责：1、负责企业官网的策划与开发工作；2、与团队各部门合作，实现网站及客户端各项功能；3、熟悉支付接口开发，如支付宝、微信、银联等；4、根据业务需求，进行新产品开发。任职资格：1、大专以上学历，计算机相关专业；2、有一定的PHP+MySQL开发经验，有个人独立作品优先；3、思路清晰、有强烈的进取心、责任心、良好的团队协作精神。加入恒晟源，我们将为您提供：* 舒适、整洁的办公环境；*80、90团队，轻松、愉快、积极向上的工作氛围；*全面专业的培训课程；*行业内极具竞争力、较完善的薪酬福利体系；*广阔的职业提升空间，公平的晋升机制。,教育、企业服务,50-150人,php,青岛
php开发工程师,https://www.lagou.com/jobs/7209197.html,市北区,6k-12k,青岛达芬奇科技有限公司,不限,本科,技术管理，六险一金，福利补贴，项目奖金,岗位职责：1.根据项目开发计划及设计文档，完成网络软件代码编写；2.根据用户及测试部门反馈，完成网络软件维护及BUG修改；3.承担规划和优化产品安全架构，持续提升产品安全性能；4.负责网络平台框架的布局和设置，信息系统的设计、建设、运行及维护工作；5.根据项目开发流程，完成相关开发文档；6.维护公司服务器、网络设备及数据库，确保网络系统平稳运转；7.完成领导交办的各项临时性工作。任职要求：1.计算机、网络工程、通信技术等相关专业本科及以上学历，一年以上软件开发经验；2.熟练掌握PHP开发、Web前端设计与开发、Linux服务器相关技术，软件调试技术；3.了解主流的互联网安全技术和安全产品，如网络安全，主机安全，应用安全，等安全产品；4.具有较强的整合利用网络资源能力，敏锐的网络环境洞察能力及良好的安全管理意识，有较强的网络环境与安全的制定与排查故障能力，熟悉Linux、Windows系统的系统安全管理及网络管理；5.深刻理解网络和数据库基本概念，熟悉服务器的基本知识；6.有良好的代码编写，代码注释习惯；7.良好的执行能力，文档编写能力及团队合作能力。,"移动互联网,医疗丨健康",50-150人,php,青岛
php开发工程师,https://www.lagou.com/jobs/6993300.html,崂山区,7k-14k,海尔集团,1-3年,本科,发展空间大，福利好，人性化管理,"岗位职责：1 负责公司现有业务系统和网站开发、测试、升级、维护；2 根据产品原型，完成Web系统后台与接口的开发；3 参与手机APP接口和服务端开发；4 配合公司其他部门，进行必要的数据分析；5 建立并维护软件开发文档。任职要求：1 全日制大学本科及以上学历，1年及以上PHP开发经验；2 有良好的团队协作能力、积极主动的工作态度和较强的执行力；3 精通PHP+MySQL，有ThinkPHP框架、Yii框架开发经验, Discuz、ECshop二次开发经验者优先；4 精通HTML+CSS+Ajax，熟悉JavaScript，JQuery等框架优先5 熟悉ionic框架、LAMP/LANP、常用Shell脚本命令，有基本的运维管理经验；","物联网,电商",2000人以上,php,青岛
php后端,https://www.lagou.com/jobs/7155539.html,市南区,8k-12k,青岛初九网络科技有限公司,1-3年,本科,双休，下午茶。,一、工作内容1、 负责公司产品的开发，参与需求分析，系统分析及详细设计；2、 按照项目计划，遵循公司开发流程按时提交高质量代码，完成开发任务；3、 参与产品、项目设计方案评审，并提出问题和改进意见。二、任职条件1. 2年以上PHP开发经验，使用面向对象开发，熟悉常用设计模式。2、通常用PHP开发框架如Laravel，Yii中一种，熟悉Laravel尤佳。3、熟悉Unix/Linux操作系统、常用Unix管理命令4、熟悉HTTP协议及W3C相关互联网规范。5、熟悉MySQL数据库应用开发，熟悉MySQL的数据库配置管理、性能优化等基本操作技能；6、具备良好的代码编程习惯及较强的文档编写能力，能独立开发和维护公司的产品，前后端分离接口编写、API文档编写。7、具备强烈的进取心、求知欲及团队合作精神，有较强的逻辑分析能力、沟通及协调能力8、熟练使用git进行团队协作开发。9、专科以上学历，计算机相关专业毕业优先；三、加分项1、个人技术博客或github或stackoverflow或知乎或任何一个可以展现你技术热情的技术社区账户2、 有展示作品请大声说出来3、 大型网站开发经验或ERP系统开发经验。4、能熟练使用C# 或GO 优先,物联网、软件开发,少于15人,php,青岛
php开发工程师,https://www.lagou.com/jobs/7027500.html,黄岛区,8k-15k,青岛质点数字科技有限公司,1-3年,大专,公司提供明确职业规划,一、岗位描述：1.负责搭建PHP系统开发环境；2.负责公司PHP项目的开发维护工作及相关接口开发工作；3.参与需求分析、系统设计、数据库设计、程序开发以及技术文档编写的相关工作。二、岗位要求：1.毕业于国家全日制、统招本科及以上学历。2.工作经验：-精通PHP语言、http协议等；-精通linux环境，精通LAMP环境；-熟悉mysql数据库设计数据库，进行数据库优化；-熟练使用HTML、XML、JavaScript、AJAX以及CSS的编写。3.能力要求：-具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；-具备较好的学习能力、问题分析能力，可以独立调试解决问题；-良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。4.素质要求：-工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；-责任心强，正直诚实，值得信赖。5.优先考虑：-有管理系统（ERP\进销存等）开发、优化经验者优先。,企业服务 移动互联网,15-50人,php,青岛
PHP开发工程师QD001,https://www.lagou.com/jobs/6160803.html,市北区,8k-15k,北京值得买科技股份有限公司,1-3年,大专,五险一金 绩效奖金 节日福利,职位描述：1、积极寻求改进公司现有网站系统的各种可能的思路和方案；2、网站功能的调研、规划和设计；3、深入发掘业务需求，为软件开发提供架构设计，不断优化改进技术平台。岗位要求：1、PHP/MySQL开发经验，熟悉面向对象，具备数据库应用系统的规划及设计能力；2、熟悉网站构架和性能优化，熟悉一种web缓存技术，对web安全有认识和经验3、熟练使用HTML/CSS/JavaScript/ajax/jQuery等技术进行web应用开发4、具备强烈的进取心、求知欲及团队合作精神；5、优化并遵守团队的代码格式、结构的规定，编写易读、易维护、高质量、高效率的代码；6、逻辑思维能力强，做事有条理，具备较强的分析问题和解决问题的能力，工作积极主动、严谨负责；7、有大型门户网站、社区网站等的开发经验者优先；有丰富的项目管理经验者优先。生活需要创意工作需要活力如果你不给力这里肯定没戏,电子商务,500-2000人,php,青岛
php开发工程师,https://www.lagou.com/jobs/6635969.html,城阳区,8k-15k,青岛云岳信息科技有限公司,3-5年,不限,双休 五险一金,"1.  计算机或相关专业，2年PHP开发经验，熟悉LNMP开发环境，熟悉常用的开发框架2. 熟练使用关系型数据库如MySQL以及性能优化；3. 具备很好的学习钻研能力,良好的沟通能力,以及对新技术有好的接受能力，良好的商业道德和个人职业道德，工作能够服从安排，有很强的事业心和进取精神，能承受一定的工作压力。4. 熟悉HTTP协议以及REST风格的接口；5. 熟悉PSR编码规范；6. 熟练使用Git代码管理流程；7. 熟悉HTML/CSS/Javascript等前端技术。8. 精通MVC框架理念,能快速接受新框架的优先.9. 熟悉linux/mac开发环境的优先10. 熟练使用Laravel框架 *了解框架设计理念，了解框架各部门分工更佳。11. 如果有Github账号，请附上Github链接、作品地址等福利待遇：1、早九晚六、周末双休，2、享受一切国家法定节假日，享受带薪年假。享受法定节假日、婚假、产假等带薪休假；3、公司美女帅哥如云、员工享受节日福利，丰富的拓展、团建活动，国内外旅游等。",软件开发,50-150人,php,青岛
php后端,https://www.lagou.com/jobs/6724450.html,李沧区,8k-13k,青岛中联慧云信息科技有限公司,3-5年,本科,五险一金，企业年假,1.负责公司web产品的相关功能开发；2.负责web产品设计、概要等技术文档编写；3.根据产品需求，按时完成设计与开发；职位要求1.本科以上学历，有五年以上PHP开发经验，有良好的编程风格和习惯；2.熟练ThinkPhp、ZendFramework等框架；3.熟练掌握JQuery、HTML、CSS、Javascript、AJAX、JSON等Web页面技术；4.熟练使用MySQL、Oracle数据库开发；5.具备一定查询优化、存储优化、PHP缓存技术、静态化设计方面经验；5.良好的工作态度、团队合作精神及耐性，责任心强，善于沟通；,"企业服务,移动互联网",15-50人,php,青岛
