job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python开发工程师,https://www.lagou.com/jobs/7219359.html,徐汇区,11k-20k,趋曼信息技术（上海）有限公司,3-5年,本科,工作环境好，技术新,"工作职责：1、负责公司AI应用软件的功能开发；2、参与公司重要产品的用户调研、需求分析、技术方案的制定并撰写相关技术文档。任职要求：1、 计算机、数学或相关工科专业研究生或以上学历，3年以上相关工作经验；2、 编程语言：熟练使用Python/C++语言; 熟练Linux的常用命令及脚本编写；3、 深刻理解计算机原理，有良好的数据结构和算法基础；4、 具有AI应用产品开发经验者优先；5、 熟练数据库表设计、SQL语法，熟练MySQL数据库6、 学习能力强，拥有较强的逻辑思维能力，对问题有钻研精神，有较好的沟通交流能力。","电商,企业服务",15-50人,python,上海
Python开发,https://www.lagou.com/jobs/4992755.html,浦东新区,14k-19k,上海海万信息科技股份有限公司,3-5年,本科,"节日礼金,体检旅游,年底双薪,五险一金",1、3年以上python开发经验2、熟练掌握python基础数据结构和通信模型(flask、tonardo等)3、熟练掌握pandas 、numpy，熟悉数据处理4、熟悉数据结构，具备清晰的编程思路和编码风格5、有投资行业金融模型处理经验优先6、有分布式架构开发经验者优先（请遵循简历推荐流程）沟通补充，重点：1，要有实际开发经验，最好2年以上，2，要有良好的代码习惯，能够规范写代码3，最好面试时能够自带电脑展示下自己写的代码，或者现场写代码,"移动互联网,金融",500-2000人,python,上海
python开发工程师,https://www.lagou.com/jobs/5377883.html,徐汇区,10k-15k,上海海万信息科技股份有限公司,1-3年,本科,"五险一金,旅游体检,年终奖,过节费","岗位职责：  1.定期完成量化的工作要求，独立处理和解决所负责的任务，并能够积极提出改进措施； 2.参与公司平台产品的研发，负责相关模块的设计、开发、单元测试； 3.积极和同事沟通和配合，共同完成功能开发；  4.进行程序单元、功能的测试，检查软件存在的缺陷并保证其质量；  5.编制详细的项目概要设计文档和详细设计文档；   任职要求： 1.2年以上开发经验，其中包括1年python开发经验； 2.熟悉基本数据结构与算法,深入理解多线程，协程，多进程等概念，熟悉python语言特性； 3.编程习惯优良，代码结构清晰，命名规范以及具有较强的逻辑性与可读性； 4.熟悉django框架,了解Tornado,Sqlalchemy,Twisted,Flash等框架更佳； 5.熟练使用python常用库以及各种第三方库解决问题； 6.熟练掌握mysql数据库以及基本的sql语句,了解mongodb,redis等Nosql数据库； 7.了解HTTP，TCP/IP等常用internet协议，熟悉Restful规范； 8.熟悉linux开发环境，熟练使用linux操作系统和脚本,了解Devops概念； 9.具备责任心与良好的编程素养。地点：宛平南路88号","移动互联网,金融",500-2000人,python,上海
python开发,https://www.lagou.com/jobs/7133089.html,徐汇区,15k-17k,上海微创软件股份有限公司,1-3年,本科,六险一金 免费三餐,项目背景：今日头条，介意慎投职位描述： 1、负责教育中台服务端的算法与工程的设计和研发工作； 2、运用工程及算法能力实现教育领域的产品落地 3、主要实现语言为Python ／ Golang。 职位要求： 1、大学本科(统招)及以上学历，计算机、通信等相关专业； 2、有扎实的编程能力，掌握Python，Golang，Java，C++等任意一种后端编程语言3、深刻理解计算机原理，有良好的数据结构和算法基础，能够通过算法解决效率问题 4、熟悉Mysql、Memcache、Redis、消息队列等常用WEB组件; 5、有较好的产品意识优先；6、积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；,"企业服务,移动互联网",2000人以上,python,上海
python开发工程师,https://www.lagou.com/jobs/6899512.html,杨浦区,15k-20k,上海道客网络科技有限公司,3-5年,本科,五险一金、补充医疗险、年终奖金,加入 DaoCloud 会负责：  1.负责开发支撑Daocloud基于kubernetes的容器云平台的核心组件2.负责基于 Python 的 web 快速开发、相关优化及产品部署3. 搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题4. 参与 Python 技术的相关产品规划、需求、设计、开发及测试等研发工作5. 协助售前团队，服务客户，解决应用运行在容器平台的技术问题DaoCloud 对你的期望：1. 本科及以上学历，计算机相关专业2.熟悉或精通 Python 语言，有两年以上后台开发经验3.熟悉web开发框架（Django/Tornado/Flask），熟悉 Linux 操作系统及 shell 编程4. 熟悉 MySQL、Redis、Mongo等常见数据库，具有数据库开发和设计能力5. 了解异步框架、集群与负载均衡，消息中间件，容灾备份等技术6. 熟悉代码构建打包流程，熟练使用 Jenkins 等常用 CI／CD 管理软件优先条件：1. 有全栈开发经验或大型在线服务开发经验者优先2. 有从事过云平台、云计算方面开发经验者优先3. 熟悉 Docker和 Kuberenetes 等容器相关技术者优先,"企业服务,数据服务",150-500人,python,上海
Python开发工程师,https://www.lagou.com/jobs/7179333.html,徐汇区,20k-40k,北京市商汤科技开发有限公司,5-10年,本科,大牛团队,岗位职责： 工作职责： 1. 基于Python的AI产品服务器端设计与开发；2. AI产品服务器端持续优化；3. 按照项目计划，按时提交高质量的任职要求：到岗日期： - 任职资格： 1. 计算机或相关专业本科或以上学历，5年以上相关工作经验，具备丰富的python实际项目开发经验2. 熟悉并掌握Flask/Django等web框架，了解架构设计和实现原理3. 熟悉数据库操作，拥有MySQL/MongoDB/Redis等使用经验4. 了解JavaScript/HTML5/WebSocket等技术5. 具有Linux/Unix下操作经验6. 具备良好的团队协作精神，以及积极主动的学习和交流能力7. 熟悉Git，有开源项目贡献者优先8. 了解机器学习，有常见深度学习框架（如TensorFlow，PyTorch等）使用经验者优先9. 了解虚拟化技术，熟悉docker者优先,人工智能,2000人以上,python,上海
python开发工程师,https://www.lagou.com/jobs/7191355.html,松江区,15k-25k,云汉芯城（上海）互联网科技股份有限公司,1-3年,本科,双休，从0到1搭建经验,"工作职责：1、负责 Python 后端服务开发，解决业务逻辑和数据产品相关业务；2、负责算法工程化，对接外部应用和数据源；3、负责搭建和维护后台服务；4、负责服务 API 开发；5、遵守公司规章制度以及相关法律法规。任职资格: 1、统招本科及以上学历，3 年以上 Python 后端开发经验，精通 Flask/Django/tornado 等框架；2、熟悉网络编程，熟悉 tcp，http 等通讯协议，算法基础扎实，代码规范良好，熟练使用 pandas,numpy,regex 等； 3、熟悉 mysql、redis 等常用储存方案及基本原理，能够独立地合理设计数据库结构； 4、熟悉 Linux 系统结构，并熟练使用各种 linux 操作系统命令； 5、良好的编码习惯，熟悉 RESTFul; 6、有微服务、工业领域、电子制造领域、图形图像处理领域经验者优先; 7、抗压能力较强，良好的团队合作精神,有责任感,有较好的沟通能力，主动性强，效率较高。加分项： 1、具备前端能力（HTML/CSS、JavaScript）能力优先；                2、具备电子领域经验，了解电子设计相关基础知识，了解 PCBA 生产工艺和流程；                3、了解 Altium Designer,Cadence,Eagle 等中一种或多种 PCB 设计软件的使用。",电商,500-2000人,python,上海
python开发工程师,https://www.lagou.com/jobs/6279719.html,杨浦区,14k-18k,上海脉策数据科技有限公司,1-3年,本科,"弹性工作,薪酬福利好,技术驱动,大牛互助","职责描述：本职位包含初级到tech lead级别, 参与公司各类(to B or to C)数据产品后台系统的研发* 数据工程方向:  * 数据收集产品: 包括但不限于爬虫, 数据源对接  * 数据处理产品: 包括但不限于ETL, 任务调度* 系统开发方向:  * 数据分析产品: 包括但不限于数据处理, 可视化以及协同操作  * 地图处理产品: 包括但不限于地图服务器的开发(静态瓦片, 矢量瓦片, 地理交互, 3d地图)  * 系统应用产品: 包括但不限于面向c端应用和内部效率工具* 系统运维方向:  * 容器化部署(swarm or k8s), CI/CD   * 大规模私有化管理  * 系统监控 (promethues)  * 内部运营系统开发  * DBA(PostgreSQL, redis, promethues, elk, rabbitmq, kafka)### 任职要求：* 扎实的数据结构与基本算法基础* 数学基础良好* 熟悉 RESTFUL API, HTTP 以及 Linux 开发* 熟悉 Python3 (或者精通某一门编程语言并有意向python发展)* 英语阅读以及代码交流能力良好* 熟悉 Git 代码管理* 开源爱好者, 有解决方案搜索能力以及代码贡献热情### 加分项：精通以下一项以及熟练使用开源库* 网络开发框架: Django, Flask, Tornado, etc* 即时通讯开发: websocket (SocketIO), etc* 数据处理: Pandas, Numpy, Scipy, etc* 全栈开发经验 或 API开发经验* 精通SQL, 有 OLAP 和 GIS 开发经验* 地图(瓦片)服务器开发经验* 熟悉多种数据库, 包括但不限于 Redis, PostgreSQL+Postgis, ELK stack, etc* 熟练使用C++以及开发Python binding* 任务(流)处理系统开发, Storm, OpenFaas, dramatiq, etc### 技术面试内容* 课堂项目/毕业论文介绍说明(应届)* 过往工作经验/项目经验介绍说明* 数据结构与基础算法* 白板算法题* 系统设计* 时长30min~2hour, 2~3轮","数据服务,企业服务",50-150人,python,上海
python开发工程师,https://www.lagou.com/jobs/7191288.html,松江区,15k-25k,云汉芯城（上海）互联网科技股份有限公司,1-3年,本科,技术氛围 五险一金 弹性工作,"工作职责:1、负责 Python 后端服务开发，解决业务逻辑和数据产品相关业务;2、 负责算法工程化，对接外部应用和数据源；3、负责搭建和维护后台服务;4、负责服务 API 开发；5、遵守公司规章制度以及相关法律法规。 任职资格: 1、 统招本科及以上学历，3 年以上 Python 后端开发经验，精通Flask/Django/tornado 等框 架；2、熟悉网络编程，熟悉 tcp，http 等通讯协议，算法基础扎实，代码规范良好。熟练使用 pandas,numpy,regex 等；3、熟悉 mysql、redis 等常用储存方案及基本原理，能够独立地合理设计数据库结构；4、熟悉 Linux 系统结构，并熟练使用各种 linux 操作系统命令；5、良好的编码习惯，熟悉 RESTFul;6、有微服务、工业领域、电子制造领域、图形图像处理领域经验者优先;7、 抗压能力较强，良好的团队合作精神,有责任感,有较好的沟通能力,主动性强，效率较高。加分项： 1、具备前端能力（HTML/CSS、JavaScript）能力优先；                2、具备电子领域经验，了解电子设计相关基础知识，了解 PCBA 生产工艺和流程；                3、了解 Altium Designer,Cadence,Eagle 等中一种或多种 PCB 设计软件的使用。",电商,500-2000人,python,上海
python开发工程师,https://www.lagou.com/jobs/6650438.html,普陀区,15k-30k,叽里呱啦文化传播（上海）有限公司,1-3年,本科,风口行业 牛人多多 氛围简单 呱呱餐厅,"岗位职责：1.全日制本科及以上，计算机相关专业毕业；3年以上Python开发经验；2.精通Python语言，熟练掌握PythonWeb服务搭建部署流程；3.熟悉常见的Python服务框架，包括但不限于Django, Tornado，Flask等；4.熟悉常见的中间件，包括但不限于RabbitMQ、Redis、Kafka、Nginx等；5.熟悉常见的存储方案，包括但不限于MySQL、MongoDB、HBase、Ceph等；6.熟悉常用的开发工具，如Git、SVN等；7.有良好的代码风格和开发习惯，懂得单元测试原理； 其他要求：1.良好的沟通能力；2.性格积极乐观，诚信，有较强的语言表达能力，具备强烈的进取心、求知欲及团队合作精神。","移动互联网,教育",500-2000人,python,上海
