job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
软件工程师（Python）,https://www.lagou.com/jobs/6587714.html,东莞市市辖区,8k-10k,东莞美信企业管理咨询有限公司,不限,不限,六险一金、包吃住、年底分红、带薪年假,职责1. 负责 Python 后端服务开发；2. 参与系统开发、业务需求实现、构建链接前端和数据的中台系统等工作；3. 负责编写服务API文档、技术文档、应用手册等相关技术文档。任职要求1. 熟悉 Python，熟悉Django/Django REST Framework；2. 熟悉 Web API 的接口开发，有微信公众号/小程序/企业微信/钉钉的接口开发经验；3. 熟悉常用数据库的操作（Oracle、MySQL），了解 Redis、MongoDB 在开发上的应用；4. 熟悉 git、docker 等技术，积极主动，善于思考。5.可接受优秀实习生。,汽车丨出行,2000人以上,python,东莞
python开发工程师,https://www.lagou.com/jobs/7210909.html,东莞市市辖区,8k-15k,东莞蛛网信息科技有限公司,1-3年,大专,五险一金；周末双休；项目奖金；股权分红,岗位职责：1. 负责Python后端服务开发，解决业务逻辑和数据产品相关业务；2. 负责搭建和维护后台服务；3. 负责服务 API开发。4. 参与项目需求分析、业务逻辑流程设计、文档编写任职要求1、1年以上Python后端开发经验，熟悉MVC架构，熟悉Flask/Django/tornado等框架；熟练使用多进程和多线程；2、掌握RESTful架构，了解TCP/UDP/HTTP协议原理；3、熟悉mongodb、redis、mysql等常用储存方案及基本原理，能够独立地合理设计数据库结构；4、做过open erp或者odoo一年以上5、精通Linux系统结构，并熟练使用各种linux操作系统命令；6、拥有很强的分析问题和解决问题的能力，强烈的责任感；7、拥有良好的团队合作精神和表达沟通能力；8、有大数据处理经验的优先。,"移动互联网,企业服务",15-50人,python,东莞
python开发工程师,https://www.lagou.com/jobs/7179150.html,东莞市市辖区,10k-20k,上海中软华腾软件系统有限公司,1-3年,本科,五险一金，加班双倍，带薪年假，绩效奖金,"1、统二本理工科，学信网可查2、python开发2年以上经验3、精通python3语法，特性4、熟悉seleuium,panadas，等常用python库的使用5、有软件自动化工具开发经验者优先","企业服务,金融",2000人以上,python,东莞
高级python程序员,https://www.lagou.com/jobs/6862361.html,东莞市市辖区,15k-30k,广东堡塔安全技术有限公司,3-5年,大专,股票期权五险一金餐补旅游下午茶年底双薪,"1、精通 Python2.x/3.x，精通 Perl 正则表达式，良好的编码风格2、熟悉 SHELL 编程, 熟悉C/C++3、熟悉 Debian/Centos, 熟悉Linux文件系统，对Linux内核有一定了解 4、熟悉TCP/IP通信协议5、熟悉websocket通信机制6、需要有一定的架构能力7、熟悉javascript，jquery8、有 Linux 运维及安全软件相关开发经验的优先9、有 lua 语言编程经验的优先10、只招真大佬，此岗位不接受实习生","信息安全,软件开发",15-50人,python,东莞
通用软件工程师,https://www.lagou.com/jobs/6610297.html,东莞市市辖区,13k-25k,华为技术有限公司,1-3年,本科,技术领先、待遇可观,"【工作职责】1.承担多个模块或特性的代码设计（含增量方式）、代码编写、单元测试、静态检查、本地构建、测试环境搭建和测试设计、问题定位、资料开发等工作，指导初级人员完成软件开发等工作；2.主导重要网上问题攻关，组织相关人员配合及时解决问题，及时发布补丁或版本；3.负责模块能的持续集成和自动化测试设计，确保测试工程(驱动,桩和用例)能持续运行，覆盖主要功能和场景。【任职要求】业务技能要求：1、熟练掌握C/C++等主流开发语言的一种；2、熟悉Linux配置和Shell使用；3、熟练掌握常用的软件架构模式，并能熟练使用基本的编程编译工具；4、1年及以上项目开发经验，熟练掌握C/C++等主流开发语言：1）熟悉分布式架构、有分布式软件开发经验者；2）有云计算及大数据/人工智能/网络安全/SDN/NFV等领域开发经验者；5、具有良好的沟通能力，刻苦、敬业、有上进心，有良好的团队合作精神。对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。专业知识要求：1、信息系统/计算机/通讯等相关专业，本科及以上学历，英语通过四级及以上；2、熟悉C/C++、JAVA、Python、JS中的至少一种，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；3、通信业务背景，网络通讯相关协议STP/OAM/MPLS/OSPF/DHCP；4、有数通领域业务、云计算领域开发经验优先。【工作地】东莞，西安两地均可",通讯电子,2000人以上,python,东莞
招聘算法及软件开发(东莞)-智能协作领域,https://www.lagou.com/jobs/7112060.html,东莞市市辖区,15k-30k,华为技术有限公司,1-3年,本科,新冠催熟“远程办公/教育及智能协作”产业,【岗位职责】投入智能协作领域的音频、视频、多模态会议AI及 人机交互等创新技术的预研、算法开发及技术原型验证，帮你成功切入AI领域。1. 音频：基于传统方法及人工智能的语音增强、去混响、回声抵消、盲源分离、网络适应性、编解码等；2. 视频：基于传统方法及人工智能的图像增强、高清低码、内容分享、网络适应性、编解码优化加速等；3. 多模态会议AI：语音会控、声像匹配、声纹识别、NLP、会议摘要等智能协作语音；图像检测与识别、图像语义分割等智能协作图像；4. 大屏人机交互：基于红外屏、电容屏，触屏手势识别，主/被动笔识别；多指多手势识别。 【岗位要求】1. 信号处理或者电子、通信、计算机等相关专业，本科及以上学历；1年以上工作经验。2. 熟悉C 或 C++ 或JAVA(非Web)；3. 熟悉Linux操作系统，并能够在其上进行C/C++/JAVA开发；或者安卓上开发JAVA；4. 熟悉语音信号处理、视频信号处理，智能语音、ASR、NLP、智能视频、AI、机器学习(python/matlab)、神经网络、大屏人机交互和ARM平台优化者优先。,通讯电子,2000人以上,python,东莞
软件测试工程师,https://www.lagou.com/jobs/7035170.html,东莞市市辖区,12k-20k,易宝软件科技（南京）有限公司,1-3年,本科,五险一金周末双休绩效奖金节日福利,技能要求：性能测试，自动化测试，功能测试岗位职责1. 根据产品规格和测试需求，编写测试方案、测试用例、测试脚本；2. 组织、执行产品的测试工作，帮助研发人员进行软件定位，协助解决问题；3. 对测试过程进行监控，完成集成测试、系统测试、回归测试等；4. 建立、跟踪、维护测试工作的相关文档。任职资格1. 全日制统招二本及以上学历（必要条件），从事软件开发或测试，工作两年以上；2. 可熟练根据软件设计需求制定测试计划，设计测试数据和测试用例；3. 熟悉主流测试工具，包括缺陷管理，测试管理，自动化测试工具等；4. 熟悉MySQL、linux系统，掌握Python、Java编程更佳；5. 掌握良好的测试理念、测试方法，具有良好的业务理解能力、交流、沟通能力，能够清晰准确的描述BUG；6. 有较好的协调能力，以及具有良好的团队意识和合作精神。,移动互联网,150-500人,python,东莞
算法软件开发工程师,https://www.lagou.com/jobs/7196603.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：参与智能协作领域的音频、视频、多模态会议AI及 人机交互等创新技术的预研、算法开发及技术原型验证：1、 音频：基于传统方法及人工智能的语音增强、去混响、回声抵消、盲源分离、网络适应性、编解码等；2、 视频：基于传统方法及人工智能的图像增强、高清低码、内容分享、网络适应性、编解码优化加速等；3、 多模态会议AI：语音会控、声像匹配、声纹识别、会议摘要等智能协作语音；图像检测与识别、图像语义分割等智能协作图像；4、 大屏人机交互：基于红外屏、电容屏，触屏手势识别，主/被动笔的笔尖、笔帽、笔杆的识别；多指多手势识别。任职要求：1、 信号处理或者电子、通信、计算机等相关专业。2、 熟悉C 或 C++ 或JAVA(非Web)；3、 熟悉Linux操作系统，并能够在其上进行C/C++/JAVA开发；或者安卓上开发JAVA；4、 熟悉语音信号处理、视频信号处理，智能语音、智能视频、AI、机器学习(python/matlab)、神经网络、大屏人机交互和ARM平台优化者优先,信息安全,15-50人,python,东莞
自动化测试开发工程师,https://www.lagou.com/jobs/7196713.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：1、负责智能协作产品测试工程能力建设，包括自动化平台&脚本开发和维护、测试工具开发和维护、持续集成&验证工程能力建设、白灰盒测试能力建设等。2、负责智能协作产品和解决方案测试验证，包括自动化测试用例设计、自动化脚本开发和维护等。3、参与设计并根据业务持续优化自动化框架，保证自动化的效果，支撑测试用例的快速构建以支撑版本快速评估任职要求：1、熟悉计算机、网络、音视频通信基础知识2、熟悉至少一门主流编程语言，Python优先，Java、C#、C++/C均可；3、熟练掌握自动化测试开发、灰/白盒测试等方法，有测试工具开发经验优先,信息安全,15-50人,python,东莞
软件测试,https://www.lagou.com/jobs/7034414.html,东莞市市辖区,11k-22k,易宝软件科技（南京）有限公司,不限,本科,周末双休 五险一金 节假日福利,岗位职责1. 根据产品规格和测试需求，编写测试方案、测试用例、测试脚本；2. 组织、执行产品的测试工作，帮助研发人员进行软件定位，协助解决问题；3. 对测试过程进行监控，完成集成测试、系统测试、回归测试等；4. 建立、跟踪、维护测试工作的相关文档。任职资格1. 可熟练根据软件设计需求制定测试计划，设计测试数据和测试用例；2. 熟悉主流测试工具，包括缺陷管理，测试管理，自动化测试工具等；3. 熟悉MySQL、linux系统，掌握Python、Java编程更佳；4. 掌握良好的测试理念、测试方法，具有良好的业务理解能力、交流、沟通能力，能够清晰准确的描述BUG；5. 有较好的协调能力，以及具有良好的团队意识和合作精神。,移动互联网,150-500人,python,东莞
