job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python研发工程师,https://www.lagou.com/jobs/7219270.html,朝阳区,25k-45k,一点网聚科技有限公司,3-5年,本科,年底双薪，节假日福利,工作职责1、负责一点资讯内容中台相关的后端服务设计与开发。2、根据业务需求，进行技术设计和技术选型， 制定合理的技术方案，并落地实现；负责业务系统的规划设计，制定产品的技术发展路线，完成重要业务模块及核心框架的搭建及编码实现；3、探索新技术，并运用到研发工作中，用技术驱动产品发展，以保障在业务发展的需要下，服务的性能、可维护性、可扩展性、可用性；工作要求1、计算机相关专业本科以上学历，有2年以上Python开发经验；2、有算子开发及流处理经验者优先；3、有较高发现和解决业务系统的技术问题的能力，对于保证系统的性能和稳定性的开发与调试有相关的经验；4、有多线程编程、队列、MQ等使用经验；对缓存、分布式事务、高并发、分布式等方面的技术开发经验者优先考虑；5、良好的沟通和团队协作能力，能承受一定的压力。,文娱丨内容,500-2000人,python,北京
Python工程师,https://www.lagou.com/jobs/7083280.html,海淀区,20k-30k,北京音娱时光科技有限公司,3-5年,本科,产品大牛；技术靠谱；项目有前景,"[工作职责]1. 设计与开发高并发、高可用的服务端系统，支撑业务稳定、快速的发展；2.  分析现有系统的潜在问题、性能、稳定性等，自我驱动并改进，满足不同阶段的用户增长需求。3. 分析现有系统的算法、策略效果等，基于数据发现并提出更好的解决方案，提升用户体验。[岗位要求]1. 统招本科及以上学历，计算机相关专业；2. 有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；3. 熟练掌握 Python/Go/Java/C++ 其中一种语言，良好的编码风格，强悍的编码能力，有代码洁癖者加分；4. 熟悉 Linux 开发环境，熟悉 Mysql/Tidb, Redis, Mongodb, Kafka, ElasticSearch等常用开源组件；",移动互联网,50-150人,python,北京
python开发工程师,https://www.lagou.com/jobs/7031341.html,朝阳区,15k-30k,小叶子（北京）科技有限公司,3-5年,本科,"五险一金,免费午晚餐,交通补助",【岗位职责】参与AI钢琴陪练系统开发1、五线谱模块的开发，包括五线谱数据结构解析、五线谱显示、五线谱交互 2、自适应学习算法的开发，通过分析用户演奏大数据，不断优化教学策略 【任职要求】1、大学本科以上学历，计算机等相关专业，3年以上软件开发工作经验；2、精通python语言，至少熟悉一种python web框架3、熟练使用mysql以及数据表存的结构设计4、熟悉javascript，有复杂UI交互编程经验的更佳5、对音乐感兴趣，能读懂五线谱，或者有志于深入学习五线谱的程序员,"硬件,教育",150-500人,python,北京
Python开发工程师,https://www.lagou.com/jobs/6720658.html,海淀区,25k-50k,建信金融科技有限责任公司,5-10年,本科,初创团队，福利高，发展广,"岗位职责：1、负责自动化运维平台开发，设计并完成各类自动化运维工具开发；2、负责公司整体运维体系的开发工作，满足自动化、服务化、智能化的长期目标；3、负责提升团队整体运维效率；4、负责研究运维领域前沿技术，包括运维自动化技术，监控技术，网络技术等；5、负责培养和建立专业的运维研发人才队伍。岗位任职条件：1. 全日制本科及以上学历，软件工程类、电子信息类、计算机科学类等相关专业背景；2、本科5年、研究生3年以上运维研发、架构经验；3、计算机基础扎实，了解常见网络协议(TCP/IP，HTTP等)，扎实的编程能力，一定的算法和数据结构功底，较好的合作开发能力4、有云计算、运维系统、分布式系统、Web后端等1个或多个系统的研发经验；5、熟练掌握Python，熟悉一种或多种Python框架，包括但不限于Django、Flask、Tornado、Twisted，掌握常用数据结构和算法；6、熟悉Linux常用命令,掌握在Linux下进行开发部署测试；7、熟悉Oracle、MySQL、MongoDB、Redis等数据库，有构建高可用高性能数据库经验者优先；  8、熟悉高性能、高并发设计方案，例如：全文检索、消息队列等；熟悉高可用系统设计方案，如服务升降级、限流、主备切换等；9、责任心强，具备快速学习能力和良好沟通能力，能在较大压力下工作；有以下条件者优先： 1、对SRE、运维、DevOps拥有深刻理解并且有实践经验；2、熟悉OpenStack、Docker、Kubernetes等技术；3、担任过团队运维研发技术负责人。","金融,软件开发",2000人以上,python,北京
python工程师,https://www.lagou.com/jobs/7045778.html,东城区,20k-35k,北京高域海汇科技有限公司,3-5年,本科,绩效奖金 五险一金 弹性工时,"岗位职责: 
 参与需求分析，产品设计
 负责Web后端的开发与实现
 参与前后端交互的设计和开发
 负责多系统数据端的处理
岗位要求： 
 3年以上python开发经验，精通python语言， 熟悉主流python 框架  Django,Flask等
 2. 熟练掌握sql
 了解hadoop、hive、sqoop、datax等大数据工具原理
 熟悉关系型数据库，oracle,mysql等
 了解docker, Linux,shell
 有sql优化经验 优先
 快速的业务学习和理解能力
 沟通能力强，学习能力强，工作认真负责
 了解前端开发优先",移动互联网,150-500人,python,北京
python开发,https://www.lagou.com/jobs/6435258.html,海淀区,15k-20k,北京缔联科技有限公司,3-5年,本科,六险一金 下午茶 弹性时间,〖岗位要求〗1.负责公司自有产品的研发设计；2.根据业务需求，可独立完成技术可行性报告、概要设计、详细设计、并撰写相关文档；3.搭建系统开发环境，完成系统框架与核心代码开发。〖任职要求〗1. 熟悉python语言服务端开发，3年以上开发经验；2. 熟练使用tornado等python框架，熟悉asyncio库，有自有B端项目经验者优先；3. 具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力；4. 学习能力强，乐于钻研，较强的抗压能力；5.有Python大牛带你遨游。【技能要求】1.自有B端产品经验；2.熟练使用tornado；3.web开发。,企业服务,50-150人,python,北京
Python工程师,https://www.lagou.com/jobs/6835354.html,海淀区,20k-40k,贝壳找房（北京）科技有限公司,3-5年,本科,免费三餐 发展空间,"岗位职责：1，日常产品需求的开发和产品维护（主要是将算法组产出的实验结果转化为线上服务）2，流式调度框架开发3，优化机器学习框架任职条件：1，三年以上后端/算法工程/系统工程相关开发经验,2，工作语⾔言以python为主，部分业务⽤用到C++（熟悉以下语言中至少一种，Java/C++/Golang/Python；）加分项（任一项均可）：1，基本功：数据结构和算法linux系统网络协议C语言/C++设计模式2，专业领域：opencv和图像算法大规模分布式服务器架构经验",房产家居,2000人以上,python,北京
Python开发工程师,https://www.lagou.com/jobs/6785016.html,朝阳区,15k-25k,北京游道易网络文化有限公司,3-5年,本科,带薪年假 优惠午餐 弹性工作,"岗位职责：1、主要负责公司内部自动系统的设计与开发，包括数据采集、平台数据同步、后端管理平台等；2、日常Bug的跟踪与解决；3、与产品经理和用户保持密切沟通，明确了解需求；4、具有良好团队合作精神，有高度的责任心，能按时完成项目组分配的开发工作；岗位要求1、本科及以上学历，计算机或相关专业，3年以上Web后台开发经验， 具备2个以上的web软件产品开发经验；2、熟练掌握Java和Python编程语言, 以及Javascript等脚本语言，熟悉面向对象设计理念及相关Java设计模式，熟悉UML及建模工具；3、熟悉并具备spring、hibernate等Java框架的使用经验，以及熟练掌握HTML，具备jQuery、Ext等JS框架使用经验；4、熟悉MySQL等关系型数据库应用系统设计及优化，了解redis，memcached，mongodb等NoSQL数据库的使用；5、熟悉HTTP、TCP/IP、面向对象及MVC、 ORM和对象缓存技术等相关知识；6、具有Linux上的开发经验，能够编写常用和基本的Shell脚本，熟悉使用至少一种源代码管理软件（SVN/GIT）；7、具有网络爬虫经验优先；","移动互联网,游戏",50-150人,python,北京
Python开发工程师,https://www.lagou.com/jobs/6625369.html,海淀区,15k-30k,北京艨艟信息技术有限公司,1-3年,本科,下午茶 switch 弹性工时,岗位职责：1、搭建维护统一的机器学习环境；2、负责机器学习平台的设计、研发工作，包括任务流调度、机器学习系统管理、算法部署、模型在线服务等；3、设计和实现合理的架构、提升机器学习平台的工程化水平、性能。任职要求：1、本科及以上学历；2、熟悉Python语言以及常用的类库；3、扎实的面向对象编程思想，具备模块化编程的思维与经验，熟悉Git；4、了解python Web开发框架如Flask/Django等优先；5、对代码和设计质量有严格要求，重视Code Review，良好的编程习惯；6、有良好的沟通能力、优秀的解决问题能力。,"游戏,软件开发",50-150人,python,北京
python开发工程师,https://www.lagou.com/jobs/5920752.html,海淀区,20k-35k,北京字节跳动科技有限公司,1-3年,本科,六险一金，高薪期权，弹性工作，免费三餐,,文娱丨内容,2000人以上,python,北京
