job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Python工程师 - 实习,https://www.lagou.com/jobs/5268012.html,和平区,3k-4k,联合信用投资咨询有限公司,不限,本科,"技术导向,扁平管理,留用机会,发展空间",岗位职责：1、参与项目功能的开发工作；2、负责项目实施后的技术维护与技术支持；3、参与项目相关文档的编写及整理。任职要求：1、 计算机相关专业本科或研究生在读，2019年毕业生，喜爱开发工作，有以往开发实习经验者优先；2. 掌握至少一门Python Web开发框架（Tornado、Django、Flask等）；3. 熟悉MySQL/Redis/MongoDB等常见中间件；4. 熟悉分布式、微服务、高性能Web服务的开发，有一定的系统架构设计能力者优先；5. 有独立分析和解决问题的能力，有良好的团队合作精神。6、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于分析问题/解决问题；7、有强烈的上进心和求知欲，擅于学习新事物。,"金融,数据服务",50-150人,python,天津
信息系统开发工程师（PYTHON方向）,https://www.lagou.com/jobs/6746329.html,东丽区,8k-12k,中汽研汽车工业工程（天津）有限公司,1-3年,本科,五险一金 绩效奖金 交通补助 健身房,岗位职责：1-负责企业内部项目管理系统开发与持续优化2-参与外部客户信息系统项目开发与维护3-根据需求设计文档完成系统功能代码编写、测试和维护工作4-完成系统功能开发过程文档、测试文档及用户手册编制工作5-系统开发过程中的问题跟踪与解决6-系统上线后的持续优化与系统维护7-在项目中完成项目经理指派的其他工作8-完成部门领导交付的其他工作9-可出差任职要求：1-具备1-2年python后台开发经验（必选项），同时具备Java开发经验者优先2-具备项目管理系统开发经验或制造企业信息系统开发经验者优先3-熟悉SVN、Github等工具，熟悉 Linux 环境常用命令4-熟悉SQL Server或Oracle数据库，熟练掌握SQL语言，存储过程，触发器等技术5-积极主动；强烈的责任心与担当精神6-团队合作意识、持续学习意识、自动自发意识7-快速学习能力与总结能力8-本科学历及以上，研究生学历优先9-计算机相关专业优先10-能胜任出差工作，接受项目指派,"企业服务,其他",150-500人,python,天津
Python爬虫实习生,https://www.lagou.com/jobs/6036147.html,和平区,1k-2k,联合赤道环境评价有限公司,应届毕业生,大专,提供早午餐、六日双休,"岗位职责：1、负责业务所涉及数据的爬取、清洗、落地、分析。2、制定并优化爬取策略、爬取调度、爬取解析，解决爬取技术问题，以及确保数据抽取准确。 任职要求：1、计算机及相关专业，有网络爬虫研发经验优先。2、对网络编程，Http协议，Web开发有一定的了解，能熟练使用Python、Java等语言。3.熟练掌握Python基础知识，熟悉scrapy爬虫框架，有Python实习项目或爬虫经验者优先。4.有一定JS,CSS基础，熟悉XML,HTML语言和JavaScript等。5.一定的SQL基础，熟悉主流Mysql，SQL Server等数据库。6.具有良好的团队合作精神，以及较强的沟通、协调和组织能力；有强烈的责任感和进取心，较强的学习能力",其他,50-150人,python,天津
Python全栈开发,https://www.lagou.com/jobs/6264308.html,津南区,15k-25k,天津英才酷信息科技有限公司,3-5年,本科,天津户口 五险一金 弹性工作,负责公司大型python数据采集系统前端、后端功能和模块接口的开发；参与python和搜索系统的前后技术框架。实施计划，负责技术规范的设计和实施；不断提高产品的质量、性能和稳定性，并对其进行优化。完成新功能和模块的开发，学习和研究新技术，不断满足新产品的需求；领导团队成员进行任务分割、对接和技术评估。任职资格：2年以上的软件开发经验优秀的调试技能任何前端技能是加分项。 熟悉Linux和MySQL。乐于学习关于网络和python的新技能具有在敏捷环境中工作的经验较强的人际交往、影响和沟通能力做事认真负责，有强的组织能力，并且有出色的写作和沟通能力具有出色的软件经验与成熟优秀的作品。能够在快节奏、高压的环境中高效工作,数据服务、软件开发,500-2000人,python,天津
Scratch /Python 编程实习讲师,https://www.lagou.com/jobs/6431820.html,南开区,4k-6k,天津市百思威科技有限公司,不限,大专,晋升空间大 福利待遇好,岗位职责： 1.根据教案进行备课，协助课程主讲老师，对本课程学生进行答疑。 2.协助招生支持工作；4.保证教学质量的前提下，与学管师配合进行学生的续费工作，完成续费招生任务任职要求： 1. 大专以上学历，计算机相关专业优先2.喜欢并乐于分享自己的经验知识，热爱教育；3.亲和力较强，语言表达逻辑性。工作待遇：双休 五险一金+餐补+定期培训提升+完整的绩效提升方案 综合薪资4k-6k 工作位置： 南开区南翠屏公园附近,"移动互联网,教育",少于15人,python,天津
Python/Django 工程师,https://www.lagou.com/jobs/6752445.html,滨海新区,8k-15k,华鼎鸿基石油工程技术（北京）有限公司,3-5年,不限,福利待遇好，发展前景优,1.独立完成Python / Django设计与开发2.设计服务器后端系统框架设计，添加新功能和部署服务任职要求：1.本科或研究生毕业，3年以上Python语言开发经验2.有物联网数据采集和通讯经验，熟悉物联网协议优先考虑3.能熟练使用Django，Python等Web开发经验；有 Python/Django的高级知识，包括面向对象的编程4.有RESTful API，celery服务的经验；有缓存，扩展性设计经验5.熟悉MQ通信经验优先考虑.6.能承担高负荷的工作，有良好的团队合作精神和自我管理能力，责任心强、工作敬业、有很强的开拓精神我们是由华鼎鸿基投资管理的CollegeBA（大学霸）是一款服务北美大学生的全方面智能APP.,物联网 区块链,50-150人,python,天津
python（短期四个月Odoo开发）,https://www.lagou.com/jobs/6944255.html,南开区,8k-11k,厦门唐普信息技术有限公司,1-3年,大专,公司各项福利应有尽有，欢迎您的加入,"一年以上Odoo开发经验（Odoo ERP开发）
  2.短期四个月合作，地址天津市南开区中粮广场21层","企业服务,数据服务",50-150人,python,天津
渗透测试工程师,https://www.lagou.com/jobs/4425324.html,南开区,10k-20k,天津开发区先特网络系统有限公司,1-3年,不限,"14薪,高绩效","岗位职责：1、对提供经过合法授权的主机、网络和Web进行安全渗透测试；2、提供网络安全攻防技术培训、攻防演练及应急响应追踪溯源等工作。3、对发生的安全漏洞、恶意代码、黑色产业链、网络安全事件进行跟踪、分析；4、对安全领域的新技术、新方法进行研究，提供自有安全产品的规则库与工具编写。5、负责技术实现原理、技术研究报告、培训课程等相关文档编写；6、内部系统的安全防御系统的策略维护及更新；7、公司自由产品和系统进行安全测试、代码审计，安全修复等工作。           任职要求：1、熟练掌握多种渗透测试的步骤、方法和流程,具备漏洞挖掘、代码审计和分析能力，能够熟练运用各种手段对系统实施有效的渗透；2、熟悉漏洞扫描、渗透测试工具、常见漏洞的利用，有过独立漏洞挖掘的经验。3、熟练掌握JAVA/Python/c++等一种编程语言，能够编写POC，有一定的逆向分析实践经验；4、熟悉内网渗透及防护的常见手法，具备大型内网的安全加固、网络梳理、调查分析及应急响应能力，善于发现并防护钓鱼、木马及社会工程学攻击；5、对信息安全有浓厚的兴趣，主动学习，具有责任感和职业道德，无黑产从业背景；","硬件,数据服务",150-500人,python,天津
软件开发工程师(J10603),https://www.lagou.com/jobs/7168331.html,南开区,6k-10k,成都知道创宇信息技术有限公司,1-3年,本科,八险一金，10天年假,,信息安全,500-2000人,python,天津
Devops运维开发技术专家(J23534),https://www.lagou.com/jobs/6957431.html,红桥区,25k-35k,捷信消费金融有限公司,10年以上,本科,六险一金 外资 大牛云集 10天年假,"Duties and Responsibilities 工作职责：1. Performs coding, unit testing and documentation of software units defined by the design document;2.Participates in software modification during integration testing;3.Makes commitments that fall within the tasks given by authorized personnel. Participates in proposing changes that make the system more efficient and/or reduce operation or maintenance cost;4.Develops efficient software within given time frame;5.Responsible for resolve complex technical difficulty;6.Wise or skillful for at least on one technical domain and can give some constructive advice to team lead and architect;7.Responsible for help team lead and architect practice road map;8.Responsible for training team and help team promote technical skill.Requirements: 任职资格：1.Bachelor degree or above in Information Technology or comparable.2.At least 10+ years development experience, 5+years at least for DevOps related coding design and development;3.Proficiency in leverage CI/CD/Monitoring tools to automate development and testing. Experience in agile methodologies and fast-paced DevOps environments – Jenkins, GitLab, ELK, SonarQube, Skywalking, JIRA, Apollo, Prometheus, Grafana, etc;4.3+years head Internet company, such as BAT, etc. and acting as the core technical working, such as Alibaba technical P7+ level;5.Good practice as full stack technical developer, familiar with micro service development – Spring Cloud, Spring Boot;6.Practical experience in at least one of the following programming languages - Python, Node.JS, Ruby, Shell, Go, etc;7.Practical experience for PaaS configuration, kubernetes cloud environment and service mesh tools – Kubernetes, Docker, Istio, Helm, Kiali, etc;8.Practical skill in Oracle and other No-SQL, Mangodb, Redis.9.Passion for the development working, join some open source project is more good, such as join some GitHub open project;10.Good communication skill with technical and non-technical scenario.11. Strong troubleshooting and problem solving skill, like the challenge for the high press;12.Have some computer industry contribution is more good, such as core developer for the familiar system or application, such as Java community contribution;13. Fluency communication with English.Staff Welfare :1. After on boarding, providing supplementary commercial insurance besides the state-stipulated insurance and housing fund;2. Fast and transparent promotion channel and broad development opportunities;3. 5-15 days paid annual leave and 5 days paid sick leave. Free annual physical check-up;4. Attractive employee activities.",金融,2000人以上,python,天津
