job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python开发,https://www.lagou.com/jobs/6973863.html,南山区,10k-15k,广州市梦享网络技术有限公司,1-3年,本科,福利待遇，弹性工作，下午茶，五险一金,岗位职责：1、完成SasS平台开发建设，相关后台功能开发；2、协助测试平台系统，准备相关的技术文档，协助解决各种技术问题；3、按照项目计划，按时提交高质量代码，完成开发任务。任职要求：1. 本科及以上学历，两年以上工作经验2. 熟悉Python，熟悉Gevent、Flask、SQLAlchemy等常用组件3. 熟练掌握Mysql数据库的使用与优化4. 良好的沟通能力、协作能力5. 有高并发、高可用系统开发经验的优先6. 有微服务开发经验优先,"移动互联网,消费生活",150-500人,python,广东
python工程师,https://www.lagou.com/jobs/7160999.html,南山区,15k-30k,深圳市一号互联科技有限公司,3-5年,本科,发展前景好,"岗位职责：1、参与后台的设计、开发、优化等；2、与产品及前端开发人员协同工作，保证产品的质量和开发进度；3、对产品进行持续优化。岗位要求：1. 计算机相关专业，1年以上后台开发经验；2. 精通Python, 能够熟练使用至少一种脚本工具；3. 熟悉至少一种相关Web框架：Django /flask/ tornado，有扎实的编程基础，代码能力强；4. 熟悉Linux开发环境；5. 熟悉restful风格api的设计和编写；6. 精通MySQL/Redis等数据存储；7. 熟悉tcp/ip/http协议、精通多进程、多线程编程，及进程间通信；8. 具有优良的代码习惯，重视代码质量，熟悉github开发流程；9. 工作细致认真、有责任心，执行力强，有较强的学习能力和积极性。","移动互联网,硬件",150-500人,python,广东
Python自动化工程师,https://www.lagou.com/jobs/7119365.html,龙岗区,15k-30k,青岛特锐德电气股份有限公司,3-5年,本科,周末双休、发展空间大、每年调薪、班车等,1、3年以上Python开发经验；2、3年以上测试经验（开发岗可接受也可）；3、熟悉Linux基本命令，具备SHELL编程能力；4、熟悉网络/容器（Docker）优先；5、熟悉常用的AI框架（tensorflow/pytorch/MXNET）优先；6、计算机相关专业优先；7、熟悉C/C++优先。,"企业服务,信息安全",2000人以上,python,广东
Python 工程师（运维方向）,https://www.lagou.com/jobs/7091667.html,南山区,15k-25k,爱客科技（深圳）有限公司,1-3年,本科,跨国团队 技术极客 公司盈利,"if 'coding' in your_passions and any(stack in ['Python', 'Node.js', 'Kubernetes', 'Serverless'] for stack in your_stacks):    print('Join AfterShip')岗位职责1、设计和实施 CI/CD 系统、搭建自动化测试平台、代码质量管理等系统；2、完善服务监控体系，使用 New Relic, Pingdom, PagerDuty 等工具做好报警通知；3、研发自动化运维平台，提高运维、开发协作效率，规范操作流程；4、负责系统的 SLA 代码维护、迭代更新，保证任务质量和交付及时性；5、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准；3、一年及以上 Python 开发经验，有运维开发经验优先；4、对持续集成和持续交付 （ CI/CD ) 有深入理解，熟练 DevOps 工具的优先，如：Jenkins, Ansible 等的经验；5、熟练使用 Aliyun, AWS 或 GCP 等国内、外主流云平台的经验。加分项1、有类数据库运维经验，如 MongoDB, Redis 等优先；2、有写 Blog 的习惯，活跃技术社区，参与开源项目等；3、有代码洁癖，对代码精益求精，对技术有极客热情;4、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,python,广东
高级 Python 工程师,https://www.lagou.com/jobs/6578063.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if 'coding' in your_passions and any(stack in ['Python', 'Node.js', 'Kubernetes', 'Serverless'] for stack in your_stacks):    print('Join AfterShip')岗位职责1、负责集成各种维度的数据源，使用各种数据获取技巧，转换、分析、调度、存储数据，为公司业务提供正确稳定的数据；2、负责建设高可靠、高并发的分布式系统；3、负责提升系统的稳定性，持续迭代更新，保证系统质量和交付及时性；4、负责编写相关的技术文档和单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准；3、五年及以上 Python 开发工作经验，有 Scrapy 等使用经验；4、有 MySQL, Redis 或 MongoDB 等相关数据库使用经验；5、有数据意识，有产品数据方面相关经验。加分项1、有 CI/CD使用经验 ；2、有使用 Docker、Kubernetes、AWS 或 GCP 等经验；3、熟悉 Tornado、Django 或 Flask ；4、有写 Blog 的习惯，活跃于技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情;6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,python,广东
python开发工程师,https://www.lagou.com/jobs/7184014.html,番禺区,8k-15k,广州三顾传媒有限公司,1-3年,本科,周末双休 五险一金,"岗位职责: 1、参与公司人工智能平台项目的设计和开发； 2、配合前后端开发人员进行应用及系统整合； 3、配合公司其他的python编程开发师来开发相应的模块。任职要求:1.至少一年以上的Python应用经验；2.必须掌握opencv，numpy等模块的开发；3.必须掌握mysql的开发应用；4.熟悉Flask的Web开发；5.熟悉python爬虫开发；6.熟悉C++可优先。福利待遇：1、周末双休，享国家法定节假日；2、工作时间：10:00-12:00,13:30-19:00；3、公司按照有关政策购买五险一金；4、根据工作需要加班者均可享受加班餐补、交通补贴；5、开放和谐的工作氛围，舒适便利的工作环境。",文娱丨内容,15-50人,python,广东
中高级python后台工程师,https://www.lagou.com/jobs/7007110.html,番禺区,18k-30k,广州探迹科技有限公司,3-5年,本科,"大数据AI,五险一金,期权激励,扁平管理","岗位职责：1、与产品经理、架构师、前端工程师等紧密合作，共同交付功能完善、稳定可靠的SaaS产品；2、参与后台系统代码设计与开发,使用敏捷产品开发流程来确保功能按时交付；3、编写、审查和维护技术文档；4、研究和评估新技术和框架,持续改善和提高产品的性能、灵活性及稳定性。任职资格：1、计算机相关专业，本科及以上学历，3年以上后台开发工作经验；2、精通Python、Java等后台开发语言的一种或多种；3、精通MySQL，MongoDB，Redis等数据库；4、熟悉Apache，Nginx，Tomcat；5、熟悉Flask，Django等后台开发框架；6、精通面向对象的分析与设计，精通设计模式；7、有激情，有创造力，喜欢研究新技术，沟通能力良好。","数据服务,企业服务",150-500人,python,广东
python研发工程师,https://www.lagou.com/jobs/7149256.html,南山区,12k-15k,深圳市趣虹科技有限公司,1-3年,本科,年终奖、下午茶、节日礼品、团建旅游,岗位职责：1.app应用内h5活动的后台开发2.运营系统后台开发3.由于做的是海外市场，在非工作时间，能迅速响应市场提的紧急需求任职要求：1.本科以上学历， 2年以上Python web开发开发经验2.精通mongo，mysql，redis等的设计与开发3.熟悉 Django/Tornado/Flask 等其中至少一种框架4.熟悉Linux开发环境，使用过docker部署服务5.具有良好的沟通能力、团队合作精神、优秀的分析问题和解决问题的能力6.有社交开发经验者优先,移动互联网,50-150人,python,广东
python开发工程师,https://www.lagou.com/jobs/6851017.html,南山区,10k-17k,深圳柚子街科技有限公司,3-5年,本科,双休，月绩效激励，腾讯班车,工作职责： 1、基于海量的微信支付用户、商户、交易和行为数据，使用业界开源的主流技术栈以及自研的大数据技术相结合，构建金融级的大数据平台2、提供金融级数据安全保障和质量保障，为数据开发者提供工业化的数据平台服务3、建立元数据管理、血缘关系、计算任务和计算资源的动态管控、全方位的数据安全风险控制，为数据分析、智慧推荐、金融风控等业务提供数据平台支撑。工作要求：1、2年及以上后端开发经验；2、精通python、java、c++、scala等任何一种编程语言，熟悉linux操作系统基本原理和常用命令，能够基于shell编写系统脚本，熟悉常见的web系统和后台系统架构；3、熟悉mysql等至少一种数据库的使用，有数据库性能优化经验者优先；3、有大数据管理平台、大数据服务、数据分析方面的开发经验者优先；4、熟悉Hadoop、Spark、Flink、Storm等至少一种大数据平台，有平台相关资源、性能优化经验优先；5、良好的沟通表达能力，执行力力强，对待工作认真严谨、高度负责。注：1、此岗主要是承接腾讯微信支付业务部的技术需求，并完成开发工作。2、岗位面向2019年或之前毕业的同学，不对应届生和实习生做招聘。3、此岗为驻场外包岗，介意请无投递。,"移动互联网,消费生活",15-50人,python,广东
python后端开发工程师,https://www.lagou.com/jobs/6547501.html,罗湖区,15k-30k,深圳市阿卡索资讯股份有限公司,3-5年,本科,五险一金,"岗位职责：1、负责互联网项目的web后端开发;2、负责后端项目业务功能的持续迭代与代码风格的重构优化;3、与前端工程师协作完成项目;任职要求：1、 有3年以上python后端开发经验, 本科及以上学历，计算机、软件相关专业;2、 熟悉 Python 语言，熟悉 Django/Tornado/Flask 等其中至少一种框架;3、 熟悉 MySQL、Redis;4、 有良好的编程思想、代码规范以及测试习惯;5、 具有良好的沟通能力、团队合作精神、优秀的分析问题和解决问题的能力;6、 热爱技术难点的攻关和新技术的应用;7、 有良好的算法和数据结构基础，及很强的自学能力；加分项：1、 熟悉其他语言如 Ruby / Golang / C++ / C# 等者优先;2、 了解 beanstalk, RabbitMQ ，了解 Elasticsearch 或 Solr 等搜索引擎并有实践经验者优先;3、 了解K8S, docker并有实践经验者优先考虑;","教育,移动互联网",2000人以上,python,广东
