job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
JAVA/Python讲师,https://www.lagou.com/jobs/6693473.html,和平区,8k-14k,沈阳市贝茨科技有限公司,3-5年,本科,扁平化管理 五险一金 双休 晋升空间大,"【岗位职责】1.具有1年以上教学经验，能按照教学大纲高质量完成日常授课任务；2.根据销售渠道的招生需要，高质量完成短期实训的授课任务；3.配合市场需要，高质量完成技术讲座的授课任务；4.积极保持技术先进性；5.完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作  【任职要求】 1. 精通Java核心语法，对上述某个阶段的课程内容做到深入浅出。 2. 能熟练运用 Java，PYTHON, mysql ,html，javaScript，Jquery，css等； 3. 表达能力强，声音清晰自然，个性开朗，乐于与人交流。4. 3年以上JAVA/PYTHON实际项目开发经验，愿意根据工作需要学习新技术。5. 有很强的动手编码能力，以编码驱动教学。6. 有过1年以上教学经验优先考虑。 7.       熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件； 8.       可根据业务需要出差","数据服务,其他",少于15人,python,沈阳
云平台架构师,https://www.lagou.com/jobs/6653167.html,铁西区,10k-17k,华晨宝马汽车有限公司,5-10年,本科,15薪,工作描述：负责云计算平台相关技术架构设计、方案实施、相关系统集成以及云服务扩展和云业务拓展。   岗位职责：1、熟悉计算虚拟化和OpenStack等云技术和框架；2、熟悉混合云、公有云和私有云平台搭建、系统实施和服务交付；3、熟悉Python等云平台开发；了解云数据中心、云网络和云存储等技术优先；5、具备良好的学习、抗压、沟通和协调能力；6、具备Azure/ 阿里云公有云平台解决方案设计能力者优先；6、良好的英文沟通能力；,汽车丨出行,2000人以上,python,沈阳
SAP 实施顾问,https://www.lagou.com/jobs/6653204.html,铁西区,10k-17k,华晨宝马汽车有限公司,3-5年,本科,15薪,工作描述：负责SAP的项目实施及运维工作。作为开发运维的角色，从产品的角度对IT系统和服务进行优化和维护。岗位职责;1、具备WM or MM or FI&CO or HR or QM模块实施或开发经验；2、从事过IT项目实施和运维，具备快速构建物流IT解决方案的能力，英语流利，有系统开发经验者优先 (IT 语言包括SAP ABAP，JAVA， Python但不局限于)；3、有IT项目管理经验优先；4、良好的英文沟通能力；,汽车丨出行,2000人以上,python,沈阳
系统开发工程师,https://www.lagou.com/jobs/6712436.html,浑南区,3k-6k,沈阳宝元科技有限公司,3-5年,本科,初创企业、技术导向,工作职责：1、负责企业级业务系统的全栈式开发与维护2、根据产品和项目需求，分析系统功能，参与系统架构及组件的选型设计3、新技术研习，核心技术攻关任职资格：1、计算机及信息系统相关专业2、至少掌握一门编程语言3、熟悉关系型数据库及SQL相关知识4、较强的责任心和进取心优先考虑1、有java或Python开发背景2、有企业级业务系统开发经验3、有ERP或MES系统使用经验,"企业服务,移动互联网",少于15人,python,沈阳
安全运维暑期实习生,https://www.lagou.com/jobs/6943022.html,浑南区,1k-2k,辽宁博秋信息科技有限公司,应届毕业生,本科,双休,职位描述：1、协助信息安全风险评估与分析、安全设备日常维护；2、协助相关故障、疑难问题排查处理；3、协助维护公司内部安全平台； 任职要求：1、信息安全、计算机软件、通信工程相关专业；2、对信息安全有浓厚兴趣，具有较强的信息安全意识；3、良好的语言表述能力、文档组织能力；4、具备团队合作精神，积极的工作态度和较强的责任心，优秀的学习能力；5、每周保证至少到岗3天。 加分项目：1、了解python、shell或其它语言；2、了解XSS、SQL等相关常见高危漏洞；3、了解zabbix监控。 入职后有信息安全专家担任实习生导师，为您制定学习计划，指导学习信息安全技术知识，表现优异者有留用机会，欢迎您的到来！,信息安全,少于15人,python,沈阳
安全运维实习生,https://www.lagou.com/jobs/6504008.html,浑南区,2k-3k,辽宁博秋信息科技有限公司,应届毕业生,本科,五险一金 、双休 、带薪年假,职位描述：1、协助信息安全风险评估与分析、安全设备日常维护；2、协助相关故障、疑难问题排查处理；3、协助维护公司内部安全平台； 职位要求：1、2020应届毕业（本科），信息安全、计算机软件、通信工程相关专业；2、对信息安全有浓厚兴趣，具有较强的信息安全意识；3、良好的语言表述能力、文档组织能力；4、具备团队合作精神，积极的工作态度和较强的责任心，优秀的学习能力；5、每周保证至少到岗3天。 加分项1、了解python、shell或其它语言；2、了解XSS、SQL等相关常见高危漏洞；3、了解zabbix监控。 入职后有信息安全专家担任实习生导师，为您制定学习计划，指导学习信息安全技术知识，表现优异者有留用机会，欢迎您的到来！,信息安全,少于15人,python,沈阳
【实习】渗透测试（沈阳）,https://www.lagou.com/jobs/7132922.html,和平区,2k-3k,杭州安恒信息技术股份有限公司,应届毕业生,本科,导师一带一,工作内容：1、 负责对客户系统进行渗透测试，包括web应用、手机APP。全面发现被测系统存在的安全问题并提供修复建议；2、 客户系统出现安全事件时进行应急处置，协助客户修复安全漏洞；3、 跟踪国内外信息安全动态，进行安全攻防技术研究。岗位介绍：1、 对网络安全攻防感兴趣，熟练掌握渗透测试技巧、熟练运用各类安全软件、安全测试工具；2、 熟练掌握windows、linux平台使用、攻击技术；3、 熟悉常见web安全漏洞的原理、测试方法、加固方法；4、 具有较好的工作习惯及较强的文档、报告、方案编写能力；5、 具备优秀的沟通协调能力、学习能力、抗压能力；6、 开发过相关安全工具、平台、项目，或可独立支撑应急响应者优先；7、 在t00ls、freebuf、Seebug等漏洞平台发布过漏洞者优先；8、 有web开发经验或熟悉PHP/C#/Java/Python任意一种语言者优先；9、 有CTF、攻防比赛获得奖项者优先；10、21届，本科及以上学历，每周工作5天，可实习4个月及以上。,"信息安全,数据服务",500-2000人,python,沈阳
渗透测试工程师（沈阳）,https://www.lagou.com/jobs/7045826.html,皇姑区,10k-15k,中国信息通信研究院,不限,本科,"发展空间大,工作氛围好,专业培训",岗位职责:1、负责日常例行安全检查、漏洞扫描和渗透测试；2、负责漏洞挖掘，并提出加固建议； 3、负责突发安全事件的应急响应、取证和溯源，并持续优化响应流程； 4、跟踪最新安全动态，研究前沿攻防技术，并进行预警。任职资格:1、熟悉Windows、Linux操作系统、网络设备、数据库、中间件等基本配置及操作； 2、熟悉渗透测试步骤、方法、流程，熟悉漏洞扫描工具、漏洞利用工具、**木马等； 3、具备Java或Python编程开发能力，有安全工具开发经验和漏洞验证poc编写能力优先； 4、具有较好的沟通意识，解决问题能力，文档编写能力；5、思想端正、有较强的组织纪律性，能接受出差,通讯电子,2000人以上,python,沈阳
初级软件工程师,https://www.lagou.com/jobs/6773826.html,浑南区,4k-8k,沈阳美行科技有限公司,不限,本科,双休,岗位要求：1、统招本科及以上学历，计算机、电子信息、数学、测绘工程及地理信息系统等相关专业；2、熟悉C\C++、Android、IOS、JAVA、Python、Ruby中的一种或几种编程语言；3、熟悉 Windows/Android/Linux操作系统；4、具有较好的外语听说读写能力；5、具有较好的学习能力、沟通能力、问题解决与分析能力以及团队协作能力；6、在校期间参加相关竞赛取得名次者及有软件作品者优先。,移动互联网,500-2000人,python,沈阳
Linux 运维工程师,https://www.lagou.com/jobs/6962983.html,铁西区,9k-15k,智纤至康（上海）智能科技有限公司,1年以下,大专,工作环境好，福利待遇好,"Linux运维工程师，良好的英文基础，可以用英语进行交流，具体要求如下；(must) Linux (SuSE/Redhat Linux) system administrators (must) English and Chinese (must) Scripting languages (Shell and either Perl or Python) (must) Basic understanding of Networking (must) Basic understanding of HW troubleshooting (plus) Experience with HPC systems, ideally GridEngine (plus) Experience with License servers (plus) experience in task automation (plus) experience with agile/devops/scrum (plus) experience with ITIL and process setup","移动互联网,医疗丨健康",15-50人,python,沈阳
