job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
西安子公司- Python 后台开发工程师,https://www.lagou.com/jobs/6931554.html,雁塔区,20k-30k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯云、福利好、技术氛围好,岗位职责：1. 负责腾讯云业务的研发测试工具平台、研发支撑、CI/CD、Devops相关系统和工具的建设和研发；2. 参与相关工具产品问题定位分析、落地实施、定制化开发等3. 配合项目进度和质量风险进行沟通，对软件缺陷进行跟踪分析和报告，推动测试过程发现问题合理及时的解决；注：此岗位为腾讯集团旗下全资子公司编制岗位岗位要求：1. 有一定后台开发经验，熟悉掌握和运用Python/Go等任何一门主流编程语言优先；2. 有Web应用服务开发的经验，熟悉掌握Django/Flask等任何一门主流Web框架优先；3. 对软件工程能效、Devops、自动化工具平台建设相关领域有广泛的了解 ；3. 了解前端开发技术，熟练一款主流的JS框架（如vue、react等）的优先；4. 具备良好的沟通能力、抗压能力和团队合作意识。,社交,2000人以上,python,西安
Python开发工程师,https://www.lagou.com/jobs/6949183.html,高新技术产业开发区,12k-20k,西安数据如金信息科技有限公司,3-5年,本科,五险一金 技术大牛 极客精神,"黑帕云是一家处于起步阶段的创业公司，目标是创造无代码应用搭建平台，为快速发展的现代企 业提供高 质量、低成本、高效交付的企业应用。我们在寻找一名高级 Python 工程师，一起为人人都可构建企业应 用的愿景而努力。https://hipacloud.com在黑帕云，你将会:1、与Top的产品专家与技术专家一起工作，共同定义及开发创新级的产品; 2、主要负责系统后端开发，但必要时可能参与部分前端开发;3、在不同技术领域里获得经验，包括 Distributed System Architecture, Data Analytics,Data Warehouse, Multi-Tenanted SaaS Application 等; 4、自己设定路线，管理并指导项目及研发进程;5、通过开源和博客文章回馈社区。 我们希望你:  1、3年以上经验，在中大型 Python 项目中与团队合作过，熟悉 Django 或 Flask 等 Web 框架，熟悉至 少 两门编程语言;熟悉关系/非关系型数据库的使用，了解设计及优化原则;2、熟悉系统性能分析及调优;3、了解如何设计在数百(甚至数千)台服务器上运行的分布式系统; 4、热衷于为持续为我们的客户交付解决方案、服务、产品，帮助他们最大程度实现数字化，创造客户价值; 5、在高效的工作环境里高效率沟通、高效工作;6、热爱学习与挑战，并从中享受到乐趣和成就感。",企业服务,50-150人,python,西安
python开发,https://www.lagou.com/jobs/7076080.html,高新技术产业开发区,8k-13k,上海中软华腾软件系统有限公司,1-3年,本科,五险一金 双休 节日福利 交通补助,一年以上实际Python开发经验熟悉Linux 有实际Python开发经验,"企业服务,金融",2000人以上,python,西安
python开发工程师,https://www.lagou.com/jobs/4032786.html,高新技术产业开发区,9k-15k,北京神州绿盟信息安全科技股份有限公司,1-3年,本科,五险一金；弹性工作；餐补；定期体检,任职资格：        1. 1年以上相关工作经验；2.  熟悉linux，有丰富的python开发经验 3.  具备良好的分析解决问题能力和通过google解决问题的能力 除了这些要求，如果你具备以下条件更优： 1. 熟悉elasticsearch、nginx、redis、mongoDB、mysql等开源软件； 2. 对网络安全行业感兴趣优先 工作职责：        1. 参与云端大数据产品的研发工作； 2. 负责云端产品的后台开发工作，包括高性能API接口实现，后台数据处理等； 3. 实现代码需要能够在大数据量、高并发的场景下有优异的性能和稳定性表现,信息安全,500-2000人,python,西安
python自动化测试（智能芯片/5G/web）,https://www.lagou.com/jobs/7058830.html,雁塔区,7k-13k,上海中软华腾软件系统有限公司,3-5年,本科,技术前沿，团队稳定，晋升渠道,软件测试两年以上经验，2018届起面试，理工科专业，计算机相关专业优先1、大学二本科及以上学历，计算机、通信等相关专业；2、熟悉基本的测试流程，有质量意识。3、熟悉Linux命令，熟练掌握测试流程；4、熟悉shell、java、python等编程语言的优先考虑；5、有两年以上实际工作经验。,"企业服务,金融",2000人以上,python,西安
python开发,https://www.lagou.com/jobs/5830719.html,新城区,8k-14k,武汉佰钧成技术有限责任公司,应届毕业生,本科,Python,（1）熟练掌握基于Django，flask等框架的服务器后端开发技术，有 RESTful 接口设计经验尤佳；（2）熟练掌握 Mysql 数据库的应用开发；（3）较好的 Web 前端技能，掌握 Django 模板或者 Web 前端框架；(4) 了解html、javascript、css、json等相关技术，了解常用页面布局；（5）熟练掌握 Git 版本管理工具；（6）具有良好的编程风格，有多层结构的开发经验，对重用，重构有丰富的经验者更佳； （7）善于沟通，具有敬业精神，有团队意识、学习能力强； （8）有较强的自学能力和独立解决问题的能力，对信息技术领域的新信息、新知识具有相当的敏感性，能够迅速更新自身的知识内容。（9）统招二本以上学历，计算机相关专业          1年以上工作经历,移动互联网,2000人以上,python,西安
python后端,https://www.lagou.com/jobs/6938834.html,高新技术产业开发区,15k-25k,北京宝兰德软件股份有限公司,3-5年,本科,发展空间大 上市公司 六险一金 带薪年假,岗位职责：1、负责大型分布式作业系统后台设计与开发。2、负责大型分布式作业系统核心代码编写、指导和培训工程师岗位要求：1、计算机相关专业专科及以上学历（学信网可查），3年以上后台开发经验；2、精通Python，3年以上Python后台开发经验，有良好的编码习惯；3、精通Python服务端编程，精通网络编程；4、熟悉Django/Tornado等web开发框架；5、熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验；6、熟悉Unix/Linux操作系统下的开发，部署，维护等工作；7、有saltstack二次开发经验者优先；8、有celery开发经验者优先；9、具备良好的分析解决问题能力和团队合作能力；,企业服务,150-500人,python,西安
Python高级开发（分布式系统）,https://www.lagou.com/jobs/6914641.html,高新技术产业开发区,15k-30k,北京宝兰德软件股份有限公司,不限,大专,发展空间大 上市公司 六险一金 带薪年假,岗位职责：1、负责大型分布式作业系统后台设计与开发。2、负责大型分布式作业系统核心代码编写、指导和培训工程师岗位要求：1、计算机相关专业专科及以上学历（学信网可查），3年以上后台开发经验；2、精通Python，3年以上Python后台开发经验，有良好的编码习惯；3、精通Python服务端编程，精通网络编程；4、熟悉Django/Tornado等web开发框架；5、熟悉大型分布式系统设计与开发，并具备MQ、NoSQL实战经验；6、熟悉Unix/Linux操作系统下的开发，部署，维护等工作；7、有saltstack二次开发经验者优先；8、有celery开发经验者优先；9、具备良好的分析解决问题能力和团队合作能力；10、具有良好的学习能力，对互联网的新技术有很强的求知欲望；11、有激情，热爱Python，关注用户体验,企业服务,150-500人,python,西安
python开发工程师,https://www.lagou.com/jobs/5438531.html,雁塔区,7k-14k,武汉佰钧成技术有限责任公司,1-3年,本科,六险一金，项目奖金，弹性工作，年度体检,1、统招二本以上学历；2、熟悉Python主流类库使用；3、熟练掌握HTTP、TCP/IP、网络编程、爬虫技术；4、熟悉Linux/Unix平台，能熟练使用脚本语言进行系统日志分析；5、具备良好的学习能力；,移动互联网,2000人以上,python,西安
Python开发工程师（CBB）(J12178),https://www.lagou.com/jobs/6770290.html,高新技术产业开发区,12k-18k,北京神州绿盟信息安全科技股份有限公司,1-3年,本科,五险一金；弹性工作；餐补；年终奖金；,,信息安全,500-2000人,python,西安
