job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
后端开发（c++/python）,https://www.lagou.com/jobs/7000467.html,郑东新区,10k-20k,湖北凯美能源技术有限公司,不限,本科,六险二金、五星级办公环境,岗位职责：1. 承担软件开发工作，独立完成相关功能模块的设计编码工作；2. 参与软件需求分析、设计等工作，并完成相应的文档编写工作。岗位要求：1. 计算机相关专业毕业，211/985统招本科以上学历，工作经验不限，年龄在29周岁以下；2. 熟练掌握C/C++或python语言，具备良好的编程能力，有Windows/Linux下项目开发经验者优先；3. 熟练使用Windows/Linux平台下开发调试工具，具备良好的编码、调试能力；4. 熟练掌握常用的数据结构及网络编程知识，并能应用到具体的项目开发中；5. 具备基础的数据库知识，熟悉MySQL/Oracle/PostgreSQL，能进行日常维护及SQL语句编写；6. 工作认真负责，态度积极端正，具备良好的团队合作意识；,"移动互联网,其他",50-150人,python,郑州
python开发工程师,https://www.lagou.com/jobs/7199481.html,金水区,8k-12k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 国家高新技术企业现有技术开发人员30多名  团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   项目体量大  稳定 长期  加班很少 五险 双休 年假 旅游 年终奖 等等  该有的通通都有满足你各种职业规划     无论是技术还是 管理  1、四年以上后端开发经验，三年以上的Python开发经验；2、精通python，熟悉java、golang、ruby、php等语言者优先；3、熟练掌握Django，Flask等主流python web框架，深入理解框架实现原理及特性，熟练使用python的常用库；4、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、网络等相关技术；5、熟练掌握Redis、MongoDB，具备索引优化、查询优化的能力；6、具备设计复杂系统、数据库的能力，能够独立开展需求分析及系统设计工作；7、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；8、具备code review的能力，并能承担相关工作，能带动团队成长者优先；,"人工智能,软件开发",15-50人,python,郑州
风控系统开发工程师（python）,https://www.lagou.com/jobs/3752791.html,郑东新区,10K-20K,河南恒品科技有限公司,3-5年,本科,福利待遇优渥，工作开心幸福，领导nice,"岗位职责：1、建设和维护基于各类分布式系统和大数据平台的风控系统研发；2、开发与维护实时评分系统，包括算法部署模块与信息整合模块；3、负责与各业务系统交互之间的数据管理，需求分析，方案设计；4、开发和维护各类监控系统与业务报表；5、与需求方沟通数据需求, 对项目质量跟踪控制。职位要求：1、有扎实的计算机系统原理知识，熟悉分布式系统原理，熟悉并行计算或者分布式计算；2、具备3年以上基于python大数据开发、服务端开发或研究经验；3、精通python开发，熟悉python各类webservice框架（django、flask、tornado等），熟悉pandas，numpy，scipy等数据处理包4、精通SQL，熟悉主流数据库SQL Server、MYSQL等5、熟悉大数据开发框架，HBase 、Spark/RDD、MR、 Cassandra等大数据主流工具和技术，熟悉Linux操作系统，Shell编程等;6、理解Batch和Near Realtime数据流采集方案。熟悉Kafka、ActiveMQ等消息队列；7、能够完成核心产品代码的研发工作，解决项目中关键问题和技术问题；8、熟悉数据挖掘算法以及具备模型部署经验为佳，有金融相关开发经验优先考虑。",其他,50-150人,python,郑州
大数据开发工程师（python）,https://www.lagou.com/jobs/3752815.html,郑东新区,10K-20K,河南恒品科技有限公司,3-5年,本科,待遇优渥，工作开心幸福，领导nice,岗位职责：1、 负责数据分析、加工、清理、处理程序的开发；2、 负责数据相关平台的搭建、开发、维护、优化；3、 分布式平台应用开发（Hadoop/Spark/Hive/Hbase）；4、 开发数据统计系统，各类统计程序报表。职位要求：1、 4年以上Python开发经验；2、 熟练使用Hadoop/Spark生态圈技术，如：Hive、Hbase、MapReduce等；3、 熟悉数据挖掘、机器学习、网络数据分析等技术优先；4、 具备良好的逻辑分析能力和解决实际问题的能力；5、 良好的沟通技巧和团队合作意识；6、 有金融大数据挖掘经验者优先。,其他,50-150人,python,郑州
Python 讲师,https://www.lagou.com/jobs/6691857.html,管城回族区,6k-10k,郑州嘉琰教育科技有限公司,3-5年,本科,五险一金，年底分红,岗位要求：1. 熟练掌握Python开发，不低于2年实际开发经验，独立完成过复杂的开发项目；2. 熟练掌握WEB开发技术；3. 必须活泼向上正能量，视野开阔、思想端正、风趣幽默闷骚；4. 有实际讲课经验者优先；5. 丰厚期权、年终奖。岗位职责：1. 负责Python课程大纲的编写；2. 负责Python课程的讲授；3. 带领和培养学生完成学习任务、企业项目实战。,"移动互联网,其他",15-50人,python,郑州
大数据资深工程师,https://www.lagou.com/jobs/7208698.html,航空港区,20k-40k,富泰华工业（深圳）有限公司,10年以上,不限,五險一金 績效獎金 帶薪休假 定期體檢,职位描述：1.负责跨单位项目管理与执行，与项目中大数据相关技术之规划与督导，2.对内部大数据开发人员进行专业指导、监督或管理3.负责大数据end to end技术评估和技术方案之推展实施4.大数据应用方案需求收集与推广技能要求：1.至少具有以下专业两项共8年以上工作经验:(1)大数据架构开发或规划、(2)数据仓库开发或规划、(3)大数据分析及从业务进行大数据技术规划的能力；2.具备机器学习、大数据架构开源生态圈、数据仓库相关知识，另有前端开发经验尤佳；3.熟python、java、SQL、shell script、java script、Spark/flink/flume等(至少3项)；4.具备全面的技术视野与风险掌控，对技术问题有敏锐的洞察力，逻辑思维严谨。,"电商,数据服务",2000人以上,python,郑州
数据架构,https://www.lagou.com/jobs/5978734.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,5-10年,本科,五险一金 绩效奖金 带薪休假 定期体检,"岗位职责：1. 依各大数据分析项目所需，搭建、研究或规划机器学习开原框架运算环境；2. 设计、优化、监控或维护自动化分析建模作业流；3. 各大数据分析项目布署至内云作业。任职要求：1. 具备深度学习相关框架(Tensorflow, Theano, Keras等)经验2年以上；2. 具备开源框架研究及自行搭建之能力；2. 熟悉Linux相关安装设定；3. 具备ETL开发经验1年以上；4. 具备hadoop数据分析程序开发能力，熟python、java、Spark、shall script等；5. 有制造业数据收集、处理经验尤佳。","电商,数据服务",2000人以上,python,郑州
高级攻防工程师（郑州）,https://www.lagou.com/jobs/7090591.html,郑东新区,13k-20k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,【岗位职责】1.负责对客户系统进行渗透测试，包括各类应用系统、移动APP等，全面发现被测系统存在的安全问题并提供修复建议；2.客户系统出现安全事件时进行应急处置，协助客户修复安全漏洞；3.负责对客户的系统进行代码审计，通过对源代码检测和分析，找出代码层面存在的漏洞，并提供修复建议；4.跟踪国内外信息安全动态，进行安全攻防技术研究；5.负责日常网络安全产品运维、漏洞扫描、网络安全基线配置核查等；6.负责日常网络安全日志和事件监测、分析、预警、处置、总结；7.负责敏感时期、重大节假日期间的网络安全保障；8.协助用户处理日常安全工作，提供安全建议和咨询。【任职要求】1.3年以上攻防经验，具备代码审计、APP客户端二进制测试、攻防演练、安全培训、内网渗透等经验；2.熟悉渗透测试步骤、方法、流程，熟练使用渗透测试工具； 3.熟悉常见web安全漏洞的原理、测试方法、加固方法；4.具有较好的工作习惯及较强的文档、报告、方案编写能力；5.具备优秀的沟通协调能力、学习能力、抗压能力；6.开发过相关安全工具、平台、项目，或可独立支撑应急响应；7.在t00ls、freebuf、Seebug等平台发布过技术文章；8.有web开发经验或熟悉PHP/C#/Java/Python任意一种语言。【优先考虑的条件】1、有知名CTF、攻防比赛获得奖项；2、具备大型内网渗透测试经验、代码审计等；3、在各大安全论坛上发过文章或者在安全会议上演讲经验优先；4、独立挖掘过通用漏洞，具有CNVD原创证书或cve证书。,"信息安全,数据服务",500-2000人,python,郑州
信息安全管理-安全工程师,https://www.lagou.com/jobs/6943538.html,高新区,15k-25k,中移在线服务有限公司,5-10年,本科,六险二金 带薪年假 年度体检 日常补贴,【岗位职责】1、负责网络安全和数据安全管理体系建设规划，包括战略规划、合规性建设、管理制度、宣传培训、考核通报等方面；2、负责安全技术体系规划建设，建立全方位安全防护能力；3、负责安全运营、安全事件应急处置、重大活动保障等工作。【任职资格】1、学历要求：本科及以上学历，网络安全、计算机等相关；2、工作经验：5年以上安全相关工作经验；3、能力要求：1）具有安全策略设计、安全管理体系、安全规划、风险评估等安全工作经验；2）熟悉等级化保护要求、ISO27001等安全标准和规范；3）至少具备一项以上网络安全相关资格认证（包括但不限于CISP、ISO27001LA、CISSP、CISA等）；4）熟悉Web攻防技术及原理，关注和应用业界最新的安全技术发展，有web渗透测试的经验，熟悉常见web安全漏洞的原理、修复方案，有相关漏洞挖掘案例，时刻关注最新web应用漏洞、系统漏洞，并迅速掌握漏洞利用方法；5）熟练掌握python、php、javascript等语言及相关开发框架，具有一定的WEB系统开发经验。,移动互联网,2000人以上,python,郑州
平台开发工程师-云平台工程师,https://www.lagou.com/jobs/6943393.html,高新区,15k-20k,中移在线服务有限公司,3-5年,本科,六险二金 带薪年假 年度体检 日常补贴,【岗位职责】1.负责云平台系统的日常维护、故障处理、性能分析；2.负责云平台项目的实施、服务和技术支持等建设工作；3.负责云平台相关的技术方案设计及文档编写。【任职资格】1、学历要求：本科及以上学历；2、工作经验：3年以上Unix/Linux操作系统经验；3、能力要求：1）精通Unix/LINUX系统的安装、配置及调优；2）熟悉OpenStack、VMWare、KVM等主流虚拟化产品；3）熟悉主流X86/ARM/GPU等硬件服务器产品； 4）精通shell/perl/python中的一种或多种脚本语言开发；5）具备良好的团队协作能力、主动服务意识及一定的抗压能力。6）有大型云平台的建设、运维及开发经验者优先。,移动互联网,2000人以上,python,郑州
