job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python后端,https://www.lagou.com/jobs/7137188.html,渝北区,6k-10k,重庆光棱科技有限公司,1年以下,本科,节日福利，年度旅游，五险一金，年终奖金,职位诱惑：五险一金、年内旅游、带薪年假、定期体检、带薪运动职位介绍：1. 主要负责公司后端业务逻辑的开发。2. 接口文档编写与单元测试等。3. 完成领导要求的开发工作及其他事项。职位要求：1. 熟悉asyncio库。2. 熟悉Django，Flask，fastapi等Python后端框架，及celery等Python第三方框架。3. 熟悉关系型数据库基本原理，熟练掌握SQL语法，熟悉redis。4. 熟练使用Linux，熟练使用常见命令。5. 熟悉git使用，能使用git进行团队合作。6. 熟悉常规的接口性能调优、sql调优。加分项：1. 理解异步IO，熟练使用asyncio及其衍生模块。2. 有自己的开源项目或贡献过核心代码。3. 有并发处理经验。,"移动互联网,社交",15-50人,python,重庆
python工程师,https://www.lagou.com/jobs/3968566.html,江北区,7k-10k,重庆食联购电子商务有限公司,3-5年,本科,"公司氛围好,带薪年假,扁平管理",岗位职责：1.基于海量用户行为数据和其他数据，分析和研究数据与实际业务的关联关系，开发设计可扩展的机器学习算法，挖掘用户属性和行为特征，并以实际业务应用为导向；2.参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析；3.整理并分析用户数据，撰写分析报告，从数据的角度给出运营建议；4.业务的策略优化及算法研发，提供先进、适用的解决方案（模型）；任职要求：1.熟练使用Python语言进行数据分析和数据建模工作，能够独立完成数据挖掘报告，有两年工作经验；2.熟悉各种Linux命令的使用，能够在Linux环境下进行开发工作，对云计算技术有一定的了解；3.熟悉mysql数据库，具备mysql、mongodb、redis等开发经验；4.有较强的分析问题与独立解决问题的能力，良好的沟通能力及团队合作精神；5.有互联网产品开发经验或分布式系统设计经验优先考虑。,"移动互联网,电商",15-50人,python,重庆
Python研发工程师,https://www.lagou.com/jobs/1025212.html,渝北区,7k-10k,重庆博尼施科技有限公司,1-3年,本科,公分旅游，13薪+奖金，五险一金，成长期,"【岗位职责】1、服务器端技术选型、架构设计、开发实现、性能优化。2、开发并维护API,为WEB/移动端提供稳定可靠的服务。3、负责公司其他产品服务端研发。【岗位要求】:1. code环境非WIN党（Linux, Mac均可）【必须】2. 1年以上Python经验(非工作经验)。3. 有Python任意Web/HTTP框架使用经验4. 计算机基础知识扎实，属性数据结构、计算机网络、操作系统原理等知识。5. 熟悉docker容器化技术【优先条件】1. 熟悉Linux服务器与部署, 了解Shell脚本。2. 熟悉Rest接口标准者优先3. 熟悉Mysql等关系型数据库开发。4. 熟悉Hbase数据库。5. 熟悉Redis或者Memcached缓存开发。6. 熟悉移动互联网产品的开发,参与过LBS应用开发。7. 有大型网络服务开发，在高并发，高稳定性方面有经验。8. 熟悉大规模数据数据处理与分析,或者具有分布式数据处理方面经验。9. 有Docker实际部署经验者优先。10. 有Celery实际使用经验者优先。11. 有Jenkins实际使用经验者优先。12. 有Supervisord使用经验者优先。13. 有ZooKeeper使用经验者优先。14. 有GIT HUB账号并持续Commit者优先。我们提供：1. 富有吸引力的薪酬。 2. 每年一次5-7天带薪旅游。3. 春节放假14天 4. 每月一次团队活动。 5. 定期组织户外运动，关注员工身体健康。 6. 合理的培训与晋升机制。让员工价值持续增长。 7. 扁平的团队结构，技术驱动，平级沟通。 8. 轻松愉快的工作氛围，各种逗逼同事，让研发工作不再压抑紧张。 9. 公司免费提供公司内部专用梯子，谷歌，sourceforge, 你懂的。 10. 研发岗均提供双屏环境。 11. 买书报销（得放在公司分享）。",移动互联网,15-50人,python,重庆
python开发工程师,https://www.lagou.com/jobs/6549719.html,渝北区,9k-13k,成都小盼科技信息服务有限公司,1-3年,本科,五险一金，带薪年假，周末双休，晋升空间,工作职责：1.Python Web Service的开发，内外应用搭建；2.MySQL 数据库，存储线上系统信息；3.协助进行技术评测，bug处理，代码开发；4.按时按质完成公司下达程度开发、系统评测等工作任务；5.定期维护网站程序，处理反馈回来的系统bug；6.完成领导交办的其他工作。职位要求：1. 本科及以上计算机、数学、统计、物理及相关专业本科以上学历优先；2. 2年以上Python语言应用开发经验； 3. 熟悉Python Web开发框架，如Django/Flask/Tornado；4. 有算法相关经验优先。,其他,500-2000人,python,重庆
Python全栈开发工程师,https://www.lagou.com/jobs/6966704.html,渝中区,8k-16k,德勤企业咨询（上海）有限公司,3-5年,本科,五险一金/带薪年假/不出差或少量出差,"岗位职责：·        交付德勤审计与鉴证创新部门的内部和外部项目·        对客户需求进行分析和挖掘，使用主流Python开发框架搭建应用程序·        支持团队内部各个项目的研发工作·        编写项目需求和开发文档·        客户现场支持，将项目开发程序部署到客户生产环境并进行测试和后期维护任职要求：·        大学本科或以上学历·        3年IT行业从业经验·        熟悉Python语言，有良好的编程习惯；·        熟悉前端JS开发和后端Python开发，具备全栈工程师的开发能力·        熟悉SQL操作，熟悉一种或多种主流的数据库；·        掌握Django /Flask 任一Web框架，懂代码调试并能持续优化；·        熟悉HTTP协议，能开发符合RESTful设计思想的接口；·        熟悉前端开发，有MVVM框架（Angular, Antd, Typescript, Vue, React）开发经验者优先。·        优良的代码注释习惯，并能编写有条理的开发文档。",金融,2000人以上,python,重庆
Python开发工程师,https://www.lagou.com/jobs/6646485.html,渝北区,7k-13k,重庆铭德塑淘网络科技有限公司,1-3年,本科,中英团队、扁平管理、弹性时间、周末双休,"岗位职责：1、负责项目的核心编码，产品的开发和维护；2、深入理解业务需求，负责数据性能效果调优，提供具体问题的解决方案；3、与产品经理配合，快速构建能够满足产品需求的平台，系统及网络基础结构；4、积极主动按时保质保量完成开发任务，代码简洁高效，复用性高。 任职要求：1、本科及以上学历，计算机相关专业，1年以上Python独立开发经验；2、熟悉Flask, Celery等框架；3、熟悉关系型数据库(MySQL/PostgreSQL)、非关系型数据库(MongoDB/HBase/Elasticsearch)、缓存数据库(Redis/Memcached)；4、具备良好的编码风格，能书写良好的开发文档；5、掌握git工具；6、有独立分析和解决问题的能力，有良好的团队合作精神。","移动互联网,电商",15-50人,python,重庆
python爬虫,https://www.lagou.com/jobs/6346084.html,江北区,7k-10k,重庆椿江科技有限公司,3-5年,不限,福利待遇好，公司氛围好，周末双休,岗位职责：1.基于海量用户行为数据和其他数据，分析和研究数据与实际业务的关联关系，开发设计可扩展的机器学习算法，挖掘用户属性和行为特征，并以实际业务应用为导向；2.参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析；3.整理并分析用户数据，撰写分析报告，从数据的角度给出运营建议；4.业务的策略优化及算法研发，提供先进、适用的解决方案（模型）；任职要求：1.熟练使用Python语言进行数据分析和数据建模工作，能够独立完成数据挖掘报告，有两年工作经验；2.熟悉各种Linux命令的使用，能够在Linux环境下进行开发工作，对云计算技术有一定的了解；3.熟悉mysql数据库，具备mysql、mongodb、redis等开发经验；4.有较强的分析问题与独立解决问题的能力，良好的沟通能力及团队合作精神；5.有互联网产品开发经验或分布式系统设计经验优先考虑。,数据服务,15-50人,python,重庆
数据分析（运营支持）,https://www.lagou.com/jobs/6766060.html,渝北区,8k-10k,腾讯科技（深圳）有限公司,3-5年,本科,带薪年假；年度旅游；内部晋升,岗位职责：1、业务共性问题定位与解决：针对出现的共性业务问题，运用专业工具进行业务数据收集与分析，定位问题并提出解决方案，推动解决；2、业务平台运营：在主要业务平台上，通过数据分析发现，推动平台功能落地；3、业务模式优化：通过数据分析发现，不断推动业务模式优化，匹配最优模式，推动运营效率提升。岗位要求：1、全日制本科以上学历，具备数据分析及运营3年以上相关工作经验；2、有良好的统计算法基础，熟悉分类、聚类、回归、关联分析等算法原理；3、熟悉python或SQL，能够达到熟练使用；4、具备良好的逻辑思维能力、学习能力、沟通能力及资源整合能力；5、 有涉及客服、审核相关工作经验者优先。,社交,2000人以上,python,重庆
后台开发工程师,https://www.lagou.com/jobs/6964559.html,渝北区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,1、 具备3年以上金融相关项目研发经验2、具备2年以上java开发经验，具备2年以上基于springcloud、spring mvc常见框架项目经验3、具备2年以上python开发经验，熟悉flask等开发框架4、熟悉linux特别是redhat的常用命令，熟悉shell脚本写作，熟悉db(如mysql)、redis、es、kafka、大数据组件的常见操作。4、具备大数据组件使用、研发相关项目者(例如移动开发)优先5、具备移动开发平台相关定制化开发项目者优先6、责任心强、阳光正直,社交,2000人以上,python,重庆
测试工程师,https://www.lagou.com/jobs/6962504.html,渝北区,6k-10k,缺月智能科技（上海）有限公司,3-5年,本科,氛围好，老板nice，福利有保障,"岗位职责：1、参与软件需求、研发设计的相关讨论,从测试角度帮助提升产品功能性、使用性及产品质量;2、负责编写软件测试计划,测试详细用例以及测试用例的执行，并按照要求发布测试报告;3、对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案；4、总结测试过程中的问题,总结版本历史和遗留问题,为以后的测试提供关键依据;5、负责自动化用例的设计和实现，负责产品的性能测试；6、提出对产品的进一步改进的建议，并评估改进方案是否合理；7、对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见； 8、为业务部门提供相应技术支持，确保软件质量指标。 岗位要求：1、3年及以上测试开发经验，有移动端网页测试和Saas软件测试经验者优先；2、熟悉Linux操作系统，能够部署测试环境；3、能够编写逻辑严密的测试用例，分析测试结果和输出测试报告；4、熟练使用主流自动化测试工具和框架，如Selenium,Postman,Jmeter 等5、至少精通1个自动化测试脚本编码语言，比如Python、Java等；6、具有较强的业务分析能力，较好的沟通表达和综合协调能力；7、有白盒测试经验和有测试工具开发经验的优先；8、有接口测试经验，且搭建过接口测试平台及相关框架的优先；","人工智能,物联网",15-50人,python,重庆
