job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python开发工程师,https://www.lagou.com/jobs/7117460.html,开福区,8k-12k,深圳市赢时胜信息技术股份有限公司,3-5年,本科,"绩效奖金,年终奖金,股权激励",岗位职责：1、参与开发自动化测试框架，支撑项目自动化测试需求；2、参与自动化测试平台研发，简化需求测试人员工作，达到快速进行测试目的；3、对自动化测试框架和平台进行持续优化。任职要求：1、本科及本科以上学历，计算机相关专业；两年以上python开发经验；2、熟悉Linux操作，使用git进行版本控制管理，有nginx配置部署经验；3、熟悉django tornado flask 任一python开发框架，懂代码调试并能持续优化；4、会编写爬虫，提取界面结构化信息；5、熟悉HTTP协议，能开发符合RESTful设计思想的接口；6、有mysql.mongodb.redis等常用数据库的使用经验；7、优良的代码注释习惯，并能编写有条理的开发文档。8、对技术精进有要求，愿意学习大数据相关知识，并付诸实践。,金融,500-2000人,python,长沙
Python开发人员,https://www.lagou.com/jobs/3750556.html,芙蓉区,6k-10k,中通服创发科技有限责任公司,3-5年,本科,"五险一金,双休,带薪年假,多种福利",1、熟练掌握Python 2.x 语言编程，熟悉Python标准库；     有较好的编程能力，编写的代码符合Pythonic风格习惯2、有应用Django框架进行Python Web开发的项目实战经验，熟悉Celery异步调度框架3、熟悉JSON、YAML、JinJa2等主流技术，能在相关Python项目开发中灵活应用4、能够利用Ansible API等流行DevOps技术框架进行二次开发5.  有面向运维的DevOps开发经验的最佳。,"移动互联网,电商",150-500人,python,长沙
python开发工程师,https://www.lagou.com/jobs/7152774.html,开福区,8k-12k,开易（北京）科技有限公司,1-3年,本科,弹性工作、六险一金、年度体检、旅游团建,"岗位职责：1.现有数据综合管理系统的功能开发、代码维护、运维管理等；2.测试综合管理系统的功能开发、代码维护、运维管理；3.其他工作需要的脚本程序开发。    任职要求：1.掌握python语言编程能力,有两年以上python项目开发经验；2.熟悉项目开发过程，有基于Flask或Django的web开发经验者优先考虑；3.熟悉版本管理工具git的使用；4.熟悉linux环境的搭建和应用部署，有运维工作经验的优先考虑；5.对软件工程、面向对象思想有一定的理解，具有良好的编码习惯；6.工作积极主动，具有良好的沟通能力和团队合作精神；7.计算机或相关专业本科以上学历。","数据服务,其他",150-500人,python,长沙
python,https://www.lagou.com/jobs/7006533.html,岳麓区,5k-8k,湖南逻辑教育科技有限公司,1-3年,大专,五险、浮动调薪、餐补、包住、带薪年假,一，岗位职责与要求:1、1年以上python开发工作经验，熟悉requests库及http协议，具备python自动化经验更佳；2、python基础扎实，有一定的数据处理经验，了解Json和xml数据交换格式；3、具备有JS、小程序、PHP的开发经验优先；4、熟悉Linux系统，掌握Linux常用指令；5、具备良好的编码风格，能书写良好的开发文档； 6、具备良好的沟通和文字表达能力，具备一定程度独立定位解决技术问题的能力；7、掌握git工具，了解jenkins工具；8、有意愿从事python自动化开发；二，薪资待遇1、薪酬结构：基本工资+绩效奖金+全勤奖+餐补+五险+带薪年假+年终奖＋包住宿2、晋升机制：拥有良好的晋升体制及多次调薪机制。3、每周日休息一天，享受国家法定假期、生日和节日福利，不定期员工聚餐、活动等。,"移动互联网,教育",15-50人,python,长沙
python开发工程师,https://www.lagou.com/jobs/7201864.html,岳麓区,8k-15k,湖南九章智云科技有限责任公司,3-5年,本科,这里高手多 代码规范 技术水平高,会数据结构和算法有一定的编程能力从事Python开发有一定的抗压能力能接受加班,数据服务,少于15人,python,长沙
Python中级（SG0302）,https://www.lagou.com/jobs/5966897.html,岳麓区,8k-13k,长沙蜜獾信息科技有限公司,1-3年,本科,"五险一金,超长带薪期,周末双休,年终奖金",,移动互联网,150-500人,python,长沙
Python讲师,https://www.lagou.com/jobs/6835627.html,雨花区,8k-15k,湖南智圭谷信息技术咨询服务有限公司,3-5年,大专,大小休，五险一金，每月团建,"岗位职责1.负责公司线上产品的开发，维护及BUG的修复工作2.与设计人员配合完成自主运营网站的构建3.对当前项目进行二次开发，研发自主需求的系统4.熟悉python语言以及高级特性,;5.熟悉一个或多个python web框架，及其常见组件;6.熟悉常用的算法，数据结构，多线程编程;招聘要求1.计算机或相关专业本科及以上学历,有3年以上后台开发经验;2.熟悉Mysql数据库，以及相关的优化经验;3.熟悉一种或者多种非关系型数据库,如redis等;4.有Linux系统使用经验，熟悉常用的命令;5有java开发经验,有分布式系统开发经验优先;该岗位一部分工作是开发，一部分工作是讲师",教育 软件开发,15-50人,python,长沙
python,https://www.lagou.com/jobs/7178053.html,岳麓区,10k-15k,长沙蜜獾信息科技有限公司,1-3年,本科,技术氛围一流的牛逼团队,"1. 根据产品需要，承担相关模块开发任务和持续优化;2. 负责协助产品的持续性版本迭代 ；3. 负责单元测试，集成测试代码编写；4. 负责BDD测试代码编写；任职资格:1. 计算机相关专业，全日制本科及以上学历；2. 基础功扎实，掌握 python和常见开发框架,熟悉Django框架的后端API开发，熟悉PostgreSQL等常见关系型数据库，了解NO-SQL数据库；3. 有代码洁癖，对代码质量要求高；4. 有前端开发经验的加分，比如做过Ember开发；5. 优秀的分析问题和解决问题的能力；6. 对于优秀的员工，我们提供长沙地区有竞争力的薪资。",移动互联网,150-500人,python,长沙
Python开发工程师,https://www.lagou.com/jobs/6710188.html,岳麓区,9k-18k,湖南探球网络科技有限公司,3-5年,大专,纯互联网公司，福利优，待遇优于市场。,1、计算机及相关专业毕业，具备2年以上Python开发经验，能够熟练使用Python语言编写程序。2、熟悉Linux系统、socket、MQ队列，熟练使用MySQL、MongoDB、Redis等数据库/缓存技术，并具备实际应用经验。3、熟悉Django\Flask\Tornado框架中至少一种，并具备实际应用经验。4、熟悉Http(s)协议，具备一定的htm、js、css基础，能独立完成数据分析挖掘工作。5、性格开朗，具有团队合作精神，学习能力强，能承受一定的工作压力。6、有爬虫编写、数据挖掘分析系统、机器学习工作经验者优先。,"移动互联网,数据服务",50-150人,python,长沙
python开发,https://www.lagou.com/jobs/6968989.html,雨花区,8k-12k,长沙食享网络科技有限公司,3-5年,大专,13薪，双休，五险一金，福利齐全。,岗位职责:1、参与后台服务的设计、开发、优化等研发工作；2、与PM、设计及前端开发人员协同工作，保证产品的质量和开发进度；3、对产品进行持续优化。任职要求:（需要工作经验，不考虑应届毕业生，慎投）1、3年以上后台开发经验；2、精通Python语言，有Web后台服务开发的实际项目经验；3、熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask、 openERP等) ；4、熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)；5、熟悉常用 Linux 系统命令；6、热爱技术，善于自学。有良好的编码习惯和团队协作意识；7、有前端开发经验更佳。工作时间：双休,"电商,企业服务",50-150人,python,长沙
