job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级python工程师,https://www.lagou.com/jobs/6033664.html,黄岛区,12k-20k,青岛思普润水处理股份有限公司,3-5年,本科,待遇优厚、前景好,职责描述：1、使用python/django设计开发企业级云平台后端，确保系统质量。任职要求：1、本科及以上学历，计算机相关专业，3-5年以上开发经验，python/django开发3年以上经验。2、精通python/Django开发，具有独立搭建web后端和部署的实际经验，能够实现后端需要的各种功能并解决新的挑战。3、熟悉linux、mysql、redis、git、RESTful、pycharm、调试等技术，编程习惯良好，熟悉其它语言如c++、java、js等优先。4、做事认真负责，积极向上，善于团队沟通协作。薪酬福利：年终奖、四险一金、节日福利、餐补、电脑补贴、通讯补贴等，外地员工提供住宿。,"人工智能,软件开发",150-500人,python,青岛
python架构师,https://www.lagou.com/jobs/7158860.html,青岛经济技术开发区,30k-40k,北京瀚亚世纪资产管理有限公司,应届毕业生,本科,有空间,职责描述：1、使用python/django设计开发企业级SaaS平台后端，编写高质量代码，保证平台高效稳定运行；2、指导团队开发，并对团队产出质量和效率负责。任职要求：1、本科及以上学历，计算机相关专业，熟练阅读英文技术文档，5-10年开发经验，2年架构设计经验；2、精通python/django开发，编程习惯良好，能够编写高可维护性的代码，在数学物理计算机等竞赛中获奖者优先，有C++、java开发经验优先；3、熟悉分布式系统开发、部署，在系统设计、调试、排错、优化、部署、高可用等方面有较多工作经验，熟悉阿里云、华为云优先；4、技术栈有一定的广度和深度，熟练使用Linux、Mysql、Redis、nginx、消息队列等常用技术，熟悉物联网、websocket、时序数据库、Kafka、docker、kubernetes等优先；5、强大的自我驱动能力，优秀的团队沟通与协作能力。作为核心开发，主导过大型项目者优先。薪酬福利：年终奖、五险一金、节日福利、餐补、电脑补贴、通讯补贴等，外地员工提供住宿。,金融,2000人以上,python,青岛
Python开发工程师,https://www.lagou.com/jobs/6814997.html,市北区,8k-15k,北京值得买科技股份有限公司,3-5年,大专,五险一金、节日福利、周末双休、带薪年假,"职位信息 技能要求：Python，NLP，MySQLPython编程经验2年以上， 熟悉tornado、flask、web.py等网络开发框架。熟练使用mysql，redis， 了解常见的使用场景，性能优化方案。拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，遵守pylint和pep8规范。了解scrapy,scray-redis,selenium等采集方案的使用，以及相关爬虫项目经验。简单了解NLP相关的基础知识，有学习兴趣。善于团队合作，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心。",电子商务,500-2000人,python,青岛
Python数据挖掘工程师,https://www.lagou.com/jobs/6631856.html,黄岛区,4k-8k,青岛七十二度信息技术有限公司,不限,本科,福利待遇好,"1、根据项目需求，编写python程序收集互联网公开数据，将结构化的数据存储到数据库；2、进行详细设计、代码开发，配合测试，高质量完成项目；任职资格：1.为人正直，诚信，有上进心和责任心2.计算机专业,熟练使用python，做事细致认真。3.有扎实的数据库（SqlServer或MySQL或Oracle 等）SQL技能，熟悉HTML、CSS、JavaScript者优先4.具备基本的英语读写能力待遇：根据个人工作经历，待遇4500-12000/月。试用期三个月。转正后有五险如有兴趣，请将详细简历email至***************","移动互联网,数据服务",15-50人,python,青岛
中级Python开发工程师,https://www.lagou.com/jobs/6815019.html,市北区,8k-15k,北京值得买科技股份有限公司,3-5年,不限,五险一金、节日福利、周末双休、带薪年假,"职位信息 技能要求：Python，NLP，MySQL2年以上Python编程经验， 熟悉tornado、flask、web.py等网络开发框架。熟练使用mysql，redis， 了解常见的使用场景，性能优化方案。拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，遵守pylint和pep8规范。了解scrapy,scray-redis,selenium等采集方案的使用，以及相关爬虫项目经验。简单了解NLP相关的基础知识，有学习兴趣。善于团队合作，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心。",电子商务,500-2000人,python,青岛
python,https://www.lagou.com/jobs/6982675.html,李沧区,8k-10k,青岛卓森晟远商贸有限公司,不限,不限,待遇优厚，工作时间弹性,要求精通主流app网络协议和加密算法。,电商、广告营销,少于15人,python,青岛
高级python工程师,https://www.lagou.com/jobs/6860323.html,黄岛区,15k-25k,青岛思普润水处理股份有限公司,3-5年,本科,python,1、使用python/django设计开发企业级云平台后端，确保系统质量。任职要求：1、本科及以上学历，计算机相关专业，3-5年以上开发经验，python/django开发3年以上经验。2、精通python/Django开发，具有独立搭建web后端和部署的实际经验，能够实现后端需要的各种功能并解决新的挑战。3、熟悉linux、mysql、redis、git、RESTful、pycharm、调试等技术，编程习惯良好，熟悉其它语言如c++、java、js等优先。4、做事认真负责，积极向上，善于团队沟通协作。薪酬福利：年终奖、四险一金、节日福利、餐补、电脑补贴、通讯补贴等，外地员工提供住宿。,"人工智能,软件开发",150-500人,python,青岛
高职AI培训师,https://www.lagou.com/jobs/7103204.html,青岛高新技术产业开发区,10k-20k,北京市商汤科技开发有限公司,5-10年,本科,大牛团队,岗位职责： 人工智能相关设计课程，并讲解人工智能、自然语言处理，经计算机视觉，数据挖掘，机器学习、数据科学的知识，使学生具备初级AI工程师或参数训练师的能力。任职要求：1. 本科及以上学历，五年及以上工作经验，计算机、数学、物理等相关专业毕业；硕士两年以上工作经验。2. 对自然语言处理、计算机视觉、数据挖掘或者推荐系统、数据可视化、无人驾驶等其中一个或者多个感兴趣且有足够的研究；3. 熟练掌握Python编程语言，精通数据结构算法，动手能力强，参与过实际的企业项目；4. 熟练掌握基础的数学、统计相关知识，对微积分，概率论等基础知识清楚；5. 熟练掌握基础的人工智能、机器学习方法；6、具备扎实的机器学习和深度学习功底，对于常用算法例如SVM，决策树，GBDT，CNN，RNN等的原理有深刻理解。具备一定的工程能力，熟悉至少一种深度学习开发框架(Tensorflow/Pytorch)；7. 有教育理想愿意把自身经验技术传播给更多的人；,人工智能,2000人以上,python,青岛
业务BI分析专家,https://www.lagou.com/jobs/6936490.html,市北区,15k-25k,拉扎斯网络科技（上海）有限公司,5-10年,不限,前景广阔 阿里系公司,【工作职责】:1、对交易履约业务部门进行数据需求支持，深入进行业务专题主题分析，基于数据分析成果，为业务部门提供商业策略分析和业务优化建议，持续改进运营效果，含用户留存分析，商户运营及品类分析，物流分析，经营规划等；2、优化和完善所属方向的数据分析体系，包括 KPI 指标体系、报表体系、搭建分析框架，并进行核心指标监控，撰写数据分析报告；3、通过专题数据分析来发现问题，实现数据驱动，提升交易运营效率，扩大市场份额，提升交易、物流的协同联动；4、提升团队的整体数据分析、财务分析、数据运营等能力。【任职要求】：1、数学、统计学、计算机等专业本科及以上学历，985院校或国外名校毕业者优先，数学+计算机+财务专业者更佳；2、 5年以上互联网相关领域/咨询相关行业数据分析的工作经验、；3、熟练掌握SQL，熟练掌握excel，了解Python、 R中至少1-2种工具方法，熟悉thinkcell者优先；4、优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，搭建整个数据分析体系；5、优秀的沟通能力和项目管理能力，强大的自驱力和抗压力，具备分享精神，能带动小伙伴们一起提高。,消费生活,2000人以上,python,青岛
数据分析师（BI方向）,https://www.lagou.com/jobs/7089082.html,市南区,6k-12k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,团队氛围好,薪资优厚",,文娱丨内容,2000人以上,python,青岛
